city_name,province_name,value,date
哈尔滨市,黑龙江省,31.68,20200101
佳木斯市,黑龙江省,20.16,20200101
鸡西市,黑龙江省,13.18,20200101
牡丹江市,黑龙江省,10.93,20200101
双鸭山市,黑龙江省,9.57,20200101
绥化市,黑龙江省,1.85,20200101
鹤岗市,黑龙江省,1.61,20200101
长春市,吉林省,0.87,20200101
齐齐哈尔市,黑龙江省,0.73,20200101
北京市,北京市,0.73,20200101
大庆市,黑龙江省,0.63,20200101
沈阳市,辽宁省,0.58,20200101
大连市,辽宁省,0.48,20200101
吉林市,吉林省,0.39,20200101
杭州市,浙江省,0.39,20200101
伊春市,黑龙江省,0.39,20200101
丹东市,辽宁省,0.24,20200101
黑河市,黑龙江省,0.24,20200101
鞍山市,辽宁省,0.19,20200101
抚顺市,辽宁省,0.19,20200101
四平市,吉林省,0.19,20200101
上海市,上海市,0.19,20200101
营口市,辽宁省,0.19,20200101
广州市,广东省,0.19,20200101
葫芦岛市,辽宁省,0.19,20200101
通化市,吉林省,0.14,20200101
呼伦贝尔市,内蒙古自治区,0.14,20200101
盘锦市,辽宁省,0.14,20200101
德州市,山东省,0.14,20200101
延边朝鲜族自治州,吉林省,0.14,20200101
天津市,天津市,0.14,20200101
青岛市,山东省,0.14,20200101
唐山市,河北省,0.14,20200101
廊坊市,河北省,0.14,20200101
聊城市,山东省,0.09,20200101
淄博市,山东省,0.09,20200101
滨州市,山东省,0.09,20200101
朝阳市,辽宁省,0.09,20200101
潍坊市,山东省,0.09,20200101
常州市,江苏省,0.09,20200101
赤峰市,内蒙古自治区,0.09,20200101
锦州市,辽宁省,0.09,20200101
铁岭市,辽宁省,0.09,20200101
西安市,陕西省,0.09,20200101
济南市,山东省,0.09,20200101
威海市,山东省,0.09,20200101
阿克苏地区,新疆维吾尔自治区,0.04,20200101
上饶市,江西省,0.04,20200101
松原市,吉林省,0.04,20200101
东方市,海南省,0.04,20200101
哈尔滨市,黑龙江省,33.81,20200102
佳木斯市,黑龙江省,14.58,20200102
牡丹江市,黑龙江省,10.51,20200102
鸡西市,黑龙江省,9.79,20200102
双鸭山市,黑龙江省,8.35,20200102
鹤岗市,黑龙江省,2.23,20200102
黑河市,黑龙江省,1.83,20200102
长春市,吉林省,1.75,20200102
绥化市,黑龙江省,1.71,20200102
北京市,北京市,1.47,20200102
大庆市,黑龙江省,1.35,20200102
沈阳市,辽宁省,0.95,20200102
大连市,辽宁省,0.95,20200102
齐齐哈尔市,黑龙江省,0.91,20200102
杭州市,浙江省,0.51,20200102
延边朝鲜族自治州,吉林省,0.51,20200102
吉林市,吉林省,0.51,20200102
营口市,辽宁省,0.47,20200102
天津市,天津市,0.47,20200102
青岛市,山东省,0.43,20200102
松原市,吉林省,0.35,20200102
伊春市,黑龙江省,0.31,20200102
潍坊市,山东省,0.31,20200102
通辽市,内蒙古自治区,0.27,20200102
锦州市,辽宁省,0.27,20200102
赤峰市,内蒙古自治区,0.23,20200102
威海市,山东省,0.19,20200102
三亚市,海南省,0.19,20200102
上海市,上海市,0.19,20200102
通化市,吉林省,0.15,20200102
盘锦市,辽宁省,0.15,20200102
南京市,江苏省,0.15,20200102
连云港市,江苏省,0.15,20200102
朝阳市,辽宁省,0.11,20200102
宁波市,浙江省,0.11,20200102
苏州市,江苏省,0.11,20200102
丹东市,辽宁省,0.11,20200102
秦皇岛市,河北省,0.11,20200102
四平市,吉林省,0.11,20200102
唐山市,河北省,0.11,20200102
深圳市,广东省,0.11,20200102
郑州市,河南省,0.11,20200102
东莞市,广东省,0.07,20200102
德州市,山东省,0.07,20200102
马鞍山市,安徽省,0.07,20200102
辽阳市,辽宁省,0.07,20200102
沧州市,河北省,0.07,20200102
漳州市,福建省,0.07,20200102
徐州市,江苏省,0.07,20200102
葫芦岛市,辽宁省,0.07,20200102
哈尔滨市,黑龙江省,34.55,20200103
佳木斯市,黑龙江省,17.63,20200103
牡丹江市,黑龙江省,12.09,20200103
鸡西市,黑龙江省,11.21,20200103
双鸭山市,黑龙江省,7.21,20200103
鹤岗市,黑龙江省,2.55,20200103
绥化市,黑龙江省,1.44,20200103
长春市,吉林省,1.25,20200103
北京市,北京市,0.94,20200103
齐齐哈尔市,黑龙江省,0.85,20200103
伊春市,黑龙江省,0.81,20200103
大庆市,黑龙江省,0.69,20200103
沈阳市,辽宁省,0.59,20200103
青岛市,山东省,0.47,20200103
延边朝鲜族自治州,吉林省,0.44,20200103
威海市,山东省,0.34,20200103
大连市,辽宁省,0.34,20200103
松原市,吉林省,0.34,20200103
黑河市,黑龙江省,0.31,20200103
通化市,吉林省,0.28,20200103
上海市,上海市,0.28,20200103
廊坊市,河北省,0.28,20200103
鞍山市,辽宁省,0.25,20200103
日照市,山东省,0.25,20200103
天津市,天津市,0.22,20200103
石家庄市,河北省,0.15,20200103
吉林市,吉林省,0.15,20200103
白城市,吉林省,0.15,20200103
营口市,辽宁省,0.15,20200103
济宁市,山东省,0.12,20200103
深圳市,广东省,0.12,20200103
兴安盟,内蒙古自治区,0.12,20200103
四平市,吉林省,0.12,20200103
丹东市,辽宁省,0.12,20200103
广州市,广东省,0.09,20200103
铁岭市,辽宁省,0.09,20200103
本溪市,辽宁省,0.09,20200103
白山市,吉林省,0.09,20200103
南昌市,江西省,0.09,20200103
通辽市,内蒙古自治区,0.09,20200103
秦皇岛市,河北省,0.09,20200103
德州市,山东省,0.09,20200103
呼伦贝尔市,内蒙古自治区,0.09,20200103
杭州市,浙江省,0.09,20200103
唐山市,河北省,0.09,20200103
阜阳市,安徽省,0.06,20200103
淄博市,山东省,0.06,20200103
开封市,河南省,0.06,20200103
西安市,陕西省,0.06,20200103
徐州市,江苏省,0.06,20200103
哈尔滨市,黑龙江省,33.13,20200104
佳木斯市,黑龙江省,19.68,20200104
牡丹江市,黑龙江省,10.83,20200104
鸡西市,黑龙江省,10.37,20200104
