city_name,province_name,value,date
海口市,海南省,13.03,20200101
乐东黎族自治县,海南省,11.87,20200101
陵水黎族自治县,海南省,10.17,20200101
北京市,北京市,4.88,20200101
万宁市,海南省,4.0,20200101
保亭黎族苗族自治县,海南省,3.7,20200101
儋州市,海南省,3.33,20200101
东方市,海南省,3.22,20200101
琼海市,海南省,2.6,20200101
上海市,上海市,2.12,20200101
成都市,四川省,1.91,20200101
天津市,天津市,1.63,20200101
五指山市,海南省,1.21,20200101
澄迈县,海南省,1.12,20200101
广州市,广东省,1.11,20200101
文昌市,海南省,1.1,20200101
哈尔滨市,黑龙江省,1.08,20200101
重庆市,重庆市,1.07,20200101
临高县,海南省,1.05,20200101
西安市,陕西省,0.99,20200101
深圳市,广东省,0.96,20200101
长春市,吉林省,0.89,20200101
郑州市,河南省,0.88,20200101
沈阳市,辽宁省,0.8,20200101
武汉市,湖北省,0.73,20200101
长沙市,湖南省,0.7,20200101
昌江黎族自治县,海南省,0.69,20200101
杭州市,浙江省,0.64,20200101
石家庄市,河北省,0.61,20200101
南京市,江苏省,0.6,20200101
定安县,海南省,0.54,20200101
湛江市,广东省,0.53,20200101
太原市,山西省,0.5,20200101
济南市,山东省,0.44,20200101
贵阳市,贵州省,0.43,20200101
乌鲁木齐市,新疆维吾尔自治区,0.42,20200101
苏州市,江苏省,0.39,20200101
南昌市,江西省,0.38,20200101
银川市,宁夏回族自治区,0.36,20200101
琼中黎族苗族自治县,海南省,0.34,20200101
白沙黎族自治县,海南省,0.34,20200101
屯昌县,海南省,0.33,20200101
合肥市,安徽省,0.32,20200101
大连市,辽宁省,0.3,20200101
北海市,广西壮族自治区,0.3,20200101
廊坊市,河北省,0.29,20200101
南宁市,广西壮族自治区,0.27,20200101
保定市,河北省,0.26,20200101
昆明市,云南省,0.26,20200101
宁波市,浙江省,0.26,20200101
海口市,海南省,11.02,20200102
乐东黎族自治县,海南省,8.97,20200102
北京市,北京市,5.94,20200102
陵水黎族自治县,海南省,4.16,20200102
上海市,上海市,3.21,20200102
儋州市,海南省,3.2,20200102
东方市,海南省,3.01,20200102
万宁市,海南省,2.95,20200102
成都市,四川省,2.46,20200102
天津市,天津市,2.23,20200102
哈尔滨市,黑龙江省,2.19,20200102
琼海市,海南省,1.89,20200102
保亭黎族苗族自治县,海南省,1.86,20200102
重庆市,重庆市,1.45,20200102
五指山市,海南省,1.28,20200102
长春市,吉林省,1.2,20200102
郑州市,河南省,1.19,20200102
西安市,陕西省,1.14,20200102
武汉市,湖北省,1.13,20200102
广州市,广东省,1.11,20200102
深圳市,广东省,1.11,20200102
临高县,海南省,1.08,20200102
文昌市,海南省,1.02,20200102
沈阳市,辽宁省,0.93,20200102
澄迈县,海南省,0.9,20200102
杭州市,浙江省,0.84,20200102
长沙市,湖南省,0.83,20200102
石家庄市,河北省,0.82,20200102
昌江黎族自治县,海南省,0.76,20200102
贵阳市,贵州省,0.75,20200102
济南市,山东省,0.73,20200102
乌鲁木齐市,新疆维吾尔自治区,0.71,20200102
苏州市,江苏省,0.6,20200102
廊坊市,河北省,0.6,20200102
湛江市,广东省,0.57,20200102
南京市,江苏省,0.51,20200102
白沙黎族自治县,海南省,0.5,20200102
太原市,山西省,0.5,20200102
保定市,河北省,0.5,20200102
南昌市,江西省,0.44,20200102
定安县,海南省,0.42,20200102
西宁市,青海省,0.42,20200102
唐山市,河北省,0.41,20200102
大连市,辽宁省,0.41,20200102
昆明市,云南省,0.37,20200102
琼中黎族苗族自治县,海南省,0.37,20200102
无锡市,江苏省,0.37,20200102
屯昌县,海南省,0.36,20200102
南宁市,广西壮族自治区,0.35,20200102
兰州市,甘肃省,0.32,20200102
海口市,海南省,13.17,20200103
乐东黎族自治县,海南省,7.78,20200103
陵水黎族自治县,海南省,7.11,20200103
北京市,北京市,5.09,20200103
儋州市,海南省,3.05,20200103
万宁市,海南省,2.94,20200103
上海市,上海市,2.84,20200103
东方市,海南省,2.53,20200103
保亭黎族苗族自治县,海南省,2.46,20200103
成都市,四川省,2.45,20200103
天津市,天津市,2.36,20200103
琼海市,海南省,2.3,20200103
哈尔滨市,黑龙江省,1.82,20200103
五指山市,海南省,1.69,20200103
重庆市,重庆市,1.39,20200103
广州市,广东省,1.35,20200103
临高县,海南省,1.22,20200103
文昌市,海南省,1.21,20200103
西安市,陕西省,1.16,20200103
长沙市,湖南省,1.03,20200103
郑州市,河南省,1.0,20200103
杭州市,浙江省,0.99,20200103
深圳市,广东省,0.98,20200103
沈阳市,辽宁省,0.96,20200103
澄迈县,海南省,0.93,20200103
长春市,吉林省,0.86,20200103
济南市,山东省,0.82,20200103
贵阳市,贵州省,0.81,20200103
武汉市,湖北省,0.69,20200103
湛江市,广东省,0.65,20200103
昌江黎族自治县,海南省,0.65,20200103
乌鲁木齐市,新疆维吾尔自治区,0.6,20200103
太原市,山西省,0.55,20200103
石家庄市,河北省,0.52,20200103
琼中黎族苗族自治县,海南省,0.5,20200103
白沙黎族自治县,海南省,0.48,20200103
南昌市,江西省,0.46,20200103
南京市,江苏省,0.43,20200103
银川市,宁夏回族自治区,0.42,20200103
定安县,海南省,0.41,20200103
苏州市,江苏省,0.4,20200103
昆明市,云南省,0.4,20200103
兰州市,甘肃省,0.39,20200103
大连市,辽宁省,0.39,20200103
廊坊市,河北省,0.38,20200103
合肥市,安徽省,0.37,20200103
青岛市,山东省,0.35,20200103
西宁市,青海省,0.34,20200103
屯昌县,海南省,0.34,20200103
