city_name,province_name,value,date
福州市,福建省,21.95,20200101
泉州市,福建省,15.63,20200101
厦门市,福建省,13.33,20200101
南平市,福建省,10.43,20200101
龙岩市,福建省,7.85,20200101
漳州市,福建省,3.39,20200101
莆田市,福建省,2.81,20200101
赣州市,江西省,2.75,20200101
宁德市,福建省,2.45,20200101
抚州市,江西省,1.58,20200101
上海市,上海市,1.49,20200101
深圳市,广东省,0.83,20200101
南昌市,江西省,0.82,20200101
广州市,广东省,0.72,20200101
杭州市,浙江省,0.72,20200101
温州市,浙江省,0.68,20200101
东莞市,广东省,0.55,20200101
北京市,北京市,0.47,20200101
宁波市,浙江省,0.42,20200101
长沙市,湖南省,0.39,20200101
宜春市,江西省,0.38,20200101
金华市,浙江省,0.37,20200101
武汉市,湖北省,0.35,20200101
重庆市,重庆市,0.3,20200101
佛山市,广东省,0.28,20200101
梅州市,广东省,0.25,20200101
台州市,浙江省,0.25,20200101
苏州市,江苏省,0.24,20200101
揭阳市,广东省,0.23,20200101
上饶市,江西省,0.2,20200101
成都市,四川省,0.2,20200101
汕头市,广东省,0.19,20200101
九江市,江西省,0.18,20200101
丽水市,浙江省,0.17,20200101
南京市,江苏省,0.17,20200101
郑州市,河南省,0.16,20200101
吉安市,江西省,0.16,20200101
惠州市,广东省,0.16,20200101
绍兴市,浙江省,0.16,20200101
天津市,天津市,0.15,20200101
青岛市,山东省,0.15,20200101
无锡市,江苏省,0.15,20200101
衢州市,浙江省,0.15,20200101
昆明市,云南省,0.14,20200101
贵阳市,贵州省,0.13,20200101
合肥市,安徽省,0.12,20200101
潮州市,广东省,0.12,20200101
湖州市,浙江省,0.11,20200101
西安市,陕西省,0.1,20200101
襄阳市,湖北省,0.1,20200101
福州市,福建省,23.05,20200102
厦门市,福建省,13.74,20200102
泉州市,福建省,13.59,20200102
南平市,福建省,8.47,20200102
龙岩市,福建省,5.9,20200102
漳州市,福建省,3.41,20200102
莆田市,福建省,2.19,20200102
宁德市,福建省,1.88,20200102
赣州市,江西省,1.76,20200102
上海市,上海市,1.62,20200102
广州市,广东省,1.11,20200102
深圳市,广东省,1.1,20200102
抚州市,江西省,0.95,20200102
南昌市,江西省,0.88,20200102
北京市,北京市,0.88,20200102
杭州市,浙江省,0.86,20200102
温州市,浙江省,0.79,20200102
东莞市,广东省,0.78,20200102
金华市,浙江省,0.76,20200102
武汉市,湖北省,0.66,20200102
宁波市,浙江省,0.54,20200102
郑州市,河南省,0.53,20200102
佛山市,广东省,0.52,20200102
长沙市,湖南省,0.47,20200102
苏州市,江苏省,0.46,20200102
绍兴市,浙江省,0.38,20200102
宜春市,江西省,0.36,20200102
上饶市,江西省,0.33,20200102
惠州市,广东省,0.28,20200102
无锡市,江苏省,0.28,20200102
台州市,浙江省,0.26,20200102
重庆市,重庆市,0.24,20200102
成都市,四川省,0.24,20200102
南京市,江苏省,0.23,20200102
汕头市,广东省,0.22,20200102
合肥市,安徽省,0.21,20200102
潮州市,广东省,0.21,20200102
天津市,天津市,0.2,20200102
湖州市,浙江省,0.19,20200102
南阳市,河南省,0.19,20200102
丽水市,浙江省,0.19,20200102
九江市,江西省,0.19,20200102
中山市,广东省,0.19,20200102
济南市,山东省,0.17,20200102
嘉兴市,浙江省,0.17,20200102
鹰潭市,江西省,0.17,20200102
沈阳市,辽宁省,0.15,20200102
舟山市,浙江省,0.15,20200102
梅州市,广东省,0.13,20200102
江门市,广东省,0.13,20200102
福州市,福建省,26.14,20200103
泉州市,福建省,13.68,20200103
厦门市,福建省,12.99,20200103
南平市,福建省,10.12,20200103
龙岩市,福建省,6.76,20200103
漳州市,福建省,3.36,20200103
莆田市,福建省,2.3,20200103
赣州市,江西省,2.04,20200103
宁德市,福建省,1.78,20200103
抚州市,江西省,1.16,20200103
上海市,上海市,1.15,20200103
南昌市,江西省,1.01,20200103
广州市,广东省,0.78,20200103
温州市,浙江省,0.75,20200103
深圳市,广东省,0.68,20200103
杭州市,浙江省,0.65,20200103
东莞市,广东省,0.61,20200103
宁波市,浙江省,0.51,20200103
金华市,浙江省,0.5,20200103
长沙市,湖南省,0.49,20200103
武汉市,湖北省,0.47,20200103
北京市,北京市,0.45,20200103
上饶市,江西省,0.42,20200103
重庆市,重庆市,0.36,20200103
宜春市,江西省,0.36,20200103
郑州市,河南省,0.32,20200103
苏州市,江苏省,0.28,20200103
成都市,四川省,0.26,20200103
九江市,江西省,0.25,20200103
绍兴市,浙江省,0.25,20200103
佛山市,广东省,0.23,20200103
台州市,浙江省,0.2,20200103
惠州市,广东省,0.2,20200103
无锡市,江苏省,0.18,20200103
嘉兴市,浙江省,0.18,20200103
济南市,山东省,0.18,20200103
丽水市,浙江省,0.17,20200103
吉安市,江西省,0.15,20200103
潮州市,广东省,0.15,20200103
昆明市,云南省,0.15,20200103
南通市,江苏省,0.14,20200103
新余市,江西省,0.14,20200103
中山市,广东省,0.14,20200103
西安市,陕西省,0.13,20200103
合肥市,安徽省,0.12,20200103
南京市,江苏省,0.12,20200103
沈阳市,辽宁省,0.1,20200103
贵阳市,贵州省,0.1,20200103
安庆市,安徽省,0.1,20200103
青岛市,山东省,0.1,20200103
福州市,福建省,23.03,20200104
泉州市,福建省,14.25,20200104
厦门市,福建省,11.98,20200104
南平市,福建省,10.51,20200104
龙岩市,福建省,7.2,20200104
漳州市,福建省,3.06,20200104
莆田市,福建省,2.33,20200104
赣州市,江西省,2.15,20200104
宁德市,福建省,1.97,20200104
上海市,上海市,1.45,20200104
抚州市,江西省,1.25,20200104
南昌市,江西省,1.1,20200104
广州市,广东省,0.82,20200104
温州市,浙江省,0.64,20200104
北京市,北京市,0.63,20200104
深圳市,广东省,0.62,20200104
东莞市,广东省,0.6,20200104
金华市,浙江省,0.57,20200104
宁波市,浙江省,0.53,20200104
杭州市,浙江省,0.53,20200104
武汉市,湖北省,0.44,20200104
长沙市,湖南省,0.38,20200104
郑州市,河南省,0.36,20200104
苏州市,江苏省,0.35,20200104
宜春市,江西省,0.35,20200104
上饶市,江西省,0.34,20200104
九江市,江西省,0.31,20200104
佛山市,广东省,0.3,20200104
南京市,江苏省,0.29,20200104
重庆市,重庆市,0.28,20200104
惠州市,广东省,0.28,20200104
嘉兴市,浙江省,0.25,20200104
无锡市,江苏省,0.24,20200104
吉安市,江西省,0.23,20200104
台州市,浙江省,0.22,20200104
成都市,四川省,0.22,20200104
天津市,天津市,0.22,20200104
丽水市,浙江省,0.21,20200104
昆明市,云南省,0.21,20200104
梅州市,广东省,0.2,20200104
西安市,陕西省,0.19,20200104
新余市,江西省,0.19,20200104
常州市,江苏省,0.19,20200104
合肥市,安徽省,0.18,20200104
汕头市,广东省,0.16,20200104
中山市,广东省,0.16,20200104
衢州市,浙江省,0.16,20200104
南阳市,河南省,0.14,20200104
济南市,山东省,0.13,20200104
衡阳市,湖南省,0.13,20200104
福州市,福建省,22.95,20200105
泉州市,福建省,14.04,20200105
厦门市,福建省,13.17,20200105
南平市,福建省,9.59,20200105
龙岩市,福建省,7.27,20200105
漳州市,福建省,2.63,20200105
莆田市,福建省,2.58,20200105
赣州市,江西省,2.05,20200105
宁德市,福建省,1.76,20200105
上海市,上海市,1.69,20200105
抚州市,江西省,1.27,20200105
南昌市,江西省,1.08,20200105
广州市,广东省,0.82,20200105
深圳市,广东省,0.81,20200105
杭州市,浙江省,0.76,20200105
温州市,浙江省,0.72,20200105
北京市,北京市,0.62,20200105
东莞市,广东省,0.58,20200105
