city_name,province_name,value,date
洛阳市,河南省,24.14,20200101
郑州市,河南省,15.11,20200101
运城市,山西省,12.63,20200101
西安市,陕西省,5.61,20200101
渭南市,陕西省,3.91,20200101
南阳市,河南省,2.43,20200101
平顶山市,河南省,1.86,20200101
焦作市,河南省,1.62,20200101
北京市,北京市,1.56,20200101
苏州市,江苏省,1.46,20200101
新乡市,河南省,1.44,20200101
商洛市,陕西省,1.09,20200101
临汾市,山西省,1.08,20200101
开封市,河南省,1.07,20200101
许昌市,河南省,1.06,20200101
商丘市,河南省,1.01,20200101
上海市,上海市,0.89,20200101
安阳市,河南省,0.82,20200101
济源市,河南省,0.72,20200101
咸阳市,陕西省,0.68,20200101
周口市,河南省,0.66,20200101
杭州市,浙江省,0.48,20200101
成都市,四川省,0.47,20200101
重庆市,重庆市,0.42,20200101
武汉市,湖北省,0.42,20200101
宝鸡市,陕西省,0.41,20200101
榆林市,陕西省,0.4,20200101
驻马店市,河南省,0.4,20200101
信阳市,河南省,0.38,20200101
天津市,天津市,0.38,20200101
南京市,江苏省,0.35,20200101
漯河市,河南省,0.34,20200101
延安市,陕西省,0.32,20200101
宁波市,浙江省,0.31,20200101
深圳市,广东省,0.28,20200101
青岛市,山东省,0.28,20200101
临沂市,山东省,0.28,20200101
菏泽市,山东省,0.28,20200101
濮阳市,河南省,0.27,20200101
无锡市,江苏省,0.26,20200101
东营市,山东省,0.25,20200101
安康市,陕西省,0.24,20200101
十堰市,湖北省,0.24,20200101
晋城市,山西省,0.24,20200101
保定市,河北省,0.23,20200101
徐州市,江苏省,0.22,20200101
广州市,广东省,0.22,20200101
石家庄市,河北省,0.21,20200101
济南市,山东省,0.2,20200101
兰州市,甘肃省,0.18,20200101
郑州市,河南省,19.39,20200102
洛阳市,河南省,18.92,20200102
运城市,山西省,5.83,20200102
西安市,陕西省,4.76,20200102
苏州市,江苏省,3.28,20200102
平顶山市,河南省,2.31,20200102
南阳市,河南省,2.24,20200102
渭南市,陕西省,2.12,20200102
北京市,北京市,1.98,20200102
焦作市,河南省,1.86,20200102
新乡市,河南省,1.6,20200102
上海市,上海市,1.43,20200102
开封市,河南省,1.42,20200102
安阳市,河南省,1.26,20200102
许昌市,河南省,1.21,20200102
临汾市,山西省,1.17,20200102
杭州市,浙江省,1.03,20200102
商丘市,河南省,0.98,20200102
商洛市,陕西省,0.76,20200102
周口市,河南省,0.74,20200102
咸阳市,陕西省,0.55,20200102
武汉市,湖北省,0.51,20200102
宁波市,浙江省,0.5,20200102
深圳市,广东省,0.47,20200102
信阳市,河南省,0.47,20200102
成都市,四川省,0.46,20200102
驻马店市,河南省,0.45,20200102
濮阳市,河南省,0.43,20200102
南京市,江苏省,0.42,20200102
无锡市,江苏省,0.41,20200102
徐州市,江苏省,0.41,20200102
重庆市,重庆市,0.4,20200102
济源市,河南省,0.4,20200102
宝鸡市,陕西省,0.39,20200102
石家庄市,河北省,0.37,20200102
菏泽市,山东省,0.36,20200102
天津市,天津市,0.35,20200102
广州市,广东省,0.33,20200102
东营市,山东省,0.33,20200102
漯河市,河南省,0.31,20200102
榆林市,陕西省,0.3,20200102
东莞市,广东省,0.3,20200102
临沂市,山东省,0.3,20200102
邯郸市,河北省,0.3,20200102
扬州市,江苏省,0.29,20200102
襄阳市,湖北省,0.29,20200102
保定市,河北省,0.29,20200102
南通市,江苏省,0.29,20200102
常州市,江苏省,0.29,20200102
聊城市,山东省,0.29,20200102
洛阳市,河南省,21.52,20200103
郑州市,河南省,19.27,20200103
运城市,山西省,7.84,20200103
西安市,陕西省,5.4,20200103
渭南市,陕西省,3.08,20200103
苏州市,江苏省,2.11,20200103
平顶山市,河南省,2.06,20200103
南阳市,河南省,2.02,20200103
新乡市,河南省,1.76,20200103
焦作市,河南省,1.61,20200103
北京市,北京市,1.38,20200103
临汾市,山西省,1.26,20200103
开封市,河南省,1.22,20200103
许昌市,河南省,1.2,20200103
安阳市,河南省,1.05,20200103
上海市,上海市,0.97,20200103
商洛市,陕西省,0.85,20200103
商丘市,河南省,0.77,20200103
咸阳市,陕西省,0.67,20200103
济源市,河南省,0.63,20200103
周口市,河南省,0.59,20200103
无锡市,江苏省,0.54,20200103
驻马店市,河南省,0.51,20200103
杭州市,浙江省,0.51,20200103
成都市,四川省,0.47,20200103
宁波市,浙江省,0.46,20200103
天津市,天津市,0.43,20200103
漯河市,河南省,0.4,20200103
聊城市,山东省,0.37,20200103
信阳市,河南省,0.37,20200103
重庆市,重庆市,0.37,20200103
青岛市,山东省,0.32,20200103
十堰市,湖北省,0.32,20200103
武汉市,湖北省,0.32,20200103
济南市,山东省,0.3,20200103
宝鸡市,陕西省,0.29,20200103
兰州市,甘肃省,0.29,20200103
邯郸市,河北省,0.29,20200103
南京市,江苏省,0.29,20200103
太原市,山西省,0.27,20200103
石家庄市,河北省,0.27,20200103
