city_name,province_name,value,date
苏州市,江苏省,24.27,20200101
嘉兴市,浙江省,6.03,20200101
南通市,江苏省,5.17,20200101
杭州市,浙江省,4.81,20200101
无锡市,江苏省,3.55,20200101
南京市,江苏省,2.39,20200101
宁波市,浙江省,2.36,20200101
北京市,北京市,2.2,20200101
盐城市,江苏省,2.06,20200101
常州市,江苏省,1.82,20200101
合肥市,安徽省,1.58,20200101
泰州市,江苏省,1.44,20200101
湖州市,浙江省,1.26,20200101
绍兴市,浙江省,1.25,20200101
舟山市,浙江省,1.16,20200101
扬州市,江苏省,1.04,20200101
金华市,浙江省,0.98,20200101
温州市,浙江省,0.94,20200101
广州市,广东省,0.93,20200101
徐州市,江苏省,0.86,20200101
深圳市,广东省,0.8,20200101
武汉市,湖北省,0.78,20200101
镇江市,江苏省,0.77,20200101
阜阳市,安徽省,0.76,20200101
宣城市,安徽省,0.74,20200101
芜湖市,安徽省,0.74,20200101
台州市,浙江省,0.73,20200101
成都市,四川省,0.71,20200101
重庆市,重庆市,0.7,20200101
郑州市,河南省,0.67,20200101
宿迁市,江苏省,0.64,20200101
淮安市,江苏省,0.64,20200101
六安市,安徽省,0.64,20200101
滁州市,安徽省,0.58,20200101
西安市,陕西省,0.57,20200101
天津市,天津市,0.55,20200101
蚌埠市,安徽省,0.54,20200101
淮南市,安徽省,0.54,20200101
厦门市,福建省,0.51,20200101
上饶市,江西省,0.49,20200101
临沂市,山东省,0.47,20200101
南昌市,江西省,0.47,20200101
青岛市,山东省,0.47,20200101
长沙市,湖南省,0.46,20200101
连云港市,江苏省,0.44,20200101
宿州市,安徽省,0.41,20200101
亳州市,安徽省,0.41,20200101
信阳市,河南省,0.4,20200101
安庆市,安徽省,0.36,20200101
福州市,福建省,0.35,20200101
苏州市,江苏省,15.29,20200102
南通市,江苏省,5.18,20200102
杭州市,浙江省,4.52,20200102
嘉兴市,浙江省,3.89,20200102
无锡市,江苏省,3.5,20200102
北京市,北京市,2.96,20200102
南京市,江苏省,2.69,20200102
宁波市,浙江省,2.56,20200102
盐城市,江苏省,2.24,20200102
合肥市,安徽省,2.04,20200102
常州市,江苏省,1.88,20200102
泰州市,江苏省,1.66,20200102
绍兴市,浙江省,1.49,20200102
湖州市,浙江省,1.2,20200102
扬州市,江苏省,1.17,20200102
温州市,浙江省,1.13,20200102
深圳市,广东省,1.13,20200102
广州市,广东省,1.05,20200102
金华市,浙江省,1.03,20200102
武汉市,湖北省,1.02,20200102
郑州市,河南省,0.98,20200102
成都市,四川省,0.96,20200102
台州市,浙江省,0.93,20200102
芜湖市,安徽省,0.92,20200102
徐州市,江苏省,0.9,20200102
舟山市,浙江省,0.89,20200102
镇江市,江苏省,0.86,20200102
重庆市,重庆市,0.84,20200102
淮安市,江苏省,0.83,20200102
六安市,安徽省,0.82,20200102
青岛市,山东省,0.82,20200102
阜阳市,安徽省,0.78,20200102
西安市,陕西省,0.77,20200102
天津市,天津市,0.76,20200102
宣城市,安徽省,0.75,20200102
滁州市,安徽省,0.72,20200102
临沂市,山东省,0.7,20200102
南昌市,江西省,0.7,20200102
宿迁市,江苏省,0.67,20200102
蚌埠市,安徽省,0.59,20200102
淮南市,安徽省,0.59,20200102
长沙市,湖南省,0.53,20200102
连云港市,江苏省,0.52,20200102
济南市,山东省,0.52,20200102
上饶市,江西省,0.51,20200102
福州市,福建省,0.51,20200102
厦门市,福建省,0.47,20200102
沈阳市,辽宁省,0.45,20200102
宿州市,安徽省,0.45,20200102
大连市,辽宁省,0.44,20200102
苏州市,江苏省,19.97,20200103
杭州市,浙江省,5.72,20200103
嘉兴市,浙江省,5.06,20200103
南通市,江苏省,5.04,20200103
无锡市,江苏省,3.47,20200103
南京市,江苏省,3.17,20200103
北京市,北京市,2.85,20200103
宁波市,浙江省,2.84,20200103
盐城市,江苏省,1.88,20200103
合肥市,安徽省,1.82,20200103
常州市,江苏省,1.81,20200103
泰州市,江苏省,1.4,20200103
绍兴市,浙江省,1.37,20200103
湖州市,浙江省,1.17,20200103
舟山市,浙江省,1.11,20200103
温州市,浙江省,1.07,20200103
金华市,浙江省,1.06,20200103
扬州市,江苏省,1.02,20200103
深圳市,广东省,0.98,20200103
武汉市,湖北省,0.93,20200103
郑州市,河南省,0.91,20200103
青岛市,山东省,0.9,20200103
台州市,浙江省,0.9,20200103
广州市,广东省,0.9,20200103
镇江市,江苏省,0.84,20200103
芜湖市,安徽省,0.84,20200103
成都市,四川省,0.76,20200103
徐州市,江苏省,0.76,20200103
天津市,天津市,0.71,20200103
重庆市,重庆市,0.7,20200103
南昌市,江西省,0.64,20200103
淮安市,江苏省,0.64,20200103
宣城市,安徽省,0.64,20200103
西安市,陕西省,0.63,20200103
六安市,安徽省,0.57,20200103
阜阳市,安徽省,0.57,20200103
济南市,山东省,0.57,20200103
滁州市,安徽省,0.53,20200103
宿迁市,江苏省,0.52,20200103
长沙市,湖南省,0.51,20200103
大连市,辽宁省,0.5,20200103
沈阳市,辽宁省,0.47,20200103
临沂市,山东省,0.47,20200103
福州市,福建省,0.47,20200103
蚌埠市,安徽省,0.46,20200103
淮南市,安徽省,0.45,20200103
烟台市,山东省,0.41,20200103
厦门市,福建省,0.4,20200103
连云港市,江苏省,0.39,20200103
上饶市,江西省,0.39,20200103
苏州市,江苏省,20.84,20200104
嘉兴市,浙江省,5.4,20200104
杭州市,浙江省,5.4,20200104
南通市,江苏省,5.15,20200104
无锡市,江苏省,3.44,20200104
南京市,江苏省,2.81,20200104
北京市,北京市,2.68,20200104
宁波市,浙江省,2.52,20200104
常州市,江苏省,1.83,20200104
盐城市,江苏省,1.79,20200104
合肥市,安徽省,1.72,20200104
湖州市,浙江省,1.41,20200104
泰州市,江苏省,1.37,20200104
绍兴市,浙江省,1.28,20200104
深圳市,广东省,1.07,20200104
舟山市,浙江省,1.05,20200104
金华市,浙江省,1.03,20200104
广州市,广东省,1.02,20200104
扬州市,江苏省,0.97,20200104
温州市,浙江省,0.97,20200104
武汉市,湖北省,0.9,20200104
台州市,浙江省,0.87,20200104
郑州市,河南省,0.82,20200104
天津市,天津市,0.8,20200104
芜湖市,安徽省,0.79,20200104
镇江市,江苏省,0.78,20200104
成都市,四川省,0.78,20200104
徐州市,江苏省,0.77,20200104
重庆市,重庆市,0.75,20200104
西安市,陕西省,0.69,20200104
淮安市,江苏省,0.67,20200104
青岛市,山东省,0.63,20200104
宣城市,安徽省,0.63,20200104
南昌市,江西省,0.58,20200104
宿迁市,江苏省,0.55,20200104
长沙市,湖南省,0.55,20200104
阜阳市,安徽省,0.55,20200104
济南市,山东省,0.52,20200104
六安市,安徽省,0.51,20200104
福州市,福建省,0.5,20200104
滁州市,安徽省,0.5,20200104
临沂市,山东省,0.49,20200104
厦门市,福建省,0.48,20200104
蚌埠市,安徽省,0.44,20200104
连云港市,江苏省,0.44,20200104
淮南市,安徽省,0.42,20200104
沈阳市,辽宁省,0.39,20200104
上饶市,江西省,0.38,20200104
哈尔滨市,黑龙江省,0.37,20200104
大连市,辽宁省,0.36,20200104
苏州市,江苏省,20.99,20200105
