city_name,province_name,value,date
深圳市,广东省,42.29,20200101
广州市,广东省,16.59,20200101
惠州市,广东省,12.76,20200101
佛山市,广东省,3.36,20200101
中山市,广东省,1.99,20200101
茂名市,广东省,1.42,20200101
河源市,广东省,1.23,20200101
清远市,广东省,0.95,20200101
江门市,广东省,0.89,20200101
珠海市,广东省,0.86,20200101
湛江市,广东省,0.73,20200101
玉林市,广西壮族自治区,0.67,20200101
梅州市,广东省,0.62,20200101
肇庆市,广东省,0.61,20200101
赣州市,江西省,0.57,20200101
韶关市,广东省,0.56,20200101
揭阳市,广东省,0.54,20200101
阳江市,广东省,0.52,20200101
永州市,湖南省,0.49,20200101
郴州市,湖南省,0.49,20200101
香港,香港,0.45,20200101
云浮市,广东省,0.45,20200101
汕尾市,广东省,0.41,20200101
衡阳市,湖南省,0.38,20200101
贵港市,广西壮族自治区,0.36,20200101
南宁市,广西壮族自治区,0.36,20200101
长沙市,湖南省,0.33,20200101
钦州市,广西壮族自治区,0.31,20200101
邵阳市,湖南省,0.3,20200101
汕头市,广东省,0.28,20200101
梧州市,广西壮族自治区,0.25,20200101
吉安市,江西省,0.23,20200101
重庆市,重庆市,0.23,20200101
桂林市,广西壮族自治区,0.22,20200101
贺州市,广西壮族自治区,0.17,20200101
武汉市,湖北省,0.17,20200101
上海市,上海市,0.16,20200101
泉州市,福建省,0.15,20200101
贵阳市,贵州省,0.14,20200101
北京市,北京市,0.13,20200101
厦门市,福建省,0.13,20200101
成都市,四川省,0.12,20200101
株洲市,湖南省,0.12,20200101
南昌市,江西省,0.11,20200101
岳阳市,湖南省,0.11,20200101
常德市,湖南省,0.11,20200101
澳门,澳门,0.1,20200101
河池市,广西壮族自治区,0.1,20200101
百色市,广西壮族自治区,0.1,20200101
黄冈市,湖北省,0.1,20200101
深圳市,广东省,31.29,20200102
广州市,广东省,15.09,20200102
惠州市,广东省,10.09,20200102
佛山市,广东省,3.87,20200102
中山市,广东省,2.17,20200102
茂名市,广东省,2.08,20200102
河源市,广东省,1.77,20200102
清远市,广东省,1.21,20200102
江门市,广东省,1.16,20200102
湛江市,广东省,1.1,20200102
玉林市,广西壮族自治区,0.97,20200102
珠海市,广东省,0.97,20200102
韶关市,广东省,0.94,20200102
肇庆市,广东省,0.94,20200102
赣州市,江西省,0.88,20200102
揭阳市,广东省,0.87,20200102
香港,香港,0.83,20200102
郴州市,湖南省,0.83,20200102
梅州市,广东省,0.81,20200102
永州市,湖南省,0.69,20200102
汕尾市,广东省,0.65,20200102
南宁市,广西壮族自治区,0.64,20200102
云浮市,广东省,0.61,20200102
长沙市,湖南省,0.6,20200102
阳江市,广东省,0.6,20200102
贵港市,广西壮族自治区,0.57,20200102
衡阳市,湖南省,0.53,20200102
汕头市,广东省,0.52,20200102
钦州市,广西壮族自治区,0.47,20200102
重庆市,重庆市,0.45,20200102
上海市,上海市,0.44,20200102
南昌市,江西省,0.44,20200102
邵阳市,湖南省,0.43,20200102
吉安市,江西省,0.4,20200102
武汉市,湖北省,0.36,20200102
桂林市,广西壮族自治区,0.34,20200102
贵阳市,贵州省,0.34,20200102
梧州市,广西壮族自治区,0.3,20200102
南阳市,河南省,0.3,20200102
北京市,北京市,0.29,20200102
苏州市,江苏省,0.28,20200102
泉州市,福建省,0.26,20200102
岳阳市,湖南省,0.26,20200102
达州市,四川省,0.25,20200102
成都市,四川省,0.24,20200102
贺州市,广西壮族自治区,0.24,20200102
杭州市,浙江省,0.2,20200102
厦门市,福建省,0.2,20200102
常德市,湖南省,0.19,20200102
宜春市,江西省,0.18,20200102
深圳市,广东省,39.66,20200103
广州市,广东省,17.71,20200103
惠州市,广东省,9.39,20200103
佛山市,广东省,3.74,20200103
中山市,广东省,1.74,20200103
茂名市,广东省,1.24,20200103
河源市,广东省,1.21,20200103
清远市,广东省,1.06,20200103
江门市,广东省,0.91,20200103
珠海市,广东省,0.88,20200103
湛江市,广东省,0.82,20200103
香港,香港,0.76,20200103
韶关市,广东省,0.75,20200103
揭阳市,广东省,0.72,20200103
肇庆市,广东省,0.69,20200103
玉林市,广西壮族自治区,0.65,20200103
梅州市,广东省,0.63,20200103
赣州市,江西省,0.63,20200103
郴州市,湖南省,0.56,20200103
汕尾市,广东省,0.56,20200103
永州市,湖南省,0.48,20200103
长沙市,湖南省,0.46,20200103
阳江市,广东省,0.42,20200103
南宁市,广西壮族自治区,0.4,20200103
贵港市,广西壮族自治区,0.4,20200103
汕头市,广东省,0.39,20200103
云浮市,广东省,0.39,20200103
桂林市,广西壮族自治区,0.36,20200103
衡阳市,湖南省,0.33,20200103
钦州市,广西壮族自治区,0.33,20200103
贵阳市,贵州省,0.31,20200103
邵阳市,湖南省,0.31,20200103
上海市,上海市,0.28,20200103
重庆市,重庆市,0.27,20200103
泉州市,福建省,0.26,20200103
吉安市,江西省,0.25,20200103
梧州市,广西壮族自治区,0.25,20200103
武汉市,湖北省,0.24,20200103
南昌市,江西省,0.22,20200103
北京市,北京市,0.22,20200103
南阳市,河南省,0.21,20200103
厦门市,福建省,0.2,20200103
苏州市,江苏省,0.18,20200103
成都市,四川省,0.18,20200103
潮州市,广东省,0.16,20200103
岳阳市,湖南省,0.15,20200103
贺州市,广西壮族自治区,0.15,20200103
昆明市,云南省,0.13,20200103
遵义市,贵州省,0.13,20200103
柳州市,广西壮族自治区,0.13,20200103
深圳市,广东省,41.87,20200104
广州市,广东省,17.79,20200104
惠州市,广东省,10.37,20200104
佛山市,广东省,3.79,20200104
中山市,广东省,1.89,20200104
河源市,广东省,1.03,20200104
江门市,广东省,0.91,20200104
茂名市,广东省,0.83,20200104
清远市,广东省,0.82,20200104
珠海市,广东省,0.8,20200104
香港,香港,0.71,20200104
肇庆市,广东省,0.68,20200104
湛江市,广东省,0.57,20200104
韶关市,广东省,0.57,20200104
赣州市,江西省,0.55,20200104
揭阳市,广东省,0.54,20200104
梅州市,广东省,0.51,20200104
郴州市,湖南省,0.45,20200104
长沙市,湖南省,0.45,20200104
汕尾市,广东省,0.44,20200104
永州市,湖南省,0.41,20200104
玉林市,广西壮族自治区,0.39,20200104
阳江市,广东省,0.35,20200104
衡阳市,湖南省,0.35,20200104
