city_name,province_name,value,date
滨州市,山东省,26.89,20200101
潍坊市,山东省,18.69,20200101
淄博市,山东省,9.85,20200101
济南市,山东省,7.08,20200101
青岛市,山东省,4.11,20200101
德州市,山东省,2.92,20200101
烟台市,山东省,2.56,20200101
临沂市,山东省,2.37,20200101
北京市,北京市,2.08,20200101
沧州市,河北省,1.83,20200101
天津市,天津市,1.56,20200101
菏泽市,山东省,1.17,20200101
聊城市,山东省,1.11,20200101
泰安市,山东省,1.1,20200101
济宁市,山东省,1.04,20200101
衡水市,河北省,0.93,20200101
威海市,山东省,0.77,20200101
日照市,山东省,0.72,20200101
上海市,上海市,0.47,20200101
保定市,河北省,0.41,20200101
唐山市,河北省,0.4,20200101
濮阳市,河南省,0.4,20200101
大连市,辽宁省,0.39,20200101
石家庄市,河北省,0.38,20200101
枣庄市,山东省,0.38,20200101
廊坊市,河北省,0.28,20200101
郑州市,河南省,0.26,20200101
盐城市,江苏省,0.25,20200101
邢台市,河北省,0.24,20200101
邯郸市,河北省,0.23,20200101
徐州市,江苏省,0.23,20200101
西安市,陕西省,0.21,20200101
南京市,江苏省,0.21,20200101
连云港市,江苏省,0.2,20200101
吉安市,江西省,0.19,20200101
鄂尔多斯市,内蒙古自治区,0.19,20200101
成都市,四川省,0.18,20200101
新乡市,河南省,0.18,20200101
广州市,广东省,0.16,20200101
武汉市,湖北省,0.15,20200101
榆林市,陕西省,0.14,20200101
秦皇岛市,河北省,0.14,20200101
泰州市,江苏省,0.13,20200101
葫芦岛市,辽宁省,0.13,20200101
焦作市,河南省,0.13,20200101
商丘市,河南省,0.12,20200101
忻州市,山西省,0.12,20200101
沈阳市,辽宁省,0.12,20200101
扬州市,江苏省,0.12,20200101
阜阳市,安徽省,0.11,20200101
滨州市,山东省,18.98,20200102
潍坊市,山东省,11.77,20200102
济南市,山东省,9.38,20200102
淄博市,山东省,8.0,20200102
青岛市,山东省,5.88,20200102
德州市,山东省,3.6,20200102
烟台市,山东省,3.23,20200102
北京市,北京市,2.8,20200102
临沂市,山东省,2.72,20200102
沧州市,河北省,1.83,20200102
泰安市,山东省,1.73,20200102
济宁市,山东省,1.69,20200102
天津市,天津市,1.63,20200102
菏泽市,山东省,1.61,20200102
聊城市,山东省,1.51,20200102
威海市,山东省,1.2,20200102
保定市,河北省,0.95,20200102
上海市,上海市,0.82,20200102
日照市,山东省,0.78,20200102
衡水市,河北省,0.76,20200102
濮阳市,河南省,0.71,20200102
石家庄市,河北省,0.62,20200102
唐山市,河北省,0.61,20200102
枣庄市,山东省,0.51,20200102
廊坊市,河北省,0.39,20200102
邢台市,河北省,0.37,20200102
邯郸市,河北省,0.36,20200102
吕梁市,山西省,0.35,20200102
葫芦岛市,辽宁省,0.34,20200102
南京市,江苏省,0.33,20200102
武汉市,湖北省,0.32,20200102
新乡市,河南省,0.32,20200102
大连市,辽宁省,0.28,20200102
徐州市,江苏省,0.28,20200102
西安市,陕西省,0.27,20200102
临汾市,山西省,0.27,20200102
哈尔滨市,黑龙江省,0.26,20200102
杭州市,浙江省,0.26,20200102
盐城市,江苏省,0.26,20200102
连云港市,江苏省,0.26,20200102
重庆市,重庆市,0.25,20200102
洛阳市,河南省,0.23,20200102
长治市,山西省,0.22,20200102
沈阳市,辽宁省,0.21,20200102
商丘市,河南省,0.2,20200102
焦作市,河南省,0.2,20200102
成都市,四川省,0.19,20200102
长春市,吉林省,0.19,20200102
泰州市,江苏省,0.19,20200102
秦皇岛市,河北省,0.19,20200102
滨州市,山东省,22.61,20200103
潍坊市,山东省,14.04,20200103
济南市,山东省,9.65,20200103
淄博市,山东省,8.34,20200103
青岛市,山东省,5.75,20200103
烟台市,山东省,4.11,20200103
德州市,山东省,3.32,20200103
北京市,北京市,3.31,20200103
临沂市,山东省,2.76,20200103
沧州市,河北省,2.27,20200103
天津市,天津市,1.56,20200103
聊城市,山东省,1.34,20200103
菏泽市,山东省,1.29,20200103
济宁市,山东省,1.15,20200103
泰安市,山东省,1.14,20200103
日照市,山东省,0.88,20200103
威海市,山东省,0.7,20200103
衡水市,河北省,0.68,20200103
石家庄市,河北省,0.67,20200103
保定市,河北省,0.62,20200103
濮阳市,河南省,0.58,20200103
上海市,上海市,0.54,20200103
连云港市,江苏省,0.37,20200103
邢台市,河北省,0.36,20200103
武汉市,湖北省,0.36,20200103
廊坊市,河北省,0.35,20200103
唐山市,河北省,0.35,20200103
邯郸市,河北省,0.34,20200103
西安市,陕西省,0.33,20200103
枣庄市,山东省,0.3,20200103
大连市,辽宁省,0.3,20200103
成都市,四川省,0.29,20200103
盐城市,江苏省,0.22,20200103
徐州市,江苏省,0.22,20200103
哈尔滨市,黑龙江省,0.21,20200103
郑州市,河南省,0.19,20200103
南京市,江苏省,0.17,20200103
洛阳市,河南省,0.17,20200103
焦作市,河南省,0.17,20200103
杭州市,浙江省,0.17,20200103
重庆市,重庆市,0.15,20200103
吉林市,吉林省,0.15,20200103
忻州市,山西省,0.15,20200103
无锡市,江苏省,0.14,20200103
