city_name,province_name,value,date
日照市,山东省,11.84,20200101
青岛市,山东省,8.04,20200101
枣庄市,山东省,7.05,20200101
连云港市,江苏省,6.55,20200101
潍坊市,山东省,6.37,20200101
徐州市,江苏省,6.27,20200101
济宁市,山东省,6.0,20200101
济南市,山东省,5.98,20200101
泰安市,山东省,3.88,20200101
淄博市,山东省,3.44,20200101
上海市,上海市,1.85,20200101
烟台市,山东省,1.75,20200101
菏泽市,山东省,1.63,20200101
宿迁市,江苏省,1.59,20200101
北京市,北京市,1.53,20200101
东营市,山东省,1.21,20200101
聊城市,山东省,1.08,20200101
滨州市,山东省,0.94,20200101
苏州市,江苏省,0.92,20200101
威海市,山东省,0.86,20200101
德州市,山东省,0.82,20200101
盐城市,江苏省,0.79,20200101
杭州市,浙江省,0.64,20200101
天津市,天津市,0.57,20200101
石家庄市,河北省,0.57,20200101
南京市,江苏省,0.56,20200101
淮安市,江苏省,0.51,20200101
宿州市,安徽省,0.5,20200101
邯郸市,河北省,0.48,20200101
沧州市,河北省,0.47,20200101
南通市,江苏省,0.47,20200101
宁波市,浙江省,0.45,20200101
无锡市,江苏省,0.41,20200101
嘉兴市,浙江省,0.4,20200101
郑州市,河南省,0.36,20200101
邢台市,河北省,0.36,20200101
商丘市,河南省,0.34,20200101
保定市,河北省,0.34,20200101
扬州市,江苏省,0.29,20200101
廊坊市,河北省,0.28,20200101
唐山市,河北省,0.27,20200101
合肥市,安徽省,0.26,20200101
泰州市,江苏省,0.25,20200101
常州市,江苏省,0.25,20200101
蚌埠市,安徽省,0.24,20200101
湖州市,浙江省,0.23,20200101
衡水市,河北省,0.22,20200101
新乡市,河南省,0.21,20200101
西安市,陕西省,0.2,20200101
金华市,浙江省,0.19,20200101
青岛市,山东省,8.99,20200102
济南市,山东省,8.61,20200102
日照市,山东省,7.26,20200102
济宁市,山东省,5.54,20200102
潍坊市,山东省,5.42,20200102
枣庄市,山东省,5.32,20200102
连云港市,江苏省,3.78,20200102
徐州市,江苏省,3.75,20200102
泰安市,山东省,3.43,20200102
淄博市,山东省,3.0,20200102
上海市,上海市,2.49,20200102
烟台市,山东省,2.44,20200102
北京市,北京市,1.97,20200102
菏泽市,山东省,1.78,20200102
威海市,山东省,1.46,20200102
德州市,山东省,1.29,20200102
东营市,山东省,1.25,20200102
聊城市,山东省,1.21,20200102
苏州市,江苏省,1.15,20200102
滨州市,山东省,1.07,20200102
石家庄市,河北省,1.05,20200102
宿迁市,江苏省,0.98,20200102
天津市,天津市,0.83,20200102
杭州市,浙江省,0.83,20200102
南通市,江苏省,0.8,20200102
邯郸市,河北省,0.76,20200102
盐城市,江苏省,0.7,20200102
商丘市,河南省,0.67,20200102
无锡市,江苏省,0.64,20200102
沧州市,河北省,0.6,20200102
南京市,江苏省,0.58,20200102
嘉兴市,浙江省,0.58,20200102
邢台市,河北省,0.56,20200102
郑州市,河南省,0.54,20200102
淮安市,江苏省,0.53,20200102
宁波市,浙江省,0.5,20200102
保定市,河北省,0.49,20200102
宿州市,安徽省,0.48,20200102
唐山市,河北省,0.39,20200102
哈尔滨市,黑龙江省,0.36,20200102
廊坊市,河北省,0.35,20200102
扬州市,江苏省,0.31,20200102
阜阳市,安徽省,0.31,20200102
沈阳市,辽宁省,0.31,20200102
常州市,江苏省,0.31,20200102
武汉市,湖北省,0.3,20200102
湖州市,浙江省,0.3,20200102
西安市,陕西省,0.29,20200102
合肥市,安徽省,0.28,20200102
安阳市,河南省,0.27,20200102
日照市,山东省,9.92,20200103
济南市,山东省,9.11,20200103
青岛市,山东省,8.74,20200103
潍坊市,山东省,5.8,20200103
济宁市,山东省,5.78,20200103
枣庄市,山东省,5.61,20200103
徐州市,江苏省,5.56,20200103
连云港市,江苏省,5.1,20200103
泰安市,山东省,3.26,20200103
淄博市,山东省,3.08,20200103
烟台市,山东省,2.06,20200103
上海市,上海市,2.05,20200103
北京市,北京市,1.99,20200103
菏泽市,山东省,1.91,20200103
宿迁市,江苏省,1.31,20200103
东营市,山东省,1.15,20200103
聊城市,山东省,1.14,20200103
德州市,山东省,1.05,20200103
