city_name,province_name,value,date
日照市,山东省,12.44,20200101
青岛市,山东省,6.85,20200101
济南市,山东省,6.51,20200101
连云港市,江苏省,6.12,20200101
枣庄市,山东省,6.04,20200101
济宁市,山东省,5.99,20200101
潍坊市,山东省,5.87,20200101
徐州市,江苏省,5.7,20200101
泰安市,山东省,3.74,20200101
淄博市,山东省,2.89,20200101
北京市,北京市,1.89,20200101
上海市,上海市,1.78,20200101
烟台市,山东省,1.64,20200101
菏泽市,山东省,1.64,20200101
宿迁市,江苏省,1.31,20200101
苏州市,江苏省,1.09,20200101
盐城市,江苏省,0.88,20200101
东营市,山东省,0.82,20200101
德州市,山东省,0.82,20200101
滨州市,山东省,0.79,20200101
南京市,江苏省,0.78,20200101
聊城市,山东省,0.69,20200101
杭州市,浙江省,0.62,20200101
宿州市,安徽省,0.61,20200101
天津市,天津市,0.61,20200101
威海市,山东省,0.6,20200101
淮安市,江苏省,0.56,20200101
无锡市,江苏省,0.54,20200101
郑州市,河南省,0.5,20200101
宁波市,浙江省,0.44,20200101
南通市,江苏省,0.44,20200101
扬州市,江苏省,0.41,20200101
商丘市,河南省,0.39,20200101
石家庄市,河北省,0.38,20200101
合肥市,安徽省,0.37,20200101
湖州市,浙江省,0.3,20200101
滁州市,安徽省,0.3,20200101
广州市,广东省,0.29,20200101
泰州市,江苏省,0.29,20200101
常州市,江苏省,0.29,20200101
金华市,浙江省,0.28,20200101
武汉市,湖北省,0.27,20200101
哈尔滨市,黑龙江省,0.27,20200101
邯郸市,河北省,0.27,20200101
邢台市,河北省,0.27,20200101
沧州市,河北省,0.26,20200101
西安市,陕西省,0.26,20200101
嘉兴市,浙江省,0.25,20200101
廊坊市,河北省,0.25,20200101
保定市,河北省,0.24,20200101
日照市,山东省,7.82,20200102
青岛市,山东省,7.51,20200102
济南市,山东省,6.59,20200102
济宁市,山东省,5.66,20200102
潍坊市,山东省,4.98,20200102
枣庄市,山东省,4.4,20200102
连云港市,江苏省,3.47,20200102
徐州市,江苏省,3.32,20200102
泰安市,山东省,3.31,20200102
上海市,上海市,2.56,20200102
淄博市,山东省,2.37,20200102
北京市,北京市,2.21,20200102
菏泽市,山东省,2.09,20200102
烟台市,山东省,1.75,20200102
苏州市,江苏省,1.45,20200102
宿迁市,江苏省,1.4,20200102
德州市,山东省,1.03,20200102
杭州市,浙江省,0.97,20200102
聊城市,山东省,0.92,20200102
滨州市,山东省,0.92,20200102
盐城市,江苏省,0.9,20200102
东营市,山东省,0.89,20200102
郑州市,河南省,0.87,20200102
南京市,江苏省,0.85,20200102
天津市,天津市,0.76,20200102
威海市,山东省,0.75,20200102
南通市,江苏省,0.73,20200102
无锡市,江苏省,0.71,20200102
扬州市,江苏省,0.65,20200102
宁波市,浙江省,0.65,20200102
淮安市,江苏省,0.61,20200102
嘉兴市,浙江省,0.51,20200102
武汉市,湖北省,0.5,20200102
泰州市,江苏省,0.5,20200102
合肥市,安徽省,0.49,20200102
商丘市,河南省,0.47,20200102
宿州市,安徽省,0.47,20200102
金华市,浙江省,0.47,20200102
石家庄市,河北省,0.43,20200102
常州市,江苏省,0.41,20200102
哈尔滨市,黑龙江省,0.41,20200102
滁州市,安徽省,0.4,20200102
沧州市,河北省,0.38,20200102
成都市,四川省,0.37,20200102
广州市,广东省,0.37,20200102
西安市,陕西省,0.37,20200102
湖州市,浙江省,0.36,20200102
廊坊市,河北省,0.36,20200102
安庆市,安徽省,0.34,20200102
