city_name,province_name,value,date
鄂尔多斯市,内蒙古自治区,38.98,20200101
阿拉善盟,内蒙古自治区,15.21,20200101
巴彦淖尔市,内蒙古自治区,10.46,20200101
银川市,宁夏回族自治区,6.85,20200101
石嘴山市,宁夏回族自治区,5.92,20200101
呼和浩特市,内蒙古自治区,5.3,20200101
包头市,内蒙古自治区,3.71,20200101
榆林市,陕西省,1.68,20200101
乌兰察布市,内蒙古自治区,1.28,20200101
北京市,北京市,0.99,20200101
庆阳市,甘肃省,0.78,20200101
中卫市,宁夏回族自治区,0.48,20200101
吴忠市,宁夏回族自治区,0.43,20200101
赤峰市,内蒙古自治区,0.33,20200101
武威市,甘肃省,0.33,20200101
西安市,陕西省,0.32,20200101
兰州市,甘肃省,0.3,20200101
通辽市,内蒙古自治区,0.27,20200101
唐山市,河北省,0.24,20200101
吕梁市,山西省,0.21,20200101
天津市,天津市,0.21,20200101
保定市,河北省,0.2,20200101
固原市,宁夏回族自治区,0.16,20200101
大同市,山西省,0.15,20200101
定西市,甘肃省,0.15,20200101
延安市,陕西省,0.15,20200101
重庆市,重庆市,0.14,20200101
锡林郭勒盟,内蒙古自治区,0.14,20200101
白银市,甘肃省,0.14,20200101
成都市,四川省,0.12,20200101
临汾市,山西省,0.11,20200101
平凉市,甘肃省,0.11,20200101
张家口市,河北省,0.11,20200101
邯郸市,河北省,0.1,20200101
菏泽市,山东省,0.1,20200101
沈阳市,辽宁省,0.09,20200101
郑州市,河南省,0.07,20200101
安康市,陕西省,0.07,20200101
兴安盟,内蒙古自治区,0.07,20200101
海口市,海南省,0.07,20200101
上海市,上海市,0.07,20200101
西宁市,青海省,0.07,20200101
忻州市,山西省,0.07,20200101
南阳市,河南省,0.06,20200101
石家庄市,河北省,0.06,20200101
昆明市,云南省,0.06,20200101
濮阳市,河南省,0.06,20200101
哈尔滨市,黑龙江省,0.06,20200101
衡水市,河北省,0.06,20200101
运城市,山西省,0.06,20200101
鄂尔多斯市,内蒙古自治区,27.43,20200102
巴彦淖尔市,内蒙古自治区,13.14,20200102
阿拉善盟,内蒙古自治区,10.36,20200102
呼和浩特市,内蒙古自治区,9.67,20200102
银川市,宁夏回族自治区,6.29,20200102
包头市,内蒙古自治区,5.06,20200102
石嘴山市,宁夏回族自治区,3.67,20200102
榆林市,陕西省,2.15,20200102
北京市,北京市,1.62,20200102
乌兰察布市,内蒙古自治区,1.59,20200102
庆阳市,甘肃省,1.57,20200102
唐山市,河北省,0.61,20200102
吴忠市,宁夏回族自治区,0.61,20200102
西安市,陕西省,0.52,20200102
兰州市,甘肃省,0.52,20200102
中卫市,宁夏回族自治区,0.48,20200102
大同市,山西省,0.41,20200102
赤峰市,内蒙古自治区,0.39,20200102
天津市,天津市,0.39,20200102
通辽市,内蒙古自治区,0.39,20200102
成都市,四川省,0.39,20200102
武威市,甘肃省,0.37,20200102
吕梁市,山西省,0.36,20200102
定西市,甘肃省,0.34,20200102
重庆市,重庆市,0.28,20200102
平凉市,甘肃省,0.28,20200102
延安市,陕西省,0.27,20200102
石家庄市,河北省,0.27,20200102
广州市,广东省,0.25,20200102
邢台市,河北省,0.25,20200102
青岛市,山东省,0.25,20200102
邯郸市,河北省,0.23,20200102
郑州市,河南省,0.23,20200102
白银市,甘肃省,0.23,20200102
菏泽市,山东省,0.23,20200102
上海市,上海市,0.21,20200102
太原市,山西省,0.19,20200102
廊坊市,河北省,0.19,20200102
咸阳市,陕西省,0.19,20200102
张家口市,河北省,0.18,20200102
忻州市,山西省,0.18,20200102
