city_name,province_name,value,date
昌吉回族自治州,新疆维吾尔自治区,37.73,20200101
五家渠市,新疆维吾尔自治区,6.37,20200101
吐鲁番市,新疆维吾尔自治区,6.17,20200101
伊犁哈萨克自治州,新疆维吾尔自治区,5.62,20200101
塔城地区,新疆维吾尔自治区,4.88,20200101
巴音郭楞蒙古自治州,新疆维吾尔自治区,4.64,20200101
石河子市,新疆维吾尔自治区,3.12,20200101
阿克苏地区,新疆维吾尔自治区,2.96,20200101
阿勒泰地区,新疆维吾尔自治区,2.69,20200101
克拉玛依市,新疆维吾尔自治区,2.48,20200101
喀什地区,新疆维吾尔自治区,2.3,20200101
哈密市,新疆维吾尔自治区,2.13,20200101
和田地区,新疆维吾尔自治区,1.74,20200101
博尔塔拉蒙古自治州,新疆维吾尔自治区,1.67,20200101
北京市,北京市,1.14,20200101
西安市,陕西省,0.74,20200101
成都市,四川省,0.62,20200101
上海市,上海市,0.6,20200101
重庆市,重庆市,0.51,20200101
阿拉尔市,新疆维吾尔自治区,0.47,20200101
北屯市,新疆维吾尔自治区,0.42,20200101
广州市,广东省,0.41,20200101
兰州市,甘肃省,0.4,20200101
天津市,天津市,0.39,20200101
三亚市,海南省,0.33,20200101
武汉市,湖北省,0.31,20200101
克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,0.31,20200101
郑州市,河南省,0.3,20200101
双河市,新疆维吾尔自治区,0.25,20200101
杭州市,浙江省,0.25,20200101
长沙市,湖南省,0.23,20200101
深圳市,广东省,0.23,20200101
图木舒克市,新疆维吾尔自治区,0.22,20200101
南京市,江苏省,0.18,20200101
青岛市,山东省,0.18,20200101
哈尔滨市,黑龙江省,0.18,20200101
武威市,甘肃省,0.18,20200101
济南市,山东省,0.17,20200101
酒泉市,甘肃省,0.15,20200101
石家庄市,河北省,0.14,20200101
银川市,宁夏回族自治区,0.14,20200101
昆明市,云南省,0.12,20200101
苏州市,江苏省,0.11,20200101
张掖市,甘肃省,0.11,20200101
咸阳市,陕西省,0.11,20200101
长春市,吉林省,0.1,20200101
沈阳市,辽宁省,0.1,20200101
周口市,河南省,0.1,20200101
天水市,甘肃省,0.1,20200101
海口市,海南省,0.09,20200101
昌吉回族自治州,新疆维吾尔自治区,24.7,20200102
伊犁哈萨克自治州,新疆维吾尔自治区,7.07,20200102
塔城地区,新疆维吾尔自治区,5.88,20200102
巴音郭楞蒙古自治州,新疆维吾尔自治区,5.7,20200102
吐鲁番市,新疆维吾尔自治区,5.53,20200102
五家渠市,新疆维吾尔自治区,3.71,20200102
石河子市,新疆维吾尔自治区,3.64,20200102
阿克苏地区,新疆维吾尔自治区,3.59,20200102
喀什地区,新疆维吾尔自治区,3.17,20200102
克拉玛依市,新疆维吾尔自治区,3.06,20200102
阿勒泰地区,新疆维吾尔自治区,2.94,20200102
哈密市,新疆维吾尔自治区,2.67,20200102
和田地区,新疆维吾尔自治区,2.2,20200102
博尔塔拉蒙古自治州,新疆维吾尔自治区,2.15,20200102
北京市,北京市,1.86,20200102
阿拉尔市,新疆维吾尔自治区,1.63,20200102
西安市,陕西省,1.43,20200102
成都市,四川省,1.2,20200102
上海市,上海市,0.83,20200102
北屯市,新疆维吾尔自治区,0.71,20200102
重庆市,重庆市,0.55,20200102
天津市,天津市,0.54,20200102
克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,0.51,20200102
兰州市,甘肃省,0.51,20200102
武汉市,湖北省,0.44,20200102
广州市,广东省,0.39,20200102
郑州市,河南省,0.39,20200102
三亚市,海南省,0.32,20200102
长沙市,湖南省,0.29,20200102
杭州市,浙江省,0.29,20200102
武威市,甘肃省,0.29,20200102
哈尔滨市,黑龙江省,0.28,20200102
南京市,江苏省,0.28,20200102
深圳市,广东省,0.28,20200102
双河市,新疆维吾尔自治区,0.27,20200102
济南市,山东省,0.25,20200102
酒泉市,甘肃省,0.23,20200102
咸阳市,陕西省,0.23,20200102
昆明市,云南省,0.22,20200102
石家庄市,河北省,0.21,20200102
青岛市,山东省,0.21,20200102
绵阳市,四川省,0.19,20200102
银川市,宁夏回族自治区,0.19,20200102
图木舒克市,新疆维吾尔自治区,0.18,20200102
沈阳市,辽宁省,0.18,20200102
长春市,吉林省,0.17,20200102
张掖市,甘肃省,0.17,20200102
天水市,甘肃省,0.17,20200102
海口市,海南省,0.15,20200102
徐州市,江苏省,0.15,20200102
昌吉回族自治州,新疆维吾尔自治区,29.92,20200103
伊犁哈萨克自治州,新疆维吾尔自治区,6.67,20200103
吐鲁番市,新疆维吾尔自治区,5.99,20200103
巴音郭楞蒙古自治州,新疆维吾尔自治区,5.28,20200103
