city_name,province_name,value,date
成都市,四川省,42.19,20200101
眉山市,四川省,22.66,20200101
自贡市,四川省,5.05,20200101
宜宾市,四川省,4.88,20200101
凉山彝族自治州,四川省,3.36,20200101
重庆市,重庆市,3.19,20200101
雅安市,四川省,2.44,20200101
德阳市,四川省,1.67,20200101
绵阳市,四川省,1.41,20200101
内江市,四川省,1.22,20200101
泸州市,四川省,1.02,20200101
南充市,四川省,0.83,20200101
昭通市,云南省,0.79,20200101
资阳市,四川省,0.72,20200101
遂宁市,四川省,0.61,20200101
甘孜藏族自治州,四川省,0.43,20200101
攀枝花市,四川省,0.39,20200101
达州市,四川省,0.36,20200101
遵义市,贵州省,0.34,20200101
广安市,四川省,0.32,20200101
昆明市,云南省,0.31,20200101
广元市,四川省,0.28,20200101
贵阳市,贵州省,0.25,20200101
西安市,陕西省,0.22,20200101
阿坝藏族羌族自治州,四川省,0.22,20200101
巴中市,四川省,0.21,20200101
北京市,北京市,0.2,20200101
深圳市,广东省,0.17,20200101
毕节市,贵州省,0.14,20200101
广州市,广东省,0.14,20200101
上海市,上海市,0.12,20200101
武汉市,湖北省,0.08,20200101
曲靖市,云南省,0.08,20200101
黔南布依族苗族自治州,贵州省,0.07,20200101
汉中市,陕西省,0.07,20200101
郑州市,河南省,0.06,20200101
太原市,山西省,0.06,20200101
兰州市,甘肃省,0.06,20200101
安康市,陕西省,0.06,20200101
黔东南苗族侗族自治州,贵州省,0.05,20200101
石家庄市,河北省,0.05,20200101
黔西南布依族苗族自治州,贵州省,0.05,20200101
红河哈尼族彝族自治州,云南省,0.05,20200101
十堰市,湖北省,0.05,20200101
杭州市,浙江省,0.05,20200101
南宁市,广西壮族自治区,0.05,20200101
福州市,福建省,0.05,20200101
宜昌市,湖北省,0.04,20200101
邢台市,河北省,0.04,20200101
宝鸡市,陕西省,0.04,20200101
成都市,四川省,45.46,20200102
眉山市,四川省,15.3,20200102
宜宾市,四川省,4.23,20200102
凉山彝族自治州,四川省,3.92,20200102
重庆市,重庆市,3.83,20200102
自贡市,四川省,3.07,20200102
雅安市,四川省,2.52,20200102
德阳市,四川省,1.64,20200102
绵阳市,四川省,1.57,20200102
内江市,四川省,1.23,20200102
泸州市,四川省,1.21,20200102
南充市,四川省,1.1,20200102
昭通市,云南省,0.78,20200102
资阳市,四川省,0.76,20200102
遂宁市,四川省,0.69,20200102
达州市,四川省,0.63,20200102
攀枝花市,四川省,0.57,20200102
西安市,陕西省,0.49,20200102
广元市,四川省,0.48,20200102
广安市,四川省,0.45,20200102
甘孜藏族自治州,四川省,0.39,20200102
贵阳市,贵州省,0.36,20200102
遵义市,贵州省,0.34,20200102
昆明市,云南省,0.32,20200102
北京市,北京市,0.3,20200102
阿坝藏族羌族自治州,四川省,0.3,20200102
毕节市,贵州省,0.28,20200102
巴中市,四川省,0.26,20200102
深圳市,广东省,0.24,20200102
上海市,上海市,0.23,20200102
广州市,广东省,0.17,20200102
佛山市,广东省,0.16,20200102
厦门市,福建省,0.16,20200102
汉中市,陕西省,0.14,20200102
西双版纳傣族自治州,云南省,0.14,20200102
曲靖市,云南省,0.13,20200102
南宁市,广西壮族自治区,0.13,20200102
长沙市,湖南省,0.12,20200102
红河哈尼族彝族自治州,云南省,0.12,20200102
陇南市,甘肃省,0.12,20200102
楚雄彝族自治州,云南省,0.11,20200102
杭州市,浙江省,0.1,20200102
武汉市,湖北省,0.1,20200102
三亚市,海南省,0.1,20200102
黔东南苗族侗族自治州,贵州省,0.09,20200102
丽江市,云南省,0.09,20200102
大理白族自治州,云南省,0.09,20200102
南昌市,江西省,0.08,20200102
宁波市,浙江省,0.07,20200102
玉溪市,云南省,0.07,20200102
成都市,四川省,44.16,20200103
眉山市,四川省,18.36,20200103
宜宾市,四川省,4.46,20200103
自贡市,四川省,4.23,20200103
凉山彝族自治州,四川省,3.35,20200103
重庆市,重庆市,3.31,20200103
雅安市,四川省,2.27,20200103
绵阳市,四川省,1.99,20200103
德阳市,四川省,1.71,20200103
内江市,四川省,1.33,20200103
泸州市,四川省,1.07,20200103
南充市,四川省,0.98,20200103
昭通市,云南省,0.82,20200103
资阳市,四川省,0.76,20200103
遂宁市,四川省,0.68,20200103
广安市,四川省,0.48,20200103
广元市,四川省,0.47,20200103
达州市,四川省,0.46,20200103
攀枝花市,四川省,0.44,20200103
甘孜藏族自治州,四川省,0.43,20200103
昆明市,云南省,0.39,20200103
阿坝藏族羌族自治州,四川省,0.36,20200103
西安市,陕西省,0.34,20200103
贵阳市,贵州省,0.34,20200103
遵义市,贵州省,0.34,20200103
巴中市,四川省,0.28,20200103
北京市,北京市,0.25,20200103
广州市,广东省,0.2,20200103
毕节市,贵州省,0.17,20200103
深圳市,广东省,0.16,20200103
武汉市,湖北省,0.14,20200103
汉中市,陕西省,0.12,20200103
三亚市,海南省,0.11,20200103
上海市,上海市,0.1,20200103
佛山市,广东省,0.1,20200103
长沙市,湖南省,0.09,20200103
郑州市,河南省,0.09,20200103
曲靖市,云南省,0.09,20200103
厦门市,福建省,0.08,20200103
杭州市,浙江省,0.08,20200103
德宏傣族景颇族自治州,云南省,0.07,20200103
楚雄彝族自治州,云南省,0.07,20200103
保山市,云南省,0.06,20200103
六盘水市,贵州省,0.06,20200103
兰州市,甘肃省,0.06,20200103
安康市,陕西省,0.06,20200103
南京市,江苏省,0.06,20200103
恩施土家族苗族自治州,湖北省,0.06,20200103
安顺市,贵州省,0.06,20200103
玉溪市,云南省,0.06,20200103
成都市,四川省,40.89,20200104
眉山市,四川省,19.6,20200104
自贡市,四川省,5.26,20200104
宜宾市,四川省,4.87,20200104
凉山彝族自治州,四川省,3.74,20200104
重庆市,重庆市,3.57,20200104
雅安市,四川省,2.03,20200104
绵阳市,四川省,1.8,20200104
内江市,四川省,1.58,20200104
德阳市,四川省,1.5,20200104
泸州市,四川省,1.08,20200104
南充市,四川省,0.84,20200104
资阳市,四川省,0.81,20200104
昭通市,云南省,0.79,20200104
遂宁市,四川省,0.7,20200104
达州市,四川省,0.62,20200104
甘孜藏族自治州,四川省,0.4,20200104
广安市,四川省,0.4,20200104
巴中市,四川省,0.37,20200104
广元市,四川省,0.36,20200104
昆明市,云南省,0.34,20200104
西安市,陕西省,0.33,20200104
贵阳市,贵州省,0.32,20200104
攀枝花市,四川省,0.31,20200104
阿坝藏族羌族自治州,四川省,0.28,20200104
北京市,北京市,0.26,20200104
深圳市,广东省,0.25,20200104
遵义市,贵州省,0.22,20200104
