city_name,province_name,value,date
南昌市,江西省,33.22,20200101
黄冈市,湖北省,9.8,20200101
上饶市,江西省,4.33,20200101
宜春市,江西省,4.03,20200101
景德镇市,江西省,2.82,20200101
安庆市,安徽省,2.51,20200101
黄石市,湖北省,2.27,20200101
赣州市,江西省,2.25,20200101
武汉市,湖北省,2.18,20200101
抚州市,江西省,1.84,20200101
上海市,上海市,1.75,20200101
吉安市,江西省,1.67,20200101
深圳市,广东省,1.3,20200101
杭州市,浙江省,1.27,20200101
长沙市,湖南省,1.0,20200101
咸宁市,湖北省,0.96,20200101
岳阳市,湖南省,0.94,20200101
广州市,广东省,0.92,20200101
池州市,安徽省,0.83,20200101
北京市,北京市,0.81,20200101
温州市,浙江省,0.76,20200101
新余市,江西省,0.73,20200101
萍乡市,江西省,0.72,20200101
苏州市,江苏省,0.71,20200101
南京市,江苏省,0.6,20200101
鹰潭市,江西省,0.56,20200101
泉州市,福建省,0.55,20200101
金华市,浙江省,0.51,20200101
合肥市,安徽省,0.51,20200101
宁波市,浙江省,0.51,20200101
福州市,福建省,0.43,20200101
东莞市,广东省,0.42,20200101
芜湖市,安徽省,0.38,20200101
衢州市,浙江省,0.36,20200101
重庆市,重庆市,0.35,20200101
佛山市,广东省,0.33,20200101
厦门市,福建省,0.3,20200101
无锡市,江苏省,0.27,20200101
汕头市,广东省,0.26,20200101
嘉兴市,浙江省,0.26,20200101
湖州市,浙江省,0.25,20200101
鄂州市,湖北省,0.25,20200101
绍兴市,浙江省,0.22,20200101
台州市,浙江省,0.21,20200101
南阳市,河南省,0.21,20200101
衡阳市,湖南省,0.2,20200101
韶关市,广东省,0.2,20200101
镇江市,江苏省,0.2,20200101
孝感市,湖北省,0.19,20200101
信阳市,河南省,0.19,20200101
南昌市,江西省,26.82,20200102
上饶市,江西省,4.68,20200102
赣州市,江西省,4.63,20200102
黄冈市,湖北省,4.59,20200102
宜春市,江西省,4.34,20200102
吉安市,江西省,2.61,20200102
景德镇市,江西省,2.54,20200102
武汉市,湖北省,2.47,20200102
抚州市,江西省,2.41,20200102
上海市,上海市,1.95,20200102
杭州市,浙江省,1.67,20200102
深圳市,广东省,1.45,20200102
黄石市,湖北省,1.39,20200102
安庆市,安徽省,1.38,20200102
广州市,广东省,1.33,20200102
北京市,北京市,1.05,20200102
萍乡市,江西省,1.05,20200102
长沙市,湖南省,1.04,20200102
泉州市,福建省,0.87,20200102
温州市,浙江省,0.82,20200102
鹰潭市,江西省,0.81,20200102
金华市,浙江省,0.78,20200102
新余市,江西省,0.77,20200102
苏州市,江苏省,0.7,20200102
南京市,江苏省,0.67,20200102
东莞市,广东省,0.65,20200102
重庆市,重庆市,0.64,20200102
咸宁市,湖北省,0.62,20200102
岳阳市,湖南省,0.58,20200102
宁波市,浙江省,0.57,20200102
合肥市,安徽省,0.56,20200102
福州市,福建省,0.54,20200102
池州市,安徽省,0.53,20200102
厦门市,福建省,0.52,20200102
佛山市,广东省,0.46,20200102
无锡市,江苏省,0.43,20200102
芜湖市,安徽省,0.38,20200102
嘉兴市,浙江省,0.36,20200102
绍兴市,浙江省,0.36,20200102
信阳市,河南省,0.35,20200102
常州市,江苏省,0.28,20200102
惠州市,广东省,0.26,20200102
株洲市,湖南省,0.26,20200102
西安市,陕西省,0.26,20200102
成都市,四川省,0.26,20200102
湖州市,浙江省,0.26,20200102
周口市,河南省,0.25,20200102
鄂州市,湖北省,0.22,20200102
衢州市,浙江省,0.21,20200102
贵阳市,贵州省,0.21,20200102
南昌市,江西省,28.85,20200103
黄冈市,湖北省,7.06,20200103
上饶市,江西省,4.91,20200103
赣州市,江西省,4.68,20200103
宜春市,江西省,4.59,20200103
吉安市,江西省,3.06,20200103
景德镇市,江西省,2.78,20200103
武汉市,湖北省,2.31,20200103
抚州市,江西省,2.15,20200103
安庆市,安徽省,1.54,20200103
上海市,上海市,1.52,20200103
黄石市,湖北省,1.49,20200103
杭州市,浙江省,1.29,20200103
萍乡市,江西省,1.1,20200103
长沙市,湖南省,1.04,20200103
新余市,江西省,1.01,20200103
深圳市,广东省,0.99,20200103
北京市,北京市,0.89,20200103
广州市,广东省,0.85,20200103
鹰潭市,江西省,0.76,20200103
温州市,浙江省,0.73,20200103
岳阳市,湖南省,0.66,20200103
咸宁市,湖北省,0.66,20200103
合肥市,安徽省,0.64,20200103
金华市,浙江省,0.63,20200103
池州市,安徽省,0.62,20200103
南京市,江苏省,0.62,20200103
重庆市,重庆市,0.55,20200103
苏州市,江苏省,0.54,20200103
东莞市,广东省,0.53,20200103
泉州市,福建省,0.52,20200103
宁波市,浙江省,0.45,20200103
厦门市,福建省,0.44,20200103
福州市,福建省,0.42,20200103
芜湖市,安徽省,0.36,20200103
郑州市,河南省,0.35,20200103
无锡市,江苏省,0.35,20200103
佛山市,广东省,0.34,20200103
信阳市,河南省,0.31,20200103
衢州市,浙江省,0.29,20200103
嘉兴市,浙江省,0.28,20200103
南阳市,河南省,0.27,20200103
成都市,四川省,0.25,20200103
绍兴市,浙江省,0.24,20200103
湖州市,浙江省,0.24,20200103
西安市,陕西省,0.22,20200103
鄂州市,湖北省,0.22,20200103
天津市,天津市,0.22,20200103
台州市,浙江省,0.21,20200103
株洲市,湖南省,0.21,20200103
南昌市,江西省,27.54,20200104
黄冈市,湖北省,7.14,20200104
上饶市,江西省,6.36,20200104
赣州市,江西省,5.24,20200104
宜春市,江西省,5.04,20200104
吉安市,江西省,3.06,20200104
景德镇市,江西省,2.77,20200104
抚州市,江西省,2.42,20200104
武汉市,湖北省,1.95,20200104
安庆市,安徽省,1.8,20200104
黄石市,湖北省,1.72,20200104
