city_name,province_name,value,date
肇庆市,广东省,21.06,20200101
佛山市,广东省,18.38,20200101
广州市,广东省,16.26,20200101
江门市,广东省,6.35,20200101
东莞市,广东省,4.85,20200101
深圳市,广东省,4.35,20200101
中山市,广东省,4.09,20200101
阳江市,广东省,3.99,20200101
茂名市,广东省,3.89,20200101
梧州市,广西壮族自治区,3.29,20200101
珠海市,广东省,1.73,20200101
清远市,广东省,1.35,20200101
惠州市,广东省,1.16,20200101
玉林市,广西壮族自治区,1.11,20200101
湛江市,广东省,0.82,20200101
南宁市,广西壮族自治区,0.76,20200101
贵港市,广西壮族自治区,0.59,20200101
百色市,广西壮族自治区,0.33,20200101
贺州市,广西壮族自治区,0.32,20200101
钦州市,广西壮族自治区,0.31,20200101
韶关市,广东省,0.29,20200101
河源市,广东省,0.22,20200101
桂林市,广西壮族自治区,0.18,20200101
汕头市,广东省,0.18,20200101
梅州市,广东省,0.17,20200101
香港,香港,0.14,20200101
汕尾市,广东省,0.14,20200101
柳州市,广西壮族自治区,0.13,20200101
揭阳市,广东省,0.12,20200101
防城港市,广西壮族自治区,0.11,20200101
长沙市,湖南省,0.11,20200101
北海市,广西壮族自治区,0.09,20200101
郴州市,湖南省,0.08,20200101
来宾市,广西壮族自治区,0.08,20200101
海口市,海南省,0.08,20200101
南昌市,江西省,0.08,20200101
上海市,上海市,0.08,20200101
赣州市,江西省,0.07,20200101
永州市,湖南省,0.06,20200101
福州市,福建省,0.05,20200101
河池市,广西壮族自治区,0.05,20200101
三亚市,海南省,0.05,20200101
澳门,澳门,0.05,20200101
黔西南布依族苗族自治州,贵州省,0.05,20200101
崇左市,广西壮族自治区,0.05,20200101
潮州市,广东省,0.05,20200101
红河哈尼族彝族自治州,云南省,0.05,20200101
泉州市,福建省,0.05,20200101
文山壮族苗族自治州,云南省,0.05,20200101
厦门市,福建省,0.05,20200101
广州市,广东省,20.32,20200102
佛山市,广东省,16.86,20200102
肇庆市,广东省,15.28,20200102
东莞市,广东省,6.68,20200102
深圳市,广东省,6.33,20200102
江门市,广东省,4.17,20200102
中山市,广东省,3.74,20200102
茂名市,广东省,3.25,20200102
阳江市,广东省,2.89,20200102
梧州市,广西壮族自治区,2.34,20200102
珠海市,广东省,1.92,20200102
清远市,广东省,1.33,20200102
湛江市,广东省,1.31,20200102
惠州市,广东省,1.28,20200102
玉林市,广西壮族自治区,1.06,20200102
贵港市,广西壮族自治区,0.95,20200102
南宁市,广西壮族自治区,0.84,20200102
贺州市,广西壮族自治区,0.63,20200102
韶关市,广东省,0.48,20200102
桂林市,广西壮族自治区,0.38,20200102
泉州市,福建省,0.35,20200102
河源市,广东省,0.3,20200102
香港,香港,0.29,20200102
梅州市,广东省,0.25,20200102
永州市,湖南省,0.21,20200102
钦州市,广西壮族自治区,0.18,20200102
揭阳市,广东省,0.17,20200102
昆明市,云南省,0.16,20200102
北京市,北京市,0.15,20200102
郴州市,湖南省,0.15,20200102
汕头市,广东省,0.13,20200102
北海市,广西壮族自治区,0.13,20200102
澳门,澳门,0.13,20200102
长沙市,湖南省,0.13,20200102
百色市,广西壮族自治区,0.13,20200102
赣州市,江西省,0.12,20200102
汕尾市,广东省,0.11,20200102
河池市,广西壮族自治区,0.11,20200102
重庆市,重庆市,0.1,20200102
郑州市,河南省,0.1,20200102
杭州市,浙江省,0.1,20200102
上海市,上海市,0.1,20200102
柳州市,广西壮族自治区,0.1,20200102
武汉市,湖北省,0.09,20200102
厦门市,福建省,0.09,20200102
潮州市,广东省,0.09,20200102
来宾市,广西壮族自治区,0.09,20200102
南昌市,江西省,0.08,20200102
福州市,福建省,0.08,20200102
成都市,四川省,0.08,20200102
广州市,广东省,21.35,20200103
肇庆市,广东省,18.04,20200103
佛山市,广东省,16.0,20200103
江门市,广东省,5.69,20200103
东莞市,广东省,5.43,20200103
深圳市,广东省,5.26,20200103
茂名市,广东省,3.57,20200103
阳江市,广东省,3.48,20200103
中山市,广东省,3.41,20200103
梧州市,广西壮族自治区,2.5,20200103
珠海市,广东省,1.64,20200103
湛江市,广东省,1.49,20200103
玉林市,广西壮族自治区,1.09,20200103
清远市,广东省,1.08,20200103
惠州市,广东省,1.08,20200103
南宁市,广西壮族自治区,0.76,20200103
贵港市,广西壮族自治区,0.75,20200103
贺州市,广西壮族自治区,0.52,20200103
韶关市,广东省,0.51,20200103
泉州市,福建省,0.23,20200103
桂林市,广西壮族自治区,0.23,20200103
香港,香港,0.21,20200103
河源市,广东省,0.21,20200103
钦州市,广西壮族自治区,0.17,20200103
梅州市,广东省,0.17,20200103
澳门,澳门,0.17,20200103
汕头市,广东省,0.17,20200103
百色市,广西壮族自治区,0.15,20200103
长沙市,湖南省,0.15,20200103
赣州市,江西省,0.15,20200103
柳州市,广西壮族自治区,0.15,20200103
衡阳市,湖南省,0.13,20200103
海口市,海南省,0.13,20200103
北海市,广西壮族自治区,0.13,20200103
河池市,广西壮族自治区,0.12,20200103
潮州市,广东省,0.12,20200103
揭阳市,广东省,0.12,20200103
上海市,上海市,0.1,20200103
株洲市,湖南省,0.1,20200103
郴州市,湖南省,0.1,20200103
汕尾市,广东省,0.1,20200103
南昌市,江西省,0.09,20200103
贵阳市,贵州省,0.08,20200103
文山壮族苗族自治州,云南省,0.07,20200103
成都市,四川省,0.07,20200103
永州市,湖南省,0.07,20200103
武汉市,湖北省,0.07,20200103
杭州市,浙江省,0.06,20200103
重庆市,重庆市,0.06,20200103
崇左市,广西壮族自治区,0.06,20200103
肇庆市,广东省,20.08,20200104
广州市,广东省,19.86,20200104
佛山市,广东省,18.08,20200104
江门市,广东省,5.58,20200104
东莞市,广东省,4.79,20200104
深圳市,广东省,4.74,20200104
阳江市,广东省,3.69,20200104
中山市,广东省,3.45,20200104
茂名市,广东省,3.43,20200104
梧州市,广西壮族自治区,2.86,20200104
珠海市,广东省,1.53,20200104
清远市,广东省,1.3,20200104
湛江市,广东省,1.18,20200104
惠州市,广东省,1.06,20200104
玉林市,广西壮族自治区,0.65,20200104
南宁市,广西壮族自治区,0.5,20200104
贵港市,广西壮族自治区,0.48,20200104
贺州市,广西壮族自治区,0.37,20200104
桂林市,广西壮族自治区,0.32,20200104
韶关市,广东省,0.31,20200104
柳州市,广西壮族自治区,0.2,20200104
河源市,广东省,0.19,20200104
长沙市,湖南省,0.18,20200104
梅州市,广东省,0.17,20200104
钦州市,广西壮族自治区,0.17,20200104
揭阳市,广东省,0.14,20200104
赣州市,江西省,0.14,20200104
百色市,广西壮族自治区,0.14,20200104
郴州市,湖南省,0.13,20200104
澳门,澳门,0.12,20200104
汕尾市,广东省,0.12,20200104
潮州市,广东省,0.12,20200104
永州市,湖南省,0.12,20200104
河池市,广西壮族自治区,0.11,20200104
泉州市,福建省,0.11,20200104
香港,香港,0.11,20200104
汕头市,广东省,0.11,20200104
上海市,上海市,0.09,20200104
衡阳市,湖南省,0.08,20200104
贵阳市,贵州省,0.08,20200104
北京市,北京市,0.08,20200104
北海市,广西壮族自治区,0.06,20200104
重庆市,重庆市,0.06,20200104
武汉市,湖北省,0.05,20200104
防城港市,广西壮族自治区,0.05,20200104
海口市,海南省,0.05,20200104
福州市,福建省,0.05,20200104
吉安市,江西省,0.05,20200104
杭州市,浙江省,0.05,20200104
宜春市,江西省,0.05,20200104
肇庆市,广东省,24.68,20200105
广州市,广东省,18.75,20200105
佛山市,广东省,16.08,20200105
江门市,广东省,4.93,20200105
东莞市,广东省,4.64,20200105
深圳市,广东省,3.92,20200105
阳江市,广东省,3.76,20200105
茂名市,广东省,3.6,20200105
中山市,广东省,3.3,20200105
梧州市,广西壮族自治区,2.67,20200105
珠海市,广东省,1.73,20200105
惠州市,广东省,1.01,20200105
清远市,广东省,1.01,20200105
湛江市,广东省,0.89,20200105
玉林市,广西壮族自治区,0.76,20200105
南宁市,广西壮族自治区,0.62,20200105
贵港市,广西壮族自治区,0.6,20200105
韶关市,广东省,0.45,20200105
贺州市,广西壮族自治区,0.38,20200105
河源市,广东省,0.28,20200105
澳门,澳门,0.21,20200105
梅州市,广东省,0.19,20200105
桂林市,广西壮族自治区,0.19,20200105
长沙市,湖南省,0.17,20200105
永州市,湖南省,0.16,20200105
香港,香港,0.15,20200105
钦州市,广西壮族自治区,0.15,20200105
上海市,上海市,0.15,20200105
揭阳市,广东省,0.14,20200105
北海市,广西壮族自治区,0.13,20200105
郴州市,湖南省,0.12,20200105
泉州市,福建省,0.12,20200105
汕尾市,广东省,0.12,20200105
百色市,广西壮族自治区,0.12,20200105
北京市,北京市,0.11,20200105
柳州市,广西壮族自治区,0.11,20200105
汕头市,广东省,0.11,20200105
潮州市,广东省,0.1,20200105
崇左市,广西壮族自治区,0.09,20200105
赣州市,江西省,0.09,20200105
贵阳市,贵州省,0.08,20200105
河池市,广西壮族自治区,0.07,20200105
厦门市,福建省,0.07,20200105
咸宁市,湖北省,0.06,20200105
宁波市,浙江省,0.06,20200105
遵义市,贵州省,0.06,20200105
喀什地区,新疆维吾尔自治区,0.05,20200105
合肥市,安徽省,0.05,20200105
吉安市,江西省,0.05,20200105
衡阳市,湖南省,0.05,20200105
肇庆市,广东省,21.44,20200106
广州市,广东省,20.76,20200106
佛山市,广东省,17.69,20200106
江门市,广东省,4.82,20200106
东莞市,广东省,4.79,20200106
深圳市,广东省,4.72,20200106
茂名市,广东省,3.25,20200106
阳江市,广东省,3.19,20200106
中山市,广东省,3.06,20200106
梧州市,广西壮族自治区,2.39,20200106
珠海市,广东省,1.62,20200106
清远市,广东省,1.2,20200106
惠州市,广东省,0.97,20200106
湛江市,广东省,0.87,20200106
玉林市,广西壮族自治区,0.73,20200106
南宁市,广西壮族自治区,0.59,20200106
韶关市,广东省,0.53,20200106
贵港市,广西壮族自治区,0.48,20200106
河源市,广东省,0.28,20200106
贺州市,广西壮族自治区,0.28,20200106
澳门,澳门,0.25,20200106
桂林市,广西壮族自治区,0.22,20200106
柳州市,广西壮族自治区,0.19,20200106
长沙市,湖南省,0.18,20200106
香港,香港,0.18,20200106
汕头市,广东省,0.17,20200106
钦州市,广西壮族自治区,0.16,20200106
泉州市,福建省,0.16,20200106
永州市,湖南省,0.13,20200106
梅州市,广东省,0.12,20200106
百色市,广西壮族自治区,0.1,20200106
汕尾市,广东省,0.1,20200106
揭阳市,广东省,0.1,20200106
合肥市,安徽省,0.1,20200106
北海市,广西壮族自治区,0.1,20200106
河池市,广西壮族自治区,0.09,20200106
吉安市,江西省,0.09,20200106
崇左市,广西壮族自治区,0.09,20200106
衡阳市,湖南省,0.09,20200106
杭州市,浙江省,0.09,20200106
北京市,北京市,0.09,20200106
郴州市,湖南省,0.09,20200106
上海市,上海市,0.08,20200106
潮州市,广东省,0.08,20200106
苏州市,江苏省,0.08,20200106
厦门市,福建省,0.08,20200106
南京市,江苏省,0.07,20200106
赣州市,江西省,0.07,20200106
福州市,福建省,0.07,20200106
防城港市,广西壮族自治区,0.07,20200106
肇庆市,广东省,20.22,20200107
广州市,广东省,19.83,20200107
佛山市,广东省,17.1,20200107
江门市,广东省,5.33,20200107
东莞市,广东省,4.79,20200107
深圳市,广东省,4.33,20200107
中山市,广东省,3.79,20200107
茂名市,广东省,3.61,20200107
阳江市,广东省,3.36,20200107
梧州市,广西壮族自治区,2.74,20200107
清远市,广东省,1.56,20200107
珠海市,广东省,1.45,20200107
湛江市,广东省,1.09,20200107
惠州市,广东省,0.98,20200107
玉林市,广西壮族自治区,0.78,20200107
贵港市,广西壮族自治区,0.62,20200107
韶关市,广东省,0.61,20200107
南宁市,广西壮族自治区,0.57,20200107
贺州市,广西壮族自治区,0.29,20200107
桂林市,广西壮族自治区,0.25,20200107
河源市,广东省,0.24,20200107
汕头市,广东省,0.21,20200107
香港,香港,0.2,20200107
揭阳市,广东省,0.18,20200107
贵阳市,贵州省,0.18,20200107
长沙市,湖南省,0.18,20200107
钦州市,广西壮族自治区,0.17,20200107
永州市,湖南省,0.16,20200107
柳州市,广西壮族自治区,0.15,20200107
赣州市,江西省,0.15,20200107
百色市,广西壮族自治区,0.14,20200107
澳门,澳门,0.13,20200107
