city_name,province_name,value,date
肇庆市,广东省,21.25,20200101
佛山市,广东省,16.35,20200101
广州市,广东省,16.15,20200101
江门市,广东省,5.74,20200101
东莞市,广东省,5.21,20200101
深圳市,广东省,5.07,20200101
中山市,广东省,3.93,20200101
茂名市,广东省,3.84,20200101
阳江市,广东省,3.8,20200101
梧州市,广西壮族自治区,3.34,20200101
珠海市,广东省,1.59,20200101
清远市,广东省,1.13,20200101
惠州市,广东省,1.01,20200101
湛江市,广东省,0.94,20200101
玉林市,广西壮族自治区,0.9,20200101
贵港市,广西壮族自治区,0.7,20200101
贺州市,广西壮族自治区,0.57,20200101
韶关市,广东省,0.51,20200101
南宁市,广西壮族自治区,0.46,20200101
香港,香港,0.42,20200101
河源市,广东省,0.31,20200101
百色市,广西壮族自治区,0.31,20200101
桂林市,广西壮族自治区,0.29,20200101
澳门,澳门,0.27,20200101
文山壮族苗族自治州,云南省,0.25,20200101
崇左市,广西壮族自治区,0.23,20200101
重庆市,重庆市,0.2,20200101
梅州市,广东省,0.19,20200101
钦州市,广西壮族自治区,0.17,20200101
揭阳市,广东省,0.15,20200101
长沙市,湖南省,0.15,20200101
汕尾市,广东省,0.14,20200101
泉州市,福建省,0.12,20200101
来宾市,广西壮族自治区,0.12,20200101
邵阳市,湖南省,0.12,20200101
黔东南苗族侗族自治州,贵州省,0.12,20200101
北京市,北京市,0.12,20200101
汕头市,广东省,0.11,20200101
永州市,湖南省,0.11,20200101
河池市,广西壮族自治区,0.11,20200101
岳阳市,湖南省,0.11,20200101
柳州市,广西壮族自治区,0.1,20200101
怀化市,湖南省,0.1,20200101
南充市,四川省,0.09,20200101
郴州市,湖南省,0.09,20200101
厦门市,福建省,0.09,20200101
武汉市,湖北省,0.08,20200101
遵义市,贵州省,0.07,20200101
衡阳市,湖南省,0.07,20200101
益阳市,湖南省,0.07,20200101
广州市,广东省,19.13,20200102
佛山市,广东省,17.68,20200102
肇庆市,广东省,14.38,20200102
东莞市,广东省,5.82,20200102
深圳市,广东省,5.11,20200102
江门市,广东省,4.69,20200102
中山市,广东省,3.84,20200102
茂名市,广东省,2.58,20200102
梧州市,广西壮族自治区,2.54,20200102
阳江市,广东省,2.51,20200102
珠海市,广东省,1.75,20200102
清远市,广东省,1.54,20200102
惠州市,广东省,1.37,20200102
湛江市,广东省,1.02,20200102
贵港市,广西壮族自治区,0.8,20200102
南宁市,广西壮族自治区,0.72,20200102
玉林市,广西壮族自治区,0.7,20200102
贺州市,广西壮族自治区,0.62,20200102
韶关市,广东省,0.53,20200102
揭阳市,广东省,0.4,20200102
铜仁市,贵州省,0.4,20200102
文山壮族苗族自治州,云南省,0.39,20200102
汕头市,广东省,0.38,20200102
河源市,广东省,0.36,20200102
百色市,广西壮族自治区,0.36,20200102
香港,香港,0.35,20200102
梅州市,广东省,0.34,20200102
重庆市,重庆市,0.31,20200102
长沙市,湖南省,0.3,20200102
桂林市,广西壮族自治区,0.29,20200102
澳门,澳门,0.28,20200102
永州市,湖南省,0.22,20200102
钦州市,广西壮族自治区,0.21,20200102
崇左市,广西壮族自治区,0.2,20200102
郴州市,湖南省,0.2,20200102
黔东南苗族侗族自治州,贵州省,0.19,20200102
南充市,四川省,0.18,20200102
驻马店市,河南省,0.18,20200102
汕尾市,广东省,0.17,20200102
荆州市,湖北省,0.17,20200102
衡阳市,湖南省,0.16,20200102
遵义市,贵州省,0.15,20200102
柳州市,广西壮族自治区,0.15,20200102
孝感市,湖北省,0.15,20200102
武汉市,湖北省,0.14,20200102
娄底市,湖南省,0.14,20200102
泉州市,福建省,0.13,20200102
河池市,广西壮族自治区,0.13,20200102
黔南布依族苗族自治州,贵州省,0.13,20200102
邵阳市,湖南省,0.13,20200102
肇庆市,广东省,20.92,20200103
广州市,广东省,18.25,20200103
佛山市,广东省,15.31,20200103
江门市,广东省,4.63,20200103
东莞市,广东省,4.05,20200103
深圳市,广东省,4.02,20200103
阳江市,广东省,3.8,20200103
茂名市,广东省,3.39,20200103
中山市,广东省,3.01,20200103
梧州市,广西壮族自治区,2.81,20200103
珠海市,广东省,1.37,20200103
清远市,广东省,1.34,20200103
惠州市,广东省,1.14,20200103
湛江市,广东省,1.03,20200103
贵港市,广西壮族自治区,0.85,20200103
玉林市,广西壮族自治区,0.82,20200103
南宁市,广西壮族自治区,0.72,20200103
铜仁市,贵州省,0.52,20200103
韶关市,广东省,0.48,20200103
贺州市,广西壮族自治区,0.45,20200103
百色市,广西壮族自治区,0.43,20200103
澳门,澳门,0.39,20200103
重庆市,重庆市,0.35,20200103
河源市,广东省,0.35,20200103
香港,香港,0.33,20200103
桂林市,广西壮族自治区,0.33,20200103
钦州市,广西壮族自治区,0.3,20200103
崇左市,广西壮族自治区,0.29,20200103
南充市,四川省,0.26,20200103
柳州市,广西壮族自治区,0.22,20200103
汕头市,广东省,0.21,20200103
文山壮族苗族自治州,云南省,0.19,20200103
永州市,湖南省,0.19,20200103
驻马店市,河南省,0.18,20200103
黔东南苗族侗族自治州,贵州省,0.17,20200103
长沙市,湖南省,0.16,20200103
遵义市,贵州省,0.15,20200103
衡阳市,湖南省,0.15,20200103
梅州市,广东省,0.14,20200103
汕尾市,广东省,0.14,20200103
荆州市,湖北省,0.14,20200103
北海市,广西壮族自治区,0.14,20200103
揭阳市,广东省,0.13,20200103
黔南布依族苗族自治州,贵州省,0.13,20200103
河池市,广西壮族自治区,0.12,20200103
防城港市,广西壮族自治区,0.12,20200103
昭通市,云南省,0.12,20200103
成都市,四川省,0.11,20200103
保定市,河北省,0.11,20200103
郴州市,湖南省,0.11,20200103
肇庆市,广东省,22.24,20200104
广州市,广东省,15.99,20200104
佛山市,广东省,13.48,20200104
江门市,广东省,5.71,20200104
阳江市,广东省,4.35,20200104
茂名市,广东省,3.84,20200104
东莞市,广东省,3.69,20200104
梧州市,广西壮族自治区,3.55,20200104
深圳市,广东省,3.45,20200104
中山市,广东省,2.6,20200104
珠海市,广东省,1.62,20200104
清远市,广东省,1.47,20200104
惠州市,广东省,1.1,20200104
玉林市,广西壮族自治区,0.98,20200104
湛江市,广东省,0.96,20200104
贵港市,广西壮族自治区,0.86,20200104
南宁市,广西壮族自治区,0.59,20200104
贺州市,广西壮族自治区,0.58,20200104
文山壮族苗族自治州,云南省,0.44,20200104
铜仁市,贵州省,0.43,20200104
韶关市,广东省,0.41,20200104
重庆市,重庆市,0.39,20200104
百色市,广西壮族自治区,0.37,20200104
河源市,广东省,0.37,20200104
澳门,澳门,0.34,20200104
遵义市,贵州省,0.32,20200104
黔东南苗族侗族自治州,贵州省,0.32,20200104
钦州市,广西壮族自治区,0.29,20200104
柳州市,广西壮族自治区,0.27,20200104
桂林市,广西壮族自治区,0.23,20200104
崇左市,广西壮族自治区,0.23,20200104
南充市,四川省,0.23,20200104
永州市,湖南省,0.22,20200104
梅州市,广东省,0.22,20200104
衡阳市,湖南省,0.21,20200104
揭阳市,广东省,0.2,20200104
汕头市,广东省,0.2,20200104
香港,香港,0.19,20200104
汕尾市,广东省,0.19,20200104
来宾市,广西壮族自治区,0.18,20200104
赣州市,江西省,0.17,20200104
武汉市,湖北省,0.16,20200104
岳阳市,湖南省,0.16,20200104
驻马店市,河南省,0.14,20200104
河池市,广西壮族自治区,0.14,20200104
荆州市,湖北省,0.14,20200104
宜春市,江西省,0.14,20200104
黔南布依族苗族自治州,贵州省,0.14,20200104
泉州市,福建省,0.13,20200104
黄冈市,湖北省,0.13,20200104
肇庆市,广东省,21.67,20200105
广州市,广东省,18.74,20200105
佛山市,广东省,13.14,20200105
江门市,广东省,5.79,20200105
深圳市,广东省,4.35,20200105
阳江市,广东省,4.03,20200105
茂名市,广东省,3.56,20200105
东莞市,广东省,3.46,20200105
梧州市,广西壮族自治区,2.94,20200105
中山市,广东省,2.81,20200105
清远市,广东省,1.47,20200105
珠海市,广东省,1.46,20200105
湛江市,广东省,1.12,20200105
惠州市,广东省,0.95,20200105
玉林市,广西壮族自治区,0.93,20200105
贵港市,广西壮族自治区,0.69,20200105
贺州市,广西壮族自治区,0.5,20200105
南宁市,广西壮族自治区,0.46,20200105
文山壮族苗族自治州,云南省,0.44,20200105
铜仁市,贵州省,0.44,20200105
澳门,澳门,0.42,20200105
韶关市,广东省,0.42,20200105
重庆市,重庆市,0.35,20200105
钦州市,广西壮族自治区,0.33,20200105
河源市,广东省,0.32,20200105
香港,香港,0.29,20200105
桂林市,广西壮族自治区,0.25,20200105
百色市,广西壮族自治区,0.23,20200105
衡阳市,湖南省,0.21,20200105
长沙市,湖南省,0.21,20200105
梅州市,广东省,0.2,20200105
汕头市,广东省,0.2,20200105
黔东南苗族侗族自治州,贵州省,0.2,20200105
驻马店市,河南省,0.19,20200105
揭阳市,广东省,0.19,20200105
南充市,四川省,0.19,20200105
永州市,湖南省,0.19,20200105
潮州市,广东省,0.18,20200105
泸州市,四川省,0.17,20200105
崇左市,广西壮族自治区,0.14,20200105
柳州市,广西壮族自治区,0.14,20200105
怀化市,湖南省,0.14,20200105
娄底市,湖南省,0.14,20200105
宜春市,江西省,0.14,20200105
北海市,广西壮族自治区,0.13,20200105
岳阳市,湖南省,0.13,20200105
遵义市,贵州省,0.12,20200105
保定市,河北省,0.12,20200105
黄冈市,湖北省,0.12,20200105
黔南布依族苗族自治州,贵州省,0.12,20200105
肇庆市,广东省,20.32,20200106
广州市,广东省,17.53,20200106
佛山市,广东省,11.39,20200106
江门市,广东省,5.79,20200106
阳江市,广东省,4.59,20200106
茂名市,广东省,4.1,20200106
深圳市,广东省,3.61,20200106
东莞市,广东省,3.48,20200106
梧州市,广西壮族自治区,3.44,20200106
中山市,广东省,2.51,20200106
清远市,广东省,1.58,20200106
珠海市,广东省,1.49,20200106
湛江市,广东省,1.07,20200106
玉林市,广西壮族自治区,0.89,20200106
贵港市,广西壮族自治区,0.88,20200106
贺州市,广西壮族自治区,0.86,20200106
惠州市,广东省,0.85,20200106
南宁市,广西壮族自治区,0.68,20200106
铜仁市,贵州省,0.59,20200106
重庆市,重庆市,0.55,20200106
文山壮族苗族自治州,云南省,0.43,20200106
南充市,四川省,0.41,20200106
钦州市,广西壮族自治区,0.41,20200106
韶关市,广东省,0.4,20200106
百色市,广西壮族自治区,0.38,20200106
河源市,广东省,0.37,20200106
黔东南苗族侗族自治州,贵州省,0.36,20200106
香港,香港,0.33,20200106
桂林市,广西壮族自治区,0.32,20200106
衡阳市,湖南省,0.31,20200106
崇左市,广西壮族自治区,0.29,20200106
澳门,澳门,0.28,20200106
揭阳市,广东省,0.24,20200106
遵义市,贵州省,0.24,20200106
郴州市,湖南省,0.23,20200106
柳州市,广西壮族自治区,0.23,20200106
驻马店市,河南省,0.21,20200106
宜春市,江西省,0.21,20200106
永州市,湖南省,0.21,20200106
广安市,四川省,0.2,20200106
梅州市,广东省,0.2,20200106
汕尾市,广东省,0.2,20200106
汕头市,广东省,0.19,20200106
赣州市,江西省,0.19,20200106
泸州市,四川省,0.17,20200106
黄冈市,湖北省,0.17,20200106
成都市,四川省,0.16,20200106
泉州市,福建省,0.16,20200106
来宾市,广西壮族自治区,0.16,20200106
河池市,广西壮族自治区,0.16,20200106
肇庆市,广东省,20.11,20200107
广州市,广东省,16.92,20200107
佛山市,广东省,12.56,20200107
江门市,广东省,5.58,20200107
阳江市,广东省,4.06,20200107
茂名市,广东省,3.93,20200107
深圳市,广东省,3.65,20200107
梧州市,广西壮族自治区,3.46,20200107
东莞市,广东省,3.3,20200107
中山市,广东省,2.78,20200107
清远市,广东省,1.3,20200107
珠海市,广东省,1.26,20200107
玉林市,广西壮族自治区,1.09,20200107
惠州市,广东省,1.01,20200107
湛江市,广东省,0.96,20200107
贵港市,广西壮族自治区,0.92,20200107
南宁市,广西壮族自治区,0.86,20200107
贺州市,广西壮族自治区,0.83,20200107
铜仁市,贵州省,0.75,20200107
百色市,广西壮族自治区,0.58,20200107
重庆市,重庆市,0.5,20200107
永州市,湖南省,0.49,20200107
南充市,四川省,0.41,20200107
文山壮族苗族自治州,云南省,0.41,20200107
韶关市,广东省,0.37,20200107
河源市,广东省,0.36,20200107
钦州市,广西壮族自治区,0.35,20200107
澳门,澳门,0.33,20200107
遵义市,贵州省,0.31,20200107
驻马店市,河南省,0.31,20200107
梅州市,广东省,0.28,20200107
香港,香港,0.28,20200107
柳州市,广西壮族自治区,0.27,20200107
崇左市,广西壮族自治区,0.26,20200107
衡阳市,湖南省,0.26,20200107
岳阳市,湖南省,0.26,20200107
河池市,广西壮族自治区,0.25,20200107
桂林市,广西壮族自治区,0.25,20200107
黔东南苗族侗族自治州,贵州省,0.21,20200107
泉州市,福建省,0.21,20200107
常德市,湖南省,0.21,20200107
泸州市,四川省,0.19,20200107
来宾市,广西壮族自治区,0.19,20200107
汕尾市,广东省,0.18,20200107
黄冈市,湖北省,0.17,20200107
郴州市,湖南省,0.17,20200107
荆州市,湖北省,0.16,20200107
长沙市,湖南省,0.16,20200107
邵阳市,湖南省,0.16,20200107
娄底市,湖南省,0.16,20200107
肇庆市,广东省,19.28,20200108
广州市,广东省,17.84,20200108
佛山市,广东省,12.16,20200108
江门市,广东省,4.76,20200108
深圳市,广东省,4.06,20200108
茂名市,广东省,4.02,20200108
阳江市,广东省,3.93,20200108
东莞市,广东省,3.72,20200108
梧州市,广西壮族自治区,3.08,20200108
中山市,广东省,2.63,20200108
珠海市,广东省,1.48,20200108
清远市,广东省,1.31,20200108
玉林市,广西壮族自治区,1.21,20200108
贺州市,广西壮族自治区,0.99,20200108
贵港市,广西壮族自治区,0.95,20200108
湛江市,广东省,0.9,20200108
南宁市,广西壮族自治区,0.88,20200108
惠州市,广东省,0.77,20200108
铜仁市,贵州省,0.73,20200108
重庆市,重庆市,0.57,20200108
永州市,湖南省,0.51,20200108
澳门,澳门,0.5,20200108
百色市,广西壮族自治区,0.46,20200108
钦州市,广西壮族自治区,0.41,20200108
文山壮族苗族自治州,云南省,0.38,20200108
南充市,四川省,0.38,20200108
韶关市,广东省,0.37,20200108
桂林市,广西壮族自治区,0.31,20200108
河池市,广西壮族自治区,0.3,20200108
柳州市,广西壮族自治区,0.29,20200108
崇左市,广西壮族自治区,0.28,20200108
遵义市,贵州省,0.27,20200108
衡阳市,湖南省,0.26,20200108
香港,香港,0.25,20200108
黔东南苗族侗族自治州,贵州省,0.24,20200108
梅州市,广东省,0.24,20200108
汕尾市,广东省,0.24,20200108
赣州市,江西省,0.22,20200108
长沙市,湖南省,0.22,20200108
岳阳市,湖南省,0.22,20200108
河源市,广东省,0.22,20200108
邵阳市,湖南省,0.21,20200108
汕头市,广东省,0.21,20200108
广安市,四川省,0.2,20200108
泸州市,四川省,0.19,20200108
荆州市,湖北省,0.19,20200108
驻马店市,河南省,0.18,20200108
北京市,北京市,0.18,20200108
郴州市,湖南省,0.16,20200108
常德市,湖南省,0.16,20200108
肇庆市,广东省,20.18,20200109
广州市,广东省,15.53,20200109
佛山市,广东省,11.61,20200109
江门市,广东省,4.71,20200109
阳江市,广东省,4.13,20200109
东莞市,广东省,3.67,20200109
茂名市,广东省,3.51,20200109
深圳市,广东省,3.0,20200109
梧州市,广西壮族自治区,2.86,20200109
中山市,广东省,2.37,20200109
珠海市,广东省,1.24,20200109
贺州市,广西壮族自治区,1.06,20200109
铜仁市,贵州省,1.0,20200109
清远市,广东省,0.98,20200109
玉林市,广西壮族自治区,0.97,20200109
贵港市,广西壮族自治区,0.9,20200109
湛江市,广东省,0.9,20200109
惠州市,广东省,0.83,20200109
南宁市,广西壮族自治区,0.78,20200109
百色市,广西壮族自治区,0.74,20200109
重庆市,重庆市,0.64,20200109
南充市,四川省,0.57,20200109
文山壮族苗族自治州,云南省,0.52,20200109
钦州市,广西壮族自治区,0.5,20200109
永州市,湖南省,0.48,20200109
柳州市,广西壮族自治区,0.44,20200109
崇左市,广西壮族自治区,0.38,20200109
衡阳市,湖南省,0.38,20200109
黔东南苗族侗族自治州,贵州省,0.36,20200109
桂林市,广西壮族自治区,0.35,20200109
河池市,广西壮族自治区,0.35,20200109
长沙市,湖南省,0.35,20200109
遵义市,贵州省,0.35,20200109
梅州市,广东省,0.33,20200109
韶关市,广东省,0.32,20200109
澳门,澳门,0.3,20200109
岳阳市,湖南省,0.28,20200109
河源市,广东省,0.28,20200109
荆州市,湖北省,0.28,20200109
泸州市,四川省,0.26,20200109
郴州市,湖南省,0.26,20200109
来宾市,广西壮族自治区,0.24,20200109
广安市,四川省,0.23,20200109
泉州市,福建省,0.23,20200109
黄冈市,湖北省,0.23,20200109
赣州市,江西省,0.23,20200109
揭阳市,广东省,0.23,20200109
毕节市,贵州省,0.22,20200109
邵阳市,湖南省,0.21,20200109
达州市,四川省,0.21,20200109
肇庆市,广东省,21.18,20200110
广州市,广东省,16.98,20200110
佛山市,广东省,12.72,20200110
江门市,广东省,4.54,20200110
茂名市,广东省,4.07,20200110
阳江市,广东省,3.9,20200110
深圳市,广东省,3.21,20200110
东莞市,广东省,3.2,20200110
梧州市,广西壮族自治区,3.15,20200110
中山市,广东省,2.27,20200110
贺州市,广西壮族自治区,1.24,20200110
玉林市,广西壮族自治区,1.16,20200110
湛江市,广东省,1.11,20200110
珠海市,广东省,1.08,20200110
南宁市,广西壮族自治区,1.06,20200110
贵港市,广西壮族自治区,0.97,20200110
清远市,广东省,0.96,20200110
惠州市,广东省,0.88,20200110
铜仁市,贵州省,0.75,20200110
桂林市,广西壮族自治区,0.73,20200110
百色市,广西壮族自治区,0.55,20200110
钦州市,广西壮族自治区,0.51,20200110
文山壮族苗族自治州,云南省,0.46,20200110
重庆市,重庆市,0.45,20200110
永州市,湖南省,0.43,20200110
韶关市,广东省,0.43,20200110
柳州市,广西壮族自治区,0.37,20200110
崇左市,广西壮族自治区,0.34,20200110
澳门,澳门,0.33,20200110
长沙市,湖南省,0.32,20200110
黔东南苗族侗族自治州,贵州省,0.31,20200110
赣州市,江西省,0.3,20200110
河池市,广西壮族自治区,0.3,20200110
衡阳市,湖南省,0.29,20200110
遵义市,贵州省,0.28,20200110
河源市,广东省,0.27,20200110
岳阳市,湖南省,0.25,20200110
泉州市,福建省,0.24,20200110
南充市,四川省,0.22,20200110
梅州市,广东省,0.21,20200110
泸州市,四川省,0.2,20200110
香港,香港,0.2,20200110
汕头市,广东省,0.19,20200110
贵阳市,贵州省,0.19,20200110
揭阳市,广东省,0.18,20200110
常德市,湖南省,0.17,20200110
来宾市,广西壮族自治区,0.17,20200110
汕尾市,广东省,0.17,20200110
怀化市,湖南省,0.16,20200110
荆州市,湖北省,0.16,20200110
肇庆市,广东省,23.0,20200111
广州市,广东省,15.45,20200111
佛山市,广东省,11.53,20200111
江门市,广东省,5.31,20200111
