city_name,province_name,value,date
广州市,广东省,41.62,20200101
中山市,广东省,8.68,20200101
肇庆市,广东省,7.93,20200101
江门市,广东省,5.11,20200101
东莞市,广东省,3.41,20200101
清远市,广东省,3.36,20200101
深圳市,广东省,2.62,20200101
云浮市,广东省,1.66,20200101
贵港市,广西壮族自治区,1.28,20200101
珠海市,广东省,1.21,20200101
惠州市,广东省,1.04,20200101
湛江市,广东省,1.0,20200101
韶关市,广东省,0.94,20200101
梧州市,广西壮族自治区,0.92,20200101
茂名市,广东省,0.82,20200101
衡阳市,湖南省,0.63,20200101
南宁市,广西壮族自治区,0.61,20200101
玉林市,广西壮族自治区,0.61,20200101
阳江市,广东省,0.58,20200101
重庆市,重庆市,0.55,20200101
贺州市,广西壮族自治区,0.5,20200101
澳门,澳门,0.49,20200101
永州市,湖南省,0.46,20200101
河源市,广东省,0.43,20200101
桂林市,广西壮族自治区,0.41,20200101
赣州市,江西省,0.37,20200101
百色市,广西壮族自治区,0.36,20200101
钦州市,广西壮族自治区,0.34,20200101
郴州市,湖南省,0.34,20200101
香港,香港,0.31,20200101
梅州市,广东省,0.31,20200101
揭阳市,广东省,0.28,20200101
铜仁市,贵州省,0.27,20200101
文山壮族苗族自治州,云南省,0.26,20200101
河池市,广西壮族自治区,0.25,20200101
汕尾市,广东省,0.25,20200101
长沙市,湖南省,0.25,20200101
达州市,四川省,0.21,20200101
遵义市,贵州省,0.2,20200101
汕头市,广东省,0.19,20200101
岳阳市,湖南省,0.19,20200101
柳州市,广西壮族自治区,0.18,20200101
邵阳市,湖南省,0.18,20200101
成都市,四川省,0.17,20200101
荆州市,湖北省,0.17,20200101
湘西土家族苗族自治州,湖南省,0.17,20200101
黔东南苗族侗族自治州,贵州省,0.16,20200101
九江市,江西省,0.15,20200101
驻马店市,河南省,0.14,20200101
上海市,上海市,0.14,20200101
广州市,广东省,28.35,20200102
肇庆市,广东省,5.84,20200102
中山市,广东省,5.21,20200102
江门市,广东省,3.9,20200102
东莞市,广东省,3.54,20200102
深圳市,广东省,3.49,20200102
清远市,广东省,3.3,20200102
贵港市,广西壮族自治区,1.92,20200102
云浮市,广东省,1.55,20200102
惠州市,广东省,1.45,20200102
衡阳市,湖南省,1.38,20200102
湛江市,广东省,1.33,20200102
梧州市,广西壮族自治区,1.27,20200102
重庆市,重庆市,1.25,20200102
珠海市,广东省,1.15,20200102
韶关市,广东省,1.13,20200102
南宁市,广西壮族自治区,1.04,20200102
茂名市,广东省,1.04,20200102
玉林市,广西壮族自治区,0.9,20200102
贺州市,广西壮族自治区,0.81,20200102
永州市,湖南省,0.81,20200102
阳江市,广东省,0.76,20200102
百色市,广西壮族自治区,0.75,20200102
铜仁市,贵州省,0.7,20200102
桂林市,广西壮族自治区,0.66,20200102
赣州市,江西省,0.63,20200102
郴州市,湖南省,0.6,20200102
钦州市,广西壮族自治区,0.58,20200102
文山壮族苗族自治州,云南省,0.54,20200102
河池市,广西壮族自治区,0.53,20200102
达州市,四川省,0.52,20200102
河源市,广东省,0.49,20200102
遵义市,贵州省,0.48,20200102
梅州市,广东省,0.48,20200102
长沙市,湖南省,0.48,20200102
荆州市,湖北省,0.46,20200102
揭阳市,广东省,0.44,20200102
香港,香港,0.42,20200102
澳门,澳门,0.41,20200102
黔东南苗族侗族自治州,贵州省,0.41,20200102
岳阳市,湖南省,0.39,20200102
南充市,四川省,0.38,20200102
湘西土家族苗族自治州,湖南省,0.37,20200102
九江市,江西省,0.37,20200102
成都市,四川省,0.36,20200102
汕头市,广东省,0.36,20200102
邵阳市,湖南省,0.35,20200102
驻马店市,河南省,0.34,20200102
怀化市,湖南省,0.34,20200102
柳州市,广西壮族自治区,0.34,20200102
广州市,广东省,36.25,20200103
中山市,广东省,7.11,20200103
肇庆市,广东省,6.34,20200103
江门市,广东省,4.38,20200103
东莞市,广东省,3.41,20200103
深圳市,广东省,3.39,20200103
清远市,广东省,3.38,20200103
云浮市,广东省,1.49,20200103
贵港市,广西壮族自治区,1.44,20200103
惠州市,广东省,1.38,20200103
珠海市,广东省,1.23,20200103
湛江市,广东省,1.17,20200103
韶关市,广东省,1.04,20200103
衡阳市,湖南省,1.03,20200103
重庆市,重庆市,0.97,20200103
梧州市,广西壮族自治区,0.91,20200103
茂名市,广东省,0.89,20200103
南宁市,广西壮族自治区,0.74,20200103
阳江市,广东省,0.69,20200103
玉林市,广西壮族自治区,0.67,20200103
永州市,湖南省,0.59,20200103
贺州市,广西壮族自治区,0.59,20200103
赣州市,江西省,0.5,20200103
桂林市,广西壮族自治区,0.5,20200103
百色市,广西壮族自治区,0.49,20200103
梅州市,广东省,0.47,20200103
澳门,澳门,0.45,20200103
河源市,广东省,0.44,20200103
钦州市,广西壮族自治区,0.41,20200103
长沙市,湖南省,0.41,20200103
铜仁市,贵州省,0.4,20200103
郴州市,湖南省,0.39,20200103
揭阳市,广东省,0.39,20200103
香港,香港,0.36,20200103
岳阳市,湖南省,0.34,20200103
汕头市,广东省,0.34,20200103
河池市,广西壮族自治区,0.32,20200103
遵义市,贵州省,0.32,20200103
达州市,四川省,0.31,20200103
文山壮族苗族自治州,云南省,0.29,20200103
南充市,四川省,0.29,20200103
黔东南苗族侗族自治州,贵州省,0.29,20200103
汕尾市,广东省,0.28,20200103
荆州市,湖北省,0.27,20200103
邵阳市,湖南省,0.27,20200103
柳州市,广西壮族自治区,0.26,20200103
成都市,四川省,0.25,20200103
怀化市,湖南省,0.24,20200103
娄底市,湖南省,0.24,20200103
常德市,湖南省,0.24,20200103
广州市,广东省,37.0,20200104
中山市,广东省,6.76,20200104
肇庆市,广东省,6.75,20200104
江门市,广东省,4.94,20200104
清远市,广东省,3.41,20200104
东莞市,广东省,3.34,20200104
深圳市,广东省,3.2,20200104
云浮市,广东省,1.67,20200104
惠州市,广东省,1.37,20200104
贵港市,广西壮族自治区,1.34,20200104
珠海市,广东省,1.28,20200104
湛江市,广东省,1.12,20200104
韶关市,广东省,0.98,20200104
衡阳市,湖南省,0.96,20200104
茂名市,广东省,0.93,20200104
梧州市,广西壮族自治区,0.89,20200104
重庆市,重庆市,0.87,20200104
南宁市,广西壮族自治区,0.72,20200104
阳江市,广东省,0.69,20200104
玉林市,广西壮族自治区,0.64,20200104
澳门,澳门,0.54,20200104
永州市,湖南省,0.54,20200104
贺州市,广西壮族自治区,0.53,20200104
赣州市,江西省,0.48,20200104
百色市,广西壮族自治区,0.47,20200104
桂林市,广西壮族自治区,0.46,20200104
河源市,广东省,0.44,20200104
梅州市,广东省,0.41,20200104
郴州市,湖南省,0.4,20200104
揭阳市,广东省,0.4,20200104
铜仁市,贵州省,0.38,20200104
钦州市,广西壮族自治区,0.38,20200104
长沙市,湖南省,0.36,20200104
汕头市,广东省,0.35,20200104
香港,香港,0.32,20200104
岳阳市,湖南省,0.32,20200104
汕尾市,广东省,0.31,20200104
河池市,广西壮族自治区,0.3,20200104
达州市,四川省,0.29,20200104
荆州市,湖北省,0.29,20200104
遵义市,贵州省,0.27,20200104
南充市,四川省,0.27,20200104
九江市,江西省,0.26,20200104
文山壮族苗族自治州,云南省,0.26,20200104
广安市,四川省,0.24,20200104
成都市,四川省,0.24,20200104
怀化市,湖南省,0.24,20200104
邵阳市,湖南省,0.23,20200104
常德市,湖南省,0.23,20200104
株洲市,湖南省,0.23,20200104
广州市,广东省,41.34,20200105
中山市,广东省,6.5,20200105
肇庆市,广东省,5.72,20200105
江门市,广东省,3.88,20200105
深圳市,广东省,3.33,20200105
东莞市,广东省,2.86,20200105
清远市,广东省,2.85,20200105
贵港市,广西壮族自治区,1.45,20200105
云浮市,广东省,1.43,20200105
珠海市,广东省,1.11,20200105
湛江市,广东省,1.1,20200105
惠州市,广东省,1.04,20200105
衡阳市,湖南省,0.96,20200105
梧州市,广西壮族自治区,0.89,20200105
重庆市,重庆市,0.83,20200105
茂名市,广东省,0.82,20200105
韶关市,广东省,0.81,20200105
南宁市,广西壮族自治区,0.74,20200105
玉林市,广西壮族自治区,0.67,20200105
阳江市,广东省,0.62,20200105
贺州市,广西壮族自治区,0.55,20200105
永州市,湖南省,0.51,20200105
澳门,澳门,0.5,20200105
百色市,广西壮族自治区,0.47,20200105
赣州市,江西省,0.45,20200105
香港,香港,0.43,20200105
钦州市,广西壮族自治区,0.42,20200105
桂林市,广西壮族自治区,0.4,20200105
郴州市,湖南省,0.39,20200105
长沙市,湖南省,0.37,20200105
揭阳市,广东省,0.37,20200105
河源市,广东省,0.37,20200105
梅州市,广东省,0.35,20200105
铜仁市,贵州省,0.35,20200105
达州市,四川省,0.33,20200105
岳阳市,湖南省,0.33,20200105
河池市,广西壮族自治区,0.31,20200105
汕头市,广东省,0.31,20200105
汕尾市,广东省,0.3,20200105
荆州市,湖北省,0.28,20200105
南充市,四川省,0.28,20200105
邵阳市,湖南省,0.28,20200105
怀化市,湖南省,0.26,20200105
广安市,四川省,0.26,20200105
遵义市,贵州省,0.26,20200105
九江市,江西省,0.25,20200105
成都市,四川省,0.25,20200105
文山壮族苗族自治州,云南省,0.25,20200105
北京市,北京市,0.25,20200105
柳州市,广西壮族自治区,0.23,20200105
广州市,广东省,39.12,20200106
中山市,广东省,6.79,20200106
肇庆市,广东省,5.53,20200106
江门市,广东省,3.63,20200106
东莞市,广东省,2.81,20200106
清远市,广东省,2.75,20200106
深圳市,广东省,2.69,20200106
云浮市,广东省,1.49,20200106
贵港市,广西壮族自治区,1.49,20200106
惠州市,广东省,1.16,20200106
湛江市,广东省,1.13,20200106
衡阳市,湖南省,1.09,20200106
梧州市,广西壮族自治区,1.01,20200106
重庆市,重庆市,0.94,20200106
珠海市,广东省,0.91,20200106
茂名市,广东省,0.9,20200106
韶关市,广东省,0.81,20200106
南宁市,广西壮族自治区,0.79,20200106
玉林市,广西壮族自治区,0.71,20200106
阳江市,广东省,0.65,20200106
永州市,湖南省,0.61,20200106
贺州市,广西壮族自治区,0.59,20200106
百色市,广西壮族自治区,0.56,20200106
香港,香港,0.51,20200106
赣州市,江西省,0.49,20200106
桂林市,广西壮族自治区,0.49,20200106
澳门,澳门,0.48,20200106
钦州市,广西壮族自治区,0.47,20200106
铜仁市,贵州省,0.47,20200106
郴州市,湖南省,0.46,20200106
揭阳市,广东省,0.43,20200106
岳阳市,湖南省,0.41,20200106
河池市,广西壮族自治区,0.39,20200106
河源市,广东省,0.38,20200106
达州市,四川省,0.38,20200106
梅州市,广东省,0.36,20200106
汕头市,广东省,0.36,20200106
荆州市,湖北省,0.35,20200106
遵义市,贵州省,0.35,20200106
汕尾市,广东省,0.34,20200106
九江市,江西省,0.34,20200106
长沙市,湖南省,0.33,20200106
南充市,四川省,0.33,20200106
文山壮族苗族自治州,云南省,0.32,20200106
邵阳市,湖南省,0.31,20200106
柳州市,广西壮族自治区,0.27,20200106
广安市,四川省,0.26,20200106
怀化市,湖南省,0.26,20200106
株洲市,湖南省,0.26,20200106
湘西土家族苗族自治州,湖南省,0.26,20200106
广州市,广东省,35.18,20200107
中山市,广东省,6.45,20200107
肇庆市,广东省,5.52,20200107
江门市,广东省,3.54,20200107
清远市,广东省,2.84,20200107
东莞市,广东省,2.75,20200107
深圳市,广东省,2.56,20200107
贵港市,广西壮族自治区,1.76,20200107
云浮市,广东省,1.46,20200107
衡阳市,湖南省,1.3,20200107
湛江市,广东省,1.23,20200107
惠州市,广东省,1.12,20200107
重庆市,重庆市,1.08,20200107
梧州市,广西壮族自治区,1.05,20200107
茂名市,广东省,0.94,20200107
南宁市,广西壮族自治区,0.93,20200107
韶关市,广东省,0.87,20200107
珠海市,广东省,0.86,20200107
玉林市,广西壮族自治区,0.81,20200107
永州市,湖南省,0.8,20200107
贺州市,广西壮族自治区,0.72,20200107
百色市,广西壮族自治区,0.71,20200107
阳江市,广东省,0.66,20200107
赣州市,江西省,0.58,20200107
钦州市,广西壮族自治区,0.58,20200107
桂林市,广西壮族自治区,0.57,20200107
铜仁市,贵州省,0.52,20200107
揭阳市,广东省,0.51,20200107
郴州市,湖南省,0.5,20200107
岳阳市,湖南省,0.47,20200107
汕头市,广东省,0.46,20200107
澳门,澳门,0.44,20200107
九江市,江西省,0.44,20200107
河池市,广西壮族自治区,0.43,20200107
达州市,四川省,0.43,20200107
梅州市,广东省,0.41,20200107
荆州市,湖北省,0.4,20200107
长沙市,湖南省,0.39,20200107
香港,香港,0.39,20200107
遵义市,贵州省,0.38,20200107
汕尾市,广东省,0.38,20200107
河源市,广东省,0.37,20200107
邵阳市,湖南省,0.36,20200107
南充市,四川省,0.35,20200107
