city_name,province_name,value,date
北京市,北京市,34.1,20200101
石家庄市,河北省,15.78,20200101
沧州市,河北省,8.04,20200101
廊坊市,河北省,7.6,20200101
天津市,天津市,4.87,20200101
衡水市,河北省,3.48,20200101
张家口市,河北省,1.89,20200101
邯郸市,河北省,1.79,20200101
邢台市,河北省,1.66,20200101
唐山市,河北省,1.56,20200101
忻州市,山西省,1.14,20200101
承德市,河北省,0.75,20200101
大同市,山西省,0.59,20200101
秦皇岛市,河北省,0.46,20200101
德州市,山东省,0.42,20200101
太原市,山西省,0.42,20200101
郑州市,河南省,0.42,20200101
潍坊市,山东省,0.32,20200101
西安市,陕西省,0.3,20200101
滨州市,山东省,0.3,20200101
济南市,山东省,0.29,20200101
上海市,上海市,0.27,20200101
鄂尔多斯市,内蒙古自治区,0.25,20200101
聊城市,山东省,0.24,20200101
成都市,四川省,0.23,20200101
临沂市,山东省,0.22,20200101
朔州市,山西省,0.22,20200101
晋中市,山西省,0.21,20200101
重庆市,重庆市,0.21,20200101
周口市,河南省,0.2,20200101
沈阳市,辽宁省,0.2,20200101
阳泉市,山西省,0.2,20200101
菏泽市,山东省,0.19,20200101
赤峰市,内蒙古自治区,0.19,20200101
呼和浩特市,内蒙古自治区,0.19,20200101
安阳市,河南省,0.19,20200101
青岛市,山东省,0.17,20200101
驻马店市,河南省,0.17,20200101
广州市,广东省,0.16,20200101
武汉市,湖北省,0.16,20200101
哈尔滨市,黑龙江省,0.16,20200101
许昌市,河南省,0.16,20200101
南阳市,河南省,0.15,20200101
长沙市,湖南省,0.15,20200101
临汾市,山西省,0.14,20200101
阜阳市,安徽省,0.14,20200101
运城市,山西省,0.14,20200101
榆林市,陕西省,0.14,20200101
濮阳市,河南省,0.14,20200101
新乡市,河南省,0.13,20200101
北京市,北京市,30.3,20200102
石家庄市,河北省,13.24,20200102
廊坊市,河北省,5.95,20200102
天津市,天津市,5.43,20200102
沧州市,河北省,4.62,20200102
衡水市,河北省,2.55,20200102
邯郸市,河北省,2.21,20200102
唐山市,河北省,2.04,20200102
张家口市,河北省,1.87,20200102
邢台市,河北省,1.74,20200102
忻州市,山西省,1.13,20200102
承德市,河北省,0.88,20200102
秦皇岛市,河北省,0.66,20200102
郑州市,河南省,0.61,20200102
大同市,山西省,0.61,20200102
潍坊市,山东省,0.59,20200102
太原市,山西省,0.55,20200102
上海市,上海市,0.52,20200102
重庆市,重庆市,0.49,20200102
德州市,山东省,0.47,20200102
滨州市,山东省,0.45,20200102
济南市,山东省,0.44,20200102
西安市,陕西省,0.4,20200102
鄂尔多斯市,内蒙古自治区,0.39,20200102
青岛市,山东省,0.38,20200102
哈尔滨市,黑龙江省,0.36,20200102
聊城市,山东省,0.36,20200102
临沂市,山东省,0.35,20200102
成都市,四川省,0.33,20200102
赤峰市,内蒙古自治区,0.33,20200102
广州市,广东省,0.32,20200102
沈阳市,辽宁省,0.32,20200102
南阳市,河南省,0.32,20200102
周口市,河南省,0.31,20200102
呼和浩特市,内蒙古自治区,0.31,20200102
安阳市,河南省,0.3,20200102
驻马店市,河南省,0.27,20200102
阜阳市,安徽省,0.26,20200102
三亚市,海南省,0.25,20200102
榆林市,陕西省,0.25,20200102
武汉市,湖北省,0.24,20200102
朔州市,山西省,0.24,20200102
阳泉市,山西省,0.24,20200102
东营市,山东省,0.24,20200102
新乡市,河南省,0.24,20200102
运城市,山西省,0.23,20200102
商丘市,河南省,0.23,20200102
烟台市,山东省,0.22,20200102
济宁市,山东省,0.22,20200102
菏泽市,山东省,0.21,20200102
北京市,北京市,27.91,20200103
石家庄市,河北省,16.11,20200103
廊坊市,河北省,6.78,20200103
沧州市,河北省,6.15,20200103
天津市,天津市,5.03,20200103
衡水市,河北省,3.32,20200103
邯郸市,河北省,2.19,20200103
唐山市,河北省,2.1,20200103
张家口市,河北省,2.07,20200103
邢台市,河北省,2.04,20200103
忻州市,山西省,1.19,20200103
承德市,河北省,0.96,20200103
大同市,山西省,0.69,20200103
秦皇岛市,河北省,0.67,20200103
潍坊市,山东省,0.56,20200103
郑州市,河南省,0.53,20200103
太原市,山西省,0.53,20200103
德州市,山东省,0.5,20200103
济南市,山东省,0.49,20200103
滨州市,山东省,0.42,20200103
鄂尔多斯市,内蒙古自治区,0.39,20200103
周口市,河南省,0.38,20200103
赤峰市,内蒙古自治区,0.35,20200103
西安市,陕西省,0.34,20200103
聊城市,山东省,0.33,20200103
重庆市,重庆市,0.32,20200103
上海市,上海市,0.28,20200103
驻马店市,河南省,0.28,20200103
朔州市,山西省,0.28,20200103
成都市,四川省,0.27,20200103
青岛市,山东省,0.27,20200103
沈阳市,辽宁省,0.27,20200103
南阳市,河南省,0.27,20200103
菏泽市,山东省,0.26,20200103
安阳市,河南省,0.26,20200103
晋中市,山西省,0.26,20200103
运城市,山西省,0.25,20200103
哈尔滨市,黑龙江省,0.25,20200103
榆林市,陕西省,0.24,20200103
广州市,广东省,0.24,20200103
许昌市,河南省,0.23,20200103
呼和浩特市,内蒙古自治区,0.23,20200103
阜阳市,安徽省,0.21,20200103
临沂市,山东省,0.21,20200103
济宁市,山东省,0.21,20200103
武汉市,湖北省,0.21,20200103
商丘市,河南省,0.21,20200103
濮阳市,河南省,0.21,20200103
烟台市,山东省,0.2,20200103
洛阳市,河南省,0.19,20200103
北京市,北京市,30.5,20200104
石家庄市,河北省,16.23,20200104
廊坊市,河北省,7.27,20200104
沧州市,河北省,7.19,20200104
天津市,天津市,4.37,20200104
衡水市,河北省,3.94,20200104
张家口市,河北省,2.24,20200104
邯郸市,河北省,2.09,20200104
邢台市,河北省,1.98,20200104
唐山市,河北省,1.82,20200104
忻州市,山西省,0.91,20200104
承德市,河北省,0.86,20200104
大同市,山西省,0.67,20200104
秦皇岛市,河北省,0.51,20200104
德州市,山东省,0.46,20200104
太原市,山西省,0.45,20200104
郑州市,河南省,0.44,20200104
济南市,山东省,0.38,20200104
西安市,陕西省,0.34,20200104
聊城市,山东省,0.3,20200104
滨州市,山东省,0.29,20200104
潍坊市,山东省,0.29,20200104
上海市,上海市,0.29,20200104
重庆市,重庆市,0.28,20200104
朔州市,山西省,0.27,20200104
周口市,河南省,0.26,20200104
赤峰市,内蒙古自治区,0.26,20200104
青岛市,山东省,0.24,20200104
鄂尔多斯市,内蒙古自治区,0.24,20200104
菏泽市,山东省,0.24,20200104
成都市,四川省,0.24,20200104
许昌市,河南省,0.23,20200104
哈尔滨市,黑龙江省,0.22,20200104
驻马店市,河南省,0.22,20200104
呼和浩特市,内蒙古自治区,0.22,20200104
临沂市,山东省,0.21,20200104
晋中市,山西省,0.21,20200104
沈阳市,辽宁省,0.21,20200104
南阳市,河南省,0.21,20200104
安阳市,河南省,0.2,20200104
榆林市,陕西省,0.19,20200104
武汉市,湖北省,0.19,20200104
杭州市,浙江省,0.19,20200104
阳泉市,山西省,0.18,20200104
阜阳市,安徽省,0.18,20200104
运城市,山西省,0.18,20200104
商丘市,河南省,0.18,20200104
广州市,广东省,0.18,20200104
开封市,河南省,0.16,20200104
新乡市,河南省,0.15,20200104
北京市,北京市,44.82,20200105
石家庄市,河北省,14.6,20200105
廊坊市,河北省,6.42,20200105
沧州市,河北省,5.8,20200105
