city_name,province_name,value,date
郑州市,河南省,13.17,20200101
驻马店市,河南省,10.24,20200101
六安市,安徽省,4.86,20200101
武汉市,湖北省,4.73,20200101
北京市,北京市,4.44,20200101
杭州市,浙江省,3.66,20200101
阜阳市,安徽省,3.51,20200101
上海市,上海市,3.36,20200101
南阳市,河南省,3.13,20200101
苏州市,江苏省,3.07,20200101
嘉兴市,浙江省,1.69,20200101
东莞市,广东省,1.68,20200101
周口市,河南省,1.51,20200101
随州市,湖北省,1.49,20200101
合肥市,安徽省,1.37,20200101
黄冈市,湖北省,1.28,20200101
深圳市,广东省,1.16,20200101
平顶山市,河南省,1.14,20200101
许昌市,河南省,1.11,20200101
广州市,广东省,1.11,20200101
湖州市,浙江省,1.11,20200101
无锡市,江苏省,1.1,20200101
漯河市,河南省,1.03,20200101
孝感市,湖北省,1.02,20200101
商丘市,河南省,1.0,20200101
焦作市,河南省,0.97,20200101
洛阳市,河南省,0.96,20200101
南京市,江苏省,0.95,20200101
天津市,天津市,0.9,20200101
宁波市,浙江省,0.88,20200101
新乡市,河南省,0.84,20200101
温州市,浙江省,0.81,20200101
金华市,浙江省,0.81,20200101
开封市,河南省,0.79,20200101
安阳市,河南省,0.68,20200101
绍兴市,浙江省,0.62,20200101
西安市,陕西省,0.6,20200101
惠州市,广东省,0.52,20200101
佛山市,广东省,0.51,20200101
常州市,江苏省,0.5,20200101
长沙市,湖南省,0.42,20200101
襄阳市,湖北省,0.42,20200101
濮阳市,河南省,0.4,20200101
廊坊市,河北省,0.39,20200101
青岛市,山东省,0.35,20200101
中山市,广东省,0.3,20200101
南昌市,江西省,0.27,20200101
厦门市,福建省,0.26,20200101
南通市,江苏省,0.26,20200101
重庆市,重庆市,0.26,20200101
郑州市,河南省,14.27,20200102
北京市,北京市,6.19,20200102
驻马店市,河南省,5.0,20200102
上海市,上海市,4.35,20200102
杭州市,浙江省,4.32,20200102
武汉市,湖北省,4.08,20200102
苏州市,江苏省,3.67,20200102
嘉兴市,浙江省,2.44,20200102
东莞市,广东省,2.21,20200102
南阳市,河南省,2.18,20200102
六安市,安徽省,1.78,20200102
焦作市,河南省,1.66,20200102
阜阳市,安徽省,1.57,20200102
平顶山市,河南省,1.52,20200102
深圳市,广东省,1.48,20200102
许昌市,河南省,1.43,20200102
宁波市,浙江省,1.36,20200102
广州市,广东省,1.34,20200102
安阳市,河南省,1.33,20200102
周口市,河南省,1.3,20200102
湖州市,浙江省,1.3,20200102
温州市,浙江省,1.18,20200102
无锡市,江苏省,1.16,20200102
开封市,河南省,1.13,20200102
漯河市,河南省,1.13,20200102
新乡市,河南省,1.09,20200102
洛阳市,河南省,1.07,20200102
合肥市,安徽省,1.07,20200102
商丘市,河南省,1.06,20200102
天津市,天津市,1.03,20200102
金华市,浙江省,0.93,20200102
南京市,江苏省,0.93,20200102
绍兴市,浙江省,0.84,20200102
黄冈市,湖北省,0.81,20200102
佛山市,广东省,0.72,20200102
惠州市,广东省,0.69,20200102
西安市,陕西省,0.67,20200102
随州市,湖北省,0.64,20200102
孝感市,湖北省,0.55,20200102
廊坊市,河北省,0.51,20200102
中山市,广东省,0.51,20200102
常州市,江苏省,0.49,20200102
珠海市,广东省,0.44,20200102
长沙市,湖南省,0.4,20200102
青岛市,山东省,0.38,20200102
襄阳市,湖北省,0.33,20200102
保定市,河北省,0.32,20200102
厦门市,福建省,0.31,20200102
徐州市,江苏省,0.31,20200102
台州市,浙江省,0.31,20200102
郑州市,河南省,14.46,20200103
驻马店市,河南省,7.32,20200103
北京市,北京市,5.28,20200103
武汉市,湖北省,4.7,20200103
杭州市,浙江省,3.6,20200103
上海市,上海市,3.52,20200103
苏州市,江苏省,3.18,20200103
六安市,安徽省,2.96,20200103
南阳市,河南省,2.59,20200103
阜阳市,安徽省,2.33,20200103
东莞市,广东省,2.24,20200103
周口市,河南省,1.85,20200103
嘉兴市,浙江省,1.77,20200103
平顶山市,河南省,1.6,20200103
许昌市,河南省,1.51,20200103
新乡市,河南省,1.3,20200103
安阳市,河南省,1.29,20200103
焦作市,河南省,1.25,20200103
深圳市,广东省,1.25,20200103
漯河市,河南省,1.2,20200103
合肥市,安徽省,1.2,20200103
广州市,广东省,1.2,20200103
洛阳市,河南省,1.2,20200103
开封市,河南省,1.14,20200103
天津市,天津市,1.1,20200103
湖州市,浙江省,1.1,20200103
无锡市,江苏省,1.08,20200103
宁波市,浙江省,0.96,20200103
温州市,浙江省,0.92,20200103
黄冈市,湖北省,0.91,20200103
随州市,湖北省,0.88,20200103
商丘市,河南省,0.8,20200103
金华市,浙江省,0.79,20200103
南京市,江苏省,0.77,20200103
惠州市,广东省,0.75,20200103
孝感市,湖北省,0.69,20200103
绍兴市,浙江省,0.65,20200103
佛山市,广东省,0.63,20200103
西安市,陕西省,0.59,20200103
常州市,江苏省,0.51,20200103
廊坊市,河北省,0.4,20200103
襄阳市,湖北省,0.39,20200103
台州市,浙江省,0.35,20200103
中山市,广东省,0.34,20200103
珠海市,广东省,0.32,20200103
长沙市,湖南省,0.32,20200103
成都市,四川省,0.3,20200103
厦门市,福建省,0.29,20200103
保定市,河北省,0.27,20200103
青岛市,山东省,0.26,20200103
郑州市,河南省,14.58,20200104
驻马店市,河南省,8.46,20200104
北京市,北京市,5.02,20200104
武汉市,湖北省,4.15,20200104
杭州市,浙江省,3.81,20200104
上海市,上海市,3.39,20200104
六安市,安徽省,3.33,20200104
苏州市,江苏省,3.13,20200104
阜阳市,安徽省,2.68,20200104
南阳市,河南省,2.62,20200104
周口市,河南省,1.91,20200104
嘉兴市,浙江省,1.87,20200104
东莞市,广东省,1.77,20200104
洛阳市,河南省,1.44,20200104
广州市,广东省,1.31,20200104
开封市,河南省,1.28,20200104
深圳市,广东省,1.26,20200104
漯河市,河南省,1.22,20200104
新乡市,河南省,1.22,20200104
平顶山市,河南省,1.21,20200104
许昌市,河南省,1.2,20200104
黄冈市,湖北省,1.12,20200104
无锡市,江苏省,1.11,20200104
湖州市,浙江省,1.03,20200104
天津市,天津市,1.03,20200104
温州市,浙江省,0.98,20200104
商丘市,河南省,0.96,20200104
合肥市,安徽省,0.96,20200104
宁波市,浙江省,0.94,20200104
随州市,湖北省,0.93,20200104
安阳市,河南省,0.92,20200104
南京市,江苏省,0.92,20200104
金华市,浙江省,0.81,20200104
孝感市,湖北省,0.72,20200104
焦作市,河南省,0.71,20200104
绍兴市,浙江省,0.7,20200104
惠州市,广东省,0.66,20200104
佛山市,广东省,0.65,20200104
西安市,陕西省,0.64,20200104
廊坊市,河北省,0.53,20200104
