city_name,province_name,value,date
塔城地区,新疆维吾尔自治区,30.89,20200101
伊犁哈萨克自治州,新疆维吾尔自治区,26.97,20200101
乌鲁木齐市,新疆维吾尔自治区,18.72,20200101
昌吉回族自治州,新疆维吾尔自治区,6.08,20200101
石河子市,新疆维吾尔自治区,3.21,20200101
阿勒泰地区,新疆维吾尔自治区,2.33,20200101
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.95,20200101
成都市,四川省,0.78,20200101
吐鲁番市,新疆维吾尔自治区,0.76,20200101
博尔塔拉蒙古自治州,新疆维吾尔自治区,0.73,20200101
北京市,北京市,0.73,20200101
西安市,陕西省,0.53,20200101
阿克苏地区,新疆维吾尔自治区,0.47,20200101
北屯市,新疆维吾尔自治区,0.3,20200101
五家渠市,新疆维吾尔自治区,0.28,20200101
上海市,上海市,0.28,20200101
天津市,天津市,0.28,20200101
阿拉尔市,新疆维吾尔自治区,0.25,20200101
重庆市,重庆市,0.25,20200101
和田地区,新疆维吾尔自治区,0.16,20200101
哈密市,新疆维吾尔自治区,0.16,20200101
武汉市,湖北省,0.14,20200101
喀什地区,新疆维吾尔自治区,0.14,20200101
双河市,新疆维吾尔自治区,0.14,20200101
杭州市,浙江省,0.14,20200101
张掖市,甘肃省,0.14,20200101
武威市,甘肃省,0.14,20200101
深圳市,广东省,0.14,20200101
哈尔滨市,黑龙江省,0.11,20200101
兰州市,甘肃省,0.11,20200101
广州市,广东省,0.11,20200101
济南市,山东省,0.11,20200101
南通市,江苏省,0.11,20200101
沈阳市,辽宁省,0.11,20200101
三亚市,海南省,0.11,20200101
周口市,河南省,0.08,20200101
盐城市,江苏省,0.08,20200101
苏州市,江苏省,0.08,20200101
临夏回族自治州,甘肃省,0.08,20200101
酒泉市,甘肃省,0.08,20200101
徐州市,江苏省,0.08,20200101
秦皇岛市,河北省,0.08,20200101
新乡市,河南省,0.08,20200101
郑州市,河南省,0.08,20200101
保定市,河北省,0.05,20200101
吉林市,吉林省,0.05,20200101
三门峡市,河南省,0.05,20200101
合肥市,安徽省,0.05,20200101
忻州市,山西省,0.05,20200101
咸阳市,陕西省,0.05,20200101
塔城地区,新疆维吾尔自治区,26.13,20200102
乌鲁木齐市,新疆维吾尔自治区,23.86,20200102
伊犁哈萨克自治州,新疆维吾尔自治区,19.14,20200102
昌吉回族自治州,新疆维吾尔自治区,6.84,20200102
石河子市,新疆维吾尔自治区,3.99,20200102
阿勒泰地区,新疆维吾尔自治区,2.26,20200102
巴音郭楞蒙古自治州,新疆维吾尔自治区,1.43,20200102
成都市,四川省,1.43,20200102
博尔塔拉蒙古自治州,新疆维吾尔自治区,1.17,20200102
北京市,北京市,0.99,20200102
西安市,陕西省,0.99,20200102
上海市,上海市,0.64,20200102
阿克苏地区,新疆维吾尔自治区,0.61,20200102
北屯市,新疆维吾尔自治区,0.55,20200102
天津市,天津市,0.46,20200102
武威市,甘肃省,0.35,20200102
吐鲁番市,新疆维吾尔自治区,0.35,20200102
五家渠市,新疆维吾尔自治区,0.32,20200102
南京市,江苏省,0.29,20200102
哈尔滨市,黑龙江省,0.26,20200102
周口市,河南省,0.26,20200102
哈密市,新疆维吾尔自治区,0.26,20200102
喀什地区,新疆维吾尔自治区,0.26,20200102
宁波市,浙江省,0.26,20200102
南阳市,河南省,0.23,20200102
郑州市,河南省,0.23,20200102
酒泉市,甘肃省,0.23,20200102
阿拉尔市,新疆维吾尔自治区,0.23,20200102
广州市,广东省,0.2,20200102
重庆市,重庆市,0.17,20200102
咸阳市,陕西省,0.17,20200102
张掖市,甘肃省,0.17,20200102
和田地区,新疆维吾尔自治区,0.14,20200102
武汉市,湖北省,0.14,20200102
银川市,宁夏回族自治区,0.14,20200102
陇南市,甘肃省,0.14,20200102
合肥市,安徽省,0.14,20200102
大连市,辽宁省,0.14,20200102
烟台市,山东省,0.14,20200102
济南市,山东省,0.14,20200102
青岛市,山东省,0.11,20200102
南充市,四川省,0.11,20200102
盐城市,江苏省,0.11,20200102
深圳市,广东省,0.08,20200102
长春市,吉林省,0.08,20200102
长治市,山西省,0.08,20200102
漯河市,河南省,0.08,20200102
濮阳市,河南省,0.08,20200102
兰州市,甘肃省,0.08,20200102
三亚市,海南省,0.08,20200102
塔城地区,新疆维吾尔自治区,28.14,20200103
乌鲁木齐市,新疆维吾尔自治区,22.86,20200103
伊犁哈萨克自治州,新疆维吾尔自治区,22.76,20200103
昌吉回族自治州,新疆维吾尔自治区,6.25,20200103
石河子市,新疆维吾尔自治区,4.88,20200103
阿勒泰地区,新疆维吾尔自治区,2.03,20200103
博尔塔拉蒙古自治州,新疆维吾尔自治区,1.03,20200103
北京市,北京市,0.83,20200103
西安市,陕西省,0.66,20200103
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.62,20200103
阿克苏地区,新疆维吾尔自治区,0.47,20200103
上海市,上海市,0.43,20200103
成都市,四川省,0.39,20200103
重庆市,重庆市,0.37,20200103
北屯市,新疆维吾尔自治区,0.33,20200103
兰州市,甘肃省,0.26,20200103
喀什地区,新疆维吾尔自治区,0.26,20200103
吐鲁番市,新疆维吾尔自治区,0.26,20200103
五家渠市,新疆维吾尔自治区,0.24,20200103
周口市,河南省,0.24,20200103
南阳市,河南省,0.2,20200103
阿拉尔市,新疆维吾尔自治区,0.2,20200103
酒泉市,甘肃省,0.18,20200103
哈密市,新疆维吾尔自治区,0.18,20200103
咸阳市,陕西省,0.18,20200103
天津市,天津市,0.18,20200103
武汉市,湖北省,0.16,20200103
青岛市,山东省,0.16,20200103
武威市,甘肃省,0.16,20200103
厦门市,福建省,0.16,20200103
双河市,新疆维吾尔自治区,0.14,20200103
杭州市,浙江省,0.14,20200103
和田地区,新疆维吾尔自治区,0.12,20200103
宁波市,浙江省,0.12,20200103
东营市,山东省,0.12,20200103
郑州市,河南省,0.12,20200103
广州市,广东省,0.12,20200103
合肥市,安徽省,0.1,20200103
宝鸡市,陕西省,0.1,20200103
海口市,海南省,0.1,20200103
无锡市,江苏省,0.1,20200103
可克达拉市,新疆维吾尔自治区,0.1,20200103
济南市,山东省,0.1,20200103
张掖市,甘肃省,0.08,20200103
自贡市,四川省,0.08,20200103
九江市,江西省,0.08,20200103
沈阳市,辽宁省,0.08,20200103
西双版纳傣族自治州,云南省,0.08,20200103
徐州市,江苏省,0.06,20200103
日照市,山东省,0.06,20200103
塔城地区,新疆维吾尔自治区,28.73,20200104
伊犁哈萨克自治州,新疆维吾尔自治区,22.85,20200104
乌鲁木齐市,新疆维吾尔自治区,20.63,20200104
昌吉回族自治州,新疆维吾尔自治区,5.39,20200104
石河子市,新疆维吾尔自治区,4.11,20200104
阿勒泰地区,新疆维吾尔自治区,2.32,20200104
博尔塔拉蒙古自治州,新疆维吾尔自治区,1.4,20200104
北京市,北京市,1.17,20200104
巴音郭楞蒙古自治州,新疆维吾尔自治区,1.01,20200104
上海市,上海市,0.68,20200104
西安市,陕西省,0.65,20200104
成都市,四川省,0.61,20200104
吐鲁番市,新疆维吾尔自治区,0.52,20200104
天津市,天津市,0.45,20200104
重庆市,重庆市,0.43,20200104
阿克苏地区,新疆维吾尔自治区,0.36,20200104
郑州市,河南省,0.35,20200104
大连市,辽宁省,0.33,20200104
喀什地区,新疆维吾尔自治区,0.31,20200104
北屯市,新疆维吾尔自治区,0.28,20200104
哈密市,新疆维吾尔自治区,0.28,20200104
兰州市,甘肃省,0.22,20200104
济南市,山东省,0.22,20200104
武汉市,湖北省,0.21,20200104
绵阳市,四川省,0.19,20200104
广州市,广东省,0.19,20200104
咸阳市,陕西省,0.19,20200104
双河市,新疆维吾尔自治区,0.17,20200104
南阳市,河南省,0.17,20200104
青岛市,山东省,0.15,20200104
五家渠市,新疆维吾尔自治区,0.15,20200104
南京市,江苏省,0.14,20200104
武威市,甘肃省,0.14,20200104
阿拉尔市,新疆维吾尔自治区,0.12,20200104
三亚市,海南省,0.12,20200104
苏州市,江苏省,0.12,20200104
张掖市,甘肃省,0.1,20200104
昆明市,云南省,0.1,20200104
杭州市,浙江省,0.1,20200104
长沙市,湖南省,0.08,20200104
平凉市,甘肃省,0.08,20200104
西宁市,青海省,0.08,20200104
泰州市,江苏省,0.08,20200104
和田地区,新疆维吾尔自治区,0.08,20200104
