city_name,province_name,value,date
塔城地区,新疆维吾尔自治区,27.88,20200101
伊犁哈萨克自治州,新疆维吾尔自治区,26.08,20200101
乌鲁木齐市,新疆维吾尔自治区,18.28,20200101
昌吉回族自治州,新疆维吾尔自治区,5.36,20200101
石河子市,新疆维吾尔自治区,4.14,20200101
阿勒泰地区,新疆维吾尔自治区,1.74,20200101
博尔塔拉蒙古自治州,新疆维吾尔自治区,0.94,20200101
哈密市,新疆维吾尔自治区,0.89,20200101
西安市,陕西省,0.69,20200101
成都市,四川省,0.62,20200101
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.59,20200101
北京市,北京市,0.57,20200101
咸阳市,陕西省,0.43,20200101
和田地区,新疆维吾尔自治区,0.39,20200101
武威市,甘肃省,0.36,20200101
南阳市,河南省,0.34,20200101
重庆市,重庆市,0.34,20200101
上海市,上海市,0.32,20200101
吐鲁番市,新疆维吾尔自治区,0.32,20200101
宝鸡市,陕西省,0.32,20200101
北屯市,新疆维吾尔自治区,0.32,20200101
南充市,四川省,0.27,20200101
酒泉市,甘肃省,0.27,20200101
周口市,河南省,0.27,20200101
昆明市,云南省,0.25,20200101
定西市,甘肃省,0.25,20200101
阿克苏地区,新疆维吾尔自治区,0.25,20200101
天水市,甘肃省,0.23,20200101
喀什地区,新疆维吾尔自治区,0.23,20200101
郑州市,河南省,0.2,20200101
陇南市,甘肃省,0.2,20200101
三亚市,海南省,0.18,20200101
商丘市,河南省,0.16,20200101
兰州市,甘肃省,0.16,20200101
南京市,江苏省,0.16,20200101
渭南市,陕西省,0.16,20200101
南通市,江苏省,0.13,20200101
双河市,新疆维吾尔自治区,0.13,20200101
驻马店市,河南省,0.13,20200101
雅安市,四川省,0.13,20200101
五家渠市,新疆维吾尔自治区,0.11,20200101
白银市,甘肃省,0.11,20200101
张掖市,甘肃省,0.11,20200101
德阳市,四川省,0.11,20200101
石家庄市,河北省,0.09,20200101
广州市,广东省,0.09,20200101
遂宁市,四川省,0.09,20200101
平凉市,甘肃省,0.09,20200101
银川市,宁夏回族自治区,0.09,20200101
荆州市,湖北省,0.09,20200101
乌鲁木齐市,新疆维吾尔自治区,23.88,20200102
塔城地区,新疆维吾尔自治区,19.33,20200102
伊犁哈萨克自治州,新疆维吾尔自治区,13.86,20200102
昌吉回族自治州,新疆维吾尔自治区,6.78,20200102
石河子市,新疆维吾尔自治区,3.22,20200102
北京市,北京市,1.92,20200102
成都市,四川省,1.39,20200102
西安市,陕西省,1.32,20200102
和田地区,新疆维吾尔自治区,1.27,20200102
阿勒泰地区,新疆维吾尔自治区,1.15,20200102
巴音郭楞蒙古自治州,新疆维吾尔自治区,1.05,20200102
酒泉市,甘肃省,0.96,20200102
博尔塔拉蒙古自治州,新疆维吾尔自治区,0.89,20200102
吐鲁番市,新疆维吾尔自治区,0.81,20200102
喀什地区,新疆维吾尔自治区,0.81,20200102
哈密市,新疆维吾尔自治区,0.81,20200102
重庆市,重庆市,0.77,20200102
阿克苏地区,新疆维吾尔自治区,0.74,20200102
郑州市,河南省,0.69,20200102
上海市,上海市,0.67,20200102
周口市,河南省,0.6,20200102
张掖市,甘肃省,0.55,20200102
天水市,甘肃省,0.5,20200102
武威市,甘肃省,0.5,20200102
南充市,四川省,0.5,20200102
陇南市,甘肃省,0.45,20200102
兰州市,甘肃省,0.43,20200102
南阳市,河南省,0.4,20200102
北屯市,新疆维吾尔自治区,0.38,20200102
广州市,广东省,0.38,20200102
南通市,江苏省,0.36,20200102
遂宁市,四川省,0.36,20200102
咸阳市,陕西省,0.36,20200102
商丘市,河南省,0.36,20200102
驻马店市,河南省,0.33,20200102
武汉市,湖北省,0.33,20200102
宝鸡市,陕西省,0.31,20200102
昆明市,云南省,0.28,20200102
德阳市,四川省,0.26,20200102
菏泽市,山东省,0.26,20200102
荆州市,湖北省,0.26,20200102
双河市,新疆维吾尔自治区,0.26,20200102
五家渠市,新疆维吾尔自治区,0.24,20200102
定西市,甘肃省,0.24,20200102
绵阳市,四川省,0.21,20200102
开封市,河南省,0.21,20200102
深圳市,广东省,0.21,20200102
洛阳市,河南省,0.21,20200102
汉中市,陕西省,0.19,20200102
平凉市,甘肃省,0.19,20200102
乌鲁木齐市,新疆维吾尔自治区,26.08,20200103
伊犁哈萨克自治州,新疆维吾尔自治区,22.04,20200103
塔城地区,新疆维吾尔自治区,21.0,20200103
昌吉回族自治州,新疆维吾尔自治区,5.51,20200103
石河子市,新疆维吾尔自治区,3.83,20200103
阿勒泰地区,新疆维吾尔自治区,1.44,20200103
北京市,北京市,1.34,20200103
哈密市,新疆维吾尔自治区,0.93,20200103
博尔塔拉蒙古自治州,新疆维吾尔自治区,0.93,20200103
