city_name,province_name,value,date
毕节市,贵州省,28.95,20200101
贵阳市,贵州省,14.08,20200101
黔西南布依族苗族自治州,贵州省,9.34,20200101
曲靖市,云南省,8.91,20200101
安顺市,贵州省,8.71,20200101
昆明市,云南省,4.62,20200101
金华市,浙江省,1.76,20200101
遵义市,贵州省,1.59,20200101
绍兴市,浙江省,1.39,20200101
重庆市,重庆市,1.39,20200101
黔南布依族苗族自治州,贵州省,1.24,20200101
温州市,浙江省,1.08,20200101
昭通市,云南省,0.81,20200101
宁波市,浙江省,0.72,20200101
东莞市,广东省,0.58,20200101
杭州市,浙江省,0.57,20200101
广州市,广东省,0.56,20200101
嘉兴市,浙江省,0.54,20200101
台州市,浙江省,0.53,20200101
黔东南苗族侗族自治州,贵州省,0.52,20200101
苏州市,江苏省,0.52,20200101
铜仁市,贵州省,0.51,20200101
湖州市,浙江省,0.46,20200101
成都市,四川省,0.39,20200101
深圳市,广东省,0.35,20200101
上海市,上海市,0.31,20200101
福州市,福建省,0.3,20200101
泸州市,四川省,0.28,20200101
惠州市,广东省,0.28,20200101
泉州市,福建省,0.25,20200101
无锡市,江苏省,0.24,20200101
红河哈尼族彝族自治州,云南省,0.23,20200101
莆田市,福建省,0.22,20200101
佛山市,广东省,0.22,20200101
武汉市,湖北省,0.2,20200101
玉溪市,云南省,0.2,20200101
长沙市,湖南省,0.19,20200101
北京市,北京市,0.19,20200101
厦门市,福建省,0.17,20200101
常州市,江苏省,0.17,20200101
百色市,广西壮族自治区,0.16,20200101
邵阳市,湖南省,0.12,20200101
文山壮族苗族自治州,云南省,0.12,20200101
丽水市,浙江省,0.11,20200101
南昌市,江西省,0.11,20200101
郑州市,河南省,0.11,20200101
南通市,江苏省,0.11,20200101
南宁市,广西壮族自治区,0.11,20200101
宜宾市,四川省,0.1,20200101
中山市,广东省,0.1,20200101
毕节市,贵州省,18.57,20200102
贵阳市,贵州省,17.64,20200102
曲靖市,云南省,6.46,20200102
黔西南布依族苗族自治州,贵州省,6.17,20200102
安顺市,贵州省,5.76,20200102
昆明市,云南省,4.63,20200102
绍兴市,浙江省,3.0,20200102
金华市,浙江省,2.52,20200102
遵义市,贵州省,2.35,20200102
温州市,浙江省,2.32,20200102
重庆市,重庆市,1.78,20200102
黔南布依族苗族自治州,贵州省,1.55,20200102
宁波市,浙江省,1.1,20200102
广州市,广东省,1.09,20200102
嘉兴市,浙江省,1.06,20200102
杭州市,浙江省,1.04,20200102
苏州市,江苏省,0.96,20200102
台州市,浙江省,0.9,20200102
东莞市,广东省,0.85,20200102
湖州市,浙江省,0.85,20200102
成都市,四川省,0.79,20200102
深圳市,广东省,0.79,20200102
昭通市,云南省,0.72,20200102
黔东南苗族侗族自治州,贵州省,0.68,20200102
铜仁市,贵州省,0.67,20200102
上海市,上海市,0.54,20200102
福州市,福建省,0.54,20200102
泉州市,福建省,0.53,20200102
无锡市,江苏省,0.46,20200102
佛山市,广东省,0.44,20200102
武汉市,湖北省,0.43,20200102
惠州市,广东省,0.4,20200102
莆田市,福建省,0.37,20200102
泸州市,四川省,0.36,20200102
厦门市,福建省,0.31,20200102
北京市,北京市,0.3,20200102
红河哈尼族彝族自治州,云南省,0.28,20200102
南通市,江苏省,0.27,20200102
玉溪市,云南省,0.25,20200102
中山市,广东省,0.25,20200102
南昌市,江西省,0.25,20200102
长沙市,湖南省,0.24,20200102
常州市,江苏省,0.24,20200102
南京市,江苏省,0.23,20200102
天津市,天津市,0.18,20200102
西安市,陕西省,0.17,20200102
漳州市,福建省,0.16,20200102
邵阳市,湖南省,0.15,20200102
丽水市,浙江省,0.15,20200102
哈尔滨市,黑龙江省,0.14,20200102
毕节市,贵州省,21.3,20200103
贵阳市,贵州省,18.89,20200103
黔西南布依族苗族自治州,贵州省,8.51,20200103
安顺市,贵州省,7.39,20200103
曲靖市,云南省,6.45,20200103
昆明市,云南省,4.8,20200103
遵义市,贵州省,2.44,20200103
绍兴市,浙江省,1.92,20200103
金华市,浙江省,1.91,20200103
温州市,浙江省,1.76,20200103
黔南布依族苗族自治州,贵州省,1.6,20200103
重庆市,重庆市,1.39,20200103
广州市,广东省,0.92,20200103
苏州市,江苏省,0.82,20200103
杭州市,浙江省,0.8,20200103
昭通市,云南省,0.78,20200103
宁波市,浙江省,0.77,20200103
嘉兴市,浙江省,0.73,20200103
东莞市,广东省,0.69,20200103
黔东南苗族侗族自治州,贵州省,0.66,20200103
台州市,浙江省,0.64,20200103
成都市,四川省,0.58,20200103
上海市,上海市,0.51,20200103
湖州市,浙江省,0.48,20200103
深圳市,广东省,0.47,20200103
无锡市,江苏省,0.41,20200103
福州市,福建省,0.4,20200103
惠州市,广东省,0.37,20200103
铜仁市,贵州省,0.37,20200103
佛山市,广东省,0.33,20200103
泉州市,福建省,0.32,20200103
天津市,天津市,0.29,20200103
武汉市,湖北省,0.29,20200103
泸州市,四川省,0.28,20200103
红河哈尼族彝族自治州,云南省,0.25,20200103
南昌市,江西省,0.2,20200103
南京市,江苏省,0.18,20200103
北京市,北京市,0.18,20200103
玉溪市,云南省,0.18,20200103
郑州市,河南省,0.18,20200103
常州市,江苏省,0.17,20200103
长沙市,湖南省,0.17,20200103
厦门市,福建省,0.17,20200103
西安市,陕西省,0.16,20200103
邵阳市,湖南省,0.16,20200103
莆田市,福建省,0.16,20200103
中山市,广东省,0.15,20200103
镇江市,江苏省,0.12,20200103
南通市,江苏省,0.12,20200103
哈尔滨市,黑龙江省,0.12,20200103
毕节市,贵州省,21.42,20200104
贵阳市,贵州省,16.49,20200104
黔西南布依族苗族自治州,贵州省,9.11,20200104
安顺市,贵州省,7.87,20200104
曲靖市,云南省,7.47,20200104
昆明市,云南省,4.73,20200104
遵义市,贵州省,2.27,20200104
金华市,浙江省,1.98,20200104
绍兴市,浙江省,1.84,20200104
温州市,浙江省,1.78,20200104
重庆市,重庆市,1.47,20200104
广州市,广东省,1.27,20200104
黔南布依族苗族自治州,贵州省,1.24,20200104
杭州市,浙江省,0.93,20200104
嘉兴市,浙江省,0.73,20200104
宁波市,浙江省,0.67,20200104
苏州市,江苏省,0.67,20200104
昭通市,云南省,0.66,20200104
东莞市,广东省,0.66,20200104
台州市,浙江省,0.64,20200104
成都市,四川省,0.62,20200104
上海市,上海市,0.6,20200104
黔东南苗族侗族自治州,贵州省,0.58,20200104
湖州市,浙江省,0.58,20200104
深圳市,广东省,0.56,20200104
无锡市,江苏省,0.41,20200104
福州市,福建省,0.39,20200104
武汉市,湖北省,0.36,20200104
铜仁市,贵州省,0.31,20200104
惠州市,广东省,0.28,20200104
泉州市,福建省,0.27,20200104
佛山市,广东省,0.26,20200104
厦门市,福建省,0.26,20200104
天津市,天津市,0.26,20200104
长沙市,湖南省,0.24,20200104
泸州市,四川省,0.24,20200104
红河哈尼族彝族自治州,云南省,0.24,20200104
南昌市,江西省,0.23,20200104
中山市,广东省,0.2,20200104
北京市,北京市,0.18,20200104
莆田市,福建省,0.17,20200104
郑州市,河南省,0.17,20200104
南京市,江苏省,0.17,20200104
玉溪市,云南省,0.16,20200104
常州市,江苏省,0.16,20200104
济南市,山东省,0.14,20200104
南宁市,广西壮族自治区,0.14,20200104
南通市,江苏省,0.13,20200104
漳州市,福建省,0.13,20200104
百色市,广西壮族自治区,0.12,20200104
毕节市,贵州省,22.36,20200105
贵阳市,贵州省,15.35,20200105
曲靖市,云南省,8.26,20200105
黔西南布依族苗族自治州,贵州省,8.03,20200105
安顺市,贵州省,7.22,20200105
昆明市,云南省,4.84,20200105
遵义市,贵州省,2.17,20200105
绍兴市,浙江省,2.12,20200105
金华市,浙江省,2.05,20200105
温州市,浙江省,1.87,20200105
重庆市,重庆市,1.53,20200105
黔南布依族苗族自治州,贵州省,1.23,20200105
杭州市,浙江省,0.88,20200105
昭通市,云南省,0.88,20200105
台州市,浙江省,0.76,20200105
宁波市,浙江省,0.76,20200105
苏州市,江苏省,0.75,20200105
嘉兴市,浙江省,0.72,20200105
成都市,四川省,0.71,20200105
东莞市,广东省,0.7,20200105
湖州市,浙江省,0.69,20200105
广州市,广东省,0.67,20200105
黔东南苗族侗族自治州,贵州省,0.64,20200105
深圳市,广东省,0.53,20200105
福州市,福建省,0.51,20200105
上海市,上海市,0.47,20200105
无锡市,江苏省,0.41,20200105
武汉市,湖北省,0.36,20200105
铜仁市,贵州省,0.32,20200105
佛山市,广东省,0.31,20200105
长沙市,湖南省,0.29,20200105
南宁市,广西壮族自治区,0.28,20200105
泉州市,福建省,0.27,20200105
玉溪市,云南省,0.26,20200105
厦门市,福建省,0.26,20200105
北京市,北京市,0.26,20200105
泸州市,四川省,0.26,20200105
南京市,江苏省,0.24,20200105
天津市,天津市,0.24,20200105
红河哈尼族彝族自治州,云南省,0.22,20200105
惠州市,广东省,0.21,20200105
济南市,山东省,0.19,20200105
南昌市,江西省,0.19,20200105
莆田市,福建省,0.19,20200105
常州市,江苏省,0.18,20200105
中山市,广东省,0.16,20200105
漳州市,福建省,0.16,20200105
百色市,广西壮族自治区,0.14,20200105
镇江市,江苏省,0.14,20200105
大理白族自治州,云南省,0.13,20200105
毕节市,贵州省,22.02,20200106
贵阳市,贵州省,14.69,20200106
黔西南布依族苗族自治州,贵州省,7.78,20200106
曲靖市,云南省,7.57,20200106
安顺市,贵州省,7.5,20200106
昆明市,云南省,4.5,20200106
温州市,浙江省,2.49,20200106
绍兴市,浙江省,2.48,20200106
金华市,浙江省,2.26,20200106
重庆市,重庆市,1.85,20200106
遵义市,贵州省,1.8,20200106
黔南布依族苗族自治州,贵州省,1.17,20200106
杭州市,浙江省,0.92,20200106
台州市,浙江省,0.89,20200106
苏州市,江苏省,0.75,20200106
湖州市,浙江省,0.74,20200106
昭通市,云南省,0.74,20200106
东莞市,广东省,0.71,20200106
宁波市,浙江省,0.69,20200106
嘉兴市,浙江省,0.67,20200106
广州市,广东省,0.66,20200106
成都市,四川省,0.6,20200106
黔东南苗族侗族自治州,贵州省,0.6,20200106
深圳市,广东省,0.54,20200106
福州市,福建省,0.47,20200106
武汉市,湖北省,0.43,20200106
上海市,上海市,0.42,20200106
无锡市,江苏省,0.37,20200106
北京市,北京市,0.36,20200106
佛山市,广东省,0.35,20200106
长沙市,湖南省,0.34,20200106
泸州市,四川省,0.33,20200106
铜仁市,贵州省,0.31,20200106
泉州市,福建省,0.31,20200106
惠州市,广东省,0.3,20200106
玉溪市,云南省,0.29,20200106
厦门市,福建省,0.29,20200106
红河哈尼族彝族自治州,云南省,0.26,20200106
天津市,天津市,0.24,20200106
常州市,江苏省,0.23,20200106
莆田市,福建省,0.22,20200106
郑州市,河南省,0.21,20200106
南昌市,江西省,0.2,20200106
南宁市,广西壮族自治区,0.17,20200106
南京市,江苏省,0.16,20200106
中山市,广东省,0.16,20200106
济南市,山东省,0.16,20200106
漳州市,福建省,0.16,20200106
泰州市,江苏省,0.15,20200106
南通市,江苏省,0.15,20200106
毕节市,贵州省,21.23,20200107
贵阳市,贵州省,14.78,20200107
安顺市,贵州省,7.14,20200107
曲靖市,云南省,6.9,20200107
黔西南布依族苗族自治州,贵州省,6.76,20200107
昆明市,云南省,4.75,20200107
温州市,浙江省,2.79,20200107
金华市,浙江省,2.3,20200107
绍兴市,浙江省,2.3,20200107
遵义市,贵州省,1.74,20200107
