city_name,province_name,value,date
毕节市,贵州省,31.12,20200101
贵阳市,贵州省,14.04,20200101
曲靖市,云南省,12.65,20200101
安顺市,贵州省,10.63,20200101
黔西南布依族苗族自治州,贵州省,9.94,20200101
昆明市,云南省,5.97,20200101
遵义市,贵州省,1.89,20200101
黔南布依族苗族自治州,贵州省,1.52,20200101
重庆市,重庆市,1.32,20200101
昭通市,云南省,0.81,20200101
黔东南苗族侗族自治州,贵州省,0.81,20200101
泸州市,四川省,0.66,20200101
广州市,广东省,0.56,20200101
铜仁市,贵州省,0.54,20200101
成都市,四川省,0.4,20200101
红河哈尼族彝族自治州,云南省,0.25,20200101
玉溪市,云南省,0.2,20200101
百色市,广西壮族自治区,0.19,20200101
大理白族自治州,云南省,0.17,20200101
东莞市,广东省,0.16,20200101
宜宾市,四川省,0.16,20200101
深圳市,广东省,0.15,20200101
广安市,四川省,0.15,20200101
楚雄彝族自治州,云南省,0.15,20200101
邵阳市,湖南省,0.13,20200101
上海市,上海市,0.13,20200101
长沙市,湖南省,0.13,20200101
温州市,浙江省,0.13,20200101
金华市,浙江省,0.12,20200101
娄底市,湖南省,0.11,20200101
自贡市,四川省,0.11,20200101
内江市,四川省,0.1,20200101
吉安市,江西省,0.1,20200101
郑州市,河南省,0.1,20200101
桂林市,广西壮族自治区,0.1,20200101
南宁市,广西壮族自治区,0.1,20200101
杭州市,浙江省,0.1,20200101
台州市,浙江省,0.08,20200101
资阳市,四川省,0.08,20200101
北京市,北京市,0.08,20200101
西安市,陕西省,0.07,20200101
常德市,湖南省,0.07,20200101
文山壮族苗族自治州,云南省,0.07,20200101
柳州市,广西壮族自治区,0.07,20200101
遂宁市,四川省,0.06,20200101
丽江市,云南省,0.06,20200101
天津市,天津市,0.06,20200101
怀化市,湖南省,0.05,20200101
西双版纳傣族自治州,云南省,0.05,20200101
厦门市,福建省,0.05,20200101
毕节市,贵州省,24.54,20200102
贵阳市,贵州省,19.44,20200102
曲靖市,云南省,9.36,20200102
黔西南布依族苗族自治州,贵州省,8.34,20200102
安顺市,贵州省,7.71,20200102
昆明市,云南省,7.25,20200102
遵义市,贵州省,2.53,20200102
重庆市,重庆市,2.19,20200102
黔南布依族苗族自治州,贵州省,1.61,20200102
黔东南苗族侗族自治州,贵州省,1.13,20200102
昭通市,云南省,1.03,20200102
广州市,广东省,0.95,20200102
泸州市,四川省,0.81,20200102
铜仁市,贵州省,0.79,20200102
成都市,四川省,0.72,20200102
红河哈尼族彝族自治州,云南省,0.45,20200102
深圳市,广东省,0.34,20200102
长沙市,湖南省,0.33,20200102
玉溪市,云南省,0.32,20200102
天津市,天津市,0.3,20200102
楚雄彝族自治州,云南省,0.26,20200102
宜宾市,四川省,0.23,20200102
上海市,上海市,0.23,20200102
广安市,四川省,0.22,20200102
邵阳市,湖南省,0.21,20200102
哈尔滨市,黑龙江省,0.2,20200102
内江市,四川省,0.19,20200102
东莞市,广东省,0.18,20200102
金华市,浙江省,0.17,20200102
大理白族自治州,云南省,0.16,20200102
北京市,北京市,0.16,20200102
福州市,福建省,0.15,20200102
怀化市,湖南省,0.14,20200102
常德市,湖南省,0.14,20200102
绍兴市,浙江省,0.14,20200102
百色市,广西壮族自治区,0.14,20200102
自贡市,四川省,0.14,20200102
资阳市,四川省,0.14,20200102
文山壮族苗族自治州,云南省,0.14,20200102
嘉兴市,浙江省,0.13,20200102
南宁市,广西壮族自治区,0.12,20200102
台州市,浙江省,0.12,20200102
佛山市,广东省,0.11,20200102
泉州市,福建省,0.11,20200102
宁波市,浙江省,0.11,20200102
衡阳市,湖南省,0.11,20200102
吉安市,江西省,0.11,20200102
合肥市,安徽省,0.1,20200102
北海市,广西壮族自治区,0.1,20200102
丽江市,云南省,0.09,20200102
毕节市,贵州省,26.98,20200103
贵阳市,贵州省,19.2,20200103
曲靖市,云南省,11.13,20200103
黔西南布依族苗族自治州,贵州省,8.87,20200103
安顺市,贵州省,8.56,20200103
昆明市,云南省,6.9,20200103
遵义市,贵州省,1.73,20200103
重庆市,重庆市,1.68,20200103
黔南布依族苗族自治州,贵州省,1.62,20200103
昭通市,云南省,0.92,20200103
黔东南苗族侗族自治州,贵州省,0.85,20200103
成都市,四川省,0.69,20200103
泸州市,四川省,0.67,20200103
铜仁市,贵州省,0.66,20200103
广州市,广东省,0.65,20200103
玉溪市,云南省,0.27,20200103
红河哈尼族彝族自治州,云南省,0.25,20200103
邵阳市,湖南省,0.22,20200103
百色市,广西壮族自治区,0.2,20200103
北京市,北京市,0.2,20200103
长沙市,湖南省,0.19,20200103
宜宾市,四川省,0.18,20200103
大理白族自治州,云南省,0.17,20200103
杭州市,浙江省,0.16,20200103
