city_name,province_name,value,date
定西市,甘肃省,15.15,20200101
白银市,甘肃省,13.47,20200101
临夏回族自治州,甘肃省,10.45,20200101
武威市,甘肃省,6.49,20200101
天水市,甘肃省,6.46,20200101
海东市,青海省,4.06,20200101
平凉市,甘肃省,3.12,20200101
陇南市,甘肃省,3.0,20200101
西宁市,青海省,3.0,20200101
甘南藏族自治州,甘肃省,2.75,20200101
西安市,陕西省,2.69,20200101
张掖市,甘肃省,2.35,20200101
酒泉市,甘肃省,2.07,20200101
庆阳市,甘肃省,1.8,20200101
金昌市,甘肃省,1.42,20200101
银川市,宁夏回族自治区,1.32,20200101
北京市,北京市,1.13,20200101
成都市,四川省,1.02,20200101
嘉峪关市,甘肃省,0.77,20200101
上海市,上海市,0.73,20200101
乌鲁木齐市,新疆维吾尔自治区,0.72,20200101
海西蒙古族藏族自治州,青海省,0.49,20200101
中卫市,宁夏回族自治区,0.46,20200101
重庆市,重庆市,0.45,20200101
宝鸡市,陕西省,0.42,20200101
天津市,天津市,0.41,20200101
咸阳市,陕西省,0.39,20200101
广州市,广东省,0.38,20200101
吴忠市,宁夏回族自治区,0.35,20200101
郑州市,河南省,0.35,20200101
阿拉善盟,内蒙古自治区,0.31,20200101
固原市,宁夏回族自治区,0.29,20200101
榆林市,陕西省,0.29,20200101
杭州市,浙江省,0.28,20200101
武汉市,湖北省,0.27,20200101
苏州市,江苏省,0.23,20200101
昆明市,云南省,0.23,20200101
拉萨市,西藏自治区,0.22,20200101
石家庄市,河北省,0.22,20200101
哈密市,新疆维吾尔自治区,0.22,20200101
深圳市,广东省,0.2,20200101
南京市,江苏省,0.18,20200101
三亚市,海南省,0.18,20200101
阿克苏地区,新疆维吾尔自治区,0.17,20200101
青岛市,山东省,0.16,20200101
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.16,20200101
渭南市,陕西省,0.15,20200101
济南市,山东省,0.15,20200101
南昌市,江西省,0.15,20200101
海北藏族自治州,青海省,0.15,20200101
定西市,甘肃省,12.11,20200102
白银市,甘肃省,10.15,20200102
临夏回族自治州,甘肃省,8.42,20200102
天水市,甘肃省,6.43,20200102
武威市,甘肃省,5.25,20200102
西安市,陕西省,3.77,20200102
陇南市,甘肃省,3.52,20200102
平凉市,甘肃省,3.41,20200102
甘南藏族自治州,甘肃省,2.99,20200102
西宁市,青海省,2.94,20200102
张掖市,甘肃省,2.79,20200102
酒泉市,甘肃省,2.26,20200102
庆阳市,甘肃省,2.2,20200102
海东市,青海省,2.01,20200102
北京市,北京市,1.73,20200102
成都市,四川省,1.52,20200102
银川市,宁夏回族自治区,1.52,20200102
金昌市,甘肃省,1.44,20200102
嘉峪关市,甘肃省,0.92,20200102
上海市,上海市,0.89,20200102
天津市,天津市,0.89,20200102
乌鲁木齐市,新疆维吾尔自治区,0.81,20200102
重庆市,重庆市,0.7,20200102
武汉市,湖北省,0.59,20200102
郑州市,河南省,0.58,20200102
咸阳市,陕西省,0.58,20200102
中卫市,宁夏回族自治区,0.51,20200102
苏州市,江苏省,0.51,20200102
广州市,广东省,0.41,20200102
宝鸡市,陕西省,0.41,20200102
杭州市,浙江省,0.39,20200102
石家庄市,河北省,0.37,20200102
南京市,江苏省,0.35,20200102
吴忠市,宁夏回族自治区,0.35,20200102
海西蒙古族藏族自治州,青海省,0.35,20200102
榆林市,陕西省,0.34,20200102
昆明市,云南省,0.32,20200102
深圳市,广东省,0.32,20200102
拉萨市,西藏自治区,0.3,20200102
长沙市,湖南省,0.28,20200102
固原市,宁夏回族自治区,0.27,20200102
哈尔滨市,黑龙江省,0.27,20200102
南昌市,江西省,0.25,20200102
济南市,山东省,0.22,20200102
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.22,20200102
青岛市,山东省,0.21,20200102
哈密市,新疆维吾尔自治区,0.2,20200102
阿拉善盟,内蒙古自治区,0.19,20200102
海口市,海南省,0.19,20200102
呼和浩特市,内蒙古自治区,0.19,20200102
定西市,甘肃省,11.71,20200103
临夏回族自治州,甘肃省,10.69,20200103
白银市,甘肃省,10.22,20200103
天水市,甘肃省,5.97,20200103
武威市,甘肃省,5.78,20200103
西宁市,青海省,3.98,20200103
甘南藏族自治州,甘肃省,3.55,20200103
西安市,陕西省,3.52,20200103
平凉市,甘肃省,3.13,20200103
海东市,青海省,3.0,20200103
陇南市,甘肃省,2.94,20200103
张掖市,甘肃省,2.36,20200103
庆阳市,甘肃省,2.25,20200103
酒泉市,甘肃省,2.12,20200103
金昌市,甘肃省,1.52,20200103
北京市,北京市,1.5,20200103
成都市,四川省,1.39,20200103
银川市,宁夏回族自治区,1.39,20200103
乌鲁木齐市,新疆维吾尔自治区,1.03,20200103
上海市,上海市,0.87,20200103
嘉峪关市,甘肃省,0.85,20200103
天津市,天津市,0.8,20200103
中卫市,宁夏回族自治区,0.59,20200103
郑州市,河南省,0.49,20200103
海西蒙古族藏族自治州,青海省,0.49,20200103
重庆市,重庆市,0.49,20200103
咸阳市,陕西省,0.45,20200103
宝鸡市,陕西省,0.42,20200103
苏州市,江苏省,0.41,20200103
杭州市,浙江省,0.38,20200103
广州市,广东省,0.35,20200103
南京市,江苏省,0.35,20200103
吴忠市,宁夏回族自治区,0.33,20200103
武汉市,湖北省,0.33,20200103
哈密市,新疆维吾尔自治区,0.27,20200103
长沙市,湖南省,0.25,20200103
拉萨市,西藏自治区,0.25,20200103
