city_name,province_name,value,date
定西市,甘肃省,16.54,20200101
白银市,甘肃省,12.58,20200101
临夏回族自治州,甘肃省,10.41,20200101
天水市,甘肃省,7.35,20200101
武威市,甘肃省,6.39,20200101
海东市,青海省,3.78,20200101
平凉市,甘肃省,3.6,20200101
陇南市,甘肃省,2.95,20200101
西宁市,青海省,2.85,20200101
甘南藏族自治州,甘肃省,2.68,20200101
西安市,陕西省,2.53,20200101
张掖市,甘肃省,2.35,20200101
庆阳市,甘肃省,1.8,20200101
酒泉市,甘肃省,1.8,20200101
金昌市,甘肃省,1.4,20200101
北京市,北京市,1.17,20200101
银川市,宁夏回族自治区,1.14,20200101
成都市,四川省,0.98,20200101
嘉峪关市,甘肃省,0.69,20200101
重庆市,重庆市,0.51,20200101
咸阳市,陕西省,0.47,20200101
上海市,上海市,0.47,20200101
中卫市,宁夏回族自治区,0.47,20200101
宝鸡市,陕西省,0.44,20200101
乌鲁木齐市,新疆维吾尔自治区,0.41,20200101
郑州市,河南省,0.35,20200101
固原市,宁夏回族自治区,0.31,20200101
广州市,广东省,0.3,20200101
杭州市,浙江省,0.29,20200101
苏州市,江苏省,0.28,20200101
吴忠市,宁夏回族自治区,0.26,20200101
海西蒙古族藏族自治州,青海省,0.25,20200101
南充市,四川省,0.24,20200101
广元市,四川省,0.22,20200101
武汉市,湖北省,0.22,20200101
汉中市,陕西省,0.22,20200101
扬州市,江苏省,0.22,20200101
天津市,天津市,0.21,20200101
昆明市,云南省,0.21,20200101
榆林市,陕西省,0.19,20200101
渭南市,陕西省,0.19,20200101
驻马店市,河南省,0.18,20200101
石家庄市,河北省,0.17,20200101
洛阳市,河南省,0.17,20200101
深圳市,广东省,0.16,20200101
太原市,山西省,0.16,20200101
运城市,山西省,0.15,20200101
保定市,河北省,0.15,20200101
长沙市,湖南省,0.15,20200101
南阳市,河南省,0.14,20200101
定西市,甘肃省,13.07,20200102
白银市,甘肃省,10.45,20200102
天水市,甘肃省,8.17,20200102
临夏回族自治州,甘肃省,7.67,20200102
武威市,甘肃省,5.71,20200102
平凉市,甘肃省,4.08,20200102
陇南市,甘肃省,3.91,20200102
甘南藏族自治州,甘肃省,3.73,20200102
西安市,陕西省,3.19,20200102
张掖市,甘肃省,2.74,20200102
西宁市,青海省,2.61,20200102
庆阳市,甘肃省,2.56,20200102
酒泉市,甘肃省,1.95,20200102
海东市,青海省,1.65,20200102
北京市,北京市,1.63,20200102
金昌市,甘肃省,1.58,20200102
银川市,宁夏回族自治区,1.27,20200102
成都市,四川省,1.23,20200102
嘉峪关市,甘肃省,0.77,20200102
上海市,上海市,0.73,20200102
重庆市,重庆市,0.67,20200102
郑州市,河南省,0.47,20200102
乌鲁木齐市,新疆维吾尔自治区,0.45,20200102
咸阳市,陕西省,0.44,20200102
广州市,广东省,0.44,20200102
宝鸡市,陕西省,0.43,20200102
驻马店市,河南省,0.39,20200102
苏州市,江苏省,0.39,20200102
中卫市,宁夏回族自治区,0.37,20200102
杭州市,浙江省,0.33,20200102
扬州市,江苏省,0.3,20200102
深圳市,广东省,0.3,20200102
海西蒙古族藏族自治州,青海省,0.28,20200102
吴忠市,宁夏回族自治区,0.27,20200102
榆林市,陕西省,0.27,20200102
武汉市,湖北省,0.26,20200102
广元市,四川省,0.25,20200102
南充市,四川省,0.25,20200102
天津市,天津市,0.24,20200102
固原市,宁夏回族自治区,0.24,20200102
南京市,江苏省,0.23,20200102
三亚市,海南省,0.23,20200102
渭南市,陕西省,0.22,20200102
石家庄市,河北省,0.22,20200102
南阳市,河南省,0.21,20200102
昆明市,云南省,0.21,20200102
厦门市,福建省,0.19,20200102
温州市,浙江省,0.19,20200102
太原市,山西省,0.18,20200102
仙桃市,湖北省,0.18,20200102
定西市,甘肃省,14.34,20200103
白银市,甘肃省,12.0,20200103
临夏回族自治州,甘肃省,8.35,20200103
天水市,甘肃省,7.99,20200103
武威市,甘肃省,6.4,20200103
平凉市,甘肃省,4.23,20200103
陇南市,甘肃省,3.49,20200103
西安市,陕西省,3.45,20200103
张掖市,甘肃省,2.64,20200103
甘南藏族自治州,甘肃省,2.56,20200103
庆阳市,甘肃省,2.53,20200103
西宁市,青海省,2.37,20200103
海东市,青海省,2.02,20200103
酒泉市,甘肃省,2.01,20200103
金昌市,甘肃省,1.48,20200103
北京市,北京市,1.34,20200103
成都市,四川省,1.24,20200103
银川市,宁夏回族自治区,1.06,20200103
重庆市,重庆市,0.82,20200103
上海市,上海市,0.72,20200103
嘉峪关市,甘肃省,0.69,20200103
咸阳市,陕西省,0.52,20200103
宝鸡市,陕西省,0.48,20200103
乌鲁木齐市,新疆维吾尔自治区,0.42,20200103
郑州市,河南省,0.4,20200103
苏州市,江苏省,0.39,20200103
驻马店市,河南省,0.35,20200103
杭州市,浙江省,0.32,20200103
中卫市,宁夏回族自治区,0.32,20200103
广州市,广东省,0.31,20200103
天津市,天津市,0.27,20200103
昆明市,云南省,0.26,20200103
榆林市,陕西省,0.25,20200103
吴忠市,宁夏回族自治区,0.25,20200103
固原市,宁夏回族自治区,0.25,20200103
扬州市,江苏省,0.24,20200103
深圳市,广东省,0.23,20200103
广元市,四川省,0.21,20200103
三亚市,海南省,0.21,20200103
海西蒙古族藏族自治州,青海省,0.21,20200103
渭南市,陕西省,0.2,20200103
青岛市,山东省,0.19,20200103
南充市,四川省,0.18,20200103
武汉市,湖北省,0.18,20200103
石家庄市,河北省,0.17,20200103
海口市,海南省,0.17,20200103
南京市,江苏省,0.16,20200103
南阳市,河南省,0.16,20200103
周口市,河南省,0.15,20200103
长沙市,湖南省,0.15,20200103
