city_name,province_name,value,date
成都市,四川省,35.02,20200101
自贡市,四川省,14.09,20200101
重庆市,重庆市,10.11,20200101
资阳市,四川省,8.75,20200101
眉山市,四川省,4.48,20200101
泸州市,四川省,4.46,20200101
宜宾市,四川省,2.41,20200101
德阳市,四川省,1.29,20200101
乐山市,四川省,1.06,20200101
绵阳市,四川省,0.95,20200101
遂宁市,四川省,0.92,20200101
南充市,四川省,0.87,20200101
深圳市,广东省,0.69,20200101
广州市,广东省,0.68,20200101
昭通市,云南省,0.65,20200101
台州市,浙江省,0.61,20200101
昆明市,云南省,0.6,20200101
东莞市,广东省,0.53,20200101
佛山市,广东省,0.47,20200101
遵义市,贵州省,0.43,20200101
凉山彝族自治州,四川省,0.41,20200101
贵阳市,贵州省,0.41,20200101
雅安市,四川省,0.38,20200101
广安市,四川省,0.36,20200101
达州市,四川省,0.33,20200101
攀枝花市,四川省,0.31,20200101
嘉兴市,浙江省,0.26,20200101
苏州市,江苏省,0.26,20200101
广元市,四川省,0.25,20200101
上海市,上海市,0.24,20200101
西安市,陕西省,0.22,20200101
甘孜藏族自治州,四川省,0.22,20200101
无锡市,江苏省,0.22,20200101
北京市,北京市,0.16,20200101
巴中市,四川省,0.16,20200101
江门市,广东省,0.16,20200101
中山市,广东省,0.16,20200101
阿坝藏族羌族自治州,四川省,0.15,20200101
毕节市,贵州省,0.14,20200101
温州市,浙江省,0.14,20200101
惠州市,广东省,0.13,20200101
拉萨市,西藏自治区,0.13,20200101
乌鲁木齐市,新疆维吾尔自治区,0.13,20200101
杭州市,浙江省,0.13,20200101
肇庆市,广东省,0.12,20200101
常州市,江苏省,0.11,20200101
六盘水市,贵州省,0.1,20200101
金华市,浙江省,0.1,20200101
宁波市,浙江省,0.09,20200101
曲靖市,云南省,0.09,20200101
成都市,四川省,38.83,20200102
重庆市,重庆市,8.44,20200102
自贡市,四川省,7.4,20200102
资阳市,四川省,5.32,20200102
泸州市,四川省,2.97,20200102
眉山市,四川省,2.9,20200102
宜宾市,四川省,2.09,20200102
德阳市,四川省,1.53,20200102
台州市,浙江省,1.48,20200102
广州市,广东省,1.4,20200102
昆明市,云南省,1.1,20200102
绵阳市,四川省,1.09,20200102
佛山市,广东省,1.08,20200102
南充市,四川省,1.03,20200102
乐山市,四川省,1.02,20200102
遂宁市,四川省,0.98,20200102
深圳市,广东省,0.97,20200102
广安市,四川省,0.89,20200102
东莞市,广东省,0.77,20200102
广元市,四川省,0.65,20200102
昭通市,云南省,0.6,20200102
贵阳市,贵州省,0.52,20200102
上海市,上海市,0.51,20200102
嘉兴市,浙江省,0.5,20200102
凉山彝族自治州,四川省,0.49,20200102
中山市,广东省,0.48,20200102
西安市,陕西省,0.48,20200102
苏州市,江苏省,0.48,20200102
无锡市,江苏省,0.47,20200102
攀枝花市,四川省,0.44,20200102
宁波市,浙江省,0.38,20200102
遵义市,贵州省,0.38,20200102
温州市,浙江省,0.36,20200102
江门市,广东省,0.36,20200102
甘孜藏族自治州,四川省,0.35,20200102
达州市,四川省,0.31,20200102
惠州市,广东省,0.29,20200102
雅安市,四川省,0.28,20200102
北京市,北京市,0.25,20200102
杭州市,浙江省,0.25,20200102
金华市,浙江省,0.21,20200102
珠海市,广东省,0.21,20200102
巴中市,四川省,0.21,20200102
毕节市,贵州省,0.2,20200102
天津市,天津市,0.18,20200102
乌鲁木齐市,新疆维吾尔自治区,0.18,20200102
阿坝藏族羌族自治州,四川省,0.17,20200102
六盘水市,贵州省,0.16,20200102
南宁市,广西壮族自治区,0.15,20200102
桂林市,广西壮族自治区,0.15,20200102
成都市,四川省,39.85,20200103
自贡市,四川省,10.85,20200103
重庆市,重庆市,9.91,20200103
资阳市,四川省,6.38,20200103
泸州市,四川省,4.19,20200103
眉山市,四川省,3.41,20200103
宜宾市,四川省,2.33,20200103
遂宁市,四川省,1.46,20200103
德阳市,四川省,1.36,20200103
绵阳市,四川省,1.13,20200103
乐山市,四川省,0.99,20200103
广州市,广东省,0.93,20200103
南充市,四川省,0.85,20200103
深圳市,广东省,0.73,20200103
台州市,浙江省,0.72,20200103
佛山市,广东省,0.61,20200103
昆明市,云南省,0.59,20200103
广安市,四川省,0.54,20200103
东莞市,广东省,0.54,20200103
贵阳市,贵州省,0.46,20200103
昭通市,云南省,0.44,20200103
遵义市,贵州省,0.44,20200103
凉山彝族自治州,四川省,0.4,20200103
西安市,陕西省,0.38,20200103
攀枝花市,四川省,0.37,20200103
达州市,四川省,0.32,20200103
广元市,四川省,0.3,20200103
甘孜藏族自治州,四川省,0.3,20200103
上海市,上海市,0.27,20200103
雅安市,四川省,0.27,20200103
惠州市,广东省,0.27,20200103
嘉兴市,浙江省,0.26,20200103
中山市,广东省,0.26,20200103
江门市,广东省,0.24,20200103
苏州市,江苏省,0.23,20200103
无锡市,江苏省,0.23,20200103
珠海市,广东省,0.17,20200103
温州市,浙江省,0.17,20200103
北京市,北京市,0.16,20200103
宁波市,浙江省,0.16,20200103
阿坝藏族羌族自治州,四川省,0.15,20200103
天津市,天津市,0.14,20200103
杭州市,浙江省,0.13,20200103
毕节市,贵州省,0.13,20200103
肇庆市,广东省,0.12,20200103
巴中市,四川省,0.12,20200103
拉萨市,西藏自治区,0.11,20200103
六盘水市,贵州省,0.1,20200103
福州市,福建省,0.1,20200103
金华市,浙江省,0.09,20200103
成都市,四川省,36.1,20200104
自贡市,四川省,12.11,20200104
重庆市,重庆市,9.9,20200104
资阳市,四川省,7.02,20200104
泸州市,四川省,4.09,20200104
眉山市,四川省,4.0,20200104
宜宾市,四川省,2.15,20200104
遂宁市,四川省,1.69,20200104
德阳市,四川省,1.31,20200104
乐山市,四川省,1.16,20200104
绵阳市,四川省,1.13,20200104
广州市,广东省,1.02,20200104
