city_name,province_name,value,date
成都市,四川省,35.48,20200101
自贡市,四川省,16.02,20200101
重庆市,重庆市,12.77,20200101
资阳市,四川省,9.5,20200101
眉山市,四川省,5.05,20200101
泸州市,四川省,4.97,20200101
宜宾市,四川省,2.84,20200101
乐山市,四川省,1.43,20200101
遂宁市,四川省,1.09,20200101
德阳市,四川省,1.09,20200101
绵阳市,四川省,0.99,20200101
昭通市,云南省,0.83,20200101
南充市,四川省,0.82,20200101
遵义市,贵州省,0.4,20200101
凉山彝族自治州,四川省,0.37,20200101
贵阳市,贵州省,0.35,20200101
昆明市,云南省,0.33,20200101
达州市,四川省,0.32,20200101
广安市,四川省,0.31,20200101
毕节市,贵州省,0.25,20200101
巴中市,四川省,0.23,20200101
阿坝藏族羌族自治州,四川省,0.21,20200101
西安市,陕西省,0.21,20200101
攀枝花市,四川省,0.19,20200101
雅安市,四川省,0.18,20200101
广元市,四川省,0.18,20200101
广州市,广东省,0.17,20200101
深圳市,广东省,0.17,20200101
甘孜藏族自治州,四川省,0.14,20200101
上海市,上海市,0.11,20200101
安顺市,贵州省,0.07,20200101
佛山市,广东省,0.07,20200101
黔南布依族苗族自治州,贵州省,0.06,20200101
无锡市,江苏省,0.06,20200101
六盘水市,贵州省,0.06,20200101
十堰市,湖北省,0.06,20200101
台州市,浙江省,0.06,20200101
盘锦市,辽宁省,0.06,20200101
北京市,北京市,0.05,20200101
苏州市,江苏省,0.05,20200101
汉中市,陕西省,0.05,20200101
曲靖市,云南省,0.05,20200101
东莞市,广东省,0.05,20200101
郑州市,河南省,0.04,20200101
平顶山市,河南省,0.04,20200101
惠州市,广东省,0.04,20200101
黔东南苗族侗族自治州,贵州省,0.04,20200101
武汉市,湖北省,0.03,20200101
铜仁市,贵州省,0.03,20200101
荆州市,湖北省,0.03,20200101
成都市,四川省,40.11,20200102
重庆市,重庆市,12.14,20200102
自贡市,四川省,8.87,20200102
资阳市,四川省,6.45,20200102
泸州市,四川省,4.41,20200102
眉山市,四川省,3.73,20200102
宜宾市,四川省,3.61,20200102
昭通市,云南省,1.8,20200102
乐山市,四川省,1.57,20200102
德阳市,四川省,1.36,20200102
南充市,四川省,1.32,20200102
遂宁市,四川省,1.31,20200102
绵阳市,四川省,1.03,20200102
凉山彝族自治州,四川省,0.9,20200102
贵阳市,贵州省,0.66,20200102
遵义市,贵州省,0.63,20200102
达州市,四川省,0.58,20200102
昆明市,云南省,0.53,20200102
毕节市,贵州省,0.41,20200102
雅安市,四川省,0.4,20200102
广元市,四川省,0.39,20200102
广安市,四川省,0.39,20200102
攀枝花市,四川省,0.35,20200102
深圳市,广东省,0.33,20200102
广州市,广东省,0.3,20200102
安顺市,贵州省,0.3,20200102
巴中市,四川省,0.27,20200102
甘孜藏族自治州,四川省,0.26,20200102
西安市,陕西省,0.24,20200102
阿坝藏族羌族自治州,四川省,0.21,20200102
东莞市,广东省,0.13,20200102
六盘水市,贵州省,0.12,20200102
北京市,北京市,0.11,20200102
佛山市,广东省,0.11,20200102
上海市,上海市,0.11,20200102
曲靖市,云南省,0.09,20200102
台州市,浙江省,0.09,20200102
武汉市,湖北省,0.09,20200102
郑州市,河南省,0.09,20200102
玉溪市,云南省,0.09,20200102
福州市,福建省,0.08,20200102
盘锦市,辽宁省,0.07,20200102
黔西南布依族苗族自治州,贵州省,0.07,20200102
红河哈尼族彝族自治州,云南省,0.07,20200102
中山市,广东省,0.07,20200102
苏州市,江苏省,0.07,20200102
荆州市,湖北省,0.06,20200102
黔南布依族苗族自治州,贵州省,0.06,20200102
铜仁市,贵州省,0.05,20200102
汉中市,陕西省,0.05,20200102
成都市,四川省,37.02,20200103
自贡市,四川省,13.02,20200103
重庆市,重庆市,11.44,20200103
资阳市,四川省,8.11,20200103
泸州市,四川省,4.65,20200103
眉山市,四川省,4.37,20200103
宜宾市,四川省,3.42,20200103
昭通市,云南省,1.84,20200103
乐山市,四川省,1.79,20200103
德阳市,四川省,1.26,20200103
南充市,四川省,1.2,20200103
绵阳市,四川省,1.2,20200103
遂宁市,四川省,1.04,20200103
广安市,四川省,0.66,20200103
凉山彝族自治州,四川省,0.66,20200103
达州市,四川省,0.51,20200103
遵义市,贵州省,0.44,20200103
昆明市,云南省,0.44,20200103
毕节市,贵州省,0.42,20200103
贵阳市,贵州省,0.37,20200103
