city_name,province_name,value,date
廊坊市,河北省,18.63,20200101
保定市,河北省,9.42,20200101
天津市,天津市,6.83,20200101
张家口市,河北省,4.22,20200101
承德市,河北省,2.71,20200101
邯郸市,河北省,2.19,20200101
石家庄市,河北省,2.13,20200101
唐山市,河北省,1.93,20200101
沧州市,河北省,1.69,20200101
上海市,上海市,1.6,20200101
邢台市,河北省,1.29,20200101
衡水市,河北省,1.17,20200101
郑州市,河南省,1.02,20200101
哈尔滨市,黑龙江省,1.0,20200101
成都市,四川省,0.85,20200101
西安市,陕西省,0.79,20200101
深圳市,广东省,0.76,20200101
广州市,广东省,0.76,20200101
重庆市,重庆市,0.75,20200101
济南市,山东省,0.74,20200101
太原市,山西省,0.74,20200101
秦皇岛市,河北省,0.72,20200101
德州市,山东省,0.71,20200101
周口市,河南省,0.71,20200101
赤峰市,内蒙古自治区,0.67,20200101
沈阳市,辽宁省,0.65,20200101
青岛市,山东省,0.63,20200101
大同市,山西省,0.62,20200101
菏泽市,山东省,0.62,20200101
武汉市,湖北省,0.6,20200101
杭州市,浙江省,0.58,20200101
安阳市,河南省,0.57,20200101
呼和浩特市,内蒙古自治区,0.57,20200101
信阳市,河南省,0.56,20200101
长春市,吉林省,0.56,20200101
临汾市,山西省,0.54,20200101
三亚市,海南省,0.53,20200101
驻马店市,河南省,0.52,20200101
南京市,江苏省,0.52,20200101
聊城市,山东省,0.52,20200101
运城市,山西省,0.46,20200101
大连市,辽宁省,0.45,20200101
濮阳市,河南省,0.44,20200101
南阳市,河南省,0.43,20200101
长沙市,湖南省,0.42,20200101
合肥市,安徽省,0.42,20200101
商丘市,河南省,0.41,20200101
济宁市,山东省,0.4,20200101
苏州市,江苏省,0.36,20200101
潍坊市,山东省,0.35,20200101
廊坊市,河北省,9.27,20200102
保定市,河北省,7.12,20200102
天津市,天津市,5.5,20200102
张家口市,河北省,3.71,20200102
邯郸市,河北省,2.44,20200102
承德市,河北省,2.41,20200102
石家庄市,河北省,2.32,20200102
上海市,上海市,2.01,20200102
唐山市,河北省,1.81,20200102
沧州市,河北省,1.6,20200102
邢台市,河北省,1.34,20200102
哈尔滨市,黑龙江省,1.33,20200102
西安市,陕西省,1.18,20200102
深圳市,广东省,1.14,20200102
成都市,四川省,1.13,20200102
郑州市,河南省,1.12,20200102
衡水市,河北省,1.11,20200102
周口市,河南省,1.03,20200102
广州市,广东省,1.03,20200102
重庆市,重庆市,0.98,20200102
济南市,山东省,0.94,20200102
信阳市,河南省,0.9,20200102
太原市,山西省,0.88,20200102
沈阳市,辽宁省,0.87,20200102
秦皇岛市,河北省,0.82,20200102
杭州市,浙江省,0.82,20200102
赤峰市,内蒙古自治区,0.78,20200102
武汉市,湖北省,0.78,20200102
青岛市,山东省,0.77,20200102
南京市,江苏省,0.77,20200102
长春市,吉林省,0.75,20200102
三亚市,海南省,0.73,20200102
驻马店市,河南省,0.71,20200102
德州市,山东省,0.71,20200102
大同市,山西省,0.7,20200102
呼和浩特市,内蒙古自治区,0.7,20200102
菏泽市,山东省,0.69,20200102
临汾市,山西省,0.66,20200102
运城市,山西省,0.65,20200102
聊城市,山东省,0.61,20200102
安阳市,河南省,0.58,20200102
南阳市,河南省,0.57,20200102
长沙市,湖南省,0.55,20200102
大连市,辽宁省,0.53,20200102
合肥市,安徽省,0.51,20200102
苏州市,江苏省,0.5,20200102
濮阳市,河南省,0.49,20200102
厦门市,福建省,0.49,20200102
商丘市,河南省,0.48,20200102
济宁市,山东省,0.44,20200102
廊坊市,河北省,22.1,20200103
保定市,河北省,10.85,20200103
天津市,天津市,8.29,20200103
张家口市,河北省,4.63,20200103
石家庄市,河北省,2.88,20200103
承德市,河北省,2.49,20200103
唐山市,河北省,2.22,20200103
邯郸市,河北省,1.78,20200103
沧州市,河北省,1.66,20200103
上海市,上海市,1.47,20200103
衡水市,河北省,1.05,20200103
邢台市,河北省,1.04,20200103
郑州市,河南省,1.02,20200103
济南市,山东省,1.0,20200103
哈尔滨市,黑龙江省,0.85,20200103
秦皇岛市,河北省,0.81,20200103
西安市,陕西省,0.79,20200103
太原市,山西省,0.78,20200103
沈阳市,辽宁省,0.71,20200103
成都市,四川省,0.7,20200103
深圳市,广东省,0.67,20200103
南京市,江苏省,0.66,20200103
周口市,河南省,0.65,20200103
德州市,山东省,0.62,20200103
大同市,山西省,0.62,20200103
赤峰市,内蒙古自治区,0.6,20200103
广州市,广东省,0.6,20200103
重庆市,重庆市,0.59,20200103
青岛市,山东省,0.56,20200103
武汉市,湖北省,0.55,20200103
呼和浩特市,内蒙古自治区,0.54,20200103
信阳市,河南省,0.53,20200103
杭州市,浙江省,0.52,20200103
菏泽市,山东省,0.51,20200103
聊城市,山东省,0.47,20200103
长春市,吉林省,0.45,20200103
驻马店市,河南省,0.43,20200103
合肥市,安徽省,0.42,20200103
大连市,辽宁省,0.4,20200103
安阳市,河南省,0.39,20200103
三亚市,海南省,0.38,20200103
长沙市,湖南省,0.38,20200103
南阳市,河南省,0.36,20200103
临汾市,山西省,0.36,20200103
运城市,山西省,0.35,20200103
商丘市,河南省,0.34,20200103
葫芦岛市,辽宁省,0.34,20200103
潍坊市,山东省,0.33,20200103
濮阳市,河南省,0.3,20200103
济宁市,山东省,0.3,20200103
廊坊市,河北省,18.44,20200104
保定市,河北省,9.95,20200104
天津市,天津市,8.08,20200104
张家口市,河北省,4.58,20200104
承德市,河北省,2.57,20200104
石家庄市,河北省,2.18,20200104
唐山市,河北省,2.06,20200104
邯郸市,河北省,1.79,20200104
上海市,上海市,1.66,20200104
沧州市,河北省,1.61,20200104
衡水市,河北省,1.06,20200104
邢台市,河北省,1.01,20200104
郑州市,河南省,0.97,20200104
哈尔滨市,黑龙江省,0.96,20200104
济南市,山东省,0.95,20200104
成都市,四川省,0.92,20200104
西安市,陕西省,0.9,20200104
深圳市,广东省,0.88,20200104
周口市,河南省,0.75,20200104
广州市,广东省,0.75,20200104
秦皇岛市,河北省,0.75,20200104
重庆市,重庆市,0.75,20200104
太原市,山西省,0.72,20200104
信阳市,河南省,0.64,20200104
杭州市,浙江省,0.62,20200104
南京市,江苏省,0.62,20200104
沈阳市,辽宁省,0.61,20200104
武汉市,湖北省,0.61,20200104
德州市,山东省,0.61,20200104
青岛市,山东省,0.6,20200104
大同市,山西省,0.6,20200104
菏泽市,山东省,0.58,20200104
赤峰市,内蒙古自治区,0.58,20200104
呼和浩特市,内蒙古自治区,0.57,20200104
驻马店市,河南省,0.53,20200104
长春市,吉林省,0.52,20200104
聊城市,山东省,0.51,20200104
安阳市,河南省,0.48,20200104
三亚市,海南省,0.47,20200104
合肥市,安徽省,0.44,20200104
