city_name,province_name,value,date
钦州市,广西壮族自治区,22.83,20200101
南宁市,广西壮族自治区,18.38,20200101
玉林市,广西壮族自治区,8.23,20200101
防城港市,广西壮族自治区,6.45,20200101
湛江市,广东省,6.32,20200101
桂林市,广西壮族自治区,2.96,20200101
广州市,广东省,2.09,20200101
深圳市,广东省,1.56,20200101
柳州市,广西壮族自治区,1.34,20200101
崇左市,广西壮族自治区,1.17,20200101
重庆市,重庆市,1.14,20200101
茂名市,广东省,1.13,20200101
贵港市,广西壮族自治区,1.13,20200101
百色市,广西壮族自治区,1.05,20200101
佛山市,广东省,0.98,20200101
河池市,广西壮族自治区,0.97,20200101
成都市,四川省,0.94,20200101
东莞市,广东省,0.91,20200101
武汉市,湖北省,0.77,20200101
上海市,上海市,0.77,20200101
北京市,北京市,0.7,20200101
贵阳市,贵州省,0.65,20200101
梧州市,广西壮族自治区,0.62,20200101
海口市,海南省,0.54,20200101
长沙市,湖南省,0.49,20200101
阳江市,广东省,0.49,20200101
中山市,广东省,0.48,20200101
昆明市,云南省,0.48,20200101
来宾市,广西壮族自治区,0.42,20200101
西安市,陕西省,0.38,20200101
天津市,天津市,0.38,20200101
三亚市,海南省,0.38,20200101
杭州市,浙江省,0.32,20200101
石家庄市,河北省,0.3,20200101
哈尔滨市,黑龙江省,0.29,20200101
江门市,广东省,0.27,20200101
郑州市,河南省,0.27,20200101
珠海市,广东省,0.21,20200101
保定市,河北省,0.2,20200101
遵义市,贵州省,0.19,20200101
文山壮族苗族自治州,云南省,0.19,20200101
长春市,吉林省,0.18,20200101
黔东南苗族侗族自治州,贵州省,0.18,20200101
兰州市,甘肃省,0.17,20200101
肇庆市,广东省,0.17,20200101
福州市,福建省,0.17,20200101
太原市,山西省,0.17,20200101
惠州市,广东省,0.16,20200101
儋州市,海南省,0.15,20200101
株洲市,湖南省,0.15,20200101
钦州市,广西壮族自治区,16.77,20200102
南宁市,广西壮族自治区,16.24,20200102
玉林市,广西壮族自治区,5.01,20200102
防城港市,广西壮族自治区,4.14,20200102
湛江市,广东省,4.02,20200102
桂林市,广西壮族自治区,3.0,20200102
广州市,广东省,2.41,20200102
上海市,上海市,2.11,20200102
柳州市,广西壮族自治区,2.1,20200102
重庆市,重庆市,1.79,20200102
成都市,四川省,1.79,20200102
深圳市,广东省,1.75,20200102
北京市,北京市,1.41,20200102
武汉市,湖北省,1.37,20200102
东莞市,广东省,1.21,20200102
佛山市,广东省,1.21,20200102
长沙市,湖南省,1.07,20200102
贵港市,广西壮族自治区,1.03,20200102
百色市,广西壮族自治区,0.92,20200102
茂名市,广东省,0.86,20200102
贵阳市,贵州省,0.85,20200102
西安市,陕西省,0.84,20200102
河池市,广西壮族自治区,0.77,20200102
昆明市,云南省,0.76,20200102
来宾市,广西壮族自治区,0.71,20200102
崇左市,广西壮族自治区,0.71,20200102
海口市,海南省,0.62,20200102
中山市,广东省,0.61,20200102
石家庄市,河北省,0.61,20200102
杭州市,浙江省,0.61,20200102
郑州市,河南省,0.61,20200102
阳江市,广东省,0.51,20200102
三亚市,海南省,0.51,20200102
兰州市,甘肃省,0.43,20200102
南京市,江苏省,0.42,20200102
天津市,天津市,0.41,20200102
梧州市,广西壮族自治区,0.41,20200102
沈阳市,辽宁省,0.38,20200102
长春市,吉林省,0.37,20200102
珠海市,广东省,0.36,20200102
哈尔滨市,黑龙江省,0.35,20200102
毕节市,贵州省,0.33,20200102
惠州市,广东省,0.29,20200102
江门市,广东省,0.29,20200102
南昌市,江西省,0.26,20200102
吕梁市,山西省,0.26,20200102
保定市,河北省,0.26,20200102
遵义市,贵州省,0.25,20200102
儋州市,海南省,0.25,20200102
衡阳市,湖南省,0.25,20200102
南宁市,广西壮族自治区,19.0,20200103
钦州市,广西壮族自治区,18.12,20200103
湛江市,广东省,5.78,20200103
玉林市,广西壮族自治区,5.72,20200103
防城港市,广西壮族自治区,5.04,20200103
桂林市,广西壮族自治区,3.11,20200103
广州市,广东省,2.03,20200103
深圳市,广东省,2.01,20200103
成都市,四川省,1.54,20200103
柳州市,广西壮族自治区,1.5,20200103
重庆市,重庆市,1.47,20200103
上海市,上海市,1.44,20200103
武汉市,湖北省,1.33,20200103
北京市,北京市,1.18,20200103
东莞市,广东省,1.04,20200103
贵港市,广西壮族自治区,1.01,20200103
佛山市,广东省,0.99,20200103
崇左市,广西壮族自治区,0.94,20200103
茂名市,广东省,0.92,20200103
百色市,广西壮族自治区,0.84,20200103
河池市,广西壮族自治区,0.83,20200103
昆明市,云南省,0.77,20200103
贵阳市,贵州省,0.77,20200103
长沙市,湖南省,0.71,20200103
郑州市,河南省,0.59,20200103
西安市,陕西省,0.58,20200103
海口市,海南省,0.57,20200103
天津市,天津市,0.53,20200103
梧州市,广西壮族自治区,0.49,20200103
石家庄市,河北省,0.49,20200103
长春市,吉林省,0.49,20200103
来宾市,广西壮族自治区,0.48,20200103
中山市,广东省,0.44,20200103
三亚市,海南省,0.39,20200103
南京市,江苏省,0.39,20200103
杭州市,浙江省,0.38,20200103
江门市,广东省,0.37,20200103
兰州市,甘肃省,0.34,20200103
阳江市,广东省,0.33,20200103
贺州市,广西壮族自治区,0.31,20200103
南昌市,江西省,0.28,20200103
珠海市,广东省,0.28,20200103
沈阳市,辽宁省,0.24,20200103
太原市,山西省,0.24,20200103
哈尔滨市,黑龙江省,0.23,20200103
保定市,河北省,0.21,20200103
苏州市,江苏省,0.21,20200103
济南市,山东省,0.21,20200103
遵义市,贵州省,0.2,20200103
六盘水市,贵州省,0.19,20200103
南宁市,广西壮族自治区,19.4,20200104
钦州市,广西壮族自治区,17.46,20200104
玉林市,广西壮族自治区,6.84,20200104
湛江市,广东省,5.71,20200104
防城港市,广西壮族自治区,5.28,20200104
桂林市,广西壮族自治区,3.41,20200104
广州市,广东省,2.33,20200104
深圳市,广东省,1.51,20200104
上海市,上海市,1.39,20200104
重庆市,重庆市,1.32,20200104
柳州市,广西壮族自治区,1.32,20200104
佛山市,广东省,1.2,20200104
成都市,四川省,1.17,20200104
北京市,北京市,1.11,20200104
崇左市,广西壮族自治区,1.04,20200104
河池市,广西壮族自治区,1.0,20200104
茂名市,广东省,1.0,20200104
东莞市,广东省,1.0,20200104
贵港市,广西壮族自治区,0.98,20200104
武汉市,湖北省,0.92,20200104
长沙市,湖南省,0.74,20200104
百色市,广西壮族自治区,0.72,20200104
昆明市,云南省,0.71,20200104
梧州市,广西壮族自治区,0.63,20200104
贵阳市,贵州省,0.63,20200104
西安市,陕西省,0.6,20200104
海口市,海南省,0.53,20200104
来宾市,广西壮族自治区,0.46,20200104
郑州市,河南省,0.42,20200104
三亚市,海南省,0.41,20200104
天津市,天津市,0.41,20200104
石家庄市,河北省,0.41,20200104
兰州市,甘肃省,0.39,20200104
江门市,广东省,0.39,20200104
洛阳市,河南省,0.36,20200104
杭州市,浙江省,0.33,20200104
中山市,广东省,0.32,20200104
长春市,吉林省,0.32,20200104
阳江市,广东省,0.3,20200104
济南市,山东省,0.27,20200104
沈阳市,辽宁省,0.26,20200104
遵义市,贵州省,0.24,20200104
衡阳市,湖南省,0.24,20200104
哈尔滨市,黑龙江省,0.24,20200104
毕节市,贵州省,0.23,20200104
南京市,江苏省,0.23,20200104
贺州市,广西壮族自治区,0.23,20200104
儋州市,海南省,0.23,20200104
太原市,山西省,0.23,20200104
南昌市,江西省,0.22,20200104
南宁市,广西壮族自治区,19.79,20200105
钦州市,广西壮族自治区,16.67,20200105
玉林市,广西壮族自治区,7.23,20200105
湛江市,广东省,5.61,20200105
桂林市,广西壮族自治区,4.62,20200105
防城港市,广西壮族自治区,4.33,20200105
广州市,广东省,2.58,20200105
深圳市,广东省,2.17,20200105
成都市,四川省,1.58,20200105
柳州市,广西壮族自治区,1.56,20200105
贵港市,广西壮族自治区,1.21,20200105
东莞市,广东省,1.21,20200105
重庆市,重庆市,1.21,20200105
