city_name,province_name,value,date
钦州市,广西壮族自治区,21.54,20200101
南宁市,广西壮族自治区,18.88,20200101
玉林市,广西壮族自治区,7.98,20200101
湛江市,广东省,6.71,20200101
防城港市,广西壮族自治区,4.5,20200101
桂林市,广西壮族自治区,2.45,20200101
广州市,广东省,1.73,20200101
重庆市,重庆市,1.4,20200101
贵港市,广西壮族自治区,1.39,20200101
柳州市,广西壮族自治区,1.37,20200101
深圳市,广东省,1.34,20200101
崇左市,广西壮族自治区,1.19,20200101
百色市,广西壮族自治区,1.08,20200101
阳江市,广东省,0.97,20200101
成都市,四川省,0.94,20200101
河池市,广西壮族自治区,0.9,20200101
昆明市,云南省,0.83,20200101
佛山市,广东省,0.81,20200101
北京市,北京市,0.81,20200101
梧州市,广西壮族自治区,0.73,20200101
武汉市,湖北省,0.73,20200101
东莞市,广东省,0.71,20200101
茂名市,广东省,0.68,20200101
上海市,上海市,0.65,20200101
西安市,陕西省,0.59,20200101
海口市,海南省,0.56,20200101
长沙市,湖南省,0.54,20200101
贵阳市,贵州省,0.51,20200101
三亚市,海南省,0.5,20200101
文山壮族苗族自治州,云南省,0.49,20200101
江门市,广东省,0.43,20200101
杭州市,浙江省,0.42,20200101
来宾市,广西壮族自治区,0.37,20200101
遵义市,贵州省,0.34,20200101
石家庄市,河北省,0.33,20200101
惠州市,广东省,0.32,20200101
琼海市,海南省,0.26,20200101
中山市,广东省,0.25,20200101
珠海市,广东省,0.25,20200101
保定市,河北省,0.24,20200101
贺州市,广西壮族自治区,0.24,20200101
衡水市,河北省,0.23,20200101
郑州市,河南省,0.21,20200101
长春市,吉林省,0.21,20200101
苏州市,江苏省,0.2,20200101
黔南布依族苗族自治州,贵州省,0.2,20200101
哈尔滨市,黑龙江省,0.2,20200101
儋州市,海南省,0.19,20200101
黔东南苗族侗族自治州,贵州省,0.18,20200101
红河哈尼族彝族自治州,云南省,0.17,20200101
南宁市,广西壮族自治区,19.13,20200102
钦州市,广西壮族自治区,11.7,20200102
防城港市,广西壮族自治区,5.08,20200102
玉林市,广西壮族自治区,5.0,20200102
湛江市,广东省,4.49,20200102
桂林市,广西壮族自治区,3.96,20200102
广州市,广东省,2.88,20200102
柳州市,广西壮族自治区,2.22,20200102
深圳市,广东省,1.73,20200102
重庆市,重庆市,1.58,20200102
河池市,广西壮族自治区,1.56,20200102
百色市,广西壮族自治区,1.53,20200102
佛山市,广东省,1.43,20200102
崇左市,广西壮族自治区,1.33,20200102
贵港市,广西壮族自治区,1.33,20200102
东莞市,广东省,1.18,20200102
成都市,四川省,1.17,20200102
北京市,北京市,0.91,20200102
梧州市,广西壮族自治区,0.84,20200102
茂名市,广东省,0.8,20200102
昆明市,云南省,0.77,20200102
文山壮族苗族自治州,云南省,0.64,20200102
上海市,上海市,0.64,20200102
西安市,陕西省,0.63,20200102
阳江市,广东省,0.62,20200102
贵阳市,贵州省,0.59,20200102
长沙市,湖南省,0.58,20200102
海口市,海南省,0.58,20200102
贺州市,广西壮族自治区,0.54,20200102
衡水市,河北省,0.54,20200102
遵义市,贵州省,0.49,20200102
郑州市,河南省,0.49,20200102
中山市,广东省,0.45,20200102
三亚市,海南省,0.45,20200102
杭州市,浙江省,0.44,20200102
来宾市,广西壮族自治区,0.44,20200102
江门市,广东省,0.42,20200102
武汉市,湖北省,0.37,20200102
西宁市,青海省,0.37,20200102
石家庄市,河北省,0.36,20200102
珠海市,广东省,0.35,20200102
菏泽市,山东省,0.33,20200102
惠州市,广东省,0.32,20200102
保定市,河北省,0.3,20200102
邢台市,河北省,0.3,20200102
毕节市,贵州省,0.29,20200102
楚雄彝族自治州,云南省,0.28,20200102
沈阳市,辽宁省,0.27,20200102
衡阳市,湖南省,0.26,20200102
儋州市,海南省,0.25,20200102
南宁市,广西壮族自治区,22.0,20200103
钦州市,广西壮族自治区,13.32,20200103
玉林市,广西壮族自治区,6.55,20200103
湛江市,广东省,5.27,20200103
防城港市,广西壮族自治区,5.1,20200103
桂林市,广西壮族自治区,3.56,20200103
广州市,广东省,2.27,20200103
柳州市,广西壮族自治区,1.75,20200103
佛山市,广东省,1.56,20200103
贵港市,广西壮族自治区,1.56,20200103
河池市,广西壮族自治区,1.43,20200103
深圳市,广东省,1.29,20200103
重庆市,重庆市,1.27,20200103
百色市,广西壮族自治区,1.24,20200103
崇左市,广西壮族自治区,1.12,20200103
成都市,四川省,1.02,20200103
梧州市,广西壮族自治区,1.02,20200103
茂名市,广东省,0.81,20200103
东莞市,广东省,0.8,20200103
昆明市,云南省,0.8,20200103
北京市,北京市,0.68,20200103
石家庄市,河北省,0.6,20200103
贵阳市,贵州省,0.6,20200103
上海市,上海市,0.56,20200103
武汉市,湖北省,0.53,20200103
三亚市,海南省,0.51,20200103
文山壮族苗族自治州,云南省,0.51,20200103
阳江市,广东省,0.5,20200103
来宾市,广西壮族自治区,0.49,20200103
海口市,海南省,0.49,20200103
西安市,陕西省,0.46,20200103
江门市,广东省,0.44,20200103
