city_name,province_name,value,date
襄阳市,湖北省,21.97,20200101
武汉市,湖北省,15.07,20200101
安康市,陕西省,7.23,20200101
南阳市,河南省,5.84,20200101
西安市,陕西省,4.17,20200101
北京市,北京市,1.54,20200101
宜昌市,湖北省,1.34,20200101
上海市,上海市,1.29,20200101
重庆市,重庆市,1.29,20200101
深圳市,广东省,1.28,20200101
苏州市,江苏省,1.22,20200101
荆门市,湖北省,1.2,20200101
商洛市,陕西省,1.18,20200101
廊坊市,河北省,1.12,20200101
广州市,广东省,1.08,20200101
孝感市,湖北省,1.06,20200101
随州市,湖北省,1.05,20200101
东莞市,广东省,0.93,20200101
荆州市,湖北省,0.87,20200101
郑州市,河南省,0.83,20200101
黄冈市,湖北省,0.77,20200101
神农架林区,湖北省,0.74,20200101
宁波市,浙江省,0.64,20200101
咸阳市,陕西省,0.63,20200101
温州市,浙江省,0.63,20200101
杭州市,浙江省,0.63,20200101
成都市,四川省,0.56,20200101
金华市,浙江省,0.43,20200101
长沙市,湖南省,0.43,20200101
渭南市,陕西省,0.42,20200101
黄石市,湖北省,0.42,20200101
南京市,江苏省,0.42,20200101
南充市,四川省,0.4,20200101
无锡市,江苏省,0.38,20200101
常州市,江苏省,0.37,20200101
烟台市,山东省,0.37,20200101
咸宁市,湖北省,0.36,20200101
吕梁市,山西省,0.36,20200101
绵阳市,四川省,0.35,20200101
南通市,江苏省,0.35,20200101
三门峡市,河南省,0.35,20200101
天津市,天津市,0.34,20200101
临沂市,山东省,0.31,20200101
榆林市,陕西省,0.28,20200101
台州市,浙江省,0.27,20200101
达州市,四川省,0.27,20200101
洛阳市,河南省,0.27,20200101
福州市,福建省,0.26,20200101
恩施土家族苗族自治州,湖北省,0.26,20200101
石家庄市,河北省,0.26,20200101
武汉市,湖北省,17.06,20200102
襄阳市,湖北省,13.84,20200102
安康市,陕西省,4.12,20200102
西安市,陕西省,3.98,20200102
南阳市,河南省,3.23,20200102
北京市,北京市,2.4,20200102
上海市,上海市,2.02,20200102
深圳市,广东省,1.82,20200102
苏州市,江苏省,1.79,20200102
孝感市,湖北省,1.47,20200102
宜昌市,湖北省,1.44,20200102
广州市,广东省,1.42,20200102
东莞市,广东省,1.41,20200102
宁波市,浙江省,1.25,20200102
重庆市,重庆市,1.22,20200102
郑州市,河南省,1.19,20200102
随州市,湖北省,1.1,20200102
荆门市,湖北省,1.05,20200102
廊坊市,河北省,1.03,20200102
黄冈市,湖北省,0.93,20200102
温州市,浙江省,0.91,20200102
荆州市,湖北省,0.9,20200102
杭州市,浙江省,0.88,20200102
商洛市,陕西省,0.8,20200102
成都市,四川省,0.72,20200102
渭南市,陕西省,0.71,20200102
金华市,浙江省,0.68,20200102
常州市,江苏省,0.65,20200102
神农架林区,湖北省,0.64,20200102
黄石市,湖北省,0.61,20200102
南京市,江苏省,0.59,20200102
咸阳市,陕西省,0.59,20200102
无锡市,江苏省,0.51,20200102
咸宁市,湖北省,0.5,20200102
天津市,天津市,0.46,20200102
长沙市,湖南省,0.44,20200102
烟台市,山东省,0.44,20200102
临汾市,山西省,0.44,20200102
临沂市,山东省,0.41,20200102
福州市,福建省,0.4,20200102
