city_name,province_name,value,date
襄阳市,湖北省,29.81,20200101
武汉市,湖北省,14.6,20200101
安康市,陕西省,7.91,20200101
南阳市,河南省,7.38,20200101
西安市,陕西省,2.84,20200101
商洛市,陕西省,2.23,20200101
重庆市,重庆市,1.66,20200101
宜昌市,湖北省,1.55,20200101
随州市,湖北省,1.49,20200101
荆门市,湖北省,1.36,20200101
孝感市,湖北省,1.34,20200101
北京市,北京市,1.04,20200101
神农架林区,湖北省,0.98,20200101
荆州市,湖北省,0.91,20200101
黄冈市,湖北省,0.77,20200101
郑州市,河南省,0.76,20200101
深圳市,广东省,0.66,20200101
成都市,四川省,0.59,20200101
长沙市,湖南省,0.58,20200101
广州市,广东省,0.54,20200101
上海市,上海市,0.54,20200101
咸宁市,湖北省,0.48,20200101
黄石市,湖北省,0.48,20200101
仙桃市,湖北省,0.43,20200101
信阳市,河南省,0.43,20200101
咸阳市,陕西省,0.39,20200101
天门市,湖北省,0.38,20200101
南充市,四川省,0.36,20200101
恩施土家族苗族自治州,湖北省,0.34,20200101
潜江市,湖北省,0.34,20200101
东莞市,广东省,0.33,20200101
苏州市,江苏省,0.33,20200101
三门峡市,河南省,0.32,20200101
运城市,山西省,0.28,20200101
宝鸡市,陕西省,0.27,20200101
平顶山市,河南省,0.27,20200101
合肥市,安徽省,0.27,20200101
许昌市,河南省,0.27,20200101
天津市,天津市,0.26,20200101
达州市,四川省,0.26,20200101
广安市,四川省,0.24,20200101
洛阳市,河南省,0.24,20200101
鄂州市,湖北省,0.24,20200101
石家庄市,河北省,0.23,20200101
杭州市,浙江省,0.23,20200101
渭南市,陕西省,0.23,20200101
周口市,河南省,0.23,20200101
绵阳市,四川省,0.23,20200101
岳阳市,湖南省,0.23,20200101
宁波市,浙江省,0.22,20200101
襄阳市,湖北省,21.63,20200102
武汉市,湖北省,17.44,20200102
南阳市,河南省,6.02,20200102
安康市,陕西省,5.43,20200102
西安市,陕西省,4.29,20200102
宜昌市,湖北省,1.76,20200102
随州市,湖北省,1.75,20200102
重庆市,重庆市,1.73,20200102
荆门市,湖北省,1.49,20200102
商洛市,陕西省,1.48,20200102
郑州市,河南省,1.38,20200102
孝感市,湖北省,1.32,20200102
荆州市,湖北省,1.3,20200102
北京市,北京市,1.19,20200102
上海市,上海市,1.09,20200102
黄冈市,湖北省,0.9,20200102
神农架林区,湖北省,0.89,20200102
恩施土家族苗族自治州,湖北省,0.74,20200102
深圳市,广东省,0.68,20200102
广州市,广东省,0.67,20200102
成都市,四川省,0.64,20200102
咸阳市,陕西省,0.56,20200102
长沙市,湖南省,0.54,20200102
黄石市,湖北省,0.53,20200102
宝鸡市,陕西省,0.52,20200102
咸宁市,湖北省,0.47,20200102
苏州市,江苏省,0.43,20200102
平顶山市,河南省,0.41,20200102
济宁市,山东省,0.41,20200102
南京市,江苏省,0.38,20200102
天门市,湖北省,0.37,20200102
潜江市,湖北省,0.37,20200102
石家庄市,河北省,0.36,20200102
合肥市,安徽省,0.34,20200102
渭南市,陕西省,0.34,20200102
宁波市,浙江省,0.33,20200102
南充市,四川省,0.32,20200102
汉中市,陕西省,0.31,20200102
佛山市,广东省,0.31,20200102
鄂州市,湖北省,0.29,20200102
东莞市,广东省,0.29,20200102
驻马店市,河南省,0.28,20200102
仙桃市,湖北省,0.28,20200102
达州市,四川省,0.27,20200102
杭州市,浙江省,0.24,20200102
信阳市,河南省,0.24,20200102
廊坊市,河北省,0.24,20200102
常德市,湖南省,0.24,20200102
洛阳市,河南省,0.23,20200102
许昌市,河南省,0.22,20200102
襄阳市,湖北省,25.0,20200103
武汉市,湖北省,16.93,20200103
南阳市,河南省,7.08,20200103
安康市,陕西省,6.87,20200103
西安市,陕西省,2.83,20200103
宜昌市,湖北省,2.01,20200103
随州市,湖北省,1.86,20200103
重庆市,重庆市,1.61,20200103
郑州市,河南省,1.36,20200103
荆门市,湖北省,1.34,20200103
商洛市,陕西省,1.3,20200103
孝感市,湖北省,1.3,20200103
黄冈市,湖北省,1.12,20200103
北京市,北京市,1.06,20200103
上海市,上海市,0.97,20200103
荆州市,湖北省,0.94,20200103
神农架林区,湖北省,0.84,20200103
咸阳市,陕西省,0.65,20200103
长沙市,湖南省,0.62,20200103
广州市,广东省,0.62,20200103
成都市,四川省,0.56,20200103
深圳市,广东省,0.49,20200103
三门峡市,河南省,0.46,20200103
黄石市,湖北省,0.44,20200103
咸宁市,湖北省,0.39,20200103
洛阳市,河南省,0.38,20200103
苏州市,江苏省,0.37,20200103
仙桃市,湖北省,0.37,20200103
东莞市,广东省,0.35,20200103
宁波市,浙江省,0.35,20200103
达州市,四川省,0.34,20200103
南京市,江苏省,0.34,20200103
合肥市,安徽省,0.33,20200103
平顶山市,河南省,0.32,20200103
恩施土家族苗族自治州,湖北省,0.31,20200103
信阳市,河南省,0.31,20200103
南充市,四川省,0.3,20200103
杭州市,浙江省,0.28,20200103
运城市,山西省,0.28,20200103
宝鸡市,陕西省,0.26,20200103
金华市,浙江省,0.26,20200103
潜江市,湖北省,0.26,20200103
巴中市,四川省,0.26,20200103
天津市,天津市,0.26,20200103
天门市,湖北省,0.25,20200103
许昌市,河南省,0.25,20200103
焦作市,河南省,0.25,20200103
绵阳市,四川省,0.24,20200103
驻马店市,河南省,0.23,20200103
贵阳市,贵州省,0.22,20200103
襄阳市,湖北省,26.11,20200104
武汉市,湖北省,13.04,20200104
安康市,陕西省,7.09,20200104
南阳市,河南省,6.67,20200104
西安市,陕西省,3.06,20200104
重庆市,重庆市,1.84,20200104
宜昌市,湖北省,1.67,20200104
孝感市,湖北省,1.59,20200104
商洛市,陕西省,1.55,20200104
随州市,湖北省,1.49,20200104
郑州市,河南省,1.33,20200104
荆门市,湖北省,1.29,20200104
黄冈市,湖北省,1.16,20200104
荆州市,湖北省,1.04,20200104
北京市,北京市,1.0,20200104
神农架林区,湖北省,0.96,20200104
上海市,上海市,0.9,20200104
长沙市,湖南省,0.77,20200104
深圳市,广东省,0.69,20200104
南充市,四川省,0.65,20200104
