city_name,province_name,value,date
成都市,四川省,29.69,20200101
重庆市,重庆市,8.84,20200101
广安市,四川省,8.08,20200101
广元市,四川省,5.38,20200101
绵阳市,四川省,4.64,20200101
遂宁市,四川省,3.97,20200101
巴中市,四川省,3.88,20200101
达州市,四川省,2.85,20200101
广州市,广东省,1.86,20200101
深圳市,广东省,1.63,20200101
西安市,陕西省,1.53,20200101
东莞市,广东省,1.38,20200101
德阳市,四川省,1.22,20200101
眉山市,四川省,0.94,20200101
上海市,上海市,0.81,20200101
资阳市,四川省,0.8,20200101
北京市,北京市,0.77,20200101
佛山市,广东省,0.7,20200101
宜宾市,四川省,0.59,20200101
内江市,四川省,0.57,20200101
乐山市,四川省,0.55,20200101
贵阳市,贵州省,0.5,20200101
昆明市,云南省,0.49,20200101
宁波市,浙江省,0.43,20200101
泸州市,四川省,0.43,20200101
咸阳市,陕西省,0.42,20200101
温州市,浙江省,0.4,20200101
惠州市,广东省,0.4,20200101
乌鲁木齐市,新疆维吾尔自治区,0.4,20200101
中山市,广东省,0.38,20200101
苏州市,江苏省,0.37,20200101
自贡市,四川省,0.35,20200101
无锡市,江苏省,0.35,20200101
福州市,福建省,0.33,20200101
兰州市,甘肃省,0.32,20200101
凉山彝族自治州,四川省,0.32,20200101
汉中市,陕西省,0.27,20200101
天津市,天津市,0.25,20200101
杭州市,浙江省,0.25,20200101
肇庆市,广东省,0.24,20200101
拉萨市,西藏自治区,0.24,20200101
攀枝花市,四川省,0.23,20200101
泉州市,福建省,0.22,20200101
西宁市,青海省,0.22,20200101
遵义市,贵州省,0.21,20200101
雅安市,四川省,0.21,20200101
渭南市,陕西省,0.21,20200101
厦门市,福建省,0.19,20200101
宝鸡市,陕西省,0.19,20200101
武汉市,湖北省,0.18,20200101
成都市,四川省,29.77,20200102
重庆市,重庆市,7.03,20200102
广安市,四川省,4.24,20200102
广州市,广东省,3.23,20200102
深圳市,广东省,2.78,20200102
绵阳市,四川省,2.76,20200102
广元市,四川省,2.75,20200102
遂宁市,四川省,2.48,20200102
东莞市,广东省,2.29,20200102
达州市,四川省,2.01,20200102
巴中市,四川省,1.91,20200102
西安市,陕西省,1.7,20200102
佛山市,广东省,1.49,20200102
德阳市,四川省,1.45,20200102
上海市,上海市,1.34,20200102
北京市,北京市,1.04,20200102
眉山市,四川省,1.03,20200102
惠州市,广东省,0.96,20200102
宁波市,浙江省,0.78,20200102
资阳市,四川省,0.75,20200102
温州市,浙江省,0.75,20200102
无锡市,江苏省,0.69,20200102
乌鲁木齐市,新疆维吾尔自治区,0.69,20200102
贵阳市,贵州省,0.67,20200102
内江市,四川省,0.66,20200102
苏州市,江苏省,0.61,20200102
宜宾市,四川省,0.55,20200102
乐山市,四川省,0.55,20200102
西宁市,青海省,0.55,20200102
咸阳市,陕西省,0.54,20200102
肇庆市,广东省,0.53,20200102
福州市,福建省,0.49,20200102
泸州市,四川省,0.49,20200102
昆明市,云南省,0.48,20200102
攀枝花市,四川省,0.44,20200102
泉州市,福建省,0.42,20200102
中山市,广东省,0.41,20200102
杭州市,浙江省,0.41,20200102
大连市,辽宁省,0.39,20200102
天津市,天津市,0.37,20200102
拉萨市,西藏自治区,0.35,20200102
甘孜藏族自治州,四川省,0.33,20200102
兰州市,甘肃省,0.32,20200102
凉山彝族自治州,四川省,0.32,20200102
厦门市,福建省,0.32,20200102
自贡市,四川省,0.31,20200102
渭南市,陕西省,0.3,20200102
珠海市,广东省,0.29,20200102
郑州市,河南省,0.28,20200102
沈阳市,辽宁省,0.27,20200102
成都市,四川省,31.7,20200103
重庆市,重庆市,8.04,20200103
广安市,四川省,5.94,20200103
广元市,四川省,3.65,20200103
绵阳市,四川省,3.37,20200103
遂宁市,四川省,3.25,20200103
巴中市,四川省,2.8,20200103
达州市,四川省,2.49,20200103
广州市,广东省,2.37,20200103
西安市,陕西省,2.11,20200103
深圳市,广东省,1.99,20200103
德阳市,四川省,1.56,20200103
东莞市,广东省,1.4,20200103
佛山市,广东省,1.24,20200103
眉山市,四川省,1.06,20200103
上海市,上海市,1.02,20200103
北京市,北京市,0.77,20200103
惠州市,广东省,0.67,20200103
内江市,四川省,0.64,20200103
宜宾市,四川省,0.6,20200103
资阳市,四川省,0.59,20200103
乌鲁木齐市,新疆维吾尔自治区,0.56,20200103
咸阳市,陕西省,0.55,20200103
泸州市,四川省,0.55,20200103
昆明市,云南省,0.53,20200103
宁波市,浙江省,0.5,20200103
乐山市,四川省,0.5,20200103
自贡市,四川省,0.5,20200103
贵阳市,贵州省,0.49,20200103
西宁市,青海省,0.47,20200103
温州市,浙江省,0.43,20200103
无锡市,江苏省,0.43,20200103
福州市,福建省,0.43,20200103
苏州市,江苏省,0.4,20200103
肇庆市,广东省,0.38,20200103
渭南市,陕西省,0.37,20200103
拉萨市,西藏自治区,0.35,20200103
天津市,天津市,0.34,20200103
大连市,辽宁省,0.33,20200103
泉州市,福建省,0.33,20200103
中山市,广东省,0.32,20200103
攀枝花市,四川省,0.31,20200103
杭州市,浙江省,0.3,20200103
甘孜藏族自治州,四川省,0.3,20200103
太原市,山西省,0.26,20200103
汕头市,广东省,0.26,20200103
兰州市,甘肃省,0.26,20200103
沈阳市,辽宁省,0.25,20200103
汉中市,陕西省,0.25,20200103
