city_name,province_name,value,date
崇左市,广西壮族自治区,13.05,20200101
百色市,广西壮族自治区,9.62,20200101
河池市,广西壮族自治区,8.67,20200101
钦州市,广西壮族自治区,8.09,20200101
玉林市,广西壮族自治区,7.14,20200101
贵港市,广西壮族自治区,6.43,20200101
柳州市,广西壮族自治区,5.27,20200101
来宾市,广西壮族自治区,4.55,20200101
防城港市,广西壮族自治区,4.49,20200101
北海市,广西壮族自治区,4.2,20200101
桂林市,广西壮族自治区,3.82,20200101
广州市,广东省,2.3,20200101
深圳市,广东省,1.69,20200101
梧州市,广西壮族自治区,1.59,20200101
东莞市,广东省,1.59,20200101
佛山市,广东省,1.57,20200101
湛江市,广东省,0.83,20200101
中山市,广东省,0.79,20200101
贺州市,广西壮族自治区,0.77,20200101
北京市,北京市,0.52,20200101
上海市,上海市,0.44,20200101
惠州市,广东省,0.39,20200101
茂名市,广东省,0.38,20200101
成都市,四川省,0.35,20200101
江门市,广东省,0.35,20200101
文山壮族苗族自治州,云南省,0.32,20200101
重庆市,重庆市,0.32,20200101
昆明市,云南省,0.31,20200101
长沙市,湖南省,0.29,20200101
杭州市,浙江省,0.29,20200101
贵阳市,贵州省,0.26,20200101
珠海市,广东省,0.26,20200101
武汉市,湖北省,0.25,20200101
海口市,海南省,0.23,20200101
黔西南布依族苗族自治州,贵州省,0.22,20200101
肇庆市,广东省,0.22,20200101
汕头市,广东省,0.19,20200101
南京市,江苏省,0.18,20200101
厦门市,福建省,0.18,20200101
黔南布依族苗族自治州,贵州省,0.18,20200101
天津市,天津市,0.17,20200101
泉州市,福建省,0.17,20200101
衡阳市,湖南省,0.15,20200101
南昌市,江西省,0.14,20200101
永州市,湖南省,0.14,20200101
阳江市,广东省,0.13,20200101
郑州市,河南省,0.13,20200101
温州市,浙江省,0.13,20200101
邵阳市,湖南省,0.12,20200101
三亚市,海南省,0.12,20200101
崇左市,广西壮族自治区,8.86,20200102
百色市,广西壮族自治区,8.42,20200102
河池市,广西壮族自治区,8.37,20200102
玉林市,广西壮族自治区,7.46,20200102
钦州市,广西壮族自治区,6.64,20200102
柳州市,广西壮族自治区,5.29,20200102
贵港市,广西壮族自治区,5.26,20200102
桂林市,广西壮族自治区,5.13,20200102
北海市,广西壮族自治区,4.1,20200102
来宾市,广西壮族自治区,3.78,20200102
防城港市,广西壮族自治区,3.59,20200102
广州市,广东省,2.92,20200102
深圳市,广东省,2.36,20200102
东莞市,广东省,2.34,20200102
佛山市,广东省,2.05,20200102
梧州市,广西壮族自治区,1.78,20200102
中山市,广东省,1.06,20200102
湛江市,广东省,0.96,20200102
贺州市,广西壮族自治区,0.87,20200102
北京市,北京市,0.78,20200102
上海市,上海市,0.76,20200102
成都市,四川省,0.55,20200102
重庆市,重庆市,0.54,20200102
长沙市,湖南省,0.51,20200102
武汉市,湖北省,0.5,20200102
杭州市,浙江省,0.48,20200102
惠州市,广东省,0.47,20200102
昆明市,云南省,0.45,20200102
江门市,广东省,0.43,20200102
茂名市,广东省,0.41,20200102
贵阳市,贵州省,0.34,20200102
天津市,天津市,0.33,20200102
南京市,江苏省,0.3,20200102
肇庆市,广东省,0.27,20200102
文山壮族苗族自治州,云南省,0.27,20200102
郑州市,河南省,0.24,20200102
西安市,陕西省,0.24,20200102
珠海市,广东省,0.23,20200102
海口市,海南省,0.21,20200102
南昌市,江西省,0.2,20200102
衡阳市,湖南省,0.19,20200102
永州市,湖南省,0.18,20200102
厦门市,福建省,0.18,20200102
石家庄市,河北省,0.18,20200102
泉州市,福建省,0.18,20200102
黔西南布依族苗族自治州,贵州省,0.18,20200102
哈尔滨市,黑龙江省,0.17,20200102
福州市,福建省,0.17,20200102
黔南布依族苗族自治州,贵州省,0.17,20200102
青岛市,山东省,0.16,20200102
崇左市,广西壮族自治区,12.25,20200103
百色市,广西壮族自治区,8.57,20200103
河池市,广西壮族自治区,7.76,20200103
钦州市,广西壮族自治区,7.44,20200103
玉林市,广西壮族自治区,7.15,20200103
贵港市,广西壮族自治区,5.86,20200103
柳州市,广西壮族自治区,5.3,20200103
桂林市,广西壮族自治区,5.03,20200103
防城港市,广西壮族自治区,4.71,20200103
北海市,广西壮族自治区,4.33,20200103
来宾市,广西壮族自治区,3.6,20200103
广州市,广东省,2.47,20200103
梧州市,广西壮族自治区,2.41,20200103
深圳市,广东省,1.99,20200103
东莞市,广东省,1.69,20200103
佛山市,广东省,1.47,20200103
贺州市,广西壮族自治区,0.87,20200103
中山市,广东省,0.77,20200103
湛江市,广东省,0.76,20200103
北京市,北京市,0.68,20200103
上海市,上海市,0.57,20200103
长沙市,湖南省,0.45,20200103
重庆市,重庆市,0.4,20200103
昆明市,云南省,0.39,20200103
杭州市,浙江省,0.38,20200103
武汉市,湖北省,0.38,20200103
惠州市,广东省,0.36,20200103
成都市,四川省,0.36,20200103
茂名市,广东省,0.34,20200103
天津市,天津市,0.31,20200103
贵阳市,贵州省,0.3,20200103
江门市,广东省,0.29,20200103
海口市,海南省,0.24,20200103
文山壮族苗族自治州,云南省,0.23,20200103
珠海市,广东省,0.23,20200103
肇庆市,广东省,0.22,20200103
西安市,陕西省,0.22,20200103
南昌市,江西省,0.21,20200103
永州市,湖南省,0.2,20200103
南京市,江苏省,0.2,20200103
黔西南布依族苗族自治州,贵州省,0.18,20200103
汕头市,广东省,0.17,20200103
郑州市,河南省,0.17,20200103
泉州市,福建省,0.16,20200103
厦门市,福建省,0.15,20200103
黔南布依族苗族自治州,贵州省,0.14,20200103
衡阳市,湖南省,0.13,20200103
宁波市,浙江省,0.12,20200103
金华市,浙江省,0.12,20200103
云浮市,广东省,0.12,20200103
崇左市,广西壮族自治区,11.92,20200104
百色市,广西壮族自治区,8.8,20200104
钦州市,广西壮族自治区,7.75,20200104
河池市,广西壮族自治区,7.32,20200104
桂林市,广西壮族自治区,6.27,20200104
玉林市,广西壮族自治区,6.18,20200104
贵港市,广西壮族自治区,5.94,20200104
柳州市,广西壮族自治区,5.35,20200104
防城港市,广西壮族自治区,4.66,20200104
北海市,广西壮族自治区,4.15,20200104
来宾市,广西壮族自治区,3.5,20200104
广州市,广东省,2.51,20200104
梧州市,广西壮族自治区,1.92,20200104
