city_name,province_name,value,date
福州市,福建省,28.14,20200101
三明市,福建省,12.17,20200101
宁德市,福建省,5.83,20200101
厦门市,福建省,5.35,20200101
泉州市,福建省,5.11,20200101
上饶市,江西省,3.86,20200101
丽水市,浙江省,3.33,20200101
抚州市,江西省,2.44,20200101
衢州市,浙江省,2.43,20200101
上海市,上海市,2.06,20200101
莆田市,福建省,1.72,20200101
龙岩市,福建省,1.58,20200101
金华市,浙江省,1.57,20200101
漳州市,福建省,1.53,20200101
温州市,浙江省,1.44,20200101
杭州市,浙江省,1.21,20200101
南昌市,江西省,1.09,20200101
鹰潭市,江西省,0.79,20200101
北京市,北京市,0.65,20200101
宜春市,江西省,0.65,20200101
深圳市,广东省,0.57,20200101
赣州市,江西省,0.53,20200101
苏州市,江苏省,0.53,20200101
广州市,广东省,0.51,20200101
宁波市,浙江省,0.45,20200101
绍兴市,浙江省,0.39,20200101
重庆市,重庆市,0.39,20200101
南京市,江苏省,0.34,20200101
成都市,四川省,0.29,20200101
九江市,江西省,0.29,20200101
广安市,四川省,0.27,20200101
无锡市,江苏省,0.27,20200101
武汉市,湖北省,0.24,20200101
遵义市,贵州省,0.23,20200101
东莞市,广东省,0.23,20200101
合肥市,安徽省,0.23,20200101
吉安市,江西省,0.22,20200101
长沙市,湖南省,0.22,20200101
景德镇市,江西省,0.22,20200101
临沧市,云南省,0.2,20200101
台州市,浙江省,0.19,20200101
郑州市,河南省,0.18,20200101
惠州市,广东省,0.18,20200101
天津市,天津市,0.17,20200101
信阳市,河南省,0.17,20200101
怀化市,湖南省,0.17,20200101
湖州市,浙江省,0.17,20200101
西安市,陕西省,0.15,20200101
恩施土家族苗族自治州,湖北省,0.15,20200101
徐州市,江苏省,0.14,20200101
福州市,福建省,29.97,20200102
三明市,福建省,9.12,20200102
厦门市,福建省,6.81,20200102
宁德市,福建省,5.08,20200102
泉州市,福建省,4.75,20200102
上海市,上海市,2.77,20200102
上饶市,江西省,2.51,20200102
莆田市,福建省,2.17,20200102
丽水市,浙江省,2.04,20200102
衢州市,浙江省,1.93,20200102
漳州市,福建省,1.9,20200102
温州市,浙江省,1.69,20200102
抚州市,江西省,1.46,20200102
金华市,浙江省,1.41,20200102
龙岩市,福建省,1.36,20200102
杭州市,浙江省,1.35,20200102
南昌市,江西省,1.11,20200102
重庆市,重庆市,1.1,20200102
宜春市,江西省,0.78,20200102
广州市,广东省,0.66,20200102
北京市,北京市,0.51,20200102
鹰潭市,江西省,0.49,20200102
宁波市,浙江省,0.47,20200102
深圳市,广东省,0.46,20200102
苏州市,江苏省,0.44,20200102
遵义市,贵州省,0.44,20200102
绍兴市,浙江省,0.43,20200102
赣州市,江西省,0.43,20200102
湖州市,浙江省,0.37,20200102
嘉兴市,浙江省,0.35,20200102
无锡市,江苏省,0.34,20200102
