city_name,province_name,value,date
宜春市,江西省,20.66,20200101
九江市,江西省,14.02,20200101
抚州市,江西省,9.51,20200101
上饶市,江西省,9.07,20200101
吉安市,江西省,5.55,20200101
赣州市,江西省,4.3,20200101
景德镇市,江西省,2.69,20200101
鹰潭市,江西省,2.32,20200101
新余市,江西省,2.12,20200101
上海市,上海市,1.8,20200101
萍乡市,江西省,1.53,20200101
武汉市,湖北省,1.46,20200101
杭州市,浙江省,1.4,20200101
长沙市,湖南省,1.28,20200101
北京市,北京市,1.16,20200101
深圳市,广东省,1.11,20200101
广州市,广东省,1.01,20200101
金华市,浙江省,0.6,20200101
福州市,福建省,0.52,20200101
厦门市,福建省,0.46,20200101
黄冈市,湖北省,0.45,20200101
苏州市,江苏省,0.44,20200101
南京市,江苏省,0.41,20200101
东莞市,广东省,0.41,20200101
泉州市,福建省,0.4,20200101
重庆市,重庆市,0.39,20200101
成都市,四川省,0.39,20200101
宁波市,浙江省,0.38,20200101
温州市,浙江省,0.37,20200101
合肥市,安徽省,0.33,20200101
西安市,陕西省,0.28,20200101
天津市,天津市,0.27,20200101
嘉兴市,浙江省,0.27,20200101
惠州市,广东省,0.27,20200101
郑州市,河南省,0.26,20200101
南平市,福建省,0.24,20200101
海口市,海南省,0.24,20200101
三明市,福建省,0.22,20200101
衢州市,浙江省,0.22,20200101
佛山市,广东省,0.21,20200101
株洲市,湖南省,0.2,20200101
安庆市,安徽省,0.19,20200101
绍兴市,浙江省,0.19,20200101
莆田市,福建省,0.19,20200101
哈尔滨市,黑龙江省,0.18,20200101
石家庄市,河北省,0.18,20200101
无锡市,江苏省,0.17,20200101
昆明市,云南省,0.17,20200101
济南市,山东省,0.17,20200101
黄石市,湖北省,0.16,20200101
宜春市,江西省,15.89,20200102
九江市,江西省,11.96,20200102
抚州市,江西省,8.17,20200102
上饶市,江西省,7.24,20200102
吉安市,江西省,5.62,20200102
赣州市,江西省,4.93,20200102
上海市,上海市,2.52,20200102
景德镇市,江西省,2.41,20200102
新余市,江西省,2.23,20200102
武汉市,湖北省,1.88,20200102
鹰潭市,江西省,1.78,20200102
北京市,北京市,1.72,20200102
杭州市,浙江省,1.68,20200102
萍乡市,江西省,1.65,20200102
长沙市,湖南省,1.56,20200102
深圳市,广东省,1.48,20200102
广州市,广东省,1.38,20200102
东莞市,广东省,0.79,20200102
金华市,浙江省,0.69,20200102
苏州市,江苏省,0.66,20200102
厦门市,福建省,0.63,20200102
宁波市,浙江省,0.62,20200102
南京市,江苏省,0.57,20200102
合肥市,安徽省,0.57,20200102
福州市,福建省,0.56,20200102
温州市,浙江省,0.53,20200102
泉州市,福建省,0.51,20200102
重庆市,重庆市,0.51,20200102
成都市,四川省,0.5,20200102
西安市,陕西省,0.49,20200102
