city_name,province_name,value,date
漳州市,福建省,30.8,20200101
泉州市,福建省,25.82,20200101
龙岩市,福建省,6.34,20200101
福州市,福建省,4.77,20200101
莆田市,福建省,2.61,20200101
三明市,福建省,2.49,20200101
深圳市,广东省,1.54,20200101
上海市,上海市,1.51,20200101
北京市,北京市,1.36,20200101
广州市,广东省,1.2,20200101
南平市,福建省,1.11,20200101
赣州市,江西省,0.86,20200101
宁德市,福建省,0.79,20200101
杭州市,浙江省,0.56,20200101
天津市,天津市,0.53,20200101
南昌市,江西省,0.47,20200101
南京市,江苏省,0.46,20200101
东莞市,广东省,0.43,20200101
西安市,陕西省,0.42,20200101
苏州市,江苏省,0.41,20200101
成都市,四川省,0.39,20200101
合肥市,安徽省,0.38,20200101
武汉市,湖北省,0.38,20200101
长沙市,湖南省,0.37,20200101
汕头市,广东省,0.36,20200101
重庆市,重庆市,0.36,20200101
温州市,浙江省,0.35,20200101
郑州市,河南省,0.32,20200101
抚州市,江西省,0.28,20200101
上饶市,江西省,0.28,20200101
宁波市,浙江省,0.27,20200101
青岛市,山东省,0.25,20200101
佛山市,广东省,0.25,20200101
昆明市,云南省,0.24,20200101
石家庄市,河北省,0.24,20200101
沈阳市,辽宁省,0.23,20200101
哈尔滨市,黑龙江省,0.22,20200101
潮州市,广东省,0.21,20200101
吉安市,江西省,0.2,20200101
长春市,吉林省,0.19,20200101
惠州市,广东省,0.19,20200101
南宁市,广西壮族自治区,0.18,20200101
济南市,山东省,0.18,20200101
贵阳市,贵州省,0.17,20200101
海口市,海南省,0.17,20200101
揭阳市,广东省,0.17,20200101
无锡市,江苏省,0.14,20200101
金华市,浙江省,0.13,20200101
台州市,浙江省,0.13,20200101
太原市,山西省,0.12,20200101
漳州市,福建省,19.64,20200102
泉州市,福建省,18.78,20200102
福州市,福建省,6.41,20200102
龙岩市,福建省,5.9,20200102
三明市,福建省,2.61,20200102
上海市,上海市,2.44,20200102
北京市,北京市,2.42,20200102
深圳市,广东省,2.39,20200102
莆田市,福建省,2.22,20200102
广州市,广东省,1.86,20200102
南平市,福建省,1.54,20200102
宁德市,福建省,0.97,20200102
赣州市,江西省,0.95,20200102
武汉市,湖北省,0.91,20200102
杭州市,浙江省,0.9,20200102
南京市,江苏省,0.9,20200102
天津市,天津市,0.84,20200102
郑州市,河南省,0.77,20200102
重庆市,重庆市,0.72,20200102
成都市,四川省,0.71,20200102
东莞市,广东省,0.7,20200102
西安市,陕西省,0.67,20200102
苏州市,江苏省,0.67,20200102
南昌市,江西省,0.61,20200102
长沙市,湖南省,0.57,20200102
石家庄市,河北省,0.49,20200102
沈阳市,辽宁省,0.48,20200102
青岛市,山东省,0.46,20200102
济南市,山东省,0.45,20200102
温州市,浙江省,0.43,20200102
哈尔滨市,黑龙江省,0.43,20200102
佛山市,广东省,0.42,20200102
昆明市,云南省,0.41,20200102
合肥市,安徽省,0.36,20200102
