city_name,province_name,value,date
漳州市,福建省,29.31,20200101
泉州市,福建省,24.66,20200101
龙岩市,福建省,5.67,20200101
福州市,福建省,4.6,20200101
三明市,福建省,2.78,20200101
莆田市,福建省,2.2,20200101
南平市,福建省,1.49,20200101
上海市,上海市,1.4,20200101
深圳市,广东省,1.3,20200101
宁德市,福建省,1.23,20200101
赣州市,江西省,1.01,20200101
广州市,广东省,1.0,20200101
北京市,北京市,0.94,20200101
重庆市,重庆市,0.72,20200101
铜仁市,贵州省,0.59,20200101
杭州市,浙江省,0.53,20200101
上饶市,江西省,0.46,20200101
成都市,四川省,0.45,20200101
武汉市,湖北省,0.44,20200101
汕头市,广东省,0.4,20200101
东莞市,广东省,0.38,20200101
抚州市,江西省,0.38,20200101
南昌市,江西省,0.37,20200101
西安市,陕西省,0.37,20200101
天津市,天津市,0.35,20200101
温州市,浙江省,0.33,20200101
郑州市,河南省,0.33,20200101
长沙市,湖南省,0.33,20200101
毕节市,贵州省,0.33,20200101
遵义市,贵州省,0.3,20200101
苏州市,江苏省,0.3,20200101
南京市,江苏省,0.29,20200101
贵阳市,贵州省,0.29,20200101
合肥市,安徽省,0.28,20200101
周口市,河南省,0.28,20200101
吉安市,江西省,0.27,20200101
昆明市,云南省,0.24,20200101
潮州市,广东省,0.24,20200101
沈阳市,辽宁省,0.22,20200101
哈尔滨市,黑龙江省,0.21,20200101
惠州市,广东省,0.21,20200101
香港,香港,0.2,20200101
宜春市,江西省,0.2,20200101
佛山市,广东省,0.2,20200101
南宁市,广西壮族自治区,0.19,20200101
九江市,江西省,0.19,20200101
曲靖市,云南省,0.18,20200101
宁波市,浙江省,0.18,20200101
青岛市,山东省,0.18,20200101
揭阳市,广东省,0.18,20200101
漳州市,福建省,19.08,20200102
泉州市,福建省,18.03,20200102
福州市,福建省,5.73,20200102
龙岩市,福建省,5.51,20200102
三明市,福建省,3.15,20200102
莆田市,福建省,2.68,20200102
南平市,福建省,1.86,20200102
深圳市,广东省,1.7,20200102
重庆市,重庆市,1.59,20200102
宁德市,福建省,1.52,20200102
上海市,上海市,1.49,20200102
铜仁市,贵州省,1.31,20200102
赣州市,江西省,1.25,20200102
北京市,北京市,1.24,20200102
广州市,广东省,1.13,20200102
遵义市,贵州省,0.79,20200102
上饶市,江西省,0.74,20200102
抚州市,江西省,0.71,20200102
毕节市,贵州省,0.67,20200102
杭州市,浙江省,0.65,20200102
周口市,河南省,0.62,20200102
成都市,四川省,0.58,20200102
南昌市,江西省,0.58,20200102
武汉市,湖北省,0.51,20200102
泸州市,四川省,0.46,20200102
昆明市,云南省,0.46,20200102
温州市,浙江省,0.45,20200102
宜春市,江西省,0.45,20200102
东莞市,广东省,0.44,20200102
南阳市,河南省,0.44,20200102
汕头市,广东省,0.43,20200102
西安市,陕西省,0.41,20200102
吉安市,江西省,0.41,20200102
南京市,江苏省,0.41,20200102
长沙市,湖南省,0.41,20200102
苏州市,江苏省,0.4,20200102
宁波市,浙江省,0.35,20200102
天津市,天津市,0.34,20200102
青岛市,山东省,0.33,20200102
昭通市,云南省,0.33,20200102
佛山市,广东省,0.31,20200102
怀化市,湖南省,0.31,20200102
九江市,江西省,0.3,20200102
郑州市,河南省,0.29,20200102
贵阳市,贵州省,0.27,20200102
合肥市,安徽省,0.27,20200102
黔东南苗族侗族自治州,贵州省,0.26,20200102
曲靖市,云南省,0.25,20200102
香港,香港,0.25,20200102
潮州市,广东省,0.24,20200102
漳州市,福建省,28.75,20200103
泉州市,福建省,23.83,20200103
福州市,福建省,5.48,20200103
龙岩市,福建省,5.27,20200103
莆田市,福建省,3.09,20200103
三明市,福建省,2.6,20200103
南平市,福建省,1.4,20200103
深圳市,广东省,1.29,20200103
上海市,上海市,1.07,20200103
宁德市,福建省,1.0,20200103
重庆市,重庆市,0.98,20200103
广州市,广东省,0.9,20200103
北京市,北京市,0.89,20200103
赣州市,江西省,0.8,20200103
铜仁市,贵州省,0.71,20200103
杭州市,浙江省,0.49,20200103
上饶市,江西省,0.48,20200103
抚州市,江西省,0.46,20200103
东莞市,广东省,0.4,20200103
成都市,四川省,0.39,20200103
遵义市,贵州省,0.38,20200103
温州市,浙江省,0.38,20200103
汕头市,广东省,0.38,20200103
南昌市,江西省,0.36,20200103
武汉市,湖北省,0.35,20200103
周口市,河南省,0.32,20200103
南京市,江苏省,0.32,20200103
昆明市,云南省,0.32,20200103
西安市,陕西省,0.31,20200103
长沙市,湖南省,0.31,20200103
郑州市,河南省,0.3,20200103
天津市,天津市,0.29,20200103
毕节市,贵州省,0.28,20200103
贵阳市,贵州省,0.28,20200103
苏州市,江苏省,0.27,20200103
泸州市,四川省,0.26,20200103
合肥市,安徽省,0.25,20200103
怀化市,湖南省,0.24,20200103
潮州市,广东省,0.23,20200103
吉安市,江西省,0.22,20200103
曲靖市,云南省,0.22,20200103
九江市,江西省,0.21,20200103
长春市,吉林省,0.21,20200103
青岛市,山东省,0.2,20200103
宜春市,江西省,0.2,20200103
南阳市,河南省,0.2,20200103
佛山市,广东省,0.2,20200103
宁波市,浙江省,0.19,20200103
昭通市,云南省,0.19,20200103
惠州市,广东省,0.19,20200103
漳州市,福建省,28.07,20200104
泉州市,福建省,23.98,20200104
龙岩市,福建省,5.22,20200104
福州市,福建省,4.84,20200104
莆田市,福建省,2.64,20200104
三明市,福建省,2.25,20200104
南平市,福建省,1.47,20200104
上海市,上海市,1.28,20200104
深圳市,广东省,1.27,20200104
重庆市,重庆市,1.1,20200104
宁德市,福建省,1.08,20200104
广州市,广东省,0.99,20200104
北京市,北京市,0.95,20200104
赣州市,江西省,0.8,20200104
铜仁市,贵州省,0.63,20200104
上饶市,江西省,0.51,20200104
杭州市,浙江省,0.46,20200104
成都市,四川省,0.45,20200104
南京市,江苏省,0.43,20200104
抚州市,江西省,0.42,20200104
武汉市,湖北省,0.41,20200104
汕头市,广东省,0.4,20200104
昆明市,云南省,0.39,20200104
遵义市,贵州省,0.39,20200104
东莞市,广东省,0.37,20200104
苏州市,江苏省,0.35,20200104
长沙市,湖南省,0.35,20200104
周口市,河南省,0.35,20200104
南昌市,江西省,0.34,20200104
西安市,陕西省,0.32,20200104
郑州市,河南省,0.32,20200104
天津市,天津市,0.32,20200104
温州市,浙江省,0.31,20200104
毕节市,贵州省,0.31,20200104
泸州市,四川省,0.29,20200104
潮州市,广东省,0.28,20200104
吉安市,江西省,0.27,20200104
宜春市,江西省,0.26,20200104
九江市,江西省,0.23,20200104
贵阳市,贵州省,0.23,20200104
佛山市,广东省,0.22,20200104
南宁市,广西壮族自治区,0.21,20200104
宁波市,浙江省,0.21,20200104
合肥市,安徽省,0.2,20200104
南阳市,河南省,0.2,20200104
香港,香港,0.2,20200104
曲靖市,云南省,0.19,20200104
信阳市,河南省,0.18,20200104
青岛市,山东省,0.18,20200104
怀化市,湖南省,0.18,20200104
漳州市,福建省,22.72,20200105
泉州市,福建省,19.58,20200105
福州市,福建省,6.71,20200105
龙岩市,福建省,4.95,20200105
三明市,福建省,2.54,20200105
深圳市,广东省,2.41,20200105
莆田市,福建省,2.39,20200105
上海市,上海市,1.79,20200105
南平市,福建省,1.6,20200105
广州市,广东省,1.44,20200105
北京市,北京市,1.39,20200105
重庆市,重庆市,1.26,20200105
宁德市,福建省,1.22,20200105
赣州市,江西省,0.93,20200105
杭州市,浙江省,0.75,20200105
南京市,江苏省,0.72,20200105
武汉市,湖北省,0.66,20200105
成都市,四川省,0.66,20200105
铜仁市,贵州省,0.65,20200105
南昌市,江西省,0.59,20200105
上饶市,江西省,0.55,20200105
东莞市,广东省,0.54,20200105
抚州市,江西省,0.53,20200105
贵阳市,贵州省,0.49,20200105
郑州市,河南省,0.49,20200105
西安市,陕西省,0.49,20200105
长沙市,湖南省,0.47,20200105
温州市,浙江省,0.46,20200105
合肥市,安徽省,0.44,20200105
苏州市,江苏省,0.43,20200105
天津市,天津市,0.41,20200105
遵义市,贵州省,0.39,20200105
昆明市,云南省,0.37,20200105
汕头市,广东省,0.37,20200105
周口市,河南省,0.32,20200105
宁波市,浙江省,0.32,20200105
佛山市,广东省,0.31,20200105
宜春市,江西省,0.3,20200105
吉安市,江西省,0.3,20200105
南宁市,广西壮族自治区,0.29,20200105
毕节市,贵州省,0.28,20200105
潮州市,广东省,0.28,20200105
香港,香港,0.28,20200105
九江市,江西省,0.28,20200105
泸州市,四川省,0.27,20200105
青岛市,山东省,0.26,20200105
揭阳市,广东省,0.24,20200105
沈阳市,辽宁省,0.23,20200105
惠州市,广东省,0.22,20200105
南阳市,河南省,0.22,20200105
漳州市,福建省,24.05,20200106
泉州市,福建省,18.78,20200106
福州市,福建省,5.8,20200106
龙岩市,福建省,4.68,20200106
莆田市,福建省,2.3,20200106
三明市,福建省,2.26,20200106
深圳市,广东省,1.97,20200106
上海市,上海市,1.77,20200106
北京市,北京市,1.65,20200106
南平市,福建省,1.59,20200106
重庆市,重庆市,1.31,20200106
广州市,广东省,1.25,20200106
宁德市,福建省,1.24,20200106
赣州市,江西省,1.05,20200106
铜仁市,贵州省,0.76,20200106
杭州市,浙江省,0.69,20200106
成都市,四川省,0.61,20200106
武汉市,湖北省,0.58,20200106
上饶市,江西省,0.57,20200106
南京市,江苏省,0.52,20200106
郑州市,河南省,0.52,20200106
长沙市,湖南省,0.52,20200106
东莞市,广东省,0.5,20200106
天津市,天津市,0.48,20200106
西安市,陕西省,0.47,20200106
抚州市,江西省,0.46,20200106
南昌市,江西省,0.44,20200106
贵阳市,贵州省,0.42,20200106
