city_name,province_name,value,date
佳木斯市,黑龙江省,51.69,20200101
哈尔滨市,黑龙江省,20.32,20200101
鸡西市,黑龙江省,6.22,20200101
七台河市,黑龙江省,4.4,20200101
鹤岗市,黑龙江省,1.95,20200101
绥化市,黑龙江省,1.82,20200101
北京市,北京市,1.56,20200101
大庆市,黑龙江省,1.13,20200101
牡丹江市,黑龙江省,1.02,20200101
长春市,吉林省,0.87,20200101
沈阳市,辽宁省,0.79,20200101
伊春市,黑龙江省,0.74,20200101
齐齐哈尔市,黑龙江省,0.56,20200101
大连市,辽宁省,0.48,20200101
天津市,天津市,0.36,20200101
郑州市,河南省,0.28,20200101
青岛市,山东省,0.23,20200101
黑河市,黑龙江省,0.23,20200101
江门市,广东省,0.2,20200101
烟台市,山东省,0.2,20200101
深圳市,广东省,0.15,20200101
廊坊市,河北省,0.15,20200101
杭州市,浙江省,0.15,20200101
鞍山市,辽宁省,0.12,20200101
威海市,山东省,0.12,20200101
秦皇岛市,河北省,0.12,20200101
阜新市,辽宁省,0.1,20200101
吉林市,吉林省,0.1,20200101
成都市,四川省,0.1,20200101
扬州市,江苏省,0.1,20200101
延边朝鲜族自治州,吉林省,0.1,20200101
营口市,辽宁省,0.07,20200101
四平市,吉林省,0.07,20200101
济南市,山东省,0.07,20200101
日照市,山东省,0.07,20200101
临沂市,山东省,0.07,20200101
台州市,浙江省,0.07,20200101
宁波市,浙江省,0.07,20200101
无锡市,江苏省,0.07,20200101
通化市,吉林省,0.07,20200101
上海市,上海市,0.07,20200101
呼和浩特市,内蒙古自治区,0.07,20200101
承德市,河北省,0.05,20200101
潍坊市,山东省,0.05,20200101
滨州市,山东省,0.05,20200101
呼伦贝尔市,内蒙古自治区,0.05,20200101
榆林市,陕西省,0.05,20200101
厦门市,福建省,0.05,20200101
常州市,江苏省,0.05,20200101
辽阳市,辽宁省,0.05,20200101
佳木斯市,黑龙江省,35.58,20200102
哈尔滨市,黑龙江省,30.2,20200102
鸡西市,黑龙江省,4.99,20200102
绥化市,黑龙江省,3.38,20200102
七台河市,黑龙江省,2.98,20200102
鹤岗市,黑龙江省,2.62,20200102
北京市,北京市,1.94,20200102
牡丹江市,黑龙江省,1.44,20200102
伊春市,黑龙江省,1.19,20200102
沈阳市,辽宁省,1.08,20200102
长春市,吉林省,1.06,20200102
大连市,辽宁省,0.99,20200102
黑河市,黑龙江省,0.97,20200102
大庆市,黑龙江省,0.94,20200102
齐齐哈尔市,黑龙江省,0.9,20200102
青岛市,山东省,0.47,20200102
天津市,天津市,0.42,20200102
唐山市,河北省,0.31,20200102
乐东黎族自治县,海南省,0.29,20200102
秦皇岛市,河北省,0.29,20200102
廊坊市,河北省,0.29,20200102
营口市,辽宁省,0.27,20200102
三亚市,海南省,0.27,20200102
威海市,山东省,0.24,20200102
济南市,山东省,0.22,20200102
铁岭市,辽宁省,0.22,20200102
上海市,上海市,0.2,20200102
成都市,四川省,0.2,20200102
保定市,河北省,0.18,20200102
泰安市,山东省,0.18,20200102
潍坊市,山东省,0.15,20200102
杭州市,浙江省,0.15,20200102
松原市,吉林省,0.13,20200102
石家庄市,河北省,0.13,20200102
吉林市,吉林省,0.13,20200102
朝阳市,辽宁省,0.13,20200102
临沂市,山东省,0.11,20200102
广州市,广东省,0.11,20200102
丹东市,辽宁省,0.11,20200102
四平市,吉林省,0.11,20200102
西安市,陕西省,0.11,20200102
烟台市,山东省,0.11,20200102
阜新市,辽宁省,0.11,20200102
延边朝鲜族自治州,吉林省,0.11,20200102
沧州市,河北省,0.11,20200102
锦州市,辽宁省,0.09,20200102
深圳市,广东省,0.09,20200102
赤峰市,内蒙古自治区,0.09,20200102
衡水市,河北省,0.09,20200102
邯郸市,河北省,0.09,20200102
佳木斯市,黑龙江省,42.55,20200103
哈尔滨市,黑龙江省,27.38,20200103
鸡西市,黑龙江省,5.11,20200103
七台河市,黑龙江省,3.53,20200103
绥化市,黑龙江省,3.12,20200103
鹤岗市,黑龙江省,2.66,20200103
北京市,北京市,1.81,20200103
牡丹江市,黑龙江省,1.33,20200103
长春市,吉林省,1.25,20200103
伊春市,黑龙江省,1.22,20200103
沈阳市,辽宁省,0.81,20200103
齐齐哈尔市,黑龙江省,0.7,20200103
大庆市,黑龙江省,0.65,20200103
大连市,辽宁省,0.54,20200103
天津市,天津市,0.49,20200103
黑河市,黑龙江省,0.33,20200103
四平市,吉林省,0.31,20200103
青岛市,山东省,0.27,20200103
深圳市,广东省,0.25,20200103
三亚市,海南省,0.22,20200103
廊坊市,河北省,0.19,20200103
临沂市,山东省,0.19,20200103
铁岭市,辽宁省,0.15,20200103
松原市,吉林省,0.15,20200103
吉林市,吉林省,0.15,20200103
延边朝鲜族自治州,吉林省,0.14,20200103
杭州市,浙江省,0.14,20200103
烟台市,山东省,0.11,20200103
济南市,山东省,0.11,20200103
白城市,吉林省,0.11,20200103
秦皇岛市,河北省,0.11,20200103
威海市,山东省,0.09,20200103
呼伦贝尔市,内蒙古自治区,0.09,20200103
辽阳市,辽宁省,0.09,20200103
鞍山市,辽宁省,0.09,20200103
南京市,江苏省,0.09,20200103
葫芦岛市,辽宁省,0.09,20200103
营口市,辽宁省,0.09,20200103
菏泽市,山东省,0.09,20200103
大兴安岭地区,黑龙江省,0.07,20200103
郑州市,河南省,0.07,20200103
阜新市,辽宁省,0.07,20200103
乐东黎族自治县,海南省,0.06,20200103
南宁市,广西壮族自治区,0.06,20200103
珠海市,广东省,0.06,20200103
锦州市,辽宁省,0.06,20200103
日照市,山东省,0.06,20200103
通化市,吉林省,0.06,20200103
潍坊市,山东省,0.06,20200103
成都市,四川省,0.06,20200103
佳木斯市,黑龙江省,48.39,20200104
哈尔滨市,黑龙江省,21.84,20200104
鸡西市,黑龙江省,4.75,20200104
七台河市,黑龙江省,4.37,20200104
绥化市,黑龙江省,2.56,20200104
鹤岗市,黑龙江省,2.38,20200104
北京市,北京市,1.62,20200104
牡丹江市,黑龙江省,1.53,20200104
沈阳市,辽宁省,0.92,20200104
长春市,吉林省,0.86,20200104
大庆市,黑龙江省,0.77,20200104
大连市,辽宁省,0.71,20200104
伊春市,黑龙江省,0.62,20200104
齐齐哈尔市,黑龙江省,0.59,20200104
天津市,天津市,0.52,20200104
青岛市,山东省,0.41,20200104
葫芦岛市,辽宁省,0.31,20200104
吉林市,吉林省,0.26,20200104
烟台市,山东省,0.22,20200104
黑河市,黑龙江省,0.2,20200104
廊坊市,河北省,0.2,20200104
延边朝鲜族自治州,吉林省,0.19,20200104
四平市,吉林省,0.19,20200104
营口市,辽宁省,0.19,20200104
锦州市,辽宁省,0.17,20200104
呼伦贝尔市,内蒙古自治区,0.16,20200104
铁岭市,辽宁省,0.16,20200104
威海市,山东省,0.13,20200104
三亚市,海南省,0.12,20200104
上海市,上海市,0.11,20200104
济南市,山东省,0.11,20200104
临沂市,山东省,0.09,20200104
滨州市,山东省,0.09,20200104
秦皇岛市,河北省,0.09,20200104
保定市,河北省,0.09,20200104
广州市,广东省,0.09,20200104
沧州市,河北省,0.09,20200104
深圳市,广东省,0.09,20200104
白城市,吉林省,0.08,20200104
济宁市,山东省,0.08,20200104
辽阳市,辽宁省,0.08,20200104
唐山市,河北省,0.08,20200104
昆明市,云南省,0.08,20200104
杭州市,浙江省,0.08,20200104
阜新市,辽宁省,0.08,20200104
松原市,吉林省,0.08,20200104
苏州市,江苏省,0.08,20200104
鞍山市,辽宁省,0.08,20200104
厦门市,福建省,0.08,20200104
南京市,江苏省,0.06,20200104
佳木斯市,黑龙江省,42.2,20200105
哈尔滨市,黑龙江省,28.04,20200105
鸡西市,黑龙江省,4.91,20200105
七台河市,黑龙江省,4.51,20200105
绥化市,黑龙江省,2.52,20200105
鹤岗市,黑龙江省,2.01,20200105
牡丹江市,黑龙江省,1.6,20200105
北京市,北京市,1.49,20200105
长春市,吉林省,0.94,20200105
大庆市,黑龙江省,0.89,20200105
伊春市,黑龙江省,0.75,20200105
沈阳市,辽宁省,0.65,20200105
大连市,辽宁省,0.63,20200105
齐齐哈尔市,黑龙江省,0.54,20200105
青岛市,山东省,0.39,20200105
天津市,天津市,0.34,20200105
吉林市,吉林省,0.32,20200105
营口市,辽宁省,0.3,20200105
威海市,山东省,0.27,20200105
三亚市,海南省,0.26,20200105
烟台市,山东省,0.23,20200105
黑河市,黑龙江省,0.2,20200105
松原市,吉林省,0.17,20200105
呼伦贝尔市,内蒙古自治区,0.16,20200105
深圳市,广东省,0.16,20200105
四平市,吉林省,0.16,20200105
葫芦岛市,辽宁省,0.16,20200105
上海市,上海市,0.16,20200105
济南市,山东省,0.15,20200105
临沂市,山东省,0.15,20200105
秦皇岛市,河北省,0.15,20200105
唐山市,河北省,0.15,20200105
抚顺市,辽宁省,0.13,20200105
通辽市,内蒙古自治区,0.13,20200105
铁岭市,辽宁省,0.13,20200105
沧州市,河北省,0.12,20200105
廊坊市,河北省,0.12,20200105
石家庄市,河北省,0.12,20200105
广州市,广东省,0.1,20200105
延边朝鲜族自治州,吉林省,0.1,20200105
丹东市,辽宁省,0.09,20200105
徐州市,江苏省,0.09,20200105
保定市,河北省,0.09,20200105
郑州市,河南省,0.08,20200105
盘锦市,辽宁省,0.08,20200105
滨州市,山东省,0.06,20200105
白城市,吉林省,0.06,20200105
潍坊市,山东省,0.06,20200105
绍兴市,浙江省,0.06,20200105
兴安盟,内蒙古自治区,0.06,20200105
佳木斯市,黑龙江省,44.8,20200106
哈尔滨市,黑龙江省,24.61,20200106
鸡西市,黑龙江省,6.04,20200106
七台河市,黑龙江省,3.9,20200106
绥化市,黑龙江省,2.94,20200106
鹤岗市,黑龙江省,1.81,20200106
北京市,北京市,1.54,20200106
牡丹江市,黑龙江省,1.37,20200106
长春市,吉林省,1.1,20200106
沈阳市,辽宁省,0.82,20200106
大庆市,黑龙江省,0.82,20200106
伊春市,黑龙江省,0.73,20200106
大连市,辽宁省,0.6,20200106
青岛市,山东省,0.48,20200106
齐齐哈尔市,黑龙江省,0.42,20200106
天津市,天津市,0.38,20200106
黑河市,黑龙江省,0.29,20200106
吉林市,吉林省,0.28,20200106
上海市,上海市,0.24,20200106
烟台市,山东省,0.24,20200106
威海市,山东省,0.22,20200106
营口市,辽宁省,0.22,20200106
秦皇岛市,河北省,0.18,20200106
松原市,吉林省,0.18,20200106
延边朝鲜族自治州,吉林省,0.16,20200106
唐山市,河北省,0.16,20200106
济南市,山东省,0.16,20200106
四平市,吉林省,0.15,20200106
呼伦贝尔市,内蒙古自治区,0.15,20200106
成都市,四川省,0.15,20200106
三亚市,海南省,0.14,20200106
廊坊市,河北省,0.14,20200106
铁岭市,辽宁省,0.14,20200106
赤峰市,内蒙古自治区,0.12,20200106
保定市,河北省,0.12,20200106
南京市,江苏省,0.11,20200106
潍坊市,山东省,0.11,20200106
通化市,吉林省,0.09,20200106
徐州市,江苏省,0.09,20200106
锦州市,辽宁省,0.09,20200106
通辽市,内蒙古自治区,0.09,20200106
东方市,海南省,0.09,20200106
盘锦市,辽宁省,0.09,20200106
朝阳市,辽宁省,0.08,20200106
郑州市,河南省,0.08,20200106
