city_name,province_name,value,date
温州市,浙江省,16.32,20200101
宁波市,浙江省,14.33,20200101
杭州市,浙江省,8.97,20200101
金华市,浙江省,6.8,20200101
上海市,上海市,3.73,20200101
绍兴市,浙江省,3.08,20200101
嘉兴市,浙江省,1.73,20200101
重庆市,重庆市,1.43,20200101
丽水市,浙江省,1.4,20200101
商丘市,河南省,1.21,20200101
舟山市,浙江省,1.06,20200101
苏州市,江苏省,1.06,20200101
黔西南布依族苗族自治州,贵州省,1.04,20200101
毕节市,贵州省,1.02,20200101
恩施土家族苗族自治州,湖北省,0.94,20200101
上饶市,江西省,0.89,20200101
湖州市,浙江省,0.85,20200101
亳州市,安徽省,0.79,20200101
阜阳市,安徽省,0.77,20200101
衢州市,浙江省,0.74,20200101
湘西土家族苗族自治州,湖南省,0.72,20200101
周口市,河南省,0.72,20200101
昭通市,云南省,0.63,20200101
蚌埠市,安徽省,0.62,20200101
无锡市,江苏省,0.62,20200101
安顺市,贵州省,0.61,20200101
南京市,江苏省,0.55,20200101
遵义市,贵州省,0.55,20200101
黄冈市,湖北省,0.51,20200101
宁德市,福建省,0.49,20200101
黔东南苗族侗族自治州,贵州省,0.48,20200101
驻马店市,河南省,0.47,20200101
曲靖市,云南省,0.46,20200101
宿州市,安徽省,0.46,20200101
黔南布依族苗族自治州,贵州省,0.45,20200101
咸宁市,湖北省,0.43,20200101
南通市,江苏省,0.42,20200101
宜春市,江西省,0.42,20200101
吉安市,江西省,0.41,20200101
六盘水市,贵州省,0.4,20200101
福州市,福建省,0.4,20200101
怀化市,湖南省,0.4,20200101
武汉市,湖北省,0.4,20200101
内江市,四川省,0.39,20200101
常州市,江苏省,0.38,20200101
贵阳市,贵州省,0.38,20200101
泉州市,福建省,0.37,20200101
铜仁市,贵州省,0.37,20200101
抚州市,江西省,0.37,20200101
长沙市,湖南省,0.37,20200101
宁波市,浙江省,10.41,20200102
杭州市,浙江省,8.54,20200102
温州市,浙江省,7.22,20200102
金华市,浙江省,4.38,20200102
上海市,上海市,4.12,20200102
重庆市,重庆市,2.21,20200102
绍兴市,浙江省,2.19,20200102
商丘市,河南省,1.91,20200102
恩施土家族苗族自治州,湖北省,1.8,20200102
毕节市,贵州省,1.74,20200102
黔西南布依族苗族自治州,贵州省,1.68,20200102
嘉兴市,浙江省,1.47,20200102
苏州市,江苏省,1.38,20200102
昭通市,云南省,1.35,20200102
湘西土家族苗族自治州,湖南省,1.13,20200102
周口市,河南省,1.12,20200102
阜阳市,安徽省,1.06,20200102
遵义市,贵州省,1.06,20200102
上饶市,江西省,1.06,20200102
丽水市,浙江省,1.01,20200102
亳州市,安徽省,1.01,20200102
黔东南苗族侗族自治州,贵州省,0.94,20200102
宜春市,江西省,0.89,20200102
驻马店市,河南省,0.88,20200102
安顺市,贵州省,0.88,20200102
无锡市,江苏省,0.82,20200102
蚌埠市,安徽省,0.82,20200102
湖州市,浙江省,0.82,20200102
铜仁市,贵州省,0.81,20200102
内江市,四川省,0.77,20200102
曲靖市,云南省,0.71,20200102
衢州市,浙江省,0.68,20200102
舟山市,浙江省,0.67,20200102
黔南布依族苗族自治州,贵州省,0.66,20200102
吉安市,江西省,0.64,20200102
宿州市,安徽省,0.58,20200102
抚州市,江西省,0.57,20200102
宜宾市,四川省,0.56,20200102
咸宁市,湖北省,0.55,20200102
南阳市,河南省,0.54,20200102
六盘水市,贵州省,0.54,20200102
怀化市,湖南省,0.53,20200102
北京市,北京市,0.53,20200102
贵阳市,贵州省,0.53,20200102
福州市,福建省,0.52,20200102
南京市,江苏省,0.51,20200102
黄冈市,湖北省,0.47,20200102
泉州市,福建省,0.47,20200102
合肥市,安徽省,0.45,20200102
宁德市,福建省,0.45,20200102
宁波市,浙江省,12.38,20200103
杭州市,浙江省,10.77,20200103
温州市,浙江省,9.14,20200103
金华市,浙江省,5.02,20200103
上海市,上海市,4.28,20200103
绍兴市,浙江省,2.68,20200103
重庆市,重庆市,1.79,20200103
嘉兴市,浙江省,1.66,20200103
恩施土家族苗族自治州,湖北省,1.53,20200103
苏州市,江苏省,1.53,20200103
商丘市,河南省,1.28,20200103
丽水市,浙江省,1.21,20200103
阜阳市,安徽省,1.16,20200103
毕节市,贵州省,1.13,20200103
上饶市,江西省,1.01,20200103
周口市,河南省,1.0,20200103
黔西南布依族苗族自治州,贵州省,0.92,20200103
无锡市,江苏省,0.91,20200103
昭通市,云南省,0.91,20200103
湖州市,浙江省,0.86,20200103
舟山市,浙江省,0.83,20200103
湘西土家族苗族自治州,湖南省,0.83,20200103
亳州市,安徽省,0.82,20200103
衢州市,浙江省,0.81,20200103
宜春市,江西省,0.77,20200103
遵义市,贵州省,0.76,20200103
黔东南苗族侗族自治州,贵州省,0.67,20200103
驻马店市,河南省,0.67,20200103
南京市,江苏省,0.64,20200103
安顺市,贵州省,0.63,20200103
蚌埠市,安徽省,0.62,20200103
铜仁市,贵州省,0.58,20200103
宁德市,福建省,0.57,20200103
怀化市,湖南省,0.54,20200103
武汉市,湖北省,0.53,20200103
抚州市,江西省,0.52,20200103
合肥市,安徽省,0.51,20200103
福州市,福建省,0.51,20200103
咸宁市,湖北省,0.49,20200103
贵阳市,贵州省,0.45,20200103
北京市,北京市,0.45,20200103
内江市,四川省,0.45,20200103
吉安市,江西省,0.43,20200103
常州市,江苏省,0.42,20200103
曲靖市,云南省,0.41,20200103
汉中市,陕西省,0.41,20200103
宜宾市,四川省,0.41,20200103
黔南布依族苗族自治州,贵州省,0.41,20200103
宿州市,安徽省,0.4,20200103
六盘水市,贵州省,0.4,20200103
宁波市,浙江省,12.15,20200104
温州市,浙江省,11.44,20200104
杭州市,浙江省,9.31,20200104
金华市,浙江省,5.85,20200104
上海市,上海市,4.0,20200104
绍兴市,浙江省,2.71,20200104
恩施土家族苗族自治州,湖北省,1.63,20200104
重庆市,重庆市,1.63,20200104
商丘市,河南省,1.59,20200104
嘉兴市,浙江省,1.51,20200104
丽水市,浙江省,1.33,20200104
上饶市,江西省,1.21,20200104
苏州市,江苏省,1.19,20200104
毕节市,贵州省,1.12,20200104
阜阳市,安徽省,1.11,20200104
黔西南布依族苗族自治州,贵州省,0.99,20200104
昭通市,云南省,0.86,20200104
亳州市,安徽省,0.83,20200104
周口市,河南省,0.82,20200104
遵义市,贵州省,0.82,20200104
驻马店市,河南省,0.79,20200104
舟山市,浙江省,0.79,20200104
衢州市,浙江省,0.78,20200104
湘西土家族苗族自治州,湖南省,0.76,20200104
宜春市,江西省,0.75,20200104
湖州市,浙江省,0.75,20200104
无锡市,江苏省,0.73,20200104
安顺市,贵州省,0.67,20200104
黔东南苗族侗族自治州,贵州省,0.66,20200104
蚌埠市,安徽省,0.65,20200104
铜仁市,贵州省,0.58,20200104
福州市,福建省,0.54,20200104
宁德市,福建省,0.53,20200104
南京市,江苏省,0.52,20200104
曲靖市,云南省,0.49,20200104
咸宁市,湖北省,0.48,20200104
贵阳市,贵州省,0.48,20200104
宿州市,安徽省,0.47,20200104
荆州市,湖北省,0.47,20200104
内江市,四川省,0.47,20200104
怀化市,湖南省,0.46,20200104
武汉市,湖北省,0.45,20200104
抚州市,江西省,0.45,20200104
吉安市,江西省,0.43,20200104
泉州市,福建省,0.43,20200104
黔南布依族苗族自治州,贵州省,0.42,20200104
宜宾市,四川省,0.42,20200104
广州市,广东省,0.41,20200104
六盘水市,贵州省,0.41,20200104
深圳市,广东省,0.4,20200104
宁波市,浙江省,11.4,20200105
杭州市,浙江省,10.85,20200105
温州市,浙江省,10.0,20200105
金华市,浙江省,5.19,20200105
上海市,上海市,4.85,20200105
绍兴市,浙江省,2.31,20200105
重庆市,重庆市,1.9,20200105
商丘市,河南省,1.54,20200105
嘉兴市,浙江省,1.51,20200105
恩施土家族苗族自治州,湖北省,1.46,20200105
上饶市,江西省,1.29,20200105
毕节市,贵州省,1.24,20200105
丽水市,浙江省,1.21,20200105
黔西南布依族苗族自治州,贵州省,1.15,20200105
苏州市,江苏省,1.08,20200105
阜阳市,安徽省,1.05,20200105
周口市,河南省,0.94,20200105
昭通市,云南省,0.93,20200105
遵义市,贵州省,0.93,20200105
舟山市,浙江省,0.89,20200105
亳州市,安徽省,0.89,20200105
衢州市,浙江省,0.8,20200105
安顺市,贵州省,0.79,20200105
驻马店市,河南省,0.76,20200105
湘西土家族苗族自治州,湖南省,0.75,20200105
湖州市,浙江省,0.74,20200105
宜春市,江西省,0.73,20200105
无锡市,江苏省,0.69,20200105
黔东南苗族侗族自治州,贵州省,0.67,20200105
蚌埠市,安徽省,0.62,20200105
铜仁市,贵州省,0.6,20200105
南京市,江苏省,0.59,20200105
福州市,福建省,0.59,20200105
咸宁市,湖北省,0.58,20200105
吉安市,江西省,0.56,20200105
曲靖市,云南省,0.54,20200105
内江市,四川省,0.52,20200105
黄冈市,湖北省,0.5,20200105
黔南布依族苗族自治州,贵州省,0.5,20200105
贵阳市,贵州省,0.5,20200105
抚州市,江西省,0.5,20200105
六盘水市,贵州省,0.47,20200105
北京市,北京市,0.46,20200105
宜宾市,四川省,0.46,20200105
怀化市,湖南省,0.46,20200105
武汉市,湖北省,0.42,20200105
深圳市,广东省,0.42,20200105
宿州市,安徽省,0.41,20200105
