city_name,province_name,value,date
六安市,安徽省,15.92,20200101
淮南市,安徽省,9.95,20200101
安庆市,安徽省,6.59,20200101
芜湖市,安徽省,6.37,20200101
滁州市,安徽省,6.3,20200101
阜阳市,安徽省,5.67,20200101
马鞍山市,安徽省,4.35,20200101
蚌埠市,安徽省,3.46,20200101
上海市,上海市,3.23,20200101
亳州市,安徽省,3.17,20200101
南京市,江苏省,3.07,20200101
宿州市,安徽省,2.8,20200101
池州市,安徽省,2.13,20200101
铜陵市,安徽省,1.99,20200101
宣城市,安徽省,1.61,20200101
苏州市,江苏省,1.4,20200101
淮北市,安徽省,1.17,20200101
杭州市,浙江省,1.09,20200101
北京市,北京市,1.08,20200101
黄山市,安徽省,1.03,20200101
无锡市,江苏省,0.71,20200101
武汉市,湖北省,0.61,20200101
常州市,江苏省,0.59,20200101
徐州市,江苏省,0.51,20200101
信阳市,河南省,0.49,20200101
宁波市,浙江省,0.45,20200101
重庆市,重庆市,0.35,20200101
深圳市,广东省,0.32,20200101
郑州市,河南省,0.32,20200101
广州市,广东省,0.3,20200101
扬州市,江苏省,0.3,20200101
镇江市,江苏省,0.29,20200101
西安市,陕西省,0.29,20200101
南通市,江苏省,0.27,20200101
成都市,四川省,0.26,20200101
湖州市,浙江省,0.26,20200101
嘉兴市,浙江省,0.26,20200101
商丘市,河南省,0.26,20200101
长沙市,湖南省,0.25,20200101
厦门市,福建省,0.25,20200101
周口市,河南省,0.24,20200101
天津市,天津市,0.23,20200101
金华市,浙江省,0.22,20200101
济南市,山东省,0.22,20200101
淮安市,江苏省,0.21,20200101
泰州市,江苏省,0.2,20200101
黄冈市,湖北省,0.2,20200101
南昌市,江西省,0.19,20200101
南阳市,河南省,0.19,20200101
宿迁市,江苏省,0.19,20200101
六安市,安徽省,10.61,20200102
阜阳市,安徽省,7.09,20200102
淮南市,安徽省,7.0,20200102
安庆市,安徽省,6.78,20200102
芜湖市,安徽省,5.14,20200102
滁州市,安徽省,5.0,20200102
亳州市,安徽省,4.3,20200102
上海市,上海市,4.02,20200102
宿州市,安徽省,3.96,20200102
蚌埠市,安徽省,3.74,20200102
马鞍山市,安徽省,3.16,20200102
南京市,江苏省,2.74,20200102
宣城市,安徽省,2.09,20200102
铜陵市,安徽省,2.0,20200102
池州市,安徽省,1.77,20200102
苏州市,江苏省,1.66,20200102
北京市,北京市,1.59,20200102
淮北市,安徽省,1.49,20200102
黄山市,安徽省,1.43,20200102
杭州市,浙江省,1.24,20200102
无锡市,江苏省,0.95,20200102
武汉市,湖北省,0.82,20200102
常州市,江苏省,0.65,20200102
宁波市,浙江省,0.62,20200102
徐州市,江苏省,0.59,20200102
重庆市,重庆市,0.5,20200102
郑州市,河南省,0.47,20200102
信阳市,河南省,0.45,20200102
广州市,广东省,0.43,20200102
深圳市,广东省,0.4,20200102
嘉兴市,浙江省,0.36,20200102
湖州市,浙江省,0.36,20200102
长沙市,湖南省,0.35,20200102
南通市,江苏省,0.35,20200102
成都市,四川省,0.34,20200102
商丘市,河南省,0.34,20200102
扬州市,江苏省,0.33,20200102
镇江市,江苏省,0.33,20200102
南昌市,江西省,0.32,20200102
金华市,浙江省,0.31,20200102
周口市,河南省,0.28,20200102
西安市,陕西省,0.28,20200102
济南市,山东省,0.24,20200102
绍兴市,浙江省,0.24,20200102
温州市,浙江省,0.24,20200102
泰州市,江苏省,0.23,20200102
天津市,天津市,0.22,20200102
厦门市,福建省,0.21,20200102
淮安市,江苏省,0.21,20200102
九江市,江西省,0.21,20200102
六安市,安徽省,12.25,20200103
淮南市,安徽省,8.29,20200103
安庆市,安徽省,7.04,20200103
阜阳市,安徽省,6.85,20200103
滁州市,安徽省,5.54,20200103
芜湖市,安徽省,5.38,20200103
亳州市,安徽省,4.25,20200103
蚌埠市,安徽省,4.21,20200103
宿州市,安徽省,3.69,20200103
马鞍山市,安徽省,3.67,20200103
上海市,上海市,3.41,20200103
南京市,江苏省,3.19,20200103
铜陵市,安徽省,2.13,20200103
池州市,安徽省,2.09,20200103
宣城市,安徽省,1.97,20200103
淮北市,安徽省,1.62,20200103
苏州市,江苏省,1.52,20200103
黄山市,安徽省,1.34,20200103
北京市,北京市,1.33,20200103
杭州市,浙江省,1.26,20200103
武汉市,湖北省,0.89,20200103
无锡市,江苏省,0.79,20200103
常州市,江苏省,0.6,20200103
