city_name,province_name,value,date
银川市,宁夏回族自治区,57.55,20200101
中卫市,宁夏回族自治区,13.26,20200101
榆林市,陕西省,6.06,20200101
固原市,宁夏回族自治区,4.43,20200101
庆阳市,甘肃省,3.6,20200101
石嘴山市,宁夏回族自治区,2.24,20200101
鄂尔多斯市,内蒙古自治区,1.89,20200101
西安市,陕西省,0.93,20200101
兰州市,甘肃省,0.77,20200101
白银市,甘肃省,0.58,20200101
阿拉善盟,内蒙古自治区,0.55,20200101
平凉市,甘肃省,0.47,20200101
延安市,陕西省,0.38,20200101
乌海市,内蒙古自治区,0.35,20200101
北京市,北京市,0.32,20200101
咸阳市,陕西省,0.25,20200101
南阳市,河南省,0.25,20200101
巴彦淖尔市,内蒙古自治区,0.25,20200101
武威市,甘肃省,0.2,20200101
天水市,甘肃省,0.2,20200101
渭南市,陕西省,0.16,20200101
宝鸡市,陕西省,0.15,20200101
成都市,四川省,0.15,20200101
西宁市,青海省,0.15,20200101
定西市,甘肃省,0.12,20200101
合肥市,安徽省,0.11,20200101
临夏回族自治州,甘肃省,0.1,20200101
包头市,内蒙古自治区,0.1,20200101
昆明市,云南省,0.1,20200101
天津市,天津市,0.09,20200101
郑州市,河南省,0.09,20200101
三亚市,海南省,0.08,20200101
陇南市,甘肃省,0.08,20200101
乌鲁木齐市,新疆维吾尔自治区,0.08,20200101
张掖市,甘肃省,0.08,20200101
吕梁市,山西省,0.08,20200101
海西蒙古族藏族自治州,青海省,0.08,20200101
上海市,上海市,0.07,20200101
石家庄市,河北省,0.07,20200101
晋中市,山西省,0.07,20200101
嘉兴市,浙江省,0.07,20200101
汉中市,陕西省,0.06,20200101
琼海市,海南省,0.06,20200101
广州市,广东省,0.06,20200101
宜昌市,湖北省,0.06,20200101
海口市,海南省,0.06,20200101
呼和浩特市,内蒙古自治区,0.05,20200101
青岛市,山东省,0.04,20200101
沧州市,河北省,0.04,20200101
重庆市,重庆市,0.04,20200101
银川市,宁夏回族自治区,51.57,20200102
中卫市,宁夏回族自治区,11.55,20200102
固原市,宁夏回族自治区,4.83,20200102
榆林市,陕西省,4.74,20200102
庆阳市,甘肃省,3.18,20200102
石嘴山市,宁夏回族自治区,2.9,20200102
西安市,陕西省,2.12,20200102
鄂尔多斯市,内蒙古自治区,1.82,20200102
兰州市,甘肃省,0.97,20200102
阿拉善盟,内蒙古自治区,0.94,20200102
延安市,陕西省,0.7,20200102
平凉市,甘肃省,0.67,20200102
白银市,甘肃省,0.61,20200102
乌海市,内蒙古自治区,0.53,20200102
咸阳市,陕西省,0.47,20200102
北京市,北京市,0.45,20200102
南阳市,河南省,0.42,20200102
武威市,甘肃省,0.35,20200102
巴彦淖尔市,内蒙古自治区,0.3,20200102
重庆市,重庆市,0.28,20200102
天水市,甘肃省,0.26,20200102
宝鸡市,陕西省,0.25,20200102
上海市,上海市,0.25,20200102
西宁市,青海省,0.25,20200102
定西市,甘肃省,0.24,20200102
阜阳市,安徽省,0.22,20200102
三亚市,海南省,0.21,20200102
成都市,四川省,0.19,20200102
海西蒙古族藏族自治州,青海省,0.19,20200102
张掖市,甘肃省,0.18,20200102
郑州市,河南省,0.18,20200102
合肥市,安徽省,0.17,20200102
海南藏族自治州,青海省,0.16,20200102
昆明市,云南省,0.16,20200102
无锡市,江苏省,0.14,20200102
临夏回族自治州,甘肃省,0.14,20200102
酒泉市,甘肃省,0.14,20200102
广州市,广东省,0.13,20200102
金华市,浙江省,0.13,20200102
武汉市,湖北省,0.13,20200102
苏州市,江苏省,0.12,20200102
保定市,河北省,0.12,20200102
乌鲁木齐市,新疆维吾尔自治区,0.11,20200102
晋中市,山西省,0.11,20200102
信阳市,河南省,0.1,20200102
陇南市,甘肃省,0.1,20200102
石家庄市,河北省,0.1,20200102
包头市,内蒙古自治区,0.1,20200102
荆州市,湖北省,0.1,20200102
南昌市,江西省,0.1,20200102
银川市,宁夏回族自治区,58.89,20200103
中卫市,宁夏回族自治区,11.53,20200103
榆林市,陕西省,4.66,20200103
固原市,宁夏回族自治区,4.2,20200103
庆阳市,甘肃省,2.7,20200103
石嘴山市,宁夏回族自治区,2.37,20200103
鄂尔多斯市,内蒙古自治区,1.96,20200103
西安市,陕西省,1.29,20200103
兰州市,甘肃省,0.83,20200103
白银市,甘肃省,0.59,20200103
阿拉善盟,内蒙古自治区,0.51,20200103
平凉市,甘肃省,0.51,20200103
乌海市,内蒙古自治区,0.45,20200103
延安市,陕西省,0.45,20200103
北京市,北京市,0.43,20200103
咸阳市,陕西省,0.36,20200103
武威市,甘肃省,0.28,20200103
巴彦淖尔市,内蒙古自治区,0.23,20200103
西宁市,青海省,0.21,20200103
南阳市,河南省,0.21,20200103
天水市,甘肃省,0.21,20200103
三亚市,海南省,0.17,20200103
上海市,上海市,0.17,20200103
宝鸡市,陕西省,0.16,20200103
成都市,四川省,0.14,20200103
海西蒙古族藏族自治州,青海省,0.12,20200103
昆明市,云南省,0.12,20200103
张掖市,甘肃省,0.11,20200103
无锡市,江苏省,0.11,20200103
酒泉市,甘肃省,0.11,20200103
阜阳市,安徽省,0.1,20200103
广州市,广东省,0.1,20200103
定西市,甘肃省,0.1,20200103
桂林市,广西壮族自治区,0.09,20200103
临夏回族自治州,甘肃省,0.09,20200103
合肥市,安徽省,0.09,20200103
长沙市,湖南省,0.09,20200103
杭州市,浙江省,0.09,20200103
陇南市,甘肃省,0.09,20200103
海东市,青海省,0.09,20200103
商洛市,陕西省,0.08,20200103
深圳市,广东省,0.08,20200103
