city_name,province_name,value,date
乌兰察布市,内蒙古自治区,27.73,20200101
包头市,内蒙古自治区,18.8,20200101
鄂尔多斯市,内蒙古自治区,12.39,20200101
巴彦淖尔市,内蒙古自治区,5.77,20200101
北京市,北京市,5.36,20200101
赤峰市,内蒙古自治区,3.6,20200101
锡林郭勒盟,内蒙古自治区,3.45,20200101
通辽市,内蒙古自治区,1.68,20200101
大同市,山西省,1.65,20200101
乌海市,内蒙古自治区,1.55,20200101
朔州市,山西省,1.17,20200101
呼伦贝尔市,内蒙古自治区,1.01,20200101
张家口市,河北省,0.93,20200101
天津市,天津市,0.79,20200101
兴安盟,内蒙古自治区,0.66,20200101
忻州市,山西省,0.54,20200101
阿拉善盟,内蒙古自治区,0.51,20200101
西安市,陕西省,0.49,20200101
榆林市,陕西省,0.44,20200101
太原市,山西省,0.42,20200101
保定市,河北省,0.42,20200101
石家庄市,河北省,0.4,20200101
上海市,上海市,0.37,20200101
廊坊市,河北省,0.27,20200101
广州市,广东省,0.27,20200101
银川市,宁夏回族自治区,0.26,20200101
沈阳市,辽宁省,0.23,20200101
郑州市,河南省,0.2,20200101
成都市,四川省,0.2,20200101
哈尔滨市,黑龙江省,0.19,20200101
重庆市,重庆市,0.18,20200101
昆明市,云南省,0.16,20200101
南京市,江苏省,0.16,20200101
沧州市,河北省,0.16,20200101
兰州市,甘肃省,0.16,20200101
杭州市,浙江省,0.15,20200101
三亚市,海南省,0.15,20200101
济南市,山东省,0.14,20200101
海口市,海南省,0.14,20200101
吕梁市,山西省,0.14,20200101
咸阳市,陕西省,0.13,20200101
邯郸市,河北省,0.12,20200101
邢台市,河北省,0.12,20200101
深圳市,广东省,0.12,20200101
晋中市,山西省,0.11,20200101
唐山市,河北省,0.11,20200101
青岛市,山东省,0.11,20200101
厦门市,福建省,0.11,20200101
菏泽市,山东省,0.1,20200101
长春市,吉林省,0.09,20200101
乌兰察布市,内蒙古自治区,21.14,20200102
包头市,内蒙古自治区,13.55,20200102
鄂尔多斯市,内蒙古自治区,10.25,20200102
巴彦淖尔市,内蒙古自治区,7.07,20200102
北京市,北京市,6.09,20200102
赤峰市,内蒙古自治区,5.53,20200102
锡林郭勒盟,内蒙古自治区,4.66,20200102
通辽市,内蒙古自治区,3.41,20200102
乌海市,内蒙古自治区,2.25,20200102
呼伦贝尔市,内蒙古自治区,1.72,20200102
兴安盟,内蒙古自治区,1.58,20200102
大同市,山西省,1.44,20200102
天津市,天津市,0.99,20200102
张家口市,河北省,0.87,20200102
朔州市,山西省,0.85,20200102
阿拉善盟,内蒙古自治区,0.72,20200102
保定市,河北省,0.58,20200102
西安市,陕西省,0.58,20200102
上海市,上海市,0.51,20200102
忻州市,山西省,0.49,20200102
榆林市,陕西省,0.41,20200102
太原市,山西省,0.41,20200102
郑州市,河南省,0.36,20200102
石家庄市,河北省,0.36,20200102
哈尔滨市,黑龙江省,0.35,20200102
成都市,四川省,0.31,20200102
沈阳市,辽宁省,0.31,20200102
廊坊市,河北省,0.31,20200102
杭州市,浙江省,0.3,20200102
广州市,广东省,0.29,20200102
银川市,宁夏回族自治区,0.29,20200102
重庆市,重庆市,0.29,20200102
昆明市,云南省,0.27,20200102
长春市,吉林省,0.26,20200102
济南市,山东省,0.24,20200102
三亚市,海南省,0.24,20200102
武汉市,湖北省,0.23,20200102
菏泽市,山东省,0.2,20200102
深圳市,广东省,0.2,20200102
兰州市,甘肃省,0.18,20200102
青岛市,山东省,0.18,20200102
唐山市,河北省,0.18,20200102
沧州市,河北省,0.18,20200102
承德市,河北省,0.16,20200102
长沙市,湖南省,0.16,20200102
合肥市,安徽省,0.16,20200102
海口市,海南省,0.14,20200102
晋中市,山西省,0.14,20200102
邢台市,河北省,0.14,20200102
邯郸市,河北省,0.14,20200102
乌兰察布市,内蒙古自治区,21.11,20200103
包头市,内蒙古自治区,16.62,20200103
鄂尔多斯市,内蒙古自治区,11.56,20200103
巴彦淖尔市,内蒙古自治区,6.99,20200103
北京市,北京市,6.34,20200103
赤峰市,内蒙古自治区,5.51,20200103
