city_name,province_name,value,date
武汉市,湖北省,47.03,20200101
岳阳市,湖南省,5.59,20200101
黄石市,湖北省,5.03,20200101
荆州市,湖北省,2.7,20200101
深圳市,广东省,2.41,20200101
东莞市,广东省,2.25,20200101
长沙市,湖南省,1.93,20200101
孝感市,湖北省,1.79,20200101
黄冈市,湖北省,1.65,20200101
广州市,广东省,1.57,20200101
鄂州市,湖北省,1.46,20200101
九江市,江西省,1.26,20200101
温州市,浙江省,1.16,20200101
上海市,上海市,0.99,20200101
台州市,浙江省,0.9,20200101
苏州市,江苏省,0.87,20200101
北京市,北京市,0.66,20200101
杭州市,浙江省,0.6,20200101
惠州市,广东省,0.59,20200101
宜昌市,湖北省,0.56,20200101
襄阳市,湖北省,0.56,20200101
佛山市,广东省,0.54,20200101
仙桃市,湖北省,0.52,20200101
宁波市,浙江省,0.5,20200101
金华市,浙江省,0.44,20200101
株洲市,湖南省,0.4,20200101
西安市,陕西省,0.4,20200101
泉州市,福建省,0.39,20200101
中山市,广东省,0.39,20200101
无锡市,江苏省,0.39,20200101
恩施土家族苗族自治州,湖北省,0.32,20200101
重庆市,重庆市,0.32,20200101
嘉兴市,浙江省,0.31,20200101
十堰市,湖北省,0.3,20200101
荆门市,湖北省,0.29,20200101
常德市,湖南省,0.28,20200101
随州市,湖北省,0.28,20200101
绍兴市,浙江省,0.28,20200101
湖州市,浙江省,0.25,20200101
益阳市,湖南省,0.25,20200101
宜春市,江西省,0.25,20200101
潜江市,湖北省,0.24,20200101
南昌市,江西省,0.23,20200101
信阳市,河南省,0.22,20200101
福州市,福建省,0.22,20200101
南京市,江苏省,0.21,20200101
成都市,四川省,0.2,20200101
郑州市,河南省,0.2,20200101
天津市,天津市,0.19,20200101
揭阳市,广东省,0.18,20200101
武汉市,湖北省,37.39,20200102
深圳市,广东省,3.66,20200102
黄石市,湖北省,3.66,20200102
岳阳市,湖南省,3.58,20200102
东莞市,广东省,3.55,20200102
广州市,广东省,2.17,20200102
荆州市,湖北省,2.07,20200102
孝感市,湖北省,2.06,20200102
长沙市,湖南省,2.02,20200102
温州市,浙江省,1.77,20200102
上海市,上海市,1.7,20200102
苏州市,江苏省,1.52,20200102
鄂州市,湖北省,1.39,20200102
黄冈市,湖北省,1.37,20200102
台州市,浙江省,1.29,20200102
惠州市,广东省,1.05,20200102
北京市,北京市,1.0,20200102
仙桃市,湖北省,0.97,20200102
佛山市,广东省,0.88,20200102
九江市,江西省,0.84,20200102
中山市,广东省,0.8,20200102
金华市,浙江省,0.73,20200102
宁波市,浙江省,0.72,20200102
泉州市,福建省,0.71,20200102
杭州市,浙江省,0.71,20200102
襄阳市,湖北省,0.67,20200102
宜昌市,湖北省,0.66,20200102
西安市,陕西省,0.57,20200102
郑州市,河南省,0.52,20200102
无锡市,江苏省,0.49,20200102
荆门市,湖北省,0.44,20200102
恩施土家族苗族自治州,湖北省,0.42,20200102
随州市,湖北省,0.41,20200102
嘉兴市,浙江省,0.41,20200102
天津市,天津市,0.37,20200102
南昌市,江西省,0.37,20200102
重庆市,重庆市,0.35,20200102
湖州市,浙江省,0.35,20200102
株洲市,湖南省,0.34,20200102
福州市,福建省,0.31,20200102
南京市,江苏省,0.29,20200102
成都市,四川省,0.28,20200102
十堰市,湖北省,0.27,20200102
常德市,湖南省,0.26,20200102
平顶山市,河南省,0.26,20200102
合肥市,安徽省,0.26,20200102
绍兴市,浙江省,0.26,20200102
南宁市,广西壮族自治区,0.25,20200102
泰州市,江苏省,0.24,20200102
江门市,广东省,0.23,20200102
武汉市,湖北省,46.02,20200103
岳阳市,湖南省,3.9,20200103
黄石市,湖北省,3.72,20200103
东莞市,广东省,2.57,20200103
深圳市,广东省,2.41,20200103
荆州市,湖北省,1.96,20200103
孝感市,湖北省,1.9,20200103
长沙市,湖南省,1.85,20200103
广州市,广东省,1.7,20200103
鄂州市,湖北省,1.66,20200103
温州市,浙江省,1.43,20200103
黄冈市,湖北省,1.43,20200103
仙桃市,湖北省,1.27,20200103
上海市,上海市,1.17,20200103
苏州市,江苏省,1.12,20200103
台州市,浙江省,1.02,20200103
宜昌市,湖北省,0.94,20200103
九江市,江西省,0.89,20200103
北京市,北京市,0.83,20200103
杭州市,浙江省,0.72,20200103
佛山市,广东省,0.69,20200103
襄阳市,湖北省,0.66,20200103
惠州市,广东省,0.64,20200103
宁波市,浙江省,0.55,20200103
西安市,陕西省,0.55,20200103
金华市,浙江省,0.51,20200103
泉州市,福建省,0.5,20200103
无锡市,江苏省,0.46,20200103
中山市,广东省,0.45,20200103
随州市,湖北省,0.42,20200103
荆门市,湖北省,0.41,20200103
嘉兴市,浙江省,0.41,20200103
南昌市,江西省,0.37,20200103
恩施土家族苗族自治州,湖北省,0.37,20200103
郑州市,河南省,0.34,20200103
南京市,江苏省,0.33,20200103
潜江市,湖北省,0.32,20200103
湖州市,浙江省,0.3,20200103
福州市,福建省,0.29,20200103
绍兴市,浙江省,0.26,20200103
天门市,湖北省,0.25,20200103
株洲市,湖南省,0.25,20200103
天津市,天津市,0.24,20200103
南通市,江苏省,0.24,20200103
重庆市,重庆市,0.22,20200103
十堰市,湖北省,0.22,20200103
揭阳市,广东省,0.22,20200103
成都市,四川省,0.21,20200103
常州市,江苏省,0.21,20200103
汕头市,广东省,0.2,20200103
武汉市,湖北省,44.81,20200104
黄石市,湖北省,4.79,20200104
岳阳市,湖南省,4.63,20200104
荆州市,湖北省,2.55,20200104
深圳市,广东省,2.45,20200104
东莞市,广东省,2.15,20200104
鄂州市,湖北省,1.84,20200104
孝感市,湖北省,1.83,20200104
广州市,广东省,1.81,20200104
长沙市,湖南省,1.64,20200104
温州市,浙江省,1.35,20200104
黄冈市,湖北省,1.25,20200104
上海市,上海市,1.12,20200104
苏州市,江苏省,1.07,20200104
九江市,江西省,1.03,20200104
仙桃市,湖北省,0.96,20200104
台州市,浙江省,0.95,20200104
北京市,北京市,0.88,20200104
宜昌市,湖北省,0.84,20200104
惠州市,广东省,0.69,20200104
杭州市,浙江省,0.68,20200104
佛山市,广东省,0.59,20200104
西安市,陕西省,0.59,20200104
金华市,浙江省,0.57,20200104
襄阳市,湖北省,0.53,20200104
中山市,广东省,0.53,20200104
宁波市,浙江省,0.46,20200104
南昌市,江西省,0.45,20200104
荆门市,湖北省,0.42,20200104
南京市,江苏省,0.4,20200104
无锡市,江苏省,0.38,20200104
潜江市,湖北省,0.36,20200104
嘉兴市,浙江省,0.35,20200104
天津市,天津市,0.35,20200104
随州市,湖北省,0.3,20200104
绍兴市,浙江省,0.29,20200104
泉州市,福建省,0.28,20200104
湖州市,浙江省,0.27,20200104
重庆市,重庆市,0.27,20200104
十堰市,湖北省,0.27,20200104
株洲市,湖南省,0.26,20200104
南通市,江苏省,0.24,20200104
恩施土家族苗族自治州,湖北省,0.22,20200104
成都市,四川省,0.22,20200104
桂林市,广西壮族自治区,0.22,20200104
宜春市,江西省,0.22,20200104
常德市,湖南省,0.21,20200104
福州市,福建省,0.21,20200104
江门市,广东省,0.21,20200104
汕头市,广东省,0.21,20200104
武汉市,湖北省,39.81,20200105
岳阳市,湖南省,5.03,20200105
黄石市,湖北省,4.48,20200105
深圳市,广东省,3.26,20200105
东莞市,广东省,2.63,20200105
荆州市,湖北省,2.3,20200105
广州市,广东省,1.96,20200105
长沙市,湖南省,1.9,20200105
温州市,浙江省,1.74,20200105
鄂州市,湖北省,1.72,20200105
黄冈市,湖北省,1.66,20200105
孝感市,湖北省,1.6,20200105
宜昌市,湖北省,1.4,20200105
台州市,浙江省,1.35,20200105
上海市,上海市,1.26,20200105
苏州市,江苏省,1.18,20200105
九江市,江西省,1.08,20200105
佛山市,广东省,0.9,20200105
杭州市,浙江省,0.77,20200105
