city_name,province_name,value,date
西安市,陕西省,74.12,20200101
宝鸡市,陕西省,4.47,20200101
渭南市,陕西省,3.25,20200101
铜川市,陕西省,1.4,20200101
庆阳市,甘肃省,1.09,20200101
延安市,陕西省,1.03,20200101
榆林市,陕西省,0.85,20200101
平凉市,甘肃省,0.73,20200101
汉中市,陕西省,0.69,20200101
商洛市,陕西省,0.65,20200101
安康市,陕西省,0.47,20200101
北京市,北京市,0.44,20200101
成都市,四川省,0.38,20200101
运城市,山西省,0.36,20200101
天水市,甘肃省,0.29,20200101
兰州市,甘肃省,0.27,20200101
上海市,上海市,0.26,20200101
重庆市,重庆市,0.26,20200101
苏州市,江苏省,0.24,20200101
深圳市,广东省,0.23,20200101
银川市,宁夏回族自治区,0.21,20200101
南阳市,河南省,0.19,20200101
东莞市,广东省,0.19,20200101
天津市,天津市,0.18,20200101
三门峡市,河南省,0.18,20200101
郑州市,河南省,0.17,20200101
西宁市,青海省,0.14,20200101
温州市,浙江省,0.14,20200101
宁波市,浙江省,0.14,20200101
乌鲁木齐市,新疆维吾尔自治区,0.14,20200101
杭州市,浙江省,0.13,20200101
广州市,广东省,0.11,20200101
武汉市,湖北省,0.1,20200101
拉萨市,西藏自治区,0.1,20200101
固原市,宁夏回族自治区,0.1,20200101
鄂尔多斯市,内蒙古自治区,0.1,20200101
临汾市,山西省,0.1,20200101
哈尔滨市,黑龙江省,0.09,20200101
合肥市,安徽省,0.08,20200101
昆明市,云南省,0.08,20200101
太原市,山西省,0.08,20200101
洛阳市,河南省,0.08,20200101
长沙市,湖南省,0.08,20200101
徐州市,江苏省,0.08,20200101
巴中市,四川省,0.08,20200101
海口市,海南省,0.07,20200101
南京市,江苏省,0.07,20200101
商丘市,河南省,0.07,20200101
陇南市,甘肃省,0.07,20200101
济南市,山东省,0.07,20200101
西安市,陕西省,64.21,20200102
宝鸡市,陕西省,4.69,20200102
渭南市,陕西省,4.05,20200102
延安市,陕西省,1.45,20200102
铜川市,陕西省,1.28,20200102
榆林市,陕西省,1.26,20200102
庆阳市,甘肃省,1.22,20200102
商洛市,陕西省,0.91,20200102
汉中市,陕西省,0.91,20200102
安康市,陕西省,0.75,20200102
平凉市,甘肃省,0.69,20200102
北京市,北京市,0.69,20200102
苏州市,江苏省,0.6,20200102
成都市,四川省,0.57,20200102
上海市,上海市,0.54,20200102
兰州市,甘肃省,0.42,20200102
重庆市,重庆市,0.41,20200102
深圳市,广东省,0.39,20200102
运城市,山西省,0.38,20200102
东莞市,广东省,0.38,20200102
郑州市,河南省,0.36,20200102
南阳市,河南省,0.36,20200102
银川市,宁夏回族自治区,0.35,20200102
乌鲁木齐市,新疆维吾尔自治区,0.32,20200102
天水市,甘肃省,0.26,20200102
西宁市,青海省,0.25,20200102
天津市,天津市,0.24,20200102
杭州市,浙江省,0.24,20200102
三门峡市,河南省,0.22,20200102
广州市,广东省,0.21,20200102
洛阳市,河南省,0.19,20200102
武汉市,湖北省,0.19,20200102
邢台市,河北省,0.17,20200102
拉萨市,西藏自治区,0.16,20200102
宁波市,浙江省,0.16,20200102
石家庄市,河北省,0.16,20200102
临汾市,山西省,0.16,20200102
鄂尔多斯市,内蒙古自治区,0.15,20200102
商丘市,河南省,0.15,20200102
济宁市,山东省,0.15,20200102
青岛市,山东省,0.14,20200102
太原市,山西省,0.14,20200102
固原市,宁夏回族自治区,0.14,20200102
新乡市,河南省,0.13,20200102
吴忠市,宁夏回族自治区,0.13,20200102
济南市,山东省,0.13,20200102
嘉兴市,浙江省,0.12,20200102
大连市,辽宁省,0.12,20200102
无锡市,江苏省,0.12,20200102
南京市,江苏省,0.12,20200102
西安市,陕西省,72.44,20200103
宝鸡市,陕西省,4.42,20200103
渭南市,陕西省,3.18,20200103
延安市,陕西省,1.22,20200103
铜川市,陕西省,1.19,20200103
庆阳市,甘肃省,1.03,20200103
汉中市,陕西省,0.86,20200103
商洛市,陕西省,0.79,20200103
榆林市,陕西省,0.78,20200103
平凉市,甘肃省,0.57,20200103
安康市,陕西省,0.47,20200103
北京市,北京市,0.39,20200103
兰州市,甘肃省,0.39,20200103
成都市,四川省,0.37,20200103
上海市,上海市,0.37,20200103
苏州市,江苏省,0.32,20200103
运城市,山西省,0.31,20200103
郑州市,河南省,0.28,20200103
深圳市,广东省,0.27,20200103
天水市,甘肃省,0.25,20200103
南阳市,河南省,0.23,20200103
银川市,宁夏回族自治区,0.22,20200103
三门峡市,河南省,0.21,20200103
重庆市,重庆市,0.2,20200103
乌鲁木齐市,新疆维吾尔自治区,0.2,20200103
西宁市,青海省,0.19,20200103
广州市,广东省,0.19,20200103
天津市,天津市,0.16,20200103
杭州市,浙江省,0.16,20200103
拉萨市,西藏自治区,0.15,20200103
洛阳市,河南省,0.15,20200103
东莞市,广东省,0.15,20200103
武汉市,湖北省,0.14,20200103
温州市,浙江省,0.13,20200103
鄂尔多斯市,内蒙古自治区,0.12,20200103
固原市,宁夏回族自治区,0.12,20200103
临汾市,山西省,0.12,20200103
无锡市,江苏省,0.12,20200103
南京市,江苏省,0.12,20200103
石家庄市,河北省,0.12,20200103
太原市,山西省,0.11,20200103
大连市,辽宁省,0.11,20200103
宁波市,浙江省,0.1,20200103
十堰市,湖北省,0.1,20200103
哈尔滨市,黑龙江省,0.09,20200103
昆明市,云南省,0.09,20200103
定西市,甘肃省,0.09,20200103
喀什地区,新疆维吾尔自治区,0.09,20200103
陇南市,甘肃省,0.08,20200103
长沙市,湖南省,0.08,20200103
西安市,陕西省,72.51,20200104
宝鸡市,陕西省,4.48,20200104
渭南市,陕西省,3.22,20200104
庆阳市,甘肃省,1.27,20200104
铜川市,陕西省,1.24,20200104
延安市,陕西省,1.03,20200104
榆林市,陕西省,0.81,20200104
平凉市,甘肃省,0.77,20200104
汉中市,陕西省,0.67,20200104
商洛市,陕西省,0.66,20200104
安康市,陕西省,0.45,20200104
北京市,北京市,0.44,20200104
苏州市,江苏省,0.41,20200104
上海市,上海市,0.33,20200104
运城市,山西省,0.33,20200104
成都市,四川省,0.31,20200104
兰州市,甘肃省,0.3,20200104
深圳市,广东省,0.28,20200104
郑州市,河南省,0.27,20200104
天水市,甘肃省,0.23,20200104
天津市,天津市,0.23,20200104
重庆市,重庆市,0.22,20200104
南阳市,河南省,0.22,20200104
银川市,宁夏回族自治区,0.22,20200104
乌鲁木齐市,新疆维吾尔自治区,0.2,20200104
杭州市,浙江省,0.18,20200104
东莞市,广东省,0.18,20200104
三门峡市,河南省,0.17,20200104
西宁市,青海省,0.16,20200104
广州市,广东省,0.15,20200104
拉萨市,西藏自治区,0.14,20200104
洛阳市,河南省,0.12,20200104
石家庄市,河北省,0.12,20200104
武汉市,湖北省,0.12,20200104
南昌市,江西省,0.12,20200104
固原市,宁夏回族自治区,0.11,20200104
宁波市,浙江省,0.1,20200104
青岛市,山东省,0.1,20200104
无锡市,江苏省,0.1,20200104
长春市,吉林省,0.1,20200104
鄂尔多斯市,内蒙古自治区,0.1,20200104
长沙市,湖南省,0.09,20200104
济南市,山东省,0.09,20200104
南京市,江苏省,0.09,20200104
温州市,浙江省,0.09,20200104
太原市,山西省,0.09,20200104
陇南市,甘肃省,0.08,20200104
烟台市,山东省,0.08,20200104
临汾市,山西省,0.08,20200104
哈尔滨市,黑龙江省,0.08,20200104
西安市,陕西省,72.38,20200105
宝鸡市,陕西省,5.19,20200105
渭南市,陕西省,3.55,20200105
铜川市,陕西省,1.18,20200105
庆阳市,甘肃省,0.82,20200105
延安市,陕西省,0.74,20200105
汉中市,陕西省,0.68,20200105
商洛市,陕西省,0.64,20200105
平凉市,甘肃省,0.57,20200105
榆林市,陕西省,0.53,20200105
安康市,陕西省,0.49,20200105
北京市,北京市,0.48,20200105
上海市,上海市,0.37,20200105
成都市,四川省,0.36,20200105
苏州市,江苏省,0.32,20200105
兰州市,甘肃省,0.32,20200105
运城市,山西省,0.32,20200105
深圳市,广东省,0.29,20200105
重庆市,重庆市,0.28,20200105
郑州市,河南省,0.26,20200105
天水市,甘肃省,0.24,20200105
乌鲁木齐市,新疆维吾尔自治区,0.23,20200105
银川市,宁夏回族自治区,0.22,20200105
天津市,天津市,0.2,20200105
西宁市,青海省,0.2,20200105
东莞市,广东省,0.2,20200105
温州市,浙江省,0.18,20200105
广州市,广东省,0.18,20200105
杭州市,浙江省,0.17,20200105
南阳市,河南省,0.16,20200105
拉萨市,西藏自治区,0.15,20200105
三门峡市,河南省,0.14,20200105
长沙市,湖南省,0.14,20200105
昆明市,云南省,0.14,20200105
武汉市,湖北省,0.14,20200105
无锡市,江苏省,0.14,20200105
济南市,山东省,0.14,20200105
陇南市,甘肃省,0.13,20200105
宁波市,浙江省,0.13,20200105
青岛市,山东省,0.12,20200105
石家庄市,河北省,0.12,20200105
洛阳市,河南省,0.11,20200105
南京市,江苏省,0.1,20200105
太原市,山西省,0.1,20200105
烟台市,山东省,0.1,20200105
南昌市,江西省,0.09,20200105
临汾市,山西省,0.09,20200105
哈尔滨市,黑龙江省,0.09,20200105
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.09,20200105
合肥市,安徽省,0.09,20200105
西安市,陕西省,72.27,20200106
