city_name,province_name,value,date
天津市,天津市,28.04,20200101
秦皇岛市,河北省,13.18,20200101
北京市,北京市,11.84,20200101
承德市,河北省,5.91,20200101
石家庄市,河北省,4.11,20200101
廊坊市,河北省,3.62,20200101
衡水市,河北省,3.26,20200101
保定市,河北省,2.75,20200101
沧州市,河北省,2.59,20200101
张家口市,河北省,1.75,20200101
邯郸市,河北省,0.96,20200101
葫芦岛市,辽宁省,0.91,20200101
赤峰市,内蒙古自治区,0.87,20200101
邢台市,河北省,0.71,20200101
滨州市,山东省,0.71,20200101
朝阳市,辽宁省,0.68,20200101
沈阳市,辽宁省,0.65,20200101
大同市,山西省,0.64,20200101
晋中市,山西省,0.6,20200101
德州市,山东省,0.57,20200101
哈尔滨市,黑龙江省,0.47,20200101
吕梁市,山西省,0.43,20200101
大连市,辽宁省,0.4,20200101
上海市,上海市,0.35,20200101
济南市,山东省,0.35,20200101
鞍山市,辽宁省,0.31,20200101
青岛市,山东省,0.31,20200101
太原市,山西省,0.31,20200101
营口市,辽宁省,0.3,20200101
锦州市,辽宁省,0.29,20200101
长春市,吉林省,0.29,20200101
潍坊市,山东省,0.27,20200101
聊城市,山东省,0.26,20200101
临沂市,山东省,0.25,20200101
烟台市,山东省,0.25,20200101
郑州市,河南省,0.25,20200101
忻州市,山西省,0.24,20200101
济宁市,山东省,0.22,20200101
鄂尔多斯市,内蒙古自治区,0.2,20200101
成都市,四川省,0.18,20200101
长治市,山西省,0.17,20200101
徐州市,江苏省,0.17,20200101
西安市,陕西省,0.16,20200101
苏州市,江苏省,0.16,20200101
临汾市,山西省,0.15,20200101
淄博市,山东省,0.15,20200101
东营市,山东省,0.15,20200101
通辽市,内蒙古自治区,0.15,20200101
包头市,内蒙古自治区,0.15,20200101
菏泽市,山东省,0.15,20200101
天津市,天津市,17.53,20200102
北京市,北京市,11.73,20200102
秦皇岛市,河北省,9.55,20200102
石家庄市,河北省,7.15,20200102
承德市,河北省,4.08,20200102
沧州市,河北省,3.5,20200102
廊坊市,河北省,3.49,20200102
保定市,河北省,3.23,20200102
张家口市,河北省,2.55,20200102
衡水市,河北省,2.37,20200102
邯郸市,河北省,1.65,20200102
邢台市,河北省,1.41,20200102
晋中市,山西省,1.13,20200102
大同市,山西省,1.11,20200102
滨州市,山东省,1.07,20200102
沈阳市,辽宁省,1.04,20200102
吕梁市,山西省,0.93,20200102
鞍山市,辽宁省,0.89,20200102
赤峰市,内蒙古自治区,0.88,20200102
葫芦岛市,辽宁省,0.81,20200102
哈尔滨市,黑龙江省,0.75,20200102
朝阳市,辽宁省,0.7,20200102
大连市,辽宁省,0.64,20200102
长春市,吉林省,0.62,20200102
德州市,山东省,0.59,20200102
营口市,辽宁省,0.58,20200102
青岛市,山东省,0.57,20200102
上海市,上海市,0.54,20200102
太原市,山西省,0.51,20200102
锦州市,辽宁省,0.49,20200102
济南市,山东省,0.48,20200102
西安市,陕西省,0.44,20200102
临汾市,山西省,0.42,20200102
潍坊市,山东省,0.39,20200102
辽阳市,辽宁省,0.38,20200102
郑州市,河南省,0.33,20200102
聊城市,山东省,0.3,20200102
济宁市,山东省,0.27,20200102
临沂市,山东省,0.26,20200102
盘锦市,辽宁省,0.26,20200102
烟台市,山东省,0.26,20200102
杭州市,浙江省,0.25,20200102
濮阳市,河南省,0.25,20200102
苏州市,江苏省,0.24,20200102
通辽市,内蒙古自治区,0.23,20200102
新乡市,河南省,0.21,20200102
安阳市,河南省,0.21,20200102
菏泽市,山东省,0.21,20200102
南京市,江苏省,0.21,20200102
长治市,山西省,0.21,20200102
天津市,天津市,24.04,20200103
北京市,北京市,17.31,20200103
秦皇岛市,河北省,10.15,20200103
石家庄市,河北省,5.19,20200103
承德市,河北省,4.78,20200103
廊坊市,河北省,3.57,20200103
沧州市,河北省,3.18,20200103
保定市,河北省,2.91,20200103
张家口市,河北省,2.05,20200103
衡水市,河北省,1.41,20200103
邯郸市,河北省,1.13,20200103
邢台市,河北省,1.07,20200103
沈阳市,辽宁省,0.89,20200103
大同市,山西省,0.84,20200103
滨州市,山东省,0.75,20200103
晋中市,山西省,0.72,20200103
葫芦岛市,辽宁省,0.7,20200103
赤峰市,内蒙古自治区,0.67,20200103
朝阳市,辽宁省,0.63,20200103
大连市,辽宁省,0.58,20200103
吕梁市,山西省,0.51,20200103
锦州市,辽宁省,0.5,20200103
青岛市,山东省,0.5,20200103
长春市,吉林省,0.5,20200103
鞍山市,辽宁省,0.49,20200103
哈尔滨市,黑龙江省,0.43,20200103
德州市,山东省,0.41,20200103
太原市,山西省,0.38,20200103
济南市,山东省,0.37,20200103
上海市,上海市,0.34,20200103
潍坊市,山东省,0.31,20200103
济宁市,山东省,0.3,20200103
郑州市,河南省,0.3,20200103
营口市,辽宁省,0.28,20200103
西安市,陕西省,0.24,20200103
临沂市,山东省,0.22,20200103
烟台市,山东省,0.21,20200103
辽阳市,辽宁省,0.21,20200103
临汾市,山西省,0.2,20200103
聊城市,山东省,0.2,20200103
南京市,江苏省,0.19,20200103
通辽市,内蒙古自治区,0.18,20200103
新乡市,河南省,0.18,20200103
濮阳市,河南省,0.18,20200103
徐州市,江苏省,0.18,20200103
东营市,山东省,0.17,20200103
苏州市,江苏省,0.17,20200103
淄博市,山东省,0.16,20200103
鄂尔多斯市,内蒙古自治区,0.16,20200103
呼和浩特市,内蒙古自治区,0.16,20200103
天津市,天津市,26.88,20200104
北京市,北京市,13.5,20200104
秦皇岛市,河北省,11.28,20200104
承德市,河北省,5.71,20200104
石家庄市,河北省,5.03,20200104
廊坊市,河北省,3.67,20200104
沧州市,河北省,3.12,20200104
保定市,河北省,3.02,20200104
张家口市,河北省,1.84,20200104
衡水市,河北省,1.11,20200104
邢台市,河北省,1.06,20200104
邯郸市,河北省,1.04,20200104
赤峰市,内蒙古自治区,0.8,20200104
沈阳市,辽宁省,0.79,20200104
葫芦岛市,辽宁省,0.72,20200104
滨州市,山东省,0.71,20200104
大同市,山西省,0.68,20200104
朝阳市,辽宁省,0.62,20200104
大连市,辽宁省,0.51,20200104
长春市,吉林省,0.49,20200104
上海市,上海市,0.47,20200104
济南市,山东省,0.45,20200104
哈尔滨市,黑龙江省,0.45,20200104
青岛市,山东省,0.44,20200104
晋中市,山西省,0.44,20200104
鞍山市,辽宁省,0.4,20200104
锦州市,辽宁省,0.37,20200104
西安市,陕西省,0.37,20200104
德州市,山东省,0.35,20200104
吕梁市,山西省,0.34,20200104
郑州市,河南省,0.31,20200104
潍坊市,山东省,0.31,20200104
太原市,山西省,0.3,20200104
营口市,辽宁省,0.28,20200104
济宁市,山东省,0.26,20200104
烟台市,山东省,0.25,20200104
临沂市,山东省,0.24,20200104
成都市,四川省,0.21,20200104
通辽市,内蒙古自治区,0.2,20200104
杭州市,浙江省,0.2,20200104
东营市,山东省,0.2,20200104
武汉市,湖北省,0.2,20200104
南京市,江苏省,0.19,20200104
广州市,广东省,0.18,20200104
聊城市,山东省,0.17,20200104
重庆市,重庆市,0.17,20200104
鄂尔多斯市,内蒙古自治区,0.16,20200104
辽阳市,辽宁省,0.16,20200104
临汾市,山西省,0.16,20200104
新乡市,河南省,0.15,20200104
天津市,天津市,25.89,20200105
北京市,北京市,13.78,20200105
秦皇岛市,河北省,13.61,20200105
承德市,河北省,5.88,20200105
