city_name,province_name,value,date
郑州市,河南省,18.6,20200101
周口市,河南省,6.99,20200101
开封市,河南省,5.81,20200101
菏泽市,山东省,5.29,20200101
苏州市,江苏省,3.89,20200101
亳州市,安徽省,3.7,20200101
宿州市,安徽省,3.35,20200101
宁波市,浙江省,3.02,20200101
上海市,上海市,2.84,20200101
北京市,北京市,2.33,20200101
淮北市,安徽省,1.97,20200101
徐州市,江苏省,1.85,20200101
驻马店市,河南省,1.73,20200101
新乡市,河南省,1.72,20200101
金华市,浙江省,1.41,20200101
杭州市,浙江省,1.38,20200101
焦作市,河南省,1.37,20200101
嘉兴市,浙江省,1.23,20200101
南通市,江苏省,1.14,20200101
洛阳市,河南省,1.14,20200101
台州市,浙江省,0.98,20200101
无锡市,江苏省,0.96,20200101
天津市,天津市,0.92,20200101
许昌市,河南省,0.89,20200101
济宁市,山东省,0.81,20200101
平顶山市,河南省,0.79,20200101
南京市,江苏省,0.78,20200101
阜阳市,安徽省,0.78,20200101
西安市,陕西省,0.74,20200101
安阳市,河南省,0.64,20200101
信阳市,河南省,0.63,20200101
常州市,江苏省,0.56,20200101
南阳市,河南省,0.56,20200101
武汉市,湖北省,0.54,20200101
合肥市,安徽省,0.52,20200101
濮阳市,河南省,0.5,20200101
深圳市,广东省,0.47,20200101
临沂市,山东省,0.43,20200101
青岛市,山东省,0.42,20200101
温州市,浙江省,0.41,20200101
济南市,山东省,0.4,20200101
湖州市,浙江省,0.36,20200101
廊坊市,河北省,0.35,20200101
绍兴市,浙江省,0.34,20200101
石家庄市,河北省,0.34,20200101
漯河市,河南省,0.32,20200101
东莞市,广东省,0.3,20200101
威海市,山东省,0.28,20200101
广州市,广东省,0.28,20200101
潍坊市,山东省,0.26,20200101
郑州市,河南省,18.95,20200102
苏州市,江苏省,5.69,20200102
周口市,河南省,4.09,20200102
宁波市,浙江省,3.92,20200102
开封市,河南省,3.84,20200102
上海市,上海市,3.62,20200102
菏泽市,山东省,2.7,20200102
北京市,北京市,2.64,20200102
金华市,浙江省,2.11,20200102
杭州市,浙江省,1.89,20200102
亳州市,安徽省,1.86,20200102
南通市,江苏省,1.85,20200102
焦作市,河南省,1.77,20200102
嘉兴市,浙江省,1.76,20200102
新乡市,河南省,1.64,20200102
台州市,浙江省,1.59,20200102
洛阳市,河南省,1.4,20200102
宿州市,安徽省,1.35,20200102
徐州市,江苏省,1.18,20200102
平顶山市,河南省,1.15,20200102
驻马店市,河南省,1.14,20200102
无锡市,江苏省,1.07,20200102
许昌市,河南省,0.99,20200102
安阳市,河南省,0.98,20200102
西安市,陕西省,0.94,20200102
淮北市,安徽省,0.91,20200102
天津市,天津市,0.9,20200102
南京市,江苏省,0.87,20200102
深圳市,广东省,0.86,20200102
南阳市,河南省,0.7,20200102
信阳市,河南省,0.69,20200102
济宁市,山东省,0.68,20200102
武汉市,湖北省,0.64,20200102
合肥市,安徽省,0.63,20200102
温州市,浙江省,0.62,20200102
东莞市,广东省,0.6,20200102
