city_name,province_name,value,date
郑州市,河南省,23.62,20200101
周口市,河南省,8.77,20200101
开封市,河南省,7.54,20200101
菏泽市,山东省,6.67,20200101
亳州市,安徽省,4.94,20200101
宿州市,安徽省,4.16,20200101
淮北市,安徽省,2.48,20200101
苏州市,江苏省,2.21,20200101
驻马店市,河南省,2.15,20200101
徐州市,江苏省,2.12,20200101
新乡市,河南省,1.81,20200101
上海市,上海市,1.77,20200101
北京市,北京市,1.5,20200101
洛阳市,河南省,1.37,20200101
许昌市,河南省,1.0,20200101
焦作市,河南省,0.95,20200101
平顶山市,河南省,0.94,20200101
阜阳市,安徽省,0.92,20200101
信阳市,河南省,0.9,20200101
宁波市,浙江省,0.86,20200101
济宁市,山东省,0.85,20200101
南阳市,河南省,0.81,20200101
杭州市,浙江省,0.78,20200101
南京市,江苏省,0.73,20200101
安阳市,河南省,0.7,20200101
西安市,陕西省,0.68,20200101
濮阳市,河南省,0.63,20200101
合肥市,安徽省,0.56,20200101
漯河市,河南省,0.53,20200101
金华市,浙江省,0.5,20200101
无锡市,江苏省,0.49,20200101
临沂市,山东省,0.46,20200101
武汉市,湖北省,0.45,20200101
常州市,江苏省,0.42,20200101
天津市,天津市,0.41,20200101
三门峡市,河南省,0.41,20200101
南通市,江苏省,0.4,20200101
嘉兴市,浙江省,0.32,20200101
宿迁市,江苏省,0.3,20200101
济南市,山东省,0.29,20200101
蚌埠市,安徽省,0.28,20200101
滁州市,安徽省,0.26,20200101
盐城市,江苏省,0.25,20200101
泰安市,山东省,0.24,20200101
潍坊市,山东省,0.23,20200101
鹤壁市,河南省,0.23,20200101
六安市,安徽省,0.23,20200101
深圳市,广东省,0.23,20200101
台州市,浙江省,0.22,20200101
淮安市,江苏省,0.22,20200101
郑州市,河南省,25.64,20200102
周口市,河南省,6.29,20200102
开封市,河南省,5.11,20200102
菏泽市,山东省,4.18,20200102
亳州市,安徽省,3.12,20200102
宿州市,安徽省,2.49,20200102
苏州市,江苏省,2.19,20200102
驻马店市,河南省,2.08,20200102
上海市,上海市,2.03,20200102
徐州市,江苏省,2.01,20200102
北京市,北京市,1.96,20200102
新乡市,河南省,1.75,20200102
洛阳市,河南省,1.62,20200102
淮北市,安徽省,1.4,20200102
信阳市,河南省,1.27,20200102
许昌市,河南省,1.22,20200102
阜阳市,安徽省,1.21,20200102
南阳市,河南省,1.2,20200102
杭州市,浙江省,1.15,20200102
平顶山市,河南省,1.05,20200102
济宁市,山东省,1.0,20200102
临沂市,山东省,0.96,20200102
宁波市,浙江省,0.94,20200102
南京市,江苏省,0.88,20200102
安阳市,河南省,0.81,20200102
西安市,陕西省,0.81,20200102
焦作市,河南省,0.75,20200102
合肥市,安徽省,0.71,20200102
武汉市,湖北省,0.69,20200102
濮阳市,河南省,0.69,20200102
漯河市,河南省,0.64,20200102
南通市,江苏省,0.59,20200102
金华市,浙江省,0.55,20200102
无锡市,江苏省,0.53,20200102
天津市,天津市,0.52,20200102
常州市,江苏省,0.48,20200102
青岛市,山东省,0.48,20200102
盐城市,江苏省,0.45,20200102
三门峡市,河南省,0.43,20200102
济南市,山东省,0.41,20200102
嘉兴市,浙江省,0.38,20200102
蚌埠市,安徽省,0.38,20200102
潍坊市,山东省,0.37,20200102
台州市,浙江省,0.36,20200102
六安市,安徽省,0.33,20200102
泰州市,江苏省,0.32,20200102
宿迁市,江苏省,0.31,20200102
石家庄市,河北省,0.3,20200102
邯郸市,河北省,0.29,20200102
滁州市,安徽省,0.28,20200102
