city_name,province_name,value,date
杭州市,浙江省,33.27,20200101
上海市,上海市,19.67,20200101
苏州市,江苏省,11.03,20200101
湖州市,浙江省,7.26,20200101
宁波市,浙江省,3.67,20200101
绍兴市,浙江省,3.16,20200101
金华市,浙江省,1.84,20200101
无锡市,江苏省,1.42,20200101
台州市,浙江省,0.94,20200101
温州市,浙江省,0.84,20200101
南通市,江苏省,0.84,20200101
南京市,江苏省,0.67,20200101
常州市,江苏省,0.57,20200101
泰州市,江苏省,0.53,20200101
宣城市,安徽省,0.42,20200101
盐城市,江苏省,0.4,20200101
衢州市,浙江省,0.39,20200101
合肥市,安徽省,0.35,20200101
舟山市,浙江省,0.32,20200101
镇江市,江苏省,0.31,20200101
丽水市,浙江省,0.31,20200101
阜阳市,安徽省,0.3,20200101
上饶市,江西省,0.3,20200101
北京市,北京市,0.3,20200101
徐州市,江苏省,0.27,20200101
扬州市,江苏省,0.25,20200101
重庆市,重庆市,0.24,20200101
六安市,安徽省,0.23,20200101
信阳市,河南省,0.2,20200101
宿州市,安徽省,0.2,20200101
郑州市,河南省,0.19,20200101
临沂市,山东省,0.19,20200101
黄山市,安徽省,0.18,20200101
蚌埠市,安徽省,0.18,20200101
芜湖市,安徽省,0.17,20200101
滁州市,安徽省,0.17,20200101
广州市,广东省,0.17,20200101
商丘市,河南省,0.17,20200101
宿迁市,江苏省,0.16,20200101
武汉市,湖北省,0.16,20200101
淮安市,江苏省,0.16,20200101
成都市,四川省,0.16,20200101
周口市,河南省,0.15,20200101
安庆市,安徽省,0.15,20200101
福州市,福建省,0.14,20200101
南昌市,江西省,0.14,20200101
深圳市,广东省,0.14,20200101
亳州市,安徽省,0.12,20200101
西安市,陕西省,0.12,20200101
长沙市,湖南省,0.11,20200101
杭州市,浙江省,23.43,20200102
上海市,上海市,18.78,20200102
苏州市,江苏省,8.72,20200102
湖州市,浙江省,5.04,20200102
宁波市,浙江省,3.98,20200102
绍兴市,浙江省,3.02,20200102
金华市,浙江省,2.14,20200102
无锡市,江苏省,1.76,20200102
温州市,浙江省,1.61,20200102
台州市,浙江省,1.31,20200102
南京市,江苏省,1.14,20200102
南通市,江苏省,1.12,20200102
常州市,江苏省,1.03,20200102
合肥市,安徽省,0.73,20200102
盐城市,江苏省,0.71,20200102
泰州市,江苏省,0.67,20200102
北京市,北京市,0.66,20200102
衢州市,浙江省,0.62,20200102
徐州市,江苏省,0.61,20200102
重庆市,重庆市,0.57,20200102
临沂市,山东省,0.56,20200102
宣城市,安徽省,0.52,20200102
郑州市,河南省,0.5,20200102
阜阳市,安徽省,0.46,20200102
武汉市,湖北省,0.44,20200102
成都市,四川省,0.43,20200102
舟山市,浙江省,0.42,20200102
芜湖市,安徽省,0.41,20200102
扬州市,江苏省,0.41,20200102
镇江市,江苏省,0.4,20200102
丽水市,浙江省,0.4,20200102
六安市,安徽省,0.38,20200102
宿迁市,江苏省,0.36,20200102
信阳市,河南省,0.36,20200102
宿州市,安徽省,0.36,20200102
周口市,河南省,0.34,20200102
淮安市,江苏省,0.33,20200102
上饶市,江西省,0.32,20200102
南昌市,江西省,0.3,20200102
广州市,广东省,0.28,20200102
