city_name,province_name,value,date
杭州市,浙江省,31.37,20200101
上海市,上海市,14.57,20200101
苏州市,江苏省,8.55,20200101
湖州市,浙江省,5.75,20200101
宁波市,浙江省,2.58,20200101
绍兴市,浙江省,2.48,20200101
金华市,浙江省,1.38,20200101
重庆市,重庆市,1.34,20200101
周口市,河南省,1.04,20200101
温州市,浙江省,1.02,20200101
昭通市,云南省,0.97,20200101
无锡市,江苏省,0.93,20200101
阜阳市,安徽省,0.79,20200101
台州市,浙江省,0.78,20200101
商丘市,河南省,0.71,20200101
信阳市,河南省,0.71,20200101
上饶市,江西省,0.66,20200101
宜宾市,四川省,0.62,20200101
毕节市,贵州省,0.58,20200101
南京市,江苏省,0.56,20200101
文山壮族苗族自治州,云南省,0.55,20200101
南通市,江苏省,0.52,20200101
常州市,江苏省,0.47,20200101
北京市,北京市,0.45,20200101
合肥市,安徽省,0.44,20200101
安庆市,安徽省,0.43,20200101
亳州市,安徽省,0.42,20200101
衢州市,浙江省,0.4,20200101
九江市,江西省,0.37,20200101
宿州市,安徽省,0.36,20200101
盐城市,江苏省,0.35,20200101
宣城市,安徽省,0.34,20200101
六安市,安徽省,0.34,20200101
铜仁市,贵州省,0.34,20200101
舟山市,浙江省,0.32,20200101
蚌埠市,安徽省,0.3,20200101
黄冈市,湖北省,0.3,20200101
贵阳市,贵州省,0.3,20200101
泰州市,江苏省,0.29,20200101
赣州市,江西省,0.27,20200101
南阳市,河南省,0.26,20200101
徐州市,江苏省,0.26,20200101
临沂市,山东省,0.25,20200101
驻马店市,河南省,0.24,20200101
成都市,四川省,0.24,20200101
丽水市,浙江省,0.24,20200101
遵义市,贵州省,0.24,20200101
永州市,湖南省,0.23,20200101
武汉市,湖北省,0.22,20200101
镇江市,江苏省,0.21,20200101
杭州市,浙江省,15.45,20200102
上海市,上海市,10.83,20200102
苏州市,江苏省,5.12,20200102
湖州市,浙江省,3.62,20200102
宁波市,浙江省,2.65,20200102
重庆市,重庆市,2.53,20200102
昭通市,云南省,2.15,20200102
绍兴市,浙江省,2.13,20200102
周口市,河南省,1.83,20200102
金华市,浙江省,1.83,20200102
阜阳市,安徽省,1.59,20200102
温州市,浙江省,1.52,20200102
信阳市,河南省,1.45,20200102
商丘市,河南省,1.33,20200102
上饶市,江西省,1.25,20200102
宜宾市,四川省,1.18,20200102
文山壮族苗族自治州,云南省,1.08,20200102
毕节市,贵州省,1.08,20200102
无锡市,江苏省,1.01,20200102
北京市,北京市,0.97,20200102
台州市,浙江省,0.97,20200102
安庆市,安徽省,0.86,20200102
亳州市,安徽省,0.81,20200102
宿州市,安徽省,0.8,20200102
赣州市,江西省,0.76,20200102
南通市,江苏省,0.75,20200102
九江市,江西省,0.7,20200102
南阳市,河南省,0.68,20200102
黄冈市,湖北省,0.66,20200102
驻马店市,河南省,0.64,20200102
合肥市,安徽省,0.63,20200102
衢州市,浙江省,0.63,20200102
南京市,江苏省,0.62,20200102
永州市,湖南省,0.62,20200102
铜仁市,贵州省,0.61,20200102
盐城市,江苏省,0.55,20200102
遵义市,贵州省,0.52,20200102
常州市,江苏省,0.48,20200102
成都市,四川省,0.47,20200102
宣城市,安徽省,0.47,20200102
六安市,安徽省,0.45,20200102
贵阳市,贵州省,0.44,20200102
蚌埠市,安徽省,0.43,20200102
临沂市,山东省,0.41,20200102
六盘水市,贵州省,0.39,20200102
抚州市,江西省,0.38,20200102
泰州市,江苏省,0.37,20200102
丽水市,浙江省,0.37,20200102
湘西土家族苗族自治州,湖南省,0.36,20200102
芜湖市,安徽省,0.36,20200102
杭州市,浙江省,24.18,20200103
上海市,上海市,13.87,20200103
苏州市,江苏省,7.09,20200103
湖州市,浙江省,4.49,20200103
宁波市,浙江省,2.64,20200103
绍兴市,浙江省,2.21,20200103
重庆市,重庆市,2.02,20200103
金华市,浙江省,1.56,20200103
周口市,河南省,1.46,20200103
昭通市,云南省,1.27,20200103
阜阳市,安徽省,1.14,20200103
无锡市,江苏省,1.11,20200103
温州市,浙江省,1.1,20200103
信阳市,河南省,0.95,20200103
台州市,浙江省,0.93,20200103
宜宾市,四川省,0.85,20200103
商丘市,河南省,0.84,20200103
上饶市,江西省,0.84,20200103
南京市,江苏省,0.72,20200103
毕节市,贵州省,0.7,20200103
安庆市,安徽省,0.68,20200103
南通市,江苏省,0.67,20200103
文山壮族苗族自治州,云南省,0.66,20200103
亳州市,安徽省,0.64,20200103
常州市,江苏省,0.57,20200103
宿州市,安徽省,0.53,20200103
合肥市,安徽省,0.51,20200103
铜仁市,贵州省,0.51,20200103
九江市,江西省,0.5,20200103
盐城市,江苏省,0.48,20200103
赣州市,江西省,0.47,20200103
衢州市,浙江省,0.46,20200103
驻马店市,河南省,0.43,20200103
贵阳市,贵州省,0.42,20200103
黄冈市,湖北省,0.41,20200103
遵义市,贵州省,0.41,20200103
南阳市,河南省,0.41,20200103
泰州市,江苏省,0.38,20200103
北京市,北京市,0.37,20200103
宣城市,安徽省,0.37,20200103
芜湖市,安徽省,0.35,20200103
永州市,湖南省,0.35,20200103
蚌埠市,安徽省,0.35,20200103
六安市,安徽省,0.34,20200103
成都市,四川省,0.33,20200103
丽水市,浙江省,0.32,20200103
怀化市,湖南省,0.32,20200103
昆明市,云南省,0.32,20200103
