city_name,province_name,value,date
酒泉市,甘肃省,65.06,20200101
张掖市,甘肃省,9.65,20200101
兰州市,甘肃省,6.16,20200101
武威市,甘肃省,3.15,20200101
乌鲁木齐市,新疆维吾尔自治区,1.59,20200101
哈密市,新疆维吾尔自治区,1.39,20200101
阿拉善盟,内蒙古自治区,1.22,20200101
西安市,陕西省,0.96,20200101
西宁市,青海省,0.85,20200101
金昌市,甘肃省,0.71,20200101
定西市,甘肃省,0.68,20200101
天水市,甘肃省,0.45,20200101
北京市,北京市,0.39,20200101
白银市,甘肃省,0.39,20200101
天津市,天津市,0.34,20200101
成都市,四川省,0.25,20200101
中卫市,宁夏回族自治区,0.25,20200101
昌吉回族自治州,新疆维吾尔自治区,0.22,20200101
银川市,宁夏回族自治区,0.19,20200101
临夏回族自治州,甘肃省,0.17,20200101
武汉市,湖北省,0.17,20200101
咸阳市,陕西省,0.17,20200101
上海市,上海市,0.17,20200101
南京市,江苏省,0.17,20200101
郑州市,河南省,0.14,20200101
海东市,青海省,0.14,20200101
固原市,宁夏回族自治区,0.14,20200101
吐鲁番市,新疆维吾尔自治区,0.14,20200101
巴彦淖尔市,内蒙古自治区,0.14,20200101
海北藏族自治州,青海省,0.14,20200101
和田地区,新疆维吾尔自治区,0.11,20200101
重庆市,重庆市,0.11,20200101
庆阳市,甘肃省,0.11,20200101
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.11,20200101
长春市,吉林省,0.11,20200101
洛阳市,河南省,0.11,20200101
榆林市,陕西省,0.11,20200101
苏州市,江苏省,0.08,20200101
合肥市,安徽省,0.08,20200101
广州市,广东省,0.08,20200101
绵阳市,四川省,0.08,20200101
杭州市,浙江省,0.08,20200101
乌海市,内蒙古自治区,0.08,20200101
海西蒙古族藏族自治州,青海省,0.08,20200101
廊坊市,河北省,0.08,20200101
青岛市,山东省,0.08,20200101
长沙市,湖南省,0.08,20200101
平凉市,甘肃省,0.08,20200101
丽江市,云南省,0.05,20200101
鄂尔多斯市,内蒙古自治区,0.05,20200101
酒泉市,甘肃省,47.44,20200102
张掖市,甘肃省,12.26,20200102
兰州市,甘肃省,9.1,20200102
武威市,甘肃省,3.64,20200102
乌鲁木齐市,新疆维吾尔自治区,2.38,20200102
西安市,陕西省,1.38,20200102
金昌市,甘肃省,1.25,20200102
哈密市,新疆维吾尔自治区,1.25,20200102
阿拉善盟,内蒙古自治区,1.22,20200102
北京市,北京市,1.09,20200102
西宁市,青海省,0.87,20200102
白银市,甘肃省,0.83,20200102
上海市,上海市,0.67,20200102
天水市,甘肃省,0.67,20200102
巴彦淖尔市,内蒙古自治区,0.58,20200102
成都市,四川省,0.58,20200102
昌吉回族自治州,新疆维吾尔自治区,0.51,20200102
重庆市,重庆市,0.45,20200102
平凉市,甘肃省,0.41,20200102
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.41,20200102
武汉市,湖北省,0.41,20200102
南京市,江苏省,0.38,20200102
银川市,宁夏回族自治区,0.35,20200102
定西市,甘肃省,0.35,20200102
郑州市,河南省,0.29,20200102
临夏回族自治州,甘肃省,0.25,20200102
沈阳市,辽宁省,0.25,20200102
吐鲁番市,新疆维吾尔自治区,0.25,20200102
杭州市,浙江省,0.25,20200102
广州市,广东省,0.22,20200102
天津市,天津市,0.22,20200102
庆阳市,甘肃省,0.22,20200102
石家庄市,河北省,0.22,20200102
南阳市,河南省,0.19,20200102
喀什地区,新疆维吾尔自治区,0.19,20200102
哈尔滨市,黑龙江省,0.19,20200102
乌海市,内蒙古自治区,0.19,20200102
洛阳市,河南省,0.19,20200102
焦作市,河南省,0.19,20200102
海东市,青海省,0.16,20200102
嘉兴市,浙江省,0.16,20200102
济南市,山东省,0.16,20200102
衡阳市,湖南省,0.16,20200102
榆林市,陕西省,0.16,20200102
佛山市,广东省,0.16,20200102
海北藏族自治州,青海省,0.16,20200102
长春市,吉林省,0.16,20200102
陇南市,甘肃省,0.12,20200102
克拉玛依市,新疆维吾尔自治区,0.12,20200102
五家渠市,新疆维吾尔自治区,0.12,20200102
酒泉市,甘肃省,66.79,20200103
张掖市,甘肃省,9.46,20200103
兰州市,甘肃省,6.03,20200103
武威市,甘肃省,2.25,20200103
乌鲁木齐市,新疆维吾尔自治区,1.39,20200103
哈密市,新疆维吾尔自治区,1.29,20200103
阿拉善盟,内蒙古自治区,1.02,20200103
西安市,陕西省,1.02,20200103
北京市,北京市,0.78,20200103
金昌市,甘肃省,0.57,20200103
西宁市,青海省,0.46,20200103
白银市,甘肃省,0.41,20200103
天水市,甘肃省,0.37,20200103
巴彦淖尔市,内蒙古自治区,0.37,20200103
银川市,宁夏回族自治区,0.31,20200103
昌吉回族自治州,新疆维吾尔自治区,0.29,20200103
定西市,甘肃省,0.28,20200103
临夏回族自治州,甘肃省,0.26,20200103
成都市,四川省,0.25,20200103
武汉市,湖北省,0.22,20200103
天津市,天津市,0.22,20200103
重庆市,重庆市,0.2,20200103
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.19,20200103
上海市,上海市,0.17,20200103
杭州市,浙江省,0.16,20200103
平凉市,甘肃省,0.16,20200103
郑州市,河南省,0.14,20200103
石河子市,新疆维吾尔自治区,0.14,20200103
长沙市,湖南省,0.14,20200103
咸阳市,陕西省,0.13,20200103
吴忠市,宁夏回族自治区,0.13,20200103
庆阳市,甘肃省,0.11,20200103
榆林市,陕西省,0.11,20200103
石家庄市,河北省,0.1,20200103
广州市,广东省,0.1,20200103
吐鲁番市,新疆维吾尔自治区,0.1,20200103
包头市,内蒙古自治区,0.08,20200103
石嘴山市,宁夏回族自治区,0.08,20200103
株洲市,湖南省,0.08,20200103
绵阳市,四川省,0.08,20200103
南京市,江苏省,0.08,20200103
济南市,山东省,0.08,20200103
中卫市,宁夏回族自治区,0.08,20200103
太原市,山西省,0.08,20200103
南阳市,河南省,0.07,20200103
吕梁市,山西省,0.07,20200103
南昌市,江西省,0.07,20200103
昆明市,云南省,0.07,20200103
哈尔滨市,黑龙江省,0.07,20200103
喀什地区,新疆维吾尔自治区,0.07,20200103
酒泉市,甘肃省,58.33,20200104
张掖市,甘肃省,10.53,20200104
兰州市,甘肃省,6.97,20200104
武威市,甘肃省,3.13,20200104
阿拉善盟,内蒙古自治区,1.76,20200104
乌鲁木齐市,新疆维吾尔自治区,1.49,20200104
哈密市,新疆维吾尔自治区,1.21,20200104
西安市,陕西省,0.98,20200104
北京市,北京市,0.98,20200104
金昌市,甘肃省,0.81,20200104
西宁市,青海省,0.66,20200104
上海市,上海市,0.59,20200104
天津市,天津市,0.54,20200104
庆阳市,甘肃省,0.51,20200104
临夏回族自治州,甘肃省,0.38,20200104
成都市,四川省,0.38,20200104
银川市,宁夏回族自治区,0.37,20200104
重庆市,重庆市,0.37,20200104
南京市,江苏省,0.35,20200104
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.33,20200104
白银市,甘肃省,0.33,20200104
喀什地区,新疆维吾尔自治区,0.29,20200104
定西市,甘肃省,0.29,20200104
平凉市,甘肃省,0.28,20200104
昌吉回族自治州,新疆维吾尔自治区,0.28,20200104
巴彦淖尔市,内蒙古自治区,0.26,20200104
天水市,甘肃省,0.24,20200104
武汉市,湖北省,0.24,20200104
吕梁市,山西省,0.21,20200104
郑州市,河南省,0.19,20200104
伊犁哈萨克自治州,新疆维吾尔自治区,0.17,20200104
石嘴山市,宁夏回族自治区,0.17,20200104
南阳市,河南省,0.17,20200104
合肥市,安徽省,0.15,20200104
包头市,内蒙古自治区,0.14,20200104
长沙市,湖南省,0.14,20200104
杭州市,浙江省,0.14,20200104
济南市,山东省,0.12,20200104
石家庄市,河北省,0.12,20200104
唐山市,河北省,0.1,20200104
中卫市,宁夏回族自治区,0.1,20200104
青岛市,山东省,0.1,20200104
绵阳市,四川省,0.1,20200104
海东市,青海省,0.08,20200104
商丘市,河南省,0.08,20200104
临汾市,山西省,0.08,20200104
苏州市,江苏省,0.08,20200104
阿克苏地区,新疆维吾尔自治区,0.08,20200104
十堰市,湖北省,0.08,20200104
海北藏族自治州,青海省,0.08,20200104
酒泉市,甘肃省,56.66,20200105
张掖市,甘肃省,10.32,20200105
兰州市,甘肃省,8.51,20200105
武威市,甘肃省,3.46,20200105
乌鲁木齐市,新疆维吾尔自治区,1.62,20200105
哈密市,新疆维吾尔自治区,1.51,20200105
西安市,陕西省,1.44,20200105
阿拉善盟,内蒙古自治区,1.36,20200105
北京市,北京市,1.18,20200105
金昌市,甘肃省,0.92,20200105
天水市,甘肃省,0.85,20200105
西宁市,青海省,0.61,20200105
白银市,甘肃省,0.46,20200105
成都市,四川省,0.44,20200105
定西市,甘肃省,0.44,20200105
上海市,上海市,0.38,20200105
昌吉回族自治州,新疆维吾尔自治区,0.37,20200105
银川市,宁夏回族自治区,0.37,20200105
庆阳市,甘肃省,0.31,20200105
武汉市,湖北省,0.31,20200105
重庆市,重庆市,0.25,20200105
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.24,20200105
天津市,天津市,0.24,20200105
临夏回族自治州,甘肃省,0.24,20200105
巴彦淖尔市,内蒙古自治区,0.22,20200105
吐鲁番市,新疆维吾尔自治区,0.22,20200105
平凉市,甘肃省,0.2,20200105
长沙市,湖南省,0.2,20200105
苏州市,江苏省,0.18,20200105
广州市,广东省,0.18,20200105
伊犁哈萨克自治州,新疆维吾尔自治区,0.16,20200105
塔城地区,新疆维吾尔自治区,0.14,20200105
海西蒙古族藏族自治州,青海省,0.14,20200105
洛阳市,河南省,0.14,20200105
南京市,江苏省,0.14,20200105
宝鸡市,陕西省,0.12,20200105
无锡市,江苏省,0.12,20200105
青岛市,山东省,0.12,20200105
昆明市,云南省,0.12,20200105
海东市,青海省,0.12,20200105
石家庄市,河北省,0.12,20200105
绵阳市,四川省,0.11,20200105
吴忠市,宁夏回族自治区,0.11,20200105
咸阳市,陕西省,0.11,20200105
沈阳市,辽宁省,0.11,20200105
十堰市,湖北省,0.09,20200105
太原市,山西省,0.09,20200105
济南市,山东省,0.09,20200105
中卫市,宁夏回族自治区,0.09,20200105
海口市,海南省,0.09,20200105
酒泉市,甘肃省,55.15,20200106
张掖市,甘肃省,10.12,20200106
兰州市,甘肃省,9.11,20200106
武威市,甘肃省,2.81,20200106
乌鲁木齐市,新疆维吾尔自治区,1.77,20200106
哈密市,新疆维吾尔自治区,1.52,20200106
北京市,北京市,1.16,20200106
西安市,陕西省,1.1,20200106
阿拉善盟,内蒙古自治区,0.99,20200106
金昌市,甘肃省,0.9,20200106
西宁市,青海省,0.67,20200106
重庆市,重庆市,0.56,20200106
上海市,上海市,0.52,20200106
定西市,甘肃省,0.47,20200106
天水市,甘肃省,0.45,20200106
庆阳市,甘肃省,0.41,20200106
白银市,甘肃省,0.41,20200106
成都市,四川省,0.39,20200106
武汉市,湖北省,0.38,20200106
昌吉回族自治州,新疆维吾尔自治区,0.36,20200106
临夏回族自治州,甘肃省,0.36,20200106
天津市,天津市,0.34,20200106
银川市,宁夏回族自治区,0.32,20200106
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.32,20200106
南京市,江苏省,0.3,20200106
平凉市,甘肃省,0.29,20200106
广州市,广东省,0.21,20200106
喀什地区,新疆维吾尔自治区,0.21,20200106
阿克苏地区,新疆维吾尔自治区,0.21,20200106
南昌市,江西省,0.19,20200106
咸阳市,陕西省,0.19,20200106
青岛市,山东省,0.19,20200106
石河子市,新疆维吾尔自治区,0.18,20200106
中卫市,宁夏回族自治区,0.18,20200106
郑州市,河南省,0.18,20200106
石嘴山市,宁夏回族自治区,0.16,20200106
吐鲁番市,新疆维吾尔自治区,0.16,20200106
巴彦淖尔市,内蒙古自治区,0.16,20200106
榆林市,陕西省,0.14,20200106
长沙市,湖南省,0.14,20200106
海东市,青海省,0.14,20200106
克拉玛依市,新疆维吾尔自治区,0.14,20200106
伊犁哈萨克自治州,新疆维吾尔自治区,0.12,20200106
海口市,海南省,0.12,20200106
哈尔滨市,黑龙江省,0.12,20200106
深圳市,广东省,0.1,20200106
安阳市,河南省,0.1,20200106
济南市,山东省,0.1,20200106
厦门市,福建省,0.1,20200106
宝鸡市,陕西省,0.1,20200106
酒泉市,甘肃省,56.71,20200107
兰州市,甘肃省,9.24,20200107
张掖市,甘肃省,8.43,20200107
武威市,甘肃省,2.83,20200107
乌鲁木齐市,新疆维吾尔自治区,1.89,20200107
阿拉善盟,内蒙古自治区,1.49,20200107
哈密市,新疆维吾尔自治区,1.17,20200107
西安市,陕西省,1.16,20200107
北京市,北京市,1.03,20200107
金昌市,甘肃省,0.9,20200107
