city_name,province_name,value,date
酒泉市,甘肃省,70.15,20200101
张掖市,甘肃省,10.26,20200101
兰州市,甘肃省,5.72,20200101
武威市,甘肃省,3.33,20200101
西宁市,青海省,0.92,20200101
天水市,甘肃省,0.76,20200101
西安市,陕西省,0.71,20200101
定西市,甘肃省,0.67,20200101
金昌市,甘肃省,0.6,20200101
银川市,宁夏回族自治区,0.55,20200101
阿拉善盟,内蒙古自治区,0.44,20200101
哈密市,新疆维吾尔自治区,0.41,20200101
白银市,甘肃省,0.39,20200101
北京市,北京市,0.34,20200101
咸阳市,陕西省,0.32,20200101
临夏回族自治州,甘肃省,0.3,20200101
南阳市,河南省,0.23,20200101
陇南市,甘肃省,0.2,20200101
平凉市,甘肃省,0.2,20200101
乌鲁木齐市,新疆维吾尔自治区,0.18,20200101
庆阳市,甘肃省,0.18,20200101
重庆市,重庆市,0.18,20200101
郑州市,河南省,0.13,20200101
金华市,浙江省,0.09,20200101
吐鲁番市,新疆维吾尔自治区,0.09,20200101
成都市,四川省,0.09,20200101
石家庄市,河北省,0.06,20200101
洛阳市,河南省,0.06,20200101
宝鸡市,陕西省,0.06,20200101
榆林市,陕西省,0.06,20200101
驻马店市,河南省,0.06,20200101
昌吉回族自治州,新疆维吾尔自治区,0.04,20200101
锦州市,辽宁省,0.04,20200101
潍坊市,山东省,0.04,20200101
海口市,海南省,0.04,20200101
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.04,20200101
上海市,上海市,0.04,20200101
鄂尔多斯市,内蒙古自治区,0.04,20200101
中卫市,宁夏回族自治区,0.04,20200101
吕梁市,山西省,0.04,20200101
绵阳市,四川省,0.04,20200101
沈阳市,辽宁省,0.04,20200101
固原市,宁夏回族自治区,0.04,20200101
衡水市,河北省,0.04,20200101
新乡市,河南省,0.04,20200101
三亚市,海南省,0.04,20200101
保定市,河北省,0.04,20200101
杭州市,浙江省,0.04,20200101
乌海市,内蒙古自治区,0.04,20200101
十堰市,湖北省,0.04,20200101
酒泉市,甘肃省,51.77,20200102
张掖市,甘肃省,13.7,20200102
兰州市,甘肃省,9.33,20200102
武威市,甘肃省,4.43,20200102
西安市,陕西省,1.61,20200102
天水市,甘肃省,1.34,20200102
定西市,甘肃省,1.05,20200102
西宁市,青海省,1.01,20200102
阿拉善盟,内蒙古自治区,0.98,20200102
哈密市,新疆维吾尔自治区,0.92,20200102
北京市,北京市,0.88,20200102
金昌市,甘肃省,0.75,20200102
庆阳市,甘肃省,0.62,20200102
白银市,甘肃省,0.62,20200102
平凉市,甘肃省,0.49,20200102
郑州市,河南省,0.46,20200102
临夏回族自治州,甘肃省,0.36,20200102
陇南市,甘肃省,0.36,20200102
乌鲁木齐市,新疆维吾尔自治区,0.32,20200102
长沙市,湖南省,0.29,20200102
咸阳市,陕西省,0.29,20200102
渭南市,陕西省,0.29,20200102
昌吉回族自治州,新疆维吾尔自治区,0.26,20200102
宝鸡市,陕西省,0.26,20200102
重庆市,重庆市,0.26,20200102
杭州市,浙江省,0.26,20200102
上海市,上海市,0.23,20200102
银川市,宁夏回族自治区,0.23,20200102
三亚市,海南省,0.23,20200102
荆州市,湖北省,0.19,20200102
呼和浩特市,内蒙古自治区,0.19,20200102
海北藏族自治州,青海省,0.16,20200102
保定市,河北省,0.16,20200102
成都市,四川省,0.16,20200102
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.16,20200102
甘南藏族自治州,甘肃省,0.16,20200102
海西蒙古族藏族自治州,青海省,0.13,20200102
厦门市,福建省,0.13,20200102
太原市,山西省,0.13,20200102
安康市,陕西省,0.13,20200102
榆林市,陕西省,0.13,20200102
商丘市,河南省,0.13,20200102
南充市,四川省,0.13,20200102
吐鲁番市,新疆维吾尔自治区,0.13,20200102
广州市,广东省,0.13,20200102
开封市,河南省,0.13,20200102
石家庄市,河北省,0.13,20200102
乌海市,内蒙古自治区,0.13,20200102
海口市,海南省,0.09,20200102
北海市,广西壮族自治区,0.09,20200102
酒泉市,甘肃省,57.49,20200103
张掖市,甘肃省,11.89,20200103
兰州市,甘肃省,9.23,20200103
武威市,甘肃省,4.18,20200103
天水市,甘肃省,1.25,20200103
哈密市,新疆维吾尔自治区,1.04,20200103
金昌市,甘肃省,1.02,20200103
定西市,甘肃省,0.97,20200103
西安市,陕西省,0.81,20200103
阿拉善盟,内蒙古自治区,0.7,20200103
西宁市,青海省,0.7,20200103
白银市,甘肃省,0.61,20200103
临夏回族自治州,甘肃省,0.59,20200103
乌鲁木齐市,新疆维吾尔自治区,0.47,20200103
庆阳市,甘肃省,0.43,20200103
成都市,四川省,0.43,20200103
银川市,宁夏回族自治区,0.4,20200103
上海市,上海市,0.34,20200103
咸阳市,陕西省,0.29,20200103
陇南市,甘肃省,0.29,20200103
重庆市,重庆市,0.29,20200103
北京市,北京市,0.29,20200103
郑州市,河南省,0.27,20200103
南阳市,河南省,0.22,20200103
海东市,青海省,0.22,20200103
开封市,河南省,0.2,20200103
平凉市,甘肃省,0.2,20200103
吐鲁番市,新疆维吾尔自治区,0.18,20200103
中卫市,宁夏回族自治区,0.15,20200103
榆林市,陕西省,0.13,20200103
宝鸡市,陕西省,0.11,20200103
南充市,四川省,0.11,20200103
驻马店市,河南省,0.09,20200103
南京市,江苏省,0.09,20200103
三亚市,海南省,0.09,20200103
周口市,河南省,0.09,20200103
扬州市,江苏省,0.09,20200103
天津市,天津市,0.09,20200103
襄阳市,湖北省,0.09,20200103
肇庆市,广东省,0.06,20200103
常州市,江苏省,0.06,20200103
石河子市,新疆维吾尔自治区,0.06,20200103
温州市,浙江省,0.06,20200103
长治市,山西省,0.06,20200103
海口市,海南省,0.06,20200103
苏州市,江苏省,0.06,20200103
吕梁市,山西省,0.06,20200103
泰州市,江苏省,0.06,20200103
琼海市,海南省,0.06,20200103
大连市,辽宁省,0.06,20200103
酒泉市,甘肃省,60.04,20200104
张掖市,甘肃省,12.62,20200104
兰州市,甘肃省,7.1,20200104
武威市,甘肃省,3.69,20200104
天水市,甘肃省,1.25,20200104
北京市,北京市,0.96,20200104
西安市,陕西省,0.95,20200104
定西市,甘肃省,0.93,20200104
阿拉善盟,内蒙古自治区,0.91,20200104
金昌市,甘肃省,0.78,20200104
白银市,甘肃省,0.6,20200104
临夏回族自治州,甘肃省,0.59,20200104
西宁市,青海省,0.59,20200104
乌鲁木齐市,新疆维吾尔自治区,0.52,20200104
哈密市,新疆维吾尔自治区,0.5,20200104
陇南市,甘肃省,0.48,20200104
咸阳市,陕西省,0.41,20200104
成都市,四川省,0.35,20200104
平凉市,甘肃省,0.28,20200104
上海市,上海市,0.26,20200104
庆阳市,甘肃省,0.26,20200104
银川市,宁夏回族自治区,0.26,20200104
重庆市,重庆市,0.23,20200104
宝鸡市,陕西省,0.21,20200104
中卫市,宁夏回族自治区,0.17,20200104
渭南市,陕西省,0.17,20200104
榆林市,陕西省,0.16,20200104
海东市,青海省,0.12,20200104
郑州市,河南省,0.12,20200104
商丘市,河南省,0.1,20200104
