city_name,province_name,value,date
朔州市,山西省,29.07,20200101
张家口市,河北省,10.19,20200101
北京市,北京市,9.02,20200101
太原市,山西省,8.64,20200101
乌兰察布市,内蒙古自治区,8.36,20200101
忻州市,山西省,4.9,20200101
鄂尔多斯市,内蒙古自治区,3.53,20200101
保定市,河北省,2.8,20200101
呼和浩特市,内蒙古自治区,2.77,20200101
天津市,天津市,2.21,20200101
包头市,内蒙古自治区,1.45,20200101
晋中市,山西省,1.37,20200101
唐山市,河北省,1.22,20200101
石家庄市,河北省,0.74,20200101
吕梁市,山西省,0.67,20200101
临汾市,山西省,0.62,20200101
沧州市,河北省,0.61,20200101
廊坊市,河北省,0.6,20200101
榆林市,陕西省,0.57,20200101
长治市,山西省,0.47,20200101
秦皇岛市,河北省,0.46,20200101
西安市,陕西省,0.38,20200101
邢台市,河北省,0.35,20200101
阳泉市,山西省,0.32,20200101
运城市,山西省,0.31,20200101
邯郸市,河北省,0.3,20200101
乌海市,内蒙古自治区,0.26,20200101
锡林郭勒盟,内蒙古自治区,0.24,20200101
重庆市,重庆市,0.22,20200101
郑州市,河南省,0.21,20200101
上海市,上海市,0.2,20200101
衡水市,河北省,0.19,20200101
广州市,广东省,0.18,20200101
杭州市,浙江省,0.18,20200101
晋城市,山西省,0.17,20200101
滨州市,山东省,0.16,20200101
德州市,山东省,0.12,20200101
潍坊市,山东省,0.12,20200101
济南市,山东省,0.12,20200101
银川市,宁夏回族自治区,0.11,20200101
三亚市,海南省,0.11,20200101
承德市,河北省,0.11,20200101
海口市,海南省,0.1,20200101
安阳市,河南省,0.1,20200101
武汉市,湖北省,0.1,20200101
渭南市,陕西省,0.1,20200101
青岛市,山东省,0.1,20200101
沈阳市,辽宁省,0.1,20200101
合肥市,安徽省,0.09,20200101
成都市,四川省,0.08,20200101
朔州市,山西省,24.88,20200102
太原市,山西省,10.59,20200102
北京市,北京市,8.87,20200102
乌兰察布市,内蒙古自治区,6.97,20200102
张家口市,河北省,6.6,20200102
鄂尔多斯市,内蒙古自治区,5.84,20200102
忻州市,山西省,4.5,20200102
呼和浩特市,内蒙古自治区,3.03,20200102
天津市,天津市,2.68,20200102
唐山市,河北省,2.17,20200102
晋中市,山西省,2.01,20200102
保定市,河北省,1.96,20200102
包头市,内蒙古自治区,1.68,20200102
吕梁市,山西省,1.03,20200102
榆林市,陕西省,0.93,20200102
临汾市,山西省,0.83,20200102
西安市,陕西省,0.75,20200102
石家庄市,河北省,0.64,20200102
秦皇岛市,河北省,0.53,20200102
重庆市,重庆市,0.52,20200102
廊坊市,河北省,0.51,20200102
沧州市,河北省,0.5,20200102
运城市,山西省,0.5,20200102
长治市,山西省,0.41,20200102
阳泉市,山西省,0.39,20200102
邯郸市,河北省,0.37,20200102
锡林郭勒盟,内蒙古自治区,0.3,20200102
上海市,上海市,0.28,20200102
晋城市,山西省,0.28,20200102
邢台市,河北省,0.25,20200102
赤峰市,内蒙古自治区,0.22,20200102
衡水市,河北省,0.22,20200102
广州市,广东省,0.22,20200102
安阳市,河南省,0.21,20200102
承德市,河北省,0.2,20200102
成都市,四川省,0.19,20200102
郑州市,河南省,0.19,20200102
滨州市,山东省,0.17,20200102
乌海市,内蒙古自治区,0.17,20200102
潍坊市,山东省,0.16,20200102
杭州市,浙江省,0.16,20200102
南京市,江苏省,0.15,20200102
三亚市,海南省,0.14,20200102
巴彦淖尔市,内蒙古自治区,0.14,20200102
临沂市,山东省,0.14,20200102
济宁市,山东省,0.14,20200102
沈阳市,辽宁省,0.14,20200102
德州市,山东省,0.13,20200102
济南市,山东省,0.13,20200102
东营市,山东省,0.12,20200102
朔州市,山西省,26.81,20200103
太原市,山西省,10.39,20200103
北京市,北京市,8.47,20200103
张家口市,河北省,7.86,20200103
乌兰察布市,内蒙古自治区,7.03,20200103
鄂尔多斯市,内蒙古自治区,5.71,20200103
忻州市,山西省,4.58,20200103
呼和浩特市,内蒙古自治区,2.86,20200103
天津市,天津市,2.85,20200103
保定市,河北省,2.22,20200103
唐山市,河北省,1.88,20200103
晋中市,山西省,1.54,20200103
包头市,内蒙古自治区,1.44,20200103
榆林市,陕西省,0.95,20200103
吕梁市,山西省,0.85,20200103
临汾市,山西省,0.75,20200103
石家庄市,河北省,0.74,20200103
廊坊市,河北省,0.64,20200103
西安市,陕西省,0.64,20200103
运城市,山西省,0.54,20200103
沧州市,河北省,0.53,20200103
长治市,山西省,0.49,20200103
秦皇岛市,河北省,0.47,20200103
锡林郭勒盟,内蒙古自治区,0.32,20200103
邯郸市,河北省,0.29,20200103
阳泉市,山西省,0.27,20200103
邢台市,河北省,0.25,20200103
广州市,广东省,0.23,20200103
重庆市,重庆市,0.21,20200103
衡水市,河北省,0.2,20200103
郑州市,河南省,0.2,20200103
杭州市,浙江省,0.19,20200103
海口市,海南省,0.18,20200103
三亚市,海南省,0.18,20200103
成都市,四川省,0.17,20200103
上海市,上海市,0.16,20200103
承德市,河北省,0.16,20200103
赤峰市,内蒙古自治区,0.16,20200103
晋城市,山西省,0.15,20200103
安阳市,河南省,0.15,20200103
济南市,山东省,0.13,20200103
巴彦淖尔市,内蒙古自治区,0.11,20200103
乌海市,内蒙古自治区,0.11,20200103
哈尔滨市,黑龙江省,0.1,20200103
武汉市,湖北省,0.1,20200103
徐州市,江苏省,0.1,20200103
洛阳市,河南省,0.09,20200103
昆明市,云南省,0.09,20200103
南京市,江苏省,0.09,20200103
淄博市,山东省,0.09,20200103
朔州市,山西省,27.51,20200104
北京市,北京市,10.14,20200104
太原市,山西省,10.09,20200104
张家口市,河北省,9.89,20200104
乌兰察布市,内蒙古自治区,7.75,20200104
忻州市,山西省,4.92,20200104
鄂尔多斯市,内蒙古自治区,2.83,20200104
保定市,河北省,2.43,20200104
呼和浩特市,内蒙古自治区,2.27,20200104
天津市,天津市,2.18,20200104
晋中市,山西省,1.65,20200104
唐山市,河北省,1.54,20200104
包头市,内蒙古自治区,1.05,20200104
石家庄市,河北省,0.89,20200104
吕梁市,山西省,0.86,20200104
榆林市,陕西省,0.72,20200104
廊坊市,河北省,0.68,20200104
临汾市,山西省,0.64,20200104
长治市,山西省,0.45,20200104
沧州市,河北省,0.45,20200104
秦皇岛市,河北省,0.41,20200104
西安市,陕西省,0.39,20200104
运城市,山西省,0.37,20200104
邢台市,河北省,0.36,20200104
邯郸市,河北省,0.32,20200104
重庆市,重庆市,0.29,20200104
阳泉市,山西省,0.29,20200104
上海市,上海市,0.27,20200104
晋城市,山西省,0.27,20200104
锡林郭勒盟,内蒙古自治区,0.26,20200104
成都市,四川省,0.18,20200104
衡水市,河北省,0.17,20200104
安阳市,河南省,0.17,20200104
郑州市,河南省,0.16,20200104
承德市,河北省,0.14,20200104
赤峰市,内蒙古自治区,0.14,20200104
武汉市,湖北省,0.13,20200104
