city_name,province_name,value,date
绥化市,黑龙江省,31.09,20200101
哈尔滨市,黑龙江省,24.63,20200101
齐齐哈尔市,黑龙江省,10.67,20200101
松原市,吉林省,4.68,20200101
北京市,北京市,2.82,20200101
长春市,吉林省,2.38,20200101
呼伦贝尔市,内蒙古自治区,1.7,20200101
大连市,辽宁省,1.45,20200101
沈阳市,辽宁省,1.4,20200101
白城市,吉林省,1.24,20200101
天津市,天津市,1.18,20200101
青岛市,山东省,1.16,20200101
黑河市,黑龙江省,1.0,20200101
牡丹江市,黑龙江省,0.9,20200101
佳木斯市,黑龙江省,0.54,20200101
上海市,上海市,0.5,20200101
廊坊市,河北省,0.45,20200101
伊春市,黑龙江省,0.38,20200101
唐山市,河北省,0.35,20200101
双鸭山市,黑龙江省,0.34,20200101
三亚市,海南省,0.3,20200101
鸡西市,黑龙江省,0.29,20200101
吉林市,吉林省,0.28,20200101
兴安盟,内蒙古自治区,0.26,20200101
铁岭市,辽宁省,0.25,20200101
四平市,吉林省,0.24,20200101
通辽市,内蒙古自治区,0.22,20200101
威海市,山东省,0.22,20200101
鞍山市,辽宁省,0.21,20200101
大兴安岭地区,黑龙江省,0.21,20200101
南京市,江苏省,0.21,20200101
盘锦市,辽宁省,0.21,20200101
深圳市,广东省,0.21,20200101
秦皇岛市,河北省,0.2,20200101
杭州市,浙江省,0.2,20200101
烟台市,山东省,0.19,20200101
潍坊市,山东省,0.19,20200101
鹤岗市,黑龙江省,0.18,20200101
苏州市,江苏省,0.18,20200101
营口市,辽宁省,0.18,20200101
延边朝鲜族自治州,吉林省,0.18,20200101
沧州市,河北省,0.18,20200101
葫芦岛市,辽宁省,0.16,20200101
石家庄市,河北省,0.16,20200101
锦州市,辽宁省,0.16,20200101
无锡市,江苏省,0.15,20200101
重庆市,重庆市,0.14,20200101
济南市,山东省,0.13,20200101
西安市,陕西省,0.13,20200101
广州市,广东省,0.13,20200101
哈尔滨市,黑龙江省,27.68,20200102
绥化市,黑龙江省,23.34,20200102
齐齐哈尔市,黑龙江省,9.95,20200102
