city_name,province_name,value,date
兰州市,甘肃省,20.67,20200101
陇南市,甘肃省,12.43,20200101
定西市,甘肃省,11.49,20200101
西安市,陕西省,8.84,20200101
平凉市,甘肃省,6.0,20200101
宝鸡市,陕西省,4.03,20200101
上海市,上海市,2.63,20200101
北京市,北京市,2.09,20200101
乌鲁木齐市,新疆维吾尔自治区,1.87,20200101
咸阳市,陕西省,1.68,20200101
白银市,甘肃省,1.42,20200101
苏州市,江苏省,1.23,20200101
西宁市,青海省,1.21,20200101
成都市,四川省,0.89,20200101
临夏回族自治州,甘肃省,0.86,20200101
天津市,天津市,0.78,20200101
庆阳市,甘肃省,0.78,20200101
银川市,宁夏回族自治区,0.78,20200101
武威市,甘肃省,0.72,20200101
渭南市,陕西省,0.6,20200101
固原市,宁夏回族自治区,0.58,20200101
深圳市,广东省,0.54,20200101
杭州市,浙江省,0.54,20200101
郑州市,河南省,0.48,20200101
无锡市,江苏省,0.43,20200101
酒泉市,甘肃省,0.35,20200101
南京市,江苏省,0.34,20200101
甘南藏族自治州,甘肃省,0.34,20200101
重庆市,重庆市,0.32,20200101
广州市,广东省,0.32,20200101
嘉峪关市,甘肃省,0.29,20200101
东莞市,广东省,0.28,20200101
武汉市,湖北省,0.28,20200101
吴忠市,宁夏回族自治区,0.26,20200101
青岛市,山东省,0.25,20200101
嘉兴市,浙江省,0.25,20200101
济南市,山东省,0.24,20200101
海西蒙古族藏族自治州,青海省,0.24,20200101
哈密市,新疆维吾尔自治区,0.22,20200101
昌吉回族自治州,新疆维吾尔自治区,0.22,20200101
惠州市,广东省,0.22,20200101
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.21,20200101
运城市,山西省,0.21,20200101
宁波市,浙江省,0.19,20200101
喀什地区,新疆维吾尔自治区,0.18,20200101
张掖市,甘肃省,0.18,20200101
厦门市,福建省,0.18,20200101
太原市,山西省,0.17,20200101
金华市,浙江省,0.17,20200101
石家庄市,河北省,0.17,20200101
兰州市,甘肃省,22.57,20200102
西安市,陕西省,9.1,20200102
陇南市,甘肃省,7.45,20200102
定西市,甘肃省,5.12,20200102
上海市,上海市,4.0,20200102
乌鲁木齐市,新疆维吾尔自治区,3.71,20200102
平凉市,甘肃省,3.3,20200102
宝鸡市,陕西省,2.96,20200102
北京市,北京市,2.93,20200102
苏州市,江苏省,2.85,20200102
庆阳市,甘肃省,1.32,20200102
白银市,甘肃省,1.25,20200102
咸阳市,陕西省,1.21,20200102
天津市,天津市,1.21,20200102
西宁市,青海省,1.01,20200102
深圳市,广东省,0.93,20200102
银川市,宁夏回族自治区,0.92,20200102
成都市,四川省,0.9,20200102
临夏回族自治州,甘肃省,0.84,20200102
杭州市,浙江省,0.79,20200102
无锡市,江苏省,0.71,20200102
郑州市,河南省,0.62,20200102
武威市,甘肃省,0.62,20200102
青岛市,山东省,0.59,20200102
东莞市,广东省,0.56,20200102
济南市,山东省,0.43,20200102
渭南市,陕西省,0.43,20200102
酒泉市,甘肃省,0.4,20200102
常州市,江苏省,0.4,20200102
重庆市,重庆市,0.4,20200102
南京市,江苏省,0.39,20200102
武汉市,湖北省,0.39,20200102
广州市,广东省,0.38,20200102
嘉兴市,浙江省,0.35,20200102
宁波市,浙江省,0.34,20200102
石家庄市,河北省,0.34,20200102
昌吉回族自治州,新疆维吾尔自治区,0.34,20200102
运城市,山西省,0.32,20200102
南阳市,河南省,0.31,20200102
嘉峪关市,甘肃省,0.31,20200102
固原市,宁夏回族自治区,0.29,20200102
中卫市,宁夏回族自治区,0.29,20200102
开封市,河南省,0.27,20200102
张掖市,甘肃省,0.25,20200102
喀什地区,新疆维吾尔自治区,0.25,20200102
哈密市,新疆维吾尔自治区,0.24,20200102
拉萨市,西藏自治区,0.24,20200102
南通市,江苏省,0.24,20200102
哈尔滨市,黑龙江省,0.24,20200102
包头市,内蒙古自治区,0.23,20200102
兰州市,甘肃省,25.89,20200103
陇南市,甘肃省,9.37,20200103
西安市,陕西省,8.29,20200103
定西市,甘肃省,7.08,20200103
平凉市,甘肃省,4.9,20200103
宝鸡市,陕西省,3.52,20200103
上海市,上海市,2.76,20200103
乌鲁木齐市,新疆维吾尔自治区,2.54,20200103
北京市,北京市,2.2,20200103
苏州市,江苏省,2.0,20200103
庆阳市,甘肃省,1.34,20200103
咸阳市,陕西省,1.31,20200103
天津市,天津市,1.3,20200103
白银市,甘肃省,1.11,20200103
西宁市,青海省,1.07,20200103
临夏回族自治州,甘肃省,0.98,20200103
杭州市,浙江省,0.81,20200103
银川市,宁夏回族自治区,0.73,20200103
深圳市,广东省,0.72,20200103
成都市,四川省,0.71,20200103
武威市,甘肃省,0.64,20200103
郑州市,河南省,0.62,20200103
东莞市,广东省,0.54,20200103
无锡市,江苏省,0.48,20200103
酒泉市,甘肃省,0.42,20200103
武汉市,湖北省,0.41,20200103
重庆市,重庆市,0.38,20200103
固原市,宁夏回族自治区,0.38,20200103
石家庄市,河北省,0.37,20200103
渭南市,陕西省,0.36,20200103
广州市,广东省,0.34,20200103
嘉兴市,浙江省,0.33,20200103
宁波市,浙江省,0.32,20200103
张掖市,甘肃省,0.31,20200103
嘉峪关市,甘肃省,0.3,20200103
济南市,山东省,0.27,20200103
惠州市,广东省,0.27,20200103
昌吉回族自治州,新疆维吾尔自治区,0.26,20200103
青岛市,山东省,0.25,20200103
南京市,江苏省,0.25,20200103
哈密市,新疆维吾尔自治区,0.24,20200103
常州市,江苏省,0.23,20200103
吴忠市,宁夏回族自治区,0.23,20200103
巴音郭楞蒙古自治州,新疆维吾尔自治区,0.22,20200103
运城市,山西省,0.22,20200103
海西蒙古族藏族自治州,青海省,0.21,20200103
鄂州市,湖北省,0.19,20200103
哈尔滨市,黑龙江省,0.19,20200103
长沙市,湖南省,0.18,20200103
潍坊市,山东省,0.18,20200103
兰州市,甘肃省,25.22,20200104
陇南市,甘肃省,10.7,20200104
西安市,陕西省,8.08,20200104
定西市,甘肃省,7.35,20200104
平凉市,甘肃省,5.51,20200104
宝鸡市,陕西省,3.34,20200104
乌鲁木齐市,新疆维吾尔自治区,2.46,20200104
上海市,上海市,2.36,20200104
北京市,北京市,2.05,20200104
苏州市,江苏省,1.71,20200104
天津市,天津市,1.33,20200104
庆阳市,甘肃省,1.3,20200104
临夏回族自治州,甘肃省,1.03,20200104
咸阳市,陕西省,1.03,20200104
西宁市,青海省,1.01,20200104
白银市,甘肃省,1.0,20200104
成都市,四川省,0.83,20200104
杭州市,浙江省,0.74,20200104
深圳市,广东省,0.73,20200104
银川市,宁夏回族自治区,0.69,20200104
酒泉市,甘肃省,0.58,20200104
武威市,甘肃省,0.58,20200104
郑州市,河南省,0.48,20200104
渭南市,陕西省,0.47,20200104
济南市,山东省,0.44,20200104
武汉市,湖北省,0.42,20200104
固原市,宁夏回族自治区,0.42,20200104
重庆市,重庆市,0.41,20200104
