city_name,province_name,value,date
晋中市,山西省,29.83,20200101
吕梁市,山西省,16.8,20200101
忻州市,山西省,11.48,20200101
临汾市,山西省,5.38,20200101
长治市,山西省,4.64,20200101
运城市,山西省,2.83,20200101
北京市,北京市,2.79,20200101
大同市,山西省,2.74,20200101
阳泉市,山西省,2.7,20200101
朔州市,山西省,2.17,20200101
晋城市,山西省,1.53,20200101
石家庄市,河北省,1.17,20200101
西安市,陕西省,0.69,20200101
邯郸市,河北省,0.54,20200101
天津市,天津市,0.53,20200101
安阳市,河南省,0.52,20200101
保定市,河北省,0.46,20200101
上海市,上海市,0.4,20200101
榆林市,陕西省,0.4,20200101
郑州市,河南省,0.34,20200101
邢台市,河北省,0.32,20200101
周口市,河南省,0.29,20200101
重庆市,重庆市,0.28,20200101
成都市,四川省,0.26,20200101
广州市,广东省,0.22,20200101
杭州市,浙江省,0.19,20200101
呼和浩特市,内蒙古自治区,0.19,20200101
深圳市,广东省,0.19,20200101
南京市,江苏省,0.19,20200101
三亚市,海南省,0.19,20200101
鄂尔多斯市,内蒙古自治区,0.18,20200101
济南市,山东省,0.18,20200101
沧州市,河北省,0.18,20200101
武汉市,湖北省,0.18,20200101
唐山市,河北省,0.17,20200101
新乡市,河南省,0.17,20200101
广元市,四川省,0.17,20200101
廊坊市,河北省,0.16,20200101
昆明市,云南省,0.15,20200101
长沙市,湖南省,0.15,20200101
驻马店市,河南省,0.14,20200101
沈阳市,辽宁省,0.14,20200101
乌兰察布市,内蒙古自治区,0.14,20200101
商丘市,河南省,0.13,20200101
包头市,内蒙古自治区,0.13,20200101
苏州市,江苏省,0.13,20200101
衡水市,河北省,0.13,20200101
濮阳市,河南省,0.13,20200101
青岛市,山东省,0.13,20200101
哈尔滨市,黑龙江省,0.11,20200101
晋中市,山西省,17.57,20200102
吕梁市,山西省,16.18,20200102
忻州市,山西省,10.6,20200102
临汾市,山西省,6.65,20200102
长治市,山西省,5.43,20200102
运城市,山西省,3.7,20200102
北京市,北京市,3.63,20200102
大同市,山西省,3.56,20200102
阳泉市,山西省,2.83,20200102
朔州市,山西省,2.6,20200102
晋城市,山西省,2.3,20200102
石家庄市,河北省,1.24,20200102
西安市,陕西省,0.96,20200102
上海市,上海市,0.83,20200102
天津市,天津市,0.83,20200102
安阳市,河南省,0.72,20200102
邯郸市,河北省,0.63,20200102
保定市,河北省,0.55,20200102
榆林市,陕西省,0.53,20200102
周口市,河南省,0.5,20200102
郑州市,河南省,0.48,20200102
重庆市,重庆市,0.47,20200102
深圳市,广东省,0.39,20200102
成都市,四川省,0.39,20200102
邢台市,河北省,0.37,20200102
新乡市,河南省,0.32,20200102
呼和浩特市,内蒙古自治区,0.3,20200102
唐山市,河北省,0.3,20200102
鄂尔多斯市,内蒙古自治区,0.29,20200102
广州市,广东省,0.28,20200102
青岛市,山东省,0.25,20200102
南京市,江苏省,0.25,20200102
杭州市,浙江省,0.25,20200102
广元市,四川省,0.24,20200102
三亚市,海南省,0.24,20200102
昆明市,云南省,0.23,20200102
武汉市,湖北省,0.22,20200102
厦门市,福建省,0.22,20200102
济南市,山东省,0.21,20200102
衡水市,河北省,0.21,20200102
包头市,内蒙古自治区,0.2,20200102
长沙市,湖南省,0.2,20200102
商丘市,河南省,0.2,20200102
沧州市,河北省,0.19,20200102
海口市,海南省,0.18,20200102
张家口市,河北省,0.17,20200102
驻马店市,河南省,0.17,20200102
沈阳市,辽宁省,0.17,20200102
阜阳市,安徽省,0.17,20200102
乌兰察布市,内蒙古自治区,0.16,20200102
晋中市,山西省,24.89,20200103
吕梁市,山西省,15.1,20200103
忻州市,山西省,10.53,20200103
临汾市,山西省,6.12,20200103
长治市,山西省,4.99,20200103
运城市,山西省,3.62,20200103
大同市,山西省,3.57,20200103
北京市,北京市,3.22,20200103
阳泉市,山西省,2.84,20200103
朔州市,山西省,2.65,20200103
晋城市,山西省,2.09,20200103
石家庄市,河北省,1.28,20200103
西安市,陕西省,0.93,20200103
天津市,天津市,0.68,20200103
安阳市,河南省,0.55,20200103
邯郸市,河北省,0.54,20200103
上海市,上海市,0.51,20200103
榆林市,陕西省,0.5,20200103
周口市,河南省,0.42,20200103
保定市,河北省,0.42,20200103
郑州市,河南省,0.39,20200103
邢台市,河北省,0.32,20200103
杭州市,浙江省,0.32,20200103
重庆市,重庆市,0.29,20200103
成都市,四川省,0.29,20200103
广元市,四川省,0.24,20200103
长沙市,湖南省,0.23,20200103
唐山市,河北省,0.22,20200103
济南市,山东省,0.22,20200103
深圳市,广东省,0.22,20200103
驻马店市,河南省,0.21,20200103
武汉市,湖北省,0.2,20200103
廊坊市,河北省,0.2,20200103
沈阳市,辽宁省,0.2,20200103
哈尔滨市,黑龙江省,0.19,20200103
海口市,海南省,0.19,20200103
鄂尔多斯市,内蒙古自治区,0.19,20200103
呼和浩特市,内蒙古自治区,0.19,20200103
三亚市,海南省,0.19,20200103
烟台市,山东省,0.18,20200103
新乡市,河南省,0.18,20200103
南京市,江苏省,0.18,20200103
广州市,广东省,0.18,20200103
商丘市,河南省,0.18,20200103
