city_name,province_name,value,date
烟台市,山东省,39.13,20200101
青岛市,山东省,12.69,20200101
济南市,山东省,5.23,20200101
潍坊市,山东省,3.78,20200101
北京市,北京市,3.2,20200101
临沂市,山东省,2.4,20200101
淄博市,山东省,2.14,20200101
大连市,辽宁省,1.5,20200101
泰安市,山东省,1.28,20200101
上海市,上海市,1.28,20200101
济宁市,山东省,1.25,20200101
天津市,天津市,1.17,20200101
滨州市,山东省,1.02,20200101
日照市,山东省,0.88,20200101
聊城市,山东省,0.77,20200101
哈尔滨市,黑龙江省,0.73,20200101
菏泽市,山东省,0.68,20200101
东营市,山东省,0.66,20200101
德州市,山东省,0.63,20200101
周口市,河南省,0.53,20200101
枣庄市,山东省,0.5,20200101
沧州市,河北省,0.48,20200101
杭州市,浙江省,0.48,20200101
石家庄市,河北省,0.45,20200101
南京市,江苏省,0.43,20200101
重庆市,重庆市,0.42,20200101
连云港市,江苏省,0.4,20200101
舟山市,浙江省,0.39,20200101
郑州市,河南省,0.38,20200101
唐山市,河北省,0.37,20200101
长春市,吉林省,0.37,20200101
广州市,广东省,0.36,20200101
苏州市,江苏省,0.35,20200101
廊坊市,河北省,0.34,20200101
盐城市,江苏省,0.33,20200101
徐州市,江苏省,0.3,20200101
保定市,河北省,0.29,20200101
商丘市,河南省,0.29,20200101
沈阳市,辽宁省,0.29,20200101
衡水市,河北省,0.28,20200101
宁波市,浙江省,0.25,20200101
西安市,陕西省,0.24,20200101
深圳市,广东省,0.22,20200101
邯郸市,河北省,0.22,20200101
濮阳市,河南省,0.22,20200101
新乡市,河南省,0.21,20200101
成都市,四川省,0.21,20200101
大庆市,黑龙江省,0.2,20200101
无锡市,江苏省,0.2,20200101
武汉市,湖北省,0.2,20200101
烟台市,山东省,23.97,20200102
青岛市,山东省,12.55,20200102
济南市,山东省,7.04,20200102
北京市,北京市,4.15,20200102
潍坊市,山东省,3.94,20200102
临沂市,山东省,2.7,20200102
淄博市,山东省,2.67,20200102
大连市,辽宁省,2.14,20200102
上海市,上海市,1.71,20200102
日照市,山东省,1.48,20200102
济宁市,山东省,1.23,20200102
哈尔滨市,黑龙江省,1.19,20200102
泰安市,山东省,1.13,20200102
滨州市,山东省,1.09,20200102
聊城市,山东省,1.01,20200102
菏泽市,山东省,0.97,20200102
天津市,天津市,0.94,20200102
沧州市,河北省,0.83,20200102
德州市,山东省,0.77,20200102
东营市,山东省,0.75,20200102
石家庄市,河北省,0.74,20200102
郑州市,河南省,0.72,20200102
南京市,江苏省,0.71,20200102
重庆市,重庆市,0.64,20200102
广州市,广东省,0.61,20200102
杭州市,浙江省,0.59,20200102
枣庄市,山东省,0.55,20200102
沈阳市,辽宁省,0.53,20200102
长春市,吉林省,0.51,20200102
邯郸市,河北省,0.51,20200102
武汉市,湖北省,0.51,20200102
唐山市,河北省,0.51,20200102
西安市,陕西省,0.49,20200102
徐州市,江苏省,0.47,20200102
连云港市,江苏省,0.46,20200102
苏州市,江苏省,0.46,20200102
廊坊市,河北省,0.44,20200102
秦皇岛市,河北省,0.39,20200102
成都市,四川省,0.37,20200102
周口市,河南省,0.36,20200102
盐城市,江苏省,0.36,20200102
南宁市,广西壮族自治区,0.35,20200102
深圳市,广东省,0.35,20200102
衡水市,河北省,0.34,20200102
无锡市,江苏省,0.32,20200102
保定市,河北省,0.28,20200102
舟山市,浙江省,0.28,20200102
合肥市,安徽省,0.28,20200102
营口市,辽宁省,0.27,20200102
宁波市,浙江省,0.27,20200102
烟台市,山东省,27.09,20200103
青岛市,山东省,14.18,20200103
济南市,山东省,7.13,20200103
潍坊市,山东省,4.31,20200103
北京市,北京市,4.05,20200103
淄博市,山东省,2.46,20200103
临沂市,山东省,2.37,20200103
大连市,辽宁省,1.45,20200103
上海市,上海市,1.39,20200103
天津市,天津市,1.2,20200103
日照市,山东省,1.19,20200103
济宁市,山东省,1.09,20200103
泰安市,山东省,1.07,20200103
滨州市,山东省,1.04,20200103
