city_name,province_name,value,date
烟台市,山东省,30.53,20200101
青岛市,山东省,10.82,20200101
济南市,山东省,4.46,20200101
潍坊市,山东省,3.69,20200101
大连市,辽宁省,3.18,20200101
北京市,北京市,2.59,20200101
菏泽市,山东省,2.53,20200101
临沂市,山东省,2.48,20200101
济宁市,山东省,2.07,20200101
淄博市,山东省,1.96,20200101
周口市,河南省,1.8,20200101
泰安市,山东省,1.51,20200101
德州市,山东省,1.26,20200101
哈尔滨市,黑龙江省,1.13,20200101
日照市,山东省,1.06,20200101
聊城市,山东省,1.04,20200101
上海市,上海市,1.02,20200101
滨州市,山东省,0.92,20200101
天津市,天津市,0.82,20200101
东营市,山东省,0.79,20200101
商丘市,河南省,0.75,20200101
长春市,吉林省,0.74,20200101
连云港市,江苏省,0.61,20200101
枣庄市,山东省,0.56,20200101
沈阳市,辽宁省,0.46,20200101
徐州市,江苏省,0.44,20200101
葫芦岛市,辽宁省,0.43,20200101
重庆市,重庆市,0.42,20200101
邯郸市,河北省,0.41,20200101
阜阳市,安徽省,0.41,20200101
濮阳市,河南省,0.41,20200101
绥化市,黑龙江省,0.38,20200101
南阳市,河南省,0.37,20200101
成都市,四川省,0.37,20200101
郑州市,河南省,0.36,20200101
南京市,江苏省,0.34,20200101
沧州市,河北省,0.33,20200101
苏州市,江苏省,0.32,20200101
淮安市,江苏省,0.31,20200101
石家庄市,河北省,0.31,20200101
保定市,河北省,0.3,20200101
武汉市,湖北省,0.3,20200101
广州市,广东省,0.3,20200101
盐城市,江苏省,0.29,20200101
安阳市,河南省,0.27,20200101
宁波市,浙江省,0.26,20200101
齐齐哈尔市,黑龙江省,0.26,20200101
佳木斯市,黑龙江省,0.25,20200101
杭州市,浙江省,0.25,20200101
西安市,陕西省,0.23,20200101
烟台市,山东省,17.83,20200102
青岛市,山东省,9.42,20200102
济南市,山东省,5.49,20200102
潍坊市,山东省,3.97,20200102
北京市,北京市,3.53,20200102
临沂市,山东省,3.4,20200102
菏泽市,山东省,3.19,20200102
大连市,辽宁省,2.74,20200102
济宁市,山东省,2.62,20200102
淄博市,山东省,2.5,20200102
周口市,河南省,2.47,20200102
哈尔滨市,黑龙江省,1.69,20200102
德州市,山东省,1.54,20200102
聊城市,山东省,1.43,20200102
泰安市,山东省,1.41,20200102
滨州市,山东省,1.23,20200102
上海市,上海市,1.17,20200102
东营市,山东省,0.99,20200102
日照市,山东省,0.97,20200102
天津市,天津市,0.94,20200102
商丘市,河南省,0.82,20200102
枣庄市,山东省,0.81,20200102
绥化市,黑龙江省,0.79,20200102
沈阳市,辽宁省,0.65,20200102
重庆市,重庆市,0.6,20200102
阜阳市,安徽省,0.6,20200102
郑州市,河南省,0.56,20200102
濮阳市,河南省,0.55,20200102
长春市,吉林省,0.55,20200102
连云港市,江苏省,0.54,20200102
南阳市,河南省,0.51,20200102
沧州市,河北省,0.51,20200102
广州市,广东省,0.48,20200102
徐州市,江苏省,0.46,20200102
石家庄市,河北省,0.46,20200102
齐齐哈尔市,黑龙江省,0.43,20200102
西安市,陕西省,0.43,20200102
宁波市,浙江省,0.39,20200102
邯郸市,河北省,0.39,20200102
大庆市,黑龙江省,0.36,20200102
葫芦岛市,辽宁省,0.35,20200102
秦皇岛市,河北省,0.34,20200102
福州市,福建省,0.34,20200102
保定市,河北省,0.33,20200102
深圳市,广东省,0.32,20200102
武汉市,湖北省,0.29,20200102
成都市,四川省,0.29,20200102
南京市,江苏省,0.29,20200102
安阳市,河南省,0.28,20200102
昆明市,云南省,0.28,20200102
烟台市,山东省,22.29,20200103
青岛市,山东省,11.12,20200103
济南市,山东省,5.68,20200103
潍坊市,山东省,4.2,20200103
大连市,辽宁省,3.05,20200103
临沂市,山东省,2.68,20200103
北京市,北京市,2.61,20200103
济宁市,山东省,2.42,20200103
菏泽市,山东省,2.41,20200103
淄博市,山东省,2.29,20200103
周口市,河南省,2.24,20200103
泰安市,山东省,1.5,20200103
哈尔滨市,黑龙江省,1.38,20200103
德州市,山东省,1.34,20200103
聊城市,山东省,1.17,20200103
滨州市,山东省,1.14,20200103
上海市,上海市,1.12,20200103
日照市,山东省,0.97,20200103
枣庄市,山东省,0.86,20200103
连云港市,江苏省,0.79,20200103
沈阳市,辽宁省,0.75,20200103
东营市,山东省,0.74,20200103
天津市,天津市,0.73,20200103
商丘市,河南省,0.67,20200103
长春市,吉林省,0.55,20200103
成都市,四川省,0.54,20200103
绥化市,黑龙江省,0.54,20200103
阜阳市,安徽省,0.48,20200103
南阳市,河南省,0.46,20200103
杭州市,浙江省,0.45,20200103
徐州市,江苏省,0.44,20200103
重庆市,重庆市,0.42,20200103
沧州市,河北省,0.39,20200103
武汉市,湖北省,0.39,20200103
石家庄市,河北省,0.38,20200103
郑州市,河南省,0.38,20200103
濮阳市,河南省,0.38,20200103
西安市,陕西省,0.36,20200103
唐山市,河北省,0.34,20200103
广州市,广东省,0.32,20200103
安阳市,河南省,0.31,20200103
邯郸市,河北省,0.31,20200103
葫芦岛市,辽宁省,0.31,20200103
吉林市,吉林省,0.3,20200103
盐城市,江苏省,0.3,20200103
昆明市,云南省,0.3,20200103
南京市,江苏省,0.29,20200103
秦皇岛市,河北省,0.29,20200103
营口市,辽宁省,0.27,20200103
通化市,吉林省,0.27,20200103
烟台市,山东省,24.86,20200104
青岛市,山东省,10.94,20200104
济南市,山东省,5.28,20200104
潍坊市,山东省,4.27,20200104
临沂市,山东省,2.83,20200104
北京市,北京市,2.8,20200104
大连市,辽宁省,2.45,20200104
菏泽市,山东省,2.35,20200104
周口市,河南省,2.13,20200104
淄博市,山东省,2.11,20200104
济宁市,山东省,1.9,20200104
哈尔滨市,黑龙江省,1.42,20200104
泰安市,山东省,1.36,20200104
聊城市,山东省,1.18,20200104
德州市,山东省,1.13,20200104
滨州市,山东省,1.09,20200104
日照市,山东省,1.04,20200104
上海市,上海市,0.94,20200104
东营市,山东省,0.81,20200104
天津市,天津市,0.75,20200104
枣庄市,山东省,0.74,20200104
商丘市,河南省,0.72,20200104
阜阳市,安徽省,0.65,20200104
长春市,吉林省,0.62,20200104
重庆市,重庆市,0.58,20200104
连云港市,江苏省,0.56,20200104
沈阳市,辽宁省,0.55,20200104
绥化市,黑龙江省,0.51,20200104
徐州市,江苏省,0.5,20200104
郑州市,河南省,0.5,20200104
南京市,江苏省,0.46,20200104
石家庄市,河北省,0.44,20200104
杭州市,浙江省,0.41,20200104
濮阳市,河南省,0.4,20200104
邯郸市,河北省,0.4,20200104
沧州市,河北省,0.4,20200104
西安市,陕西省,0.37,20200104
武汉市,湖北省,0.36,20200104
唐山市,河北省,0.34,20200104
苏州市,江苏省,0.34,20200104
廊坊市,河北省,0.33,20200104
南阳市,河南省,0.33,20200104
齐齐哈尔市,黑龙江省,0.32,20200104
盐城市,江苏省,0.3,20200104
新乡市,河南省,0.3,20200104
成都市,四川省,0.27,20200104
大庆市,黑龙江省,0.27,20200104
四平市,吉林省,0.26,20200104
广州市,广东省,0.25,20200104
葫芦岛市,辽宁省,0.23,20200104
烟台市,山东省,23.54,20200105
青岛市,山东省,11.42,20200105
济南市,山东省,6.35,20200105
北京市,北京市,3.74,20200105
潍坊市,山东省,3.35,20200105
大连市,辽宁省,2.58,20200105
临沂市,山东省,2.3,20200105
淄博市,山东省,2.19,20200105
菏泽市,山东省,2.16,20200105
周口市,河南省,2.12,20200105
济宁市,山东省,1.7,20200105
上海市,上海市,1.35,20200105
哈尔滨市,黑龙江省,1.18,20200105
德州市,山东省,1.09,20200105
泰安市,山东省,1.05,20200105
聊城市,山东省,1.01,20200105
滨州市,山东省,0.87,20200105
日照市,山东省,0.78,20200105
重庆市,重庆市,0.72,20200105
沈阳市,辽宁省,0.72,20200105
东营市,山东省,0.67,20200105
天津市,天津市,0.65,20200105
郑州市,河南省,0.61,20200105
枣庄市,山东省,0.61,20200105
商丘市,河南省,0.6,20200105
阜阳市,安徽省,0.58,20200105
绥化市,黑龙江省,0.56,20200105
长春市,吉林省,0.55,20200105
南京市,江苏省,0.51,20200105
连云港市,江苏省,0.49,20200105
西安市,陕西省,0.48,20200105
杭州市,浙江省,0.45,20200105
石家庄市,河北省,0.45,20200105
苏州市,江苏省,0.44,20200105
成都市,四川省,0.43,20200105
邯郸市,河北省,0.42,20200105
南阳市,河南省,0.4,20200105
营口市,辽宁省,0.37,20200105
武汉市,湖北省,0.37,20200105
齐齐哈尔市,黑龙江省,0.36,20200105
沧州市,河北省,0.35,20200105
徐州市,江苏省,0.34,20200105
合肥市,安徽省,0.32,20200105
宁波市,浙江省,0.32,20200105
濮阳市,河南省,0.31,20200105
安阳市,河南省,0.3,20200105
廊坊市,河北省,0.3,20200105
广州市,广东省,0.29,20200105
亳州市,安徽省,0.28,20200105
盐城市,江苏省,0.27,20200105
烟台市,山东省,22.07,20200106
青岛市,山东省,11.02,20200106
济南市,山东省,6.02,20200106
潍坊市,山东省,3.45,20200106
大连市,辽宁省,3.09,20200106
北京市,北京市,3.05,20200106
周口市,河南省,2.62,20200106
临沂市,山东省,2.48,20200106
菏泽市,山东省,2.17,20200106
淄博市,山东省,2.01,20200106
济宁市,山东省,1.79,20200106
德州市,山东省,1.3,20200106
哈尔滨市,黑龙江省,1.29,20200106
上海市,上海市,1.2,20200106
泰安市,山东省,1.14,20200106
天津市,天津市,0.95,20200106
聊城市,山东省,0.93,20200106
商丘市,河南省,0.91,20200106
东营市,山东省,0.76,20200106
沈阳市,辽宁省,0.76,20200106
日照市,山东省,0.75,20200106
长春市,吉林省,0.72,20200106
滨州市,山东省,0.71,20200106
枣庄市,山东省,0.63,20200106
杭州市,浙江省,0.62,20200106
阜阳市,安徽省,0.61,20200106
沧州市,河北省,0.58,20200106
南京市,江苏省,0.54,20200106
西安市,陕西省,0.53,20200106
徐州市,江苏省,0.52,20200106
绥化市,黑龙江省,0.51,20200106
重庆市,重庆市,0.5,20200106
连云港市,江苏省,0.49,20200106
石家庄市,河北省,0.48,20200106
郑州市,河南省,0.46,20200106
邯郸市,河北省,0.42,20200106
成都市,四川省,0.4,20200106
南阳市,河南省,0.39,20200106
盐城市,江苏省,0.37,20200106
保定市,河北省,0.36,20200106
广州市,广东省,0.34,20200106
苏州市,江苏省,0.34,20200106
牡丹江市,黑龙江省,0.32,20200106
无锡市,江苏省,0.31,20200106
亳州市,安徽省,0.3,20200106
唐山市,河北省,0.29,20200106
廊坊市,河北省,0.28,20200106
武汉市,湖北省,0.27,20200106
濮阳市,河南省,0.27,20200106
四平市,吉林省,0.27,20200106
烟台市,山东省,22.26,20200107
青岛市,山东省,11.11,20200107
济南市,山东省,6.5,20200107
潍坊市,山东省,3.45,20200107
北京市,北京市,3.38,20200107
周口市,河南省,2.57,20200107
临沂市,山东省,2.54,20200107
菏泽市,山东省,2.1,20200107
济宁市,山东省,1.91,20200107
淄博市,山东省,1.78,20200107
哈尔滨市,黑龙江省,1.67,20200107
上海市,上海市,1.31,20200107
德州市,山东省,1.19,20200107
泰安市,山东省,1.11,20200107
聊城市,山东省,1.02,20200107
日照市,山东省,0.97,20200107
大连市,辽宁省,0.93,20200107
商丘市,河南省,0.86,20200107
天津市,天津市,0.83,20200107
滨州市,山东省,0.82,20200107
长春市,吉林省,0.76,20200107
南京市,江苏省,0.75,20200107
枣庄市,山东省,0.68,20200107
沈阳市,辽宁省,0.66,20200107
阜阳市,安徽省,0.63,20200107
东营市,山东省,0.63,20200107
郑州市,河南省,0.6,20200107
重庆市,重庆市,0.57,20200107
西安市,陕西省,0.55,20200107
徐州市,江苏省,0.55,20200107
武汉市,湖北省,0.53,20200107
连云港市,江苏省,0.52,20200107
南阳市,河南省,0.52,20200107
杭州市,浙江省,0.51,20200107
绥化市,黑龙江省,0.46,20200107
石家庄市,河北省,0.41,20200107
邯郸市,河北省,0.4,20200107
苏州市,江苏省,0.39,20200107
长沙市,湖南省,0.37,20200107
深圳市,广东省,0.36,20200107
沧州市,河北省,0.35,20200107
大庆市,黑龙江省,0.34,20200107
广州市,广东省,0.34,20200107
盐城市,江苏省,0.33,20200107
成都市,四川省,0.32,20200107
牡丹江市,黑龙江省,0.31,20200107
宁波市,浙江省,0.29,20200107
常州市,江苏省,0.28,20200107
亳州市,安徽省,0.28,20200107
唐山市,河北省,0.27,20200107
烟台市,山东省,16.43,20200108
青岛市,山东省,9.22,20200108
济南市,山东省,5.54,20200108
大连市,辽宁省,4.22,20200108
北京市,北京市,3.74,20200108
潍坊市,山东省,2.94,20200108
临沂市,山东省,2.59,20200108
周口市,河南省,2.41,20200108
哈尔滨市,黑龙江省,2.2,20200108
济宁市,山东省,1.82,20200108
菏泽市,山东省,1.8,20200108
淄博市,山东省,1.75,20200108
上海市,上海市,1.72,20200108
泰安市,山东省,1.34,20200108
南京市,江苏省,1.17,20200108
德州市,山东省,1.16,20200108
日照市,山东省,1.03,20200108
天津市,天津市,1.01,20200108
长春市,吉林省,0.99,20200108
滨州市,山东省,0.86,20200108
聊城市,山东省,0.84,20200108
绥化市,黑龙江省,0.82,20200108
沈阳市,辽宁省,0.8,20200108
商丘市,河南省,0.8,20200108
东营市,山东省,0.69,20200108
连云港市,江苏省,0.67,20200108
枣庄市,山东省,0.67,20200108
阜阳市,安徽省,0.62,20200108
齐齐哈尔市,黑龙江省,0.57,20200108
郑州市,河南省,0.55,20200108
大庆市,黑龙江省,0.53,20200108
重庆市,重庆市,0.52,20200108
舟山市,浙江省,0.5,20200108
成都市,四川省,0.49,20200108
徐州市,江苏省,0.49,20200108
广州市,广东省,0.49,20200108
西安市,陕西省,0.48,20200108
盐城市,江苏省,0.46,20200108
沧州市,河北省,0.42,20200108
营口市,辽宁省,0.42,20200108
武汉市,湖北省,0.42,20200108
吉林市,吉林省,0.41,20200108
石家庄市,河北省,0.41,20200108
杭州市,浙江省,0.41,20200108
牡丹江市,黑龙江省,0.39,20200108
南阳市,河南省,0.37,20200108
安阳市,河南省,0.35,20200108
濮阳市,河南省,0.35,20200108
宁波市,浙江省,0.35,20200108
通化市,吉林省,0.34,20200108
烟台市,山东省,18.75,20200109
青岛市,山东省,8.07,20200109
济南市,山东省,4.93,20200109
大连市,辽宁省,3.86,20200109
北京市,北京市,3.25,20200109
潍坊市,山东省,3.02,20200109
周口市,河南省,2.84,20200109
临沂市,山东省,2.33,20200109
菏泽市,山东省,2.31,20200109
哈尔滨市,黑龙江省,2.29,20200109
济宁市,山东省,2.11,20200109
淄博市,山东省,1.84,20200109
日照市,山东省,1.75,20200109
泰安市,山东省,1.57,20200109
聊城市,山东省,1.2,20200109
上海市,上海市,1.17,20200109
德州市,山东省,1.12,20200109
商丘市,河南省,0.9,20200109
滨州市,山东省,0.86,20200109
天津市,天津市,0.83,20200109
阜阳市,安徽省,0.72,20200109
枣庄市,山东省,0.71,20200109
南京市,江苏省,0.69,20200109
沈阳市,辽宁省,0.67,20200109
绥化市,黑龙江省,0.66,20200109
东营市,山东省,0.65,20200109
连云港市,江苏省,0.58,20200109
长春市,吉林省,0.57,20200109
徐州市,江苏省,0.55,20200109
重庆市,重庆市,0.55,20200109
郑州市,河南省,0.54,20200109
南阳市,河南省,0.53,20200109
邯郸市,河北省,0.52,20200109
大庆市,黑龙江省,0.51,20200109
齐齐哈尔市,黑龙江省,0.51,20200109
石家庄市,河北省,0.48,20200109
武汉市,湖北省,0.45,20200109
濮阳市,河南省,0.44,20200109
杭州市,浙江省,0.41,20200109
苏州市,江苏省,0.41,20200109
亳州市,安徽省,0.4,20200109
临沧市,云南省,0.4,20200109
沧州市,河北省,0.39,20200109
牡丹江市,黑龙江省,0.37,20200109
西安市,陕西省,0.36,20200109
广州市,广东省,0.35,20200109
合肥市,安徽省,0.34,20200109
成都市,四川省,0.34,20200109
盐城市,江苏省,0.33,20200109
佳木斯市,黑龙江省,0.29,20200109
烟台市,山东省,22.44,20200110
青岛市,山东省,10.58,20200110
济南市,山东省,5.41,20200110
大连市,辽宁省,4.44,20200110
潍坊市,山东省,3.54,20200110
北京市,北京市,3.21,20200110
周口市,河南省,2.22,20200110
临沂市,山东省,2.15,20200110
淄博市,山东省,1.9,20200110
哈尔滨市,黑龙江省,1.85,20200110
济宁市,山东省,1.78,20200110
菏泽市,山东省,1.66,20200110
泰安市,山东省,1.58,20200110
上海市,上海市,1.39,20200110
德州市,山东省,1.02,20200110
聊城市,山东省,0.98,20200110
商丘市,河南省,0.91,20200110
日照市,山东省,0.86,20200110
滨州市,山东省,0.83,20200110
天津市,天津市,0.83,20200110
南京市,江苏省,0.72,20200110
长春市,吉林省,0.71,20200110
沈阳市,辽宁省,0.71,20200110
东营市,山东省,0.7,20200110
连云港市,江苏省,0.62,20200110
郑州市,河南省,0.6,20200110
枣庄市,山东省,0.57,20200110
徐州市,江苏省,0.54,20200110
绥化市,黑龙江省,0.49,20200110
大庆市,黑龙江省,0.47,20200110
阜阳市,安徽省,0.46,20200110
杭州市,浙江省,0.45,20200110
石家庄市,河北省,0.42,20200110
沧州市,河北省,0.42,20200110
武汉市,湖北省,0.42,20200110
盐城市,江苏省,0.4,20200110
苏州市,江苏省,0.38,20200110
舟山市,浙江省,0.36,20200110
南阳市,河南省,0.36,20200110
邯郸市,河北省,0.36,20200110
濮阳市,河南省,0.36,20200110
唐山市,河北省,0.35,20200110
广州市,广东省,0.35,20200110
西安市,陕西省,0.34,20200110
重庆市,重庆市,0.33,20200110
齐齐哈尔市,黑龙江省,0.32,20200110
亳州市,安徽省,0.31,20200110
葫芦岛市,辽宁省,0.3,20200110
牡丹江市,黑龙江省,0.29,20200110
保定市,河北省,0.29,20200110
烟台市,山东省,22.09,20200111
青岛市,山东省,11.01,20200111
济南市,山东省,5.61,20200111
大连市,辽宁省,4.51,20200111
潍坊市,山东省,3.87,20200111
临沂市,山东省,3.01,20200111
周口市,河南省,2.35,20200111
北京市,北京市,2.34,20200111
济宁市,山东省,2.33,20200111
菏泽市,山东省,2.28,20200111
淄博市,山东省,1.99,20200111
哈尔滨市,黑龙江省,1.83,20200111
泰安市,山东省,1.59,20200111
聊城市,山东省,1.28,20200111
滨州市,山东省,1.26,20200111
德州市,山东省,1.15,20200111
日照市,山东省,0.96,20200111
上海市,上海市,0.95,20200111
东营市,山东省,0.9,20200111
商丘市,河南省,0.79,20200111
阜阳市,安徽省,0.76,20200111
天津市,天津市,0.74,20200111
枣庄市,山东省,0.63,20200111
连云港市,江苏省,0.59,20200111
沈阳市,辽宁省,0.58,20200111
重庆市,重庆市,0.49,20200111
长春市,吉林省,0.49,20200111
南阳市,河南省,0.47,20200111
沧州市,河北省,0.46,20200111
南京市,江苏省,0.46,20200111
郑州市,河南省,0.45,20200111
石家庄市,河北省,0.42,20200111
徐州市,江苏省,0.42,20200111
邯郸市,河北省,0.42,20200111
濮阳市,河南省,0.42,20200111
成都市,四川省,0.42,20200111
绥化市,黑龙江省,0.42,20200111
西安市,陕西省,0.41,20200111
合肥市,安徽省,0.4,20200111
盐城市,江苏省,0.37,20200111
武汉市,湖北省,0.37,20200111
杭州市,浙江省,0.34,20200111
大庆市,黑龙江省,0.32,20200111
廊坊市,河北省,0.32,20200111
苏州市,江苏省,0.32,20200111
亳州市,安徽省,0.31,20200111
唐山市,河北省,0.28,20200111
齐齐哈尔市,黑龙江省,0.27,20200111
保定市,河北省,0.26,20200111
广州市,广东省,0.25,20200111
烟台市,山东省,23.15,20200112
青岛市,山东省,9.62,20200112
济南市,山东省,4.73,20200112
大连市,辽宁省,3.61,20200112
潍坊市,山东省,2.91,20200112
北京市,北京市,2.64,20200112
临沂市,山东省,2.54,20200112
菏泽市,山东省,2.39,20200112
济宁市,山东省,2.2,20200112
周口市,河南省,2.02,20200112
淄博市,山东省,1.88,20200112
哈尔滨市,黑龙江省,1.86,20200112
泰安市,山东省,1.66,20200112
聊城市,山东省,1.35,20200112
上海市,上海市,1.18,20200112
德州市,山东省,1.08,20200112
滨州市,山东省,1.02,20200112
枣庄市,山东省,0.87,20200112
阜阳市,安徽省,0.77,20200112
日照市,山东省,0.77,20200112
天津市,天津市,0.77,20200112
东营市,山东省,0.69,20200112
商丘市,河南省,0.69,20200112
郑州市,河南省,0.67,20200112
长春市,吉林省,0.57,20200112
绥化市,黑龙江省,0.57,20200112
沧州市,河北省,0.56,20200112
南阳市,河南省,0.56,20200112
石家庄市,河北省,0.56,20200112
连云港市,江苏省,0.52,20200112
濮阳市,河南省,0.51,20200112
西安市,陕西省,0.5,20200112
南京市,江苏省,0.5,20200112
重庆市,重庆市,0.48,20200112
沈阳市,辽宁省,0.47,20200112
武汉市,湖北省,0.45,20200112
徐州市,江苏省,0.44,20200112
大庆市,黑龙江省,0.44,20200112
亳州市,安徽省,0.44,20200112
合肥市,安徽省,0.41,20200112
成都市,四川省,0.37,20200112
广州市,广东省,0.37,20200112
邯郸市,河北省,0.36,20200112
齐齐哈尔市,黑龙江省,0.35,20200112
宁波市,浙江省,0.33,20200112
深圳市,广东省,0.33,20200112
苏州市,江苏省,0.33,20200112
佳木斯市,黑龙江省,0.31,20200112
邢台市,河北省,0.3,20200112
杭州市,浙江省,0.29,20200112
烟台市,山东省,19.68,20200113
青岛市,山东省,9.21,20200113
济南市,山东省,5.45,20200113
北京市,北京市,3.53,20200113
大连市,辽宁省,3.44,20200113
潍坊市,山东省,2.92,20200113
周口市,河南省,2.73,20200113
临沂市,山东省,2.33,20200113
济宁市,山东省,2.3,20200113
菏泽市,山东省,2.28,20200113
哈尔滨市,黑龙江省,1.64,20200113
淄博市,山东省,1.59,20200113
上海市,上海市,1.29,20200113
泰安市,山东省,1.26,20200113
聊城市,山东省,1.21,20200113
阜阳市,安徽省,1.08,20200113
德州市,山东省,1.05,20200113
商丘市,河南省,1.04,20200113
天津市,天津市,0.88,20200113
日照市,山东省,0.87,20200113
滨州市,山东省,0.79,20200113
枣庄市,山东省,0.78,20200113
长春市,吉林省,0.67,20200113
东营市,山东省,0.61,20200113
绥化市,黑龙江省,0.61,20200113
南阳市,河南省,0.59,20200113
郑州市,河南省,0.59,20200113
西安市,陕西省,0.55,20200113
亳州市,安徽省,0.54,20200113
邯郸市,河北省,0.52,20200113
沈阳市,辽宁省,0.52,20200113
齐齐哈尔市,黑龙江省,0.48,20200113
成都市,四川省,0.47,20200113
连云港市,江苏省,0.47,20200113
南京市,江苏省,0.46,20200113
徐州市,江苏省,0.45,20200113
重庆市,重庆市,0.43,20200113
濮阳市,河南省,0.42,20200113
广州市,广东省,0.41,20200113
石家庄市,河北省,0.41,20200113
牡丹江市,黑龙江省,0.41,20200113
武汉市,湖北省,0.41,20200113
沧州市,河北省,0.37,20200113
大庆市,黑龙江省,0.37,20200113
昆明市,云南省,0.36,20200113
盐城市,江苏省,0.35,20200113
杭州市,浙江省,0.34,20200113
长沙市,湖南省,0.33,20200113
合肥市,安徽省,0.31,20200113
邢台市,河北省,0.3,20200113
烟台市,山东省,18.34,20200114
青岛市,山东省,9.18,20200114
济南市,山东省,4.63,20200114
大连市,辽宁省,4.05,20200114
周口市,河南省,3.76,20200114
北京市,北京市,3.08,20200114
潍坊市,山东省,2.71,20200114
菏泽市,山东省,2.6,20200114
临沂市,山东省,2.18,20200114
济宁市,山东省,2.1,20200114
哈尔滨市,黑龙江省,1.77,20200114
淄博市,山东省,1.47,20200114
聊城市,山东省,1.46,20200114
上海市,上海市,1.27,20200114
阜阳市,安徽省,1.26,20200114
泰安市,山东省,1.15,20200114
商丘市,河南省,1.09,20200114
德州市,山东省,1.07,20200114
南阳市,河南省,0.82,20200114
日照市,山东省,0.79,20200114
天津市,天津市,0.77,20200114
长春市,吉林省,0.73,20200114
滨州市,山东省,0.68,20200114
枣庄市,山东省,0.67,20200114
石家庄市,河北省,0.66,20200114
重庆市,重庆市,0.61,20200114
沈阳市,辽宁省,0.59,20200114
武汉市,湖北省,0.57,20200114
西安市,陕西省,0.57,20200114
东营市,山东省,0.54,20200114
绥化市,黑龙江省,0.54,20200114
连云港市,江苏省,0.52,20200114
亳州市,安徽省,0.51,20200114
徐州市,江苏省,0.51,20200114
濮阳市,河南省,0.48,20200114
杭州市,浙江省,0.46,20200114
邯郸市,河北省,0.45,20200114
郑州市,河南省,0.44,20200114
大庆市,黑龙江省,0.43,20200114
沧州市,河北省,0.39,20200114
成都市,四川省,0.39,20200114
广州市,广东省,0.38,20200114
昆明市,云南省,0.36,20200114
吉林市,吉林省,0.35,20200114
齐齐哈尔市,黑龙江省,0.34,20200114
长沙市,湖南省,0.33,20200114
廊坊市,河北省,0.33,20200114
牡丹江市,黑龙江省,0.32,20200114
深圳市,广东省,0.32,20200114
驻马店市,河南省,0.31,20200114
烟台市,山东省,18.11,20200115
青岛市,山东省,8.3,20200115
周口市,河南省,4.55,20200115
大连市,辽宁省,4.52,20200115
济南市,山东省,4.31,20200115
济宁市,山东省,2.69,20200115
北京市,北京市,2.65,20200115
菏泽市,山东省,2.62,20200115
潍坊市,山东省,2.41,20200115
临沂市,山东省,2.2,20200115
哈尔滨市,黑龙江省,1.63,20200115
淄博市,山东省,1.42,20200115
聊城市,山东省,1.4,20200115
泰安市,山东省,1.24,20200115
商丘市,河南省,1.18,20200115
上海市,上海市,1.18,20200115
德州市,山东省,1.07,20200115
阜阳市,安徽省,1.01,20200115
日照市,山东省,0.99,20200115
南阳市,河南省,0.87,20200115
连云港市,江苏省,0.76,20200115
枣庄市,山东省,0.73,20200115
濮阳市,河南省,0.7,20200115
滨州市,山东省,0.7,20200115
天津市,天津市,0.67,20200115
绥化市,黑龙江省,0.65,20200115
亳州市,安徽省,0.65,20200115
徐州市,江苏省,0.64,20200115
长春市,吉林省,0.62,20200115
东营市,山东省,0.62,20200115
邯郸市,河北省,0.58,20200115
重庆市,重庆市,0.56,20200115
西安市,陕西省,0.55,20200115
沈阳市,辽宁省,0.54,20200115
大庆市,黑龙江省,0.5,20200115
齐齐哈尔市,黑龙江省,0.48,20200115
沧州市,河北省,0.45,20200115
佳木斯市,黑龙江省,0.45,20200115
安阳市,河南省,0.42,20200115
武汉市,湖北省,0.41,20200115
石家庄市,河北省,0.4,20200115
郑州市,河南省,0.38,20200115
牡丹江市,黑龙江省,0.36,20200115
保定市,河北省,0.36,20200115
杭州市,浙江省,0.35,20200115
衡水市,河北省,0.34,20200115
驻马店市,河南省,0.34,20200115
洛阳市,河南省,0.32,20200115
南京市,江苏省,0.32,20200115
吉林市,吉林省,0.29,20200115
烟台市,山东省,18.51,20200116
青岛市,山东省,8.66,20200116
济南市,山东省,4.3,20200116
周口市,河南省,4.06,20200116
大连市,辽宁省,3.93,20200116
菏泽市,山东省,2.95,20200116
潍坊市,山东省,2.9,20200116
济宁市,山东省,2.71,20200116
北京市,北京市,2.51,20200116
临沂市,山东省,2.5,20200116
淄博市,山东省,1.72,20200116
哈尔滨市,黑龙江省,1.5,20200116
商丘市,河南省,1.34,20200116
阜阳市,安徽省,1.31,20200116
聊城市,山东省,1.28,20200116
上海市,上海市,1.26,20200116
德州市,山东省,1.21,20200116
泰安市,山东省,1.2,20200116
日照市,山东省,0.94,20200116
濮阳市,河南省,0.84,20200116
滨州市,山东省,0.79,20200116
南阳市,河南省,0.74,20200116
天津市,天津市,0.67,20200116
绥化市,黑龙江省,0.66,20200116
邯郸市,河北省,0.65,20200116
东营市,山东省,0.64,20200116
连云港市,江苏省,0.63,20200116
枣庄市,山东省,0.63,20200116
亳州市,安徽省,0.63,20200116
