city_name,province_name,value,date
武汉市,湖北省,62.13,20200101
随州市,湖北省,3.73,20200101
仙桃市,湖北省,2.13,20200101
荆门市,湖北省,2.05,20200101
天门市,湖北省,1.88,20200101
黄冈市,湖北省,1.81,20200101
襄阳市,湖北省,1.56,20200101
广州市,广东省,1.42,20200101
荆州市,湖北省,1.32,20200101
宜昌市,湖北省,1.07,20200101
深圳市,广东省,1.05,20200101
信阳市,河南省,0.88,20200101
咸宁市,湖北省,0.8,20200101
东莞市,广东省,0.79,20200101
北京市,北京市,0.78,20200101
郑州市,河南省,0.7,20200101
黄石市,湖北省,0.67,20200101
长沙市,湖南省,0.6,20200101
鄂州市,湖北省,0.57,20200101
上海市,上海市,0.46,20200101
潜江市,湖北省,0.4,20200101
驻马店市,河南省,0.38,20200101
十堰市,湖北省,0.38,20200101
南阳市,河南省,0.37,20200101
佛山市,广东省,0.35,20200101
杭州市,浙江省,0.3,20200101
天津市,天津市,0.28,20200101
苏州市,江苏省,0.27,20200101
惠州市,广东省,0.26,20200101
重庆市,重庆市,0.25,20200101
成都市,四川省,0.23,20200101
西安市,陕西省,0.22,20200101
南京市,江苏省,0.21,20200101
岳阳市,湖南省,0.2,20200101
恩施土家族苗族自治州,湖北省,0.2,20200101
嘉兴市,浙江省,0.2,20200101
哈尔滨市,黑龙江省,0.18,20200101
中山市,广东省,0.18,20200101
周口市,河南省,0.17,20200101
株洲市,湖南省,0.17,20200101
宁波市,浙江省,0.16,20200101
南昌市,江西省,0.16,20200101
金华市,浙江省,0.16,20200101
绍兴市,浙江省,0.15,20200101
温州市,浙江省,0.15,20200101
泉州市,福建省,0.15,20200101
南宁市,广西壮族自治区,0.13,20200101
合肥市,安徽省,0.12,20200101
焦作市,河南省,0.12,20200101
厦门市,福建省,0.12,20200101
武汉市,湖北省,48.76,20200102
随州市,湖北省,3.37,20200102
广州市,广东省,2.55,20200102
深圳市,广东省,2.13,20200102
仙桃市,湖北省,2.06,20200102
襄阳市,湖北省,1.9,20200102
东莞市,广东省,1.7,20200102
黄冈市,湖北省,1.68,20200102
荆门市,湖北省,1.63,20200102
天门市,湖北省,1.62,20200102
荆州市,湖北省,1.61,20200102
北京市,北京市,1.41,20200102
郑州市,河南省,1.08,20200102
咸宁市,湖北省,1.05,20200102
宜昌市,湖北省,0.99,20200102
长沙市,湖南省,0.98,20200102
佛山市,广东省,0.8,20200102
上海市,上海市,0.75,20200102
黄石市,湖北省,0.75,20200102
鄂州市,湖北省,0.64,20200102
信阳市,河南省,0.63,20200102
惠州市,广东省,0.63,20200102
