city_name,province_name,value,date
合肥市,安徽省,23.1,20200101
池州市,安徽省,7.4,20200101
铜陵市,安徽省,5.98,20200101
湖州市,浙江省,5.79,20200101
上海市,上海市,4.64,20200101
杭州市,浙江省,3.88,20200101
六安市,安徽省,2.98,20200101
苏州市,江苏省,2.25,20200101
九江市,江西省,2.24,20200101
北京市,北京市,2.18,20200101
南京市,江苏省,2.1,20200101
黄冈市,湖北省,2.08,20200101
芜湖市,安徽省,2.04,20200101
武汉市,湖北省,1.67,20200101
宁波市,浙江省,1.56,20200101
郑州市,河南省,1.38,20200101
嘉兴市,浙江省,1.3,20200101
温州市,浙江省,1.0,20200101
天津市,天津市,0.94,20200101
无锡市,江苏省,0.83,20200101
淮南市,安徽省,0.8,20200101
阜阳市,安徽省,0.79,20200101
马鞍山市,安徽省,0.77,20200101
滁州市,安徽省,0.65,20200101
南昌市,江西省,0.64,20200101
深圳市,广东省,0.6,20200101
蚌埠市,安徽省,0.59,20200101
黄山市,安徽省,0.58,20200101
宣城市,安徽省,0.57,20200101
沈阳市,辽宁省,0.56,20200101
绍兴市,浙江省,0.55,20200101
广州市,广东省,0.52,20200101
常州市,江苏省,0.48,20200101
泉州市,福建省,0.47,20200101
青岛市,山东省,0.45,20200101
西安市,陕西省,0.43,20200101
东莞市,广东省,0.41,20200101
临沂市,山东省,0.4,20200101
南通市,江苏省,0.4,20200101
宿州市,安徽省,0.4,20200101
金华市,浙江省,0.4,20200101
廊坊市,河北省,0.37,20200101
徐州市,江苏省,0.34,20200101
镇江市,江苏省,0.33,20200101
长沙市,湖南省,0.32,20200101
台州市,浙江省,0.3,20200101
济南市,山东省,0.28,20200101
宜春市,江西省,0.26,20200101
景德镇市,江西省,0.25,20200101
福州市,福建省,0.23,20200101
合肥市,安徽省,20.54,20200102
湖州市,浙江省,9.17,20200102
上海市,上海市,5.41,20200102
杭州市,浙江省,4.1,20200102
池州市,安徽省,3.33,20200102
铜陵市,安徽省,3.29,20200102
北京市,北京市,2.84,20200102
苏州市,江苏省,2.55,20200102
南京市,江苏省,2.13,20200102
芜湖市,安徽省,2.05,20200102
六安市,安徽省,1.97,20200102
宁波市,浙江省,1.93,20200102
嘉兴市,浙江省,1.84,20200102
郑州市,河南省,1.65,20200102
武汉市,湖北省,1.59,20200102
温州市,浙江省,1.27,20200102
天津市,天津市,1.23,20200102
沈阳市,辽宁省,1.18,20200102
九江市,江西省,1.07,20200102
黄冈市,湖北省,0.99,20200102
无锡市,江苏省,0.96,20200102
深圳市,广东省,0.83,20200102
滁州市,安徽省,0.8,20200102
马鞍山市,安徽省,0.79,20200102
西安市,陕西省,0.78,20200102
泉州市,福建省,0.75,20200102
阜阳市,安徽省,0.75,20200102
青岛市,山东省,0.75,20200102
南昌市,江西省,0.67,20200102
淮南市,安徽省,0.64,20200102
常州市,江苏省,0.64,20200102
蚌埠市,安徽省,0.61,20200102
金华市,浙江省,0.6,20200102
广州市,广东省,0.59,20200102
临沂市,山东省,0.56,20200102
宿州市,安徽省,0.54,20200102
黄山市,安徽省,0.54,20200102
宣城市,安徽省,0.52,20200102
绍兴市,浙江省,0.51,20200102
东莞市,广东省,0.47,20200102
廊坊市,河北省,0.46,20200102
南通市,江苏省,0.44,20200102
济南市,山东省,0.42,20200102
福州市,福建省,0.4,20200102
亳州市,安徽省,0.37,20200102
台州市,浙江省,0.36,20200102
长沙市,湖南省,0.35,20200102
徐州市,江苏省,0.34,20200102
石家庄市,河北省,0.33,20200102
长春市,吉林省,0.3,20200102
合肥市,安徽省,23.71,20200103
湖州市,浙江省,7.04,20200103
上海市,上海市,4.61,20200103
铜陵市,安徽省,4.58,20200103
池州市,安徽省,4.41,20200103
杭州市,浙江省,3.9,20200103
苏州市,江苏省,2.44,20200103
芜湖市,安徽省,2.41,20200103
北京市,北京市,2.25,20200103
南京市,江苏省,2.09,20200103
六安市,安徽省,2.01,20200103
郑州市,河南省,1.59,20200103
宁波市,浙江省,1.57,20200103
嘉兴市,浙江省,1.57,20200103
武汉市,湖北省,1.51,20200103
黄冈市,湖北省,1.45,20200103
九江市,江西省,1.33,20200103
天津市,天津市,1.22,20200103
温州市,浙江省,1.03,20200103
阜阳市,安徽省,1.0,20200103
马鞍山市,安徽省,0.87,20200103
沈阳市,辽宁省,0.86,20200103
淮南市,安徽省,0.85,20200103
泉州市,福建省,0.8,20200103
无锡市,江苏省,0.79,20200103
南昌市,江西省,0.73,20200103
滁州市,安徽省,0.73,20200103
深圳市,广东省,0.7,20200103
常州市,江苏省,0.68,20200103
蚌埠市,安徽省,0.67,20200103
宣城市,安徽省,0.6,20200103
金华市,浙江省,0.58,20200103
广州市,广东省,0.54,20200103
青岛市,山东省,0.54,20200103
黄山市,安徽省,0.53,20200103
西安市,陕西省,0.49,20200103
廊坊市,河北省,0.48,20200103
济南市,山东省,0.48,20200103
南通市,江苏省,0.47,20200103
东莞市,广东省,0.45,20200103
临沂市,山东省,0.45,20200103
宿州市,安徽省,0.44,20200103
绍兴市,浙江省,0.4,20200103
徐州市,江苏省,0.35,20200103
长沙市,湖南省,0.33,20200103
厦门市,福建省,0.32,20200103
亳州市,安徽省,0.32,20200103
镇江市,江苏省,0.3,20200103
福州市,福建省,0.27,20200103
海口市,海南省,0.26,20200103
合肥市,安徽省,22.76,20200104
湖州市,浙江省,6.94,20200104
上海市,上海市,5.07,20200104
池州市,安徽省,4.67,20200104
铜陵市,安徽省,4.35,20200104
杭州市,浙江省,4.09,20200104
北京市,北京市,2.58,20200104
芜湖市,安徽省,2.48,20200104
苏州市,江苏省,2.19,20200104
六安市,安徽省,2.16,20200104
南京市,江苏省,2.07,20200104
黄冈市,湖北省,1.72,20200104
郑州市,河南省,1.64,20200104
武汉市,湖北省,1.64,20200104
宁波市,浙江省,1.56,20200104
九江市,江西省,1.55,20200104
嘉兴市,浙江省,1.27,20200104
天津市,天津市,1.26,20200104
温州市,浙江省,1.12,20200104
马鞍山市,安徽省,1.06,20200104
阜阳市,安徽省,0.89,20200104
沈阳市,辽宁省,0.89,20200104
无锡市,江苏省,0.87,20200104
南昌市,江西省,0.8,20200104
泉州市,福建省,0.79,20200104
深圳市,广东省,0.78,20200104
滁州市,安徽省,0.72,20200104
淮南市,安徽省,0.68,20200104
蚌埠市,安徽省,0.67,20200104
广州市,广东省,0.61,20200104
青岛市,山东省,0.6,20200104
西安市,陕西省,0.6,20200104
常州市,江苏省,0.57,20200104
金华市,浙江省,0.53,20200104
黄山市,安徽省,0.52,20200104
宣城市,安徽省,0.5,20200104
东莞市,广东省,0.5,20200104
廊坊市,河北省,0.5,20200104
南通市,江苏省,0.45,20200104
宿州市,安徽省,0.42,20200104
济南市,山东省,0.4,20200104
长沙市,湖南省,0.37,20200104
临沂市,山东省,0.37,20200104
徐州市,江苏省,0.36,20200104
福州市,福建省,0.32,20200104
台州市,浙江省,0.31,20200104
绍兴市,浙江省,0.3,20200104
亳州市,安徽省,0.27,20200104
黄石市,湖北省,0.26,20200104
长春市,吉林省,0.25,20200104
合肥市,安徽省,22.53,20200105
湖州市,浙江省,7.42,20200105
池州市,安徽省,5.11,20200105
上海市,上海市,4.5,20200105
铜陵市,安徽省,4.29,20200105
杭州市,浙江省,3.93,20200105
芜湖市,安徽省,2.92,20200105
六安市,安徽省,2.41,20200105
苏州市,江苏省,2.4,20200105
北京市,北京市,2.34,20200105
南京市,江苏省,1.9,20200105
黄冈市,湖北省,1.76,20200105
九江市,江西省,1.66,20200105
宁波市,浙江省,1.65,20200105
嘉兴市,浙江省,1.53,20200105
郑州市,河南省,1.45,20200105
武汉市,湖北省,1.32,20200105
温州市,浙江省,1.22,20200105
天津市,天津市,1.08,20200105
马鞍山市,安徽省,1.06,20200105
无锡市,江苏省,0.92,20200105
阜阳市,安徽省,0.9,20200105
泉州市,福建省,0.87,20200105
淮南市,安徽省,0.8,20200105
南昌市,江西省,0.8,20200105
深圳市,广东省,0.78,20200105
沈阳市,辽宁省,0.74,20200105
滁州市,安徽省,0.71,20200105
广州市,广东省,0.59,20200105
西安市,陕西省,0.58,20200105
蚌埠市,安徽省,0.55,20200105
宣城市,安徽省,0.54,20200105
常州市,江苏省,0.54,20200105
东莞市,广东省,0.54,20200105
济南市,山东省,0.53,20200105
青岛市,山东省,0.51,20200105
黄山市,安徽省,0.49,20200105
绍兴市,浙江省,0.48,20200105
金华市,浙江省,0.46,20200105
廊坊市,河北省,0.44,20200105
台州市,浙江省,0.38,20200105
长沙市,湖南省,0.37,20200105
南通市,江苏省,0.37,20200105
临沂市,山东省,0.34,20200105
宿州市,安徽省,0.34,20200105
徐州市,江苏省,0.3,20200105
福州市,福建省,0.3,20200105
亳州市,安徽省,0.3,20200105
淮北市,安徽省,0.29,20200105
扬州市,江苏省,0.28,20200105
合肥市,安徽省,19.84,20200106
湖州市,浙江省,6.89,20200106
池州市,安徽省,4.84,20200106
上海市,上海市,4.46,20200106
杭州市,浙江省,4.44,20200106
铜陵市,安徽省,4.16,20200106
芜湖市,安徽省,3.27,20200106
苏州市,江苏省,2.45,20200106
北京市,北京市,2.41,20200106
六安市,安徽省,2.07,20200106
嘉兴市,浙江省,1.74,20200106
宁波市,浙江省,1.71,20200106
南京市,江苏省,1.63,20200106
温州市,浙江省,1.62,20200106
黄冈市,湖北省,1.57,20200106
武汉市,湖北省,1.43,20200106
九江市,江西省,1.4,20200106
郑州市,河南省,1.32,20200106
马鞍山市,安徽省,1.28,20200106
天津市,天津市,1.22,20200106
淮南市,安徽省,0.97,20200106
泉州市,福建省,0.96,20200106
沈阳市,辽宁省,0.93,20200106
无锡市,江苏省,0.89,20200106
深圳市,广东省,0.89,20200106
阜阳市,安徽省,0.86,20200106
南昌市,江西省,0.78,20200106
蚌埠市,安徽省,0.71,20200106
广州市,广东省,0.68,20200106
黄山市,安徽省,0.66,20200106
常州市,江苏省,0.62,20200106
宣城市,安徽省,0.6,20200106
滁州市,安徽省,0.6,20200106
青岛市,山东省,0.59,20200106
金华市,浙江省,0.57,20200106
济南市,山东省,0.55,20200106
长沙市,湖南省,0.5,20200106
福州市,福建省,0.49,20200106
淮北市,安徽省,0.47,20200106
绍兴市,浙江省,0.47,20200106
东莞市,广东省,0.46,20200106
西安市,陕西省,0.44,20200106
南通市,江苏省,0.44,20200106
廊坊市,河北省,0.42,20200106
台州市,浙江省,0.37,20200106
临沂市,山东省,0.34,20200106
亳州市,安徽省,0.32,20200106
大连市,辽宁省,0.3,20200106
宿州市,安徽省,0.3,20200106
佛山市,广东省,0.29,20200106
合肥市,安徽省,19.62,20200107
湖州市,浙江省,7.0,20200107
上海市,上海市,4.9,20200107
杭州市,浙江省,4.62,20200107
池州市,安徽省,3.99,20200107
铜陵市,安徽省,3.89,20200107
芜湖市,安徽省,3.13,20200107
北京市,北京市,2.54,20200107
苏州市,江苏省,2.23,20200107
温州市,浙江省,1.84,20200107
六安市,安徽省,1.81,20200107
嘉兴市,浙江省,1.78,20200107
