city_name,province_name,value,date
郑州市,河南省,16.91,20200101
鹤壁市,河南省,12.27,20200101
新乡市,河南省,10.86,20200101
濮阳市,河南省,10.35,20200101
邯郸市,河北省,10.01,20200101
北京市,北京市,4.15,20200101
长治市,山西省,3.72,20200101
天津市,天津市,1.82,20200101
焦作市,河南省,1.51,20200101
开封市,河南省,1.25,20200101
洛阳市,河南省,1.17,20200101
太原市,山西省,1.08,20200101
石家庄市,河北省,0.96,20200101
菏泽市,山东省,0.85,20200101
商丘市,河南省,0.72,20200101
聊城市,山东省,0.62,20200101
晋城市,山西省,0.61,20200101
邢台市,河北省,0.58,20200101
平顶山市,河南省,0.56,20200101
苏州市,江苏省,0.56,20200101
上海市,上海市,0.54,20200101
西安市,陕西省,0.54,20200101
许昌市,河南省,0.54,20200101
周口市,河南省,0.53,20200101
南阳市,河南省,0.51,20200101
晋中市,山西省,0.49,20200101
青岛市,山东省,0.43,20200101
信阳市,河南省,0.42,20200101
武汉市,湖北省,0.42,20200101
保定市,河北省,0.4,20200101
济南市,山东省,0.39,20200101
驻马店市,河南省,0.39,20200101
廊坊市,河北省,0.39,20200101
临汾市,山西省,0.33,20200101
漯河市,河南省,0.31,20200101
唐山市,河北省,0.31,20200101
阳泉市,山西省,0.31,20200101
广州市,广东省,0.31,20200101
无锡市,江苏省,0.29,20200101
沧州市,河北省,0.29,20200101
杭州市,浙江省,0.29,20200101
南京市,江苏省,0.29,20200101
吕梁市,山西省,0.26,20200101
潍坊市,山东省,0.26,20200101
运城市,山西省,0.24,20200101
济宁市,山东省,0.22,20200101
徐州市,江苏省,0.22,20200101
临沂市,山东省,0.21,20200101
深圳市,广东省,0.2,20200101
宁波市,浙江省,0.19,20200101
郑州市,河南省,19.64,20200102
新乡市,河南省,8.16,20200102
鹤壁市,河南省,7.04,20200102
濮阳市,河南省,6.48,20200102
邯郸市,河北省,5.89,20200102
北京市,北京市,4.97,20200102
长治市,山西省,2.59,20200102
天津市,天津市,2.5,20200102
焦作市,河南省,2.12,20200102
开封市,河南省,1.67,20200102
太原市,山西省,1.59,20200102
石家庄市,河北省,1.24,20200102
洛阳市,河南省,1.18,20200102
平顶山市,河南省,1.06,20200102
上海市,上海市,1.01,20200102
菏泽市,山东省,0.94,20200102
许昌市,河南省,0.86,20200102
商丘市,河南省,0.84,20200102
苏州市,江苏省,0.83,20200102
晋城市,山西省,0.8,20200102
济南市,山东省,0.74,20200102
周口市,河南省,0.74,20200102
无锡市,江苏省,0.71,20200102
廊坊市,河北省,0.69,20200102
聊城市,山东省,0.69,20200102
晋中市,山西省,0.68,20200102
西安市,陕西省,0.67,20200102
青岛市,山东省,0.67,20200102
保定市,河北省,0.63,20200102
邢台市,河北省,0.62,20200102
南阳市,河南省,0.57,20200102
武汉市,湖北省,0.55,20200102
驻马店市,河南省,0.47,20200102
临汾市,山西省,0.46,20200102
南京市,江苏省,0.43,20200102
广州市,广东省,0.43,20200102
信阳市,河南省,0.41,20200102
潍坊市,山东省,0.41,20200102
徐州市,江苏省,0.41,20200102
唐山市,河北省,0.41,20200102
漯河市,河南省,0.4,20200102
吕梁市,山西省,0.39,20200102
阳泉市,山西省,0.38,20200102
杭州市,浙江省,0.38,20200102
深圳市,广东省,0.37,20200102
宁波市,浙江省,0.36,20200102
济宁市,山东省,0.36,20200102
沧州市,河北省,0.34,20200102
运城市,山西省,0.33,20200102
三门峡市,河南省,0.31,20200102
郑州市,河南省,19.72,20200103
新乡市,河南省,10.35,20200103
鹤壁市,河南省,10.31,20200103
濮阳市,河南省,8.43,20200103
邯郸市,河北省,7.31,20200103
北京市,北京市,4.19,20200103
长治市,山西省,2.59,20200103
天津市,天津市,2.09,20200103
焦作市,河南省,1.84,20200103
开封市,河南省,1.79,20200103
洛阳市,河南省,1.6,20200103
太原市,山西省,1.28,20200103
石家庄市,河北省,0.94,20200103
周口市,河南省,0.76,20200103
上海市,上海市,0.75,20200103
平顶山市,河南省,0.75,20200103
许昌市,河南省,0.74,20200103
晋城市,山西省,0.74,20200103
晋中市,山西省,0.68,20200103
苏州市,江苏省,0.67,20200103
商丘市,河南省,0.65,20200103
西安市,陕西省,0.65,20200103
菏泽市,山东省,0.65,20200103
邢台市,河北省,0.65,20200103
济南市,山东省,0.53,20200103
聊城市,山东省,0.52,20200103
南阳市,河南省,0.5,20200103
武汉市,湖北省,0.49,20200103
保定市,河北省,0.49,20200103
廊坊市,河北省,0.46,20200103
临汾市,山西省,0.44,20200103
青岛市,山东省,0.44,20200103
济宁市,山东省,0.42,20200103
广州市,广东省,0.42,20200103
漯河市,河南省,0.38,20200103
吕梁市,山西省,0.35,20200103
无锡市,江苏省,0.34,20200103
驻马店市,河南省,0.33,20200103
信阳市,河南省,0.32,20200103
杭州市,浙江省,0.31,20200103
阳泉市,山西省,0.28,20200103
南京市,江苏省,0.28,20200103
深圳市,广东省,0.27,20200103
运城市,山西省,0.25,20200103
唐山市,河北省,0.24,20200103
沧州市,河北省,0.24,20200103
徐州市,江苏省,0.24,20200103
德州市,山东省,0.24,20200103
常州市,江苏省,0.22,20200103
三门峡市,河南省,0.22,20200103
郑州市,河南省,18.3,20200104
鹤壁市,河南省,11.34,20200104
新乡市,河南省,10.38,20200104
濮阳市,河南省,9.6,20200104
邯郸市,河北省,8.62,20200104
北京市,北京市,3.94,20200104
长治市,山西省,2.79,20200104
天津市,天津市,1.99,20200104
开封市,河南省,1.6,20200104
焦作市,河南省,1.35,20200104
洛阳市,河南省,1.15,20200104
太原市,山西省,1.12,20200104
石家庄市,河北省,0.9,20200104
菏泽市,山东省,0.86,20200104
上海市,上海市,0.77,20200104
西安市,陕西省,0.74,20200104
晋城市,山西省,0.73,20200104
商丘市,河南省,0.71,20200104
许昌市,河南省,0.69,20200104
晋中市,山西省,0.67,20200104
平顶山市,河南省,0.65,20200104
周口市,河南省,0.63,20200104
苏州市,江苏省,0.59,20200104
聊城市,山东省,0.57,20200104
青岛市,山东省,0.54,20200104
邢台市,河北省,0.53,20200104
南阳市,河南省,0.52,20200104
济南市,山东省,0.51,20200104
临汾市,山西省,0.49,20200104
武汉市,湖北省,0.44,20200104
广州市,广东省,0.44,20200104
保定市,河北省,0.42,20200104
信阳市,河南省,0.42,20200104
廊坊市,河北省,0.4,20200104
济宁市,山东省,0.36,20200104
无锡市,江苏省,0.34,20200104
驻马店市,河南省,0.33,20200104
漯河市,河南省,0.33,20200104
杭州市,浙江省,0.33,20200104
沧州市,河北省,0.32,20200104
南京市,江苏省,0.29,20200104
吕梁市,山西省,0.26,20200104
深圳市,广东省,0.25,20200104
唐山市,河北省,0.24,20200104
阳泉市,山西省,0.23,20200104
成都市,四川省,0.23,20200104
潍坊市,山东省,0.21,20200104
鄂尔多斯市,内蒙古自治区,0.2,20200104
三门峡市,河南省,0.2,20200104
济源市,河南省,0.19,20200104
郑州市,河南省,19.85,20200105
鹤壁市,河南省,11.15,20200105
新乡市,河南省,9.95,20200105
濮阳市,河南省,9.75,20200105
邯郸市,河北省,8.41,20200105
北京市,北京市,4.04,20200105
天津市,天津市,1.99,20200105
焦作市,河南省,1.39,20200105
