city_name,province_name,value,date
成都市,四川省,19.37,20200101
昭通市,云南省,16.41,20200101
泸州市,四川省,13.26,20200101
自贡市,四川省,8.79,20200101
重庆市,重庆市,6.11,20200101
乐山市,四川省,3.96,20200101
内江市,四川省,2.4,20200101
嘉兴市,浙江省,1.9,20200101
中山市,广东省,1.6,20200101
眉山市,四川省,1.39,20200101
凉山彝族自治州,四川省,1.37,20200101
绵阳市,四川省,1.23,20200101
宁波市,浙江省,1.15,20200101
温州市,浙江省,0.97,20200101
德阳市,四川省,0.72,20200101
资阳市,四川省,0.72,20200101
佛山市,广东省,0.69,20200101
昆明市,云南省,0.63,20200101
南充市,四川省,0.63,20200101
东莞市,广东省,0.6,20200101
上海市,上海市,0.58,20200101
深圳市,广东省,0.58,20200101
贵阳市,贵州省,0.57,20200101
广州市,广东省,0.53,20200101
毕节市,贵州省,0.5,20200101
北京市,北京市,0.46,20200101
台州市,浙江省,0.43,20200101
遵义市,贵州省,0.41,20200101
金华市,浙江省,0.38,20200101
厦门市,福建省,0.36,20200101
雅安市,四川省,0.35,20200101
广安市,四川省,0.35,20200101
西安市,陕西省,0.33,20200101
绍兴市,浙江省,0.32,20200101
遂宁市,四川省,0.31,20200101
苏州市,江苏省,0.31,20200101
杭州市,浙江省,0.31,20200101
广元市,四川省,0.28,20200101
达州市,四川省,0.23,20200101
武汉市,湖北省,0.22,20200101
泉州市,福建省,0.21,20200101
惠州市,广东省,0.2,20200101
江门市,广东省,0.16,20200101
甘孜藏族自治州,四川省,0.15,20200101
汕头市,广东省,0.15,20200101
湖州市,浙江省,0.14,20200101
六盘水市,贵州省,0.14,20200101
天津市,天津市,0.14,20200101
攀枝花市,四川省,0.14,20200101
黔南布依族苗族自治州,贵州省,0.14,20200101
成都市,四川省,24.27,20200102
泸州市,四川省,8.12,20200102
昭通市,云南省,8.07,20200102
重庆市,重庆市,5.75,20200102
自贡市,四川省,5.33,20200102
嘉兴市,浙江省,2.82,20200102
中山市,广东省,2.82,20200102
乐山市,四川省,2.75,20200102
宁波市,浙江省,2.53,20200102
内江市,四川省,2.35,20200102
温州市,浙江省,1.6,20200102
眉山市,四川省,1.56,20200102
德阳市,四川省,1.29,20200102
绵阳市,四川省,1.2,20200102
凉山彝族自治州,四川省,1.17,20200102
佛山市,广东省,0.98,20200102
广州市,广东省,0.97,20200102
东莞市,广东省,0.93,20200102
台州市,浙江省,0.83,20200102
资阳市,四川省,0.8,20200102
北京市,北京市,0.78,20200102
