city_name,province_name,value,date
荆州市,湖北省,16.92,20200101
武汉市,湖北省,16.22,20200101
恩施土家族苗族自治州,湖北省,11.16,20200101
重庆市,重庆市,7.46,20200101
荆门市,湖北省,5.85,20200101
襄阳市,湖北省,4.09,20200101
神农架林区,湖北省,1.93,20200101
孝感市,湖北省,1.6,20200101
广州市,广东省,1.3,20200101
深圳市,广东省,1.29,20200101
北京市,北京市,1.24,20200101
黄冈市,湖北省,1.04,20200101
东莞市,广东省,0.97,20200101
上海市,上海市,0.97,20200101
十堰市,湖北省,0.86,20200101
常德市,湖南省,0.86,20200101
温州市,浙江省,0.81,20200101
南阳市,河南省,0.79,20200101
潜江市,湖北省,0.79,20200101
苏州市,江苏省,0.78,20200101
成都市,四川省,0.66,20200101
长沙市,湖南省,0.66,20200101
杭州市,浙江省,0.63,20200101
嘉兴市,浙江省,0.6,20200101
仙桃市,湖北省,0.57,20200101
黄石市,湖北省,0.55,20200101
天门市,湖北省,0.54,20200101
无锡市,江苏省,0.49,20200101
咸宁市,湖北省,0.48,20200101
宁波市,浙江省,0.48,20200101
郑州市,河南省,0.45,20200101
岳阳市,湖南省,0.4,20200101
台州市,浙江省,0.38,20200101
西安市,陕西省,0.38,20200101
随州市,湖北省,0.36,20200101
鄂州市,湖北省,0.34,20200101
南京市,江苏省,0.31,20200101
金华市,浙江省,0.31,20200101
佛山市,广东省,0.29,20200101
福州市,福建省,0.29,20200101
沧州市,河北省,0.28,20200101
南昌市,江西省,0.26,20200101
廊坊市,河北省,0.26,20200101
昆明市,云南省,0.23,20200101
合肥市,安徽省,0.22,20200101
安顺市,贵州省,0.21,20200101
洛阳市,河南省,0.19,20200101
绍兴市,浙江省,0.19,20200101
常州市,江苏省,0.18,20200101
泉州市,福建省,0.18,20200101
武汉市,湖北省,18.75,20200102
荆州市,湖北省,10.68,20200102
恩施土家族苗族自治州,湖北省,8.03,20200102
重庆市,重庆市,6.03,20200102
荆门市,湖北省,4.27,20200102
襄阳市,湖北省,3.83,20200102
孝感市,湖北省,1.81,20200102
深圳市,广东省,1.74,20200102
广州市,广东省,1.65,20200102
北京市,北京市,1.65,20200102
神农架林区,湖北省,1.4,20200102
上海市,上海市,1.27,20200102
东莞市,广东省,1.24,20200102
黄冈市,湖北省,1.19,20200102
苏州市,江苏省,1.1,20200102
温州市,浙江省,1.1,20200102
成都市,四川省,0.9,20200102
十堰市,湖北省,0.87,20200102
长沙市,湖南省,0.83,20200102
南阳市,河南省,0.79,20200102
常德市,湖南省,0.78,20200102
仙桃市,湖北省,0.77,20200102
西安市,陕西省,0.76,20200102
