city_name,province_name,value,date
荆州市,湖北省,20.5,20200101
武汉市,湖北省,15.79,20200101
恩施土家族苗族自治州,湖北省,10.91,20200101
荆门市,湖北省,6.98,20200101
重庆市,重庆市,6.22,20200101
襄阳市,湖北省,5.57,20200101
神农架林区,湖北省,2.47,20200101
孝感市,湖北省,2.3,20200101
黄冈市,湖北省,1.27,20200101
北京市,北京市,1.08,20200101
十堰市,湖北省,1.05,20200101
南阳市,河南省,0.91,20200101
常德市,湖南省,0.9,20200101
潜江市,湖北省,0.82,20200101
仙桃市,湖北省,0.81,20200101
深圳市,广东省,0.77,20200101
成都市,四川省,0.76,20200101
天门市,湖北省,0.72,20200101
上海市,上海市,0.69,20200101
长沙市,湖南省,0.63,20200101
随州市,湖北省,0.63,20200101
咸宁市,湖北省,0.56,20200101
广州市,广东省,0.54,20200101
岳阳市,湖南省,0.53,20200101
西安市,陕西省,0.52,20200101
黄石市,湖北省,0.51,20200101
郑州市,河南省,0.44,20200101
杭州市,浙江省,0.42,20200101
鄂州市,湖北省,0.33,20200101
苏州市,江苏省,0.3,20200101
东莞市,广东省,0.3,20200101
南京市,江苏省,0.28,20200101
昆明市,云南省,0.27,20200101
南昌市,江西省,0.27,20200101
佛山市,广东省,0.23,20200101
平顶山市,河南省,0.21,20200101
九江市,江西省,0.19,20200101
张家界市,湖南省,0.19,20200101
合肥市,安徽省,0.19,20200101
益阳市,湖南省,0.18,20200101
衡阳市,湖南省,0.17,20200101
贵阳市,贵州省,0.17,20200101
信阳市,河南省,0.16,20200101
商丘市,河南省,0.16,20200101
海口市,海南省,0.16,20200101
南宁市,广西壮族自治区,0.15,20200101
洛阳市,河南省,0.14,20200101
保定市,河北省,0.14,20200101
桂林市,广西壮族自治区,0.14,20200101
无锡市,江苏省,0.14,20200101
武汉市,湖北省,18.22,20200102
荆州市,湖北省,13.21,20200102
恩施土家族苗族自治州,湖北省,10.1,20200102
重庆市,重庆市,6.32,20200102
荆门市,湖北省,5.24,20200102
襄阳市,湖北省,4.74,20200102
黄冈市,湖北省,2.07,20200102
神农架林区,湖北省,1.94,20200102
孝感市,湖北省,1.77,20200102
北京市,北京市,1.37,20200102
十堰市,湖北省,1.33,20200102
成都市,四川省,1.0,20200102
长沙市,湖南省,0.99,20200102
潜江市,湖北省,0.89,20200102
上海市,上海市,0.87,20200102
广州市,广东省,0.87,20200102
常德市,湖南省,0.86,20200102
天门市,湖北省,0.82,20200102
深圳市,广东省,0.81,20200102
随州市,湖北省,0.78,20200102
南阳市,河南省,0.78,20200102
黄石市,湖北省,0.76,20200102
仙桃市,湖北省,0.74,20200102
咸宁市,湖北省,0.68,20200102
岳阳市,湖南省,0.59,20200102
郑州市,河南省,0.56,20200102
西安市,陕西省,0.49,20200102
昆明市,云南省,0.43,20200102
鄂州市,湖北省,0.41,20200102
苏州市,江苏省,0.38,20200102
合肥市,安徽省,0.37,20200102
杭州市,浙江省,0.36,20200102
贵阳市,贵州省,0.34,20200102
九江市,江西省,0.33,20200102
佛山市,广东省,0.33,20200102
南昌市,江西省,0.3,20200102
南京市,江苏省,0.29,20200102
东莞市,广东省,0.28,20200102
平顶山市,河南省,0.28,20200102
江门市,广东省,0.25,20200102
驻马店市,河南省,0.25,20200102
周口市,河南省,0.25,20200102
衡阳市,湖南省,0.24,20200102
嘉兴市,浙江省,0.23,20200102
石家庄市,河北省,0.22,20200102
温州市,浙江省,0.22,20200102
黄山市,安徽省,0.22,20200102
信阳市,河南省,0.22,20200102
无锡市,江苏省,0.22,20200102
南充市,四川省,0.2,20200102
武汉市,湖北省,17.12,20200103
荆州市,湖北省,14.44,20200103
恩施土家族苗族自治州,湖北省,10.3,20200103
重庆市,重庆市,6.24,20200103
荆门市,湖北省,6.19,20200103
襄阳市,湖北省,4.98,20200103
神农架林区,湖北省,2.19,20200103
孝感市,湖北省,1.97,20200103
黄冈市,湖北省,1.87,20200103
十堰市,湖北省,1.34,20200103
北京市,北京市,1.19,20200103
长沙市,湖南省,1.1,20200103
咸宁市,湖北省,1.01,20200103
潜江市,湖北省,0.98,20200103
常德市,湖南省,0.87,20200103
深圳市,广东省,0.84,20200103
广州市,广东省,0.84,20200103
仙桃市,湖北省,0.84,20200103
成都市,四川省,0.81,20200103
天门市,湖北省,0.81,20200103
上海市,上海市,0.79,20200103
南阳市,河南省,0.76,20200103
随州市,湖北省,0.69,20200103
黄石市,湖北省,0.55,20200103
西安市,陕西省,0.47,20200103
驻马店市,河南省,0.45,20200103
岳阳市,湖南省,0.45,20200103
鄂州市,湖北省,0.44,20200103
昆明市,云南省,0.43,20200103
黄山市,安徽省,0.42,20200103
郑州市,河南省,0.39,20200103
杭州市,浙江省,0.38,20200103
南昌市,江西省,0.35,20200103
信阳市,河南省,0.3,20200103
合肥市,安徽省,0.29,20200103
苏州市,江苏省,0.28,20200103
贵阳市,贵州省,0.28,20200103
南京市,江苏省,0.27,20200103
石家庄市,河北省,0.27,20200103
九江市,江西省,0.25,20200103
佛山市,广东省,0.24,20200103
东莞市,广东省,0.24,20200103
周口市,河南省,0.23,20200103
平顶山市,河南省,0.23,20200103
无锡市,江苏省,0.22,20200103
衡阳市,湖南省,0.2,20200103
益阳市,湖南省,0.19,20200103
湘西土家族苗族自治州,湖南省,0.18,20200103
遵义市,贵州省,0.18,20200103
厦门市,福建省,0.18,20200103
荆州市,湖北省,16.96,20200104
武汉市,湖北省,13.95,20200104
恩施土家族苗族自治州,湖北省,11.09,20200104
荆门市,湖北省,5.72,20200104
襄阳市,湖北省,5.72,20200104
重庆市,重庆市,5.7,20200104
神农架林区,湖北省,2.38,20200104
黄冈市,湖北省,2.16,20200104
孝感市,湖北省,1.91,20200104
十堰市,湖北省,1.45,20200104
北京市,北京市,1.21,20200104
仙桃市,湖北省,0.93,20200104
天门市,湖北省,0.93,20200104
咸宁市,湖北省,0.92,20200104
常德市,湖南省,0.91,20200104
潜江市,湖北省,0.87,20200104
广州市,广东省,0.81,20200104
长沙市,湖南省,0.79,20200104
成都市,四川省,0.78,20200104
深圳市,广东省,0.76,20200104
随州市,湖北省,0.74,20200104
上海市,上海市,0.68,20200104
黄石市,湖北省,0.68,20200104
南阳市,河南省,0.64,20200104
西安市,陕西省,0.55,20200104
岳阳市,湖南省,0.5,20200104
郑州市,河南省,0.5,20200104
温州市,浙江省,0.37,20200104
杭州市,浙江省,0.37,20200104
贵阳市,贵州省,0.34,20200104
苏州市,江苏省,0.34,20200104
鄂州市,湖北省,0.34,20200104
南京市,江苏省,0.33,20200104
昆明市,云南省,0.3,20200104
东莞市,广东省,0.28,20200104
信阳市,河南省,0.27,20200104
佛山市,广东省,0.25,20200104
南昌市,江西省,0.25,20200104
合肥市,安徽省,0.24,20200104
驻马店市,河南省,0.23,20200104
遵义市,贵州省,0.23,20200104
石家庄市,河北省,0.22,20200104
厦门市,福建省,0.21,20200104
平顶山市,河南省,0.2,20200104
无锡市,江苏省,0.19,20200104
益阳市,湖南省,0.18,20200104
九江市,江西省,0.18,20200104
周口市,河南省,0.17,20200104
桂林市,广西壮族自治区,0.17,20200104
衡阳市,湖南省,0.17,20200104
武汉市,湖北省,17.52,20200105
荆州市,湖北省,14.91,20200105
恩施土家族苗族自治州,湖北省,10.6,20200105
重庆市,重庆市,5.38,20200105
荆门市,湖北省,5.23,20200105
襄阳市,湖北省,4.9,20200105
神农架林区,湖北省,2.24,20200105
孝感市,湖北省,2.1,20200105
黄冈市,湖北省,2.0,20200105
十堰市,湖北省,1.74,20200105
咸宁市,湖北省,1.21,20200105
北京市,北京市,1.2,20200105
潜江市,湖北省,1.11,20200105
成都市,四川省,1.01,20200105
长沙市,湖南省,0.98,20200105
黄石市,湖北省,0.83,20200105
常德市,湖南省,0.74,20200105
天门市,湖北省,0.74,20200105
随州市,湖北省,0.7,20200105
广州市,广东省,0.69,20200105
仙桃市,湖北省,0.68,20200105
南阳市,河南省,0.68,20200105
上海市,上海市,0.68,20200105
西安市,陕西省,0.59,20200105
深圳市,广东省,0.56,20200105
岳阳市,湖南省,0.51,20200105
郑州市,河南省,0.45,20200105
鄂州市,湖北省,0.4,20200105
贵阳市,贵州省,0.4,20200105
杭州市,浙江省,0.39,20200105
昆明市,云南省,0.36,20200105
苏州市,江苏省,0.29,20200105
东莞市,广东省,0.27,20200105
益阳市,湖南省,0.27,20200105
合肥市,安徽省,0.27,20200105
遵义市,贵州省,0.26,20200105
南京市,江苏省,0.24,20200105
石家庄市,河北省,0.23,20200105
驻马店市,河南省,0.22,20200105
温州市,浙江省,0.22,20200105
周口市,河南省,0.21,20200105
天津市,天津市,0.2,20200105
佛山市,广东省,0.2,20200105
徐州市,江苏省,0.2,20200105
张家界市,湖南省,0.2,20200105
南昌市,江西省,0.2,20200105
湘西土家族苗族自治州,湖南省,0.19,20200105
邯郸市,河北省,0.19,20200105
信阳市,河南省,0.18,20200105
六安市,安徽省,0.18,20200105
武汉市,湖北省,16.05,20200106
荆州市,湖北省,14.11,20200106
恩施土家族苗族自治州,湖北省,10.92,20200106
重庆市,重庆市,5.96,20200106
襄阳市,湖北省,5.17,20200106
荆门市,湖北省,5.1,20200106
孝感市,湖北省,2.21,20200106
黄冈市,湖北省,2.2,20200106
神农架林区,湖北省,1.62,20200106
十堰市,湖北省,1.41,20200106
北京市,北京市,1.33,20200106
咸宁市,湖北省,1.09,20200106
成都市,四川省,0.85,20200106
天门市,湖北省,0.84,20200106
潜江市,湖北省,0.82,20200106
随州市,湖北省,0.79,20200106
常德市,湖南省,0.78,20200106
上海市,上海市,0.75,20200106
长沙市,湖南省,0.74,20200106
黄石市,湖北省,0.72,20200106
仙桃市,湖北省,0.71,20200106
西安市,陕西省,0.68,20200106
深圳市,广东省,0.58,20200106
岳阳市,湖南省,0.58,20200106
南阳市,河南省,0.56,20200106
广州市,广东省,0.52,20200106
鄂州市,湖北省,0.47,20200106
郑州市,河南省,0.45,20200106
贵阳市,贵州省,0.41,20200106
昆明市,云南省,0.41,20200106
南京市,江苏省,0.38,20200106
东莞市,广东省,0.34,20200106
遵义市,贵州省,0.34,20200106
苏州市,江苏省,0.3,20200106
杭州市,浙江省,0.29,20200106
无锡市,江苏省,0.29,20200106
驻马店市,河南省,0.26,20200106
九江市,江西省,0.23,20200106
平顶山市,河南省,0.22,20200106
周口市,河南省,0.22,20200106
广安市,四川省,0.22,20200106
南昌市,江西省,0.22,20200106
温州市,浙江省,0.22,20200106
佛山市,广东省,0.21,20200106
泉州市,福建省,0.21,20200106
金华市,浙江省,0.21,20200106
怀化市,湖南省,0.2,20200106
益阳市,湖南省,0.2,20200106
合肥市,安徽省,0.2,20200106
信阳市,河南省,0.2,20200106
武汉市,湖北省,15.22,20200107
荆州市,湖北省,14.14,20200107
恩施土家族苗族自治州,湖北省,10.45,20200107
重庆市,重庆市,6.81,20200107
荆门市,湖北省,5.3,20200107
襄阳市,湖北省,5.17,20200107
孝感市,湖北省,2.27,20200107
黄冈市,湖北省,2.22,20200107
神农架林区,湖北省,1.64,20200107
十堰市,湖北省,1.44,20200107
北京市,北京市,1.35,20200107
咸宁市,湖北省,0.98,20200107
随州市,湖北省,0.88,20200107
常德市,湖南省,0.87,20200107
上海市,上海市,0.83,20200107
潜江市,湖北省,0.81,20200107
天门市,湖北省,0.8,20200107
黄石市,湖北省,0.78,20200107
广州市,广东省,0.77,20200107
成都市,四川省,0.74,20200107
长沙市,湖南省,0.74,20200107
仙桃市,湖北省,0.73,20200107
西安市,陕西省,0.65,20200107
深圳市,广东省,0.61,20200107
南阳市,河南省,0.61,20200107
岳阳市,湖南省,0.55,20200107
鄂州市,湖北省,0.55,20200107
昆明市,云南省,0.52,20200107
郑州市,河南省,0.43,20200107
贵阳市,贵州省,0.42,20200107
东莞市,广东省,0.35,20200107
南京市,江苏省,0.32,20200107
合肥市,安徽省,0.29,20200107
西宁市,青海省,0.29,20200107
苏州市,江苏省,0.27,20200107
益阳市,湖南省,0.26,20200107
杭州市,浙江省,0.25,20200107
新乡市,河南省,0.24,20200107
驻马店市,河南省,0.23,20200107
九江市,江西省,0.21,20200107
温州市,浙江省,0.21,20200107
信阳市,河南省,0.2,20200107
遵义市,贵州省,0.2,20200107
邯郸市,河北省,0.2,20200107
平顶山市,河南省,0.19,20200107
石家庄市,河北省,0.19,20200107
怀化市,湖南省,0.18,20200107
无锡市,江苏省,0.18,20200107
佛山市,广东省,0.18,20200107
周口市,河南省,0.17,20200107
武汉市,湖北省,15.35,20200108
荆州市,湖北省,14.15,20200108
恩施土家族苗族自治州,湖北省,10.05,20200108
重庆市,重庆市,6.7,20200108
襄阳市,湖北省,5.57,20200108
荆门市,湖北省,5.1,20200108
孝感市,湖北省,2.61,20200108
黄冈市,湖北省,2.08,20200108
十堰市,湖北省,1.71,20200108
神农架林区,湖北省,1.34,20200108
随州市,湖北省,1.23,20200108
北京市,北京市,1.12,20200108
咸宁市,湖北省,1.06,20200108
常德市,湖南省,0.95,20200108
长沙市,湖南省,0.93,20200108
潜江市,湖北省,0.88,20200108
成都市,四川省,0.82,20200108
仙桃市,湖北省,0.75,20200108
上海市,上海市,0.7,20200108
黄石市,湖北省,0.68,20200108
天门市,湖北省,0.65,20200108
西安市,陕西省,0.61,20200108
南阳市,河南省,0.61,20200108
广州市,广东省,0.6,20200108
郑州市,河南省,0.57,20200108
深圳市,广东省,0.56,20200108
东莞市,广东省,0.52,20200108
杭州市,浙江省,0.45,20200108
昆明市,云南省,0.43,20200108
