city_name,province_name,value,date
西安市,陕西省,47.76,20200101
咸阳市,陕西省,17.22,20200101
汉中市,陕西省,3.41,20200101
天水市,甘肃省,3.19,20200101
平凉市,甘肃省,2.84,20200101
渭南市,陕西省,2.1,20200101
陇南市,甘肃省,1.7,20200101
兰州市,甘肃省,0.96,20200101
商洛市,陕西省,0.93,20200101
安康市,陕西省,0.89,20200101
北京市,北京市,0.74,20200101
榆林市,陕西省,0.72,20200101
延安市,陕西省,0.71,20200101
成都市,四川省,0.71,20200101
重庆市,重庆市,0.67,20200101
广元市,四川省,0.54,20200101
庆阳市,甘肃省,0.51,20200101
铜川市,陕西省,0.46,20200101
郑州市,河南省,0.45,20200101
定西市,甘肃省,0.43,20200101
巴中市,四川省,0.42,20200101
苏州市,江苏省,0.41,20200101
三门峡市,河南省,0.33,20200101
南充市,四川省,0.32,20200101
上海市,上海市,0.31,20200101
银川市,宁夏回族自治区,0.28,20200101
徐州市,江苏省,0.23,20200101
固原市,宁夏回族自治区,0.2,20200101
西宁市,青海省,0.2,20200101
洛阳市,河南省,0.2,20200101
南阳市,河南省,0.19,20200101
运城市,山西省,0.19,20200101
十堰市,湖北省,0.19,20200101
武汉市,湖北省,0.18,20200101
周口市,河南省,0.18,20200101
太原市,山西省,0.16,20200101
深圳市,广东省,0.15,20200101
南京市,江苏省,0.14,20200101
武威市,甘肃省,0.14,20200101
广州市,广东省,0.14,20200101
杭州市,浙江省,0.13,20200101
平顶山市,河南省,0.13,20200101
合肥市,安徽省,0.13,20200101
襄阳市,湖北省,0.12,20200101
新乡市,河南省,0.12,20200101
开封市,河南省,0.12,20200101
乌鲁木齐市,新疆维吾尔自治区,0.12,20200101
达州市,四川省,0.12,20200101
绵阳市,四川省,0.12,20200101
白银市,甘肃省,0.12,20200101
西安市,陕西省,46.29,20200102
咸阳市,陕西省,12.72,20200102
汉中市,陕西省,3.19,20200102
天水市,甘肃省,2.73,20200102
渭南市,陕西省,2.45,20200102
平凉市,甘肃省,2.21,20200102
陇南市,甘肃省,2.11,20200102
安康市,陕西省,1.15,20200102
成都市,四川省,1.06,20200102
北京市,北京市,1.02,20200102
商洛市,陕西省,0.99,20200102
榆林市,陕西省,0.89,20200102
兰州市,甘肃省,0.87,20200102
广元市,四川省,0.82,20200102
重庆市,重庆市,0.82,20200102
延安市,陕西省,0.78,20200102
巴中市,四川省,0.7,20200102
郑州市,河南省,0.52,20200102
铜川市,陕西省,0.49,20200102
上海市,上海市,0.46,20200102
银川市,宁夏回族自治区,0.43,20200102
定西市,甘肃省,0.38,20200102
南充市,四川省,0.38,20200102
庆阳市,甘肃省,0.36,20200102
深圳市,广东省,0.33,20200102
苏州市,江苏省,0.33,20200102
三门峡市,河南省,0.31,20200102
武汉市,湖北省,0.29,20200102
洛阳市,河南省,0.28,20200102
南阳市,河南省,0.27,20200102
